name,degree,address,tel
북한산둘레길 1구간소나무숲길,4.2,,
북한산둘레길 3구간흰구름길,4.6,,
북한산둘레길 2구간순례길,4.4,,
북한산국립공원 백운대탐방지원센터,4.7,서울 강북구 우이동 산 68-1,
4.19학생혁명기념탑,4.2,서울 강북구 4.19로8길 17,
북한산둘레길 순례길(무장애탐방구간),0.0,,
우이천,4.6,서울 강북구 수유동,
우이동 만남의광장,5.0,서울 강북구 우이동 186-5,
북한산국립공원 우이탐방지원센터,4.0,서울 강북구 삼양로181길 349,02-998-8365
우이동계곡,3.9,서울 강북구 삼양로159길 60-7,
419카페거리,3.3,서울 강북구 4.19로 97,
북서울꿈의숲 전망대,3.9,서울 강북구 번동,
대동문,5.0,서울 강북구 수유동 68-1,
4.19탑,5.0,서울 강북구 수유동 568-42,
북서울꿈의숲 창녕위궁재사,4.6,서울 강북구 월계로 173,
수유동먹자골목,3.8,서울 강북구 한천로139길 42,
서울둘레길 8코스 흰구름길 시작점,4.0,서울 강북구 미아동 산 108-8,
봉황각,4.3,서울 강북구 삼양로173길 107-12,
미아사거리 먹자골목,5.0,서울 강북구 미아동 860-68,
북한산 영봉,5.0,서울 강북구 우이동,
윤극영 가옥,4.5,서울 강북구 인수봉로84길 5,
우이동유원지,5.0,서울 강북구 우이동,02-999-1478
오패산,4.7,서울 강북구 번동 산 19,
도선사마애석불,5.0,서울 강북구 우이동 264,02-993-3162
우이동계곡,0.0,서울 강북구 우이동 245-1,02-909-0497
쥬니버스,0.0,서울 강북구 삼양로 447 지하 1층,010-9466-9596
우이동먹거리마을,0.0,서울 강북구 삼양로181길 45,
북한산 진달래능선,0.0,서울 강북구 수유동,
구름전망대,4.8,서울 강북구 수유동 산 127-1,
수유리기사식당골목,2.0,서울 강북구 수유동 605-185,
북한산국립공원 대동문코스,0.0,,
둘레길탐방안내센터,0.0,서울 강북구 4.19로28길 4,02-900-8085
북서울꿈의숲 계절수목원,0.0,서울 강북구 월계로 173,
백련사 계곡,0.0,서울 강북구 수유동 산 127-4,
용암문,5.0,서울 강북구 삼양로173길 116-203,
손병희선생묘소,5.0,서울 강북구 우이동 산 28-1,
여운형선생묘소,4.3,서울 강북구 우이동,
북서울꿈의숲 월영지,3.5,서울 강북구 월계로 173,
우이천,0.0,서울 강북구 번동,
육모정고개,0.0,서울 강북구 우이동,
신익희선생묘,0.0,서울 강북구 수유동,
북한산자락나들길,0.0,,
우이공원유원지,4.0,서울 강북구 삼양로181길 141-5,
구천폭포,0.0,서울 강북구 수유동 산 127-1,
소귀천계곡,5.0,서울 강북구 우이동,
평화의소녀상,5.0,서울 강북구 도봉로 351 강북구청 앞 소나무길,
김창숙묘소,5.0,서울 강북구 수유동 산 127-4,
합궁바위,5.0,서울 강북구 우이동 산 68-1,
만고강산약수터,5.0,서울 강북구 우이동 산 65-1,
강북구 우이천 테마산책길B,0.0,,
흰구름길전망데크,5.0,서울 강북구 수유동 산 164-1,
이준열사묘,4.0,서울 강북구 수유동,
강북구 우이천 테마산책길A,0.0,,
조병옥박사묘,5.0,서울 강북구 수유동,
이시영묘,5.0,서울 강북구 수유동 73-3,
오상순묘,4.0,서울 강북구 수유동 산 127-1,
오패산나들길,5.0,,
북한산국립공원 아카데미탐방지원센터,5.0,서울 강북구 4.19로31길 2,
김도연묘,0.0,서울 강북구 수유동 127-1,
이용문장군 묘역,0.0,서울 강북구 우이동 산 65-2,
북한산 복덕봉,5.0,서울 강북구 수유동,
수유동분청사기가마터,0.0,서울 강북구 수유동 산 127-1,
신숙묘,4.0,서울 강북구 수유동 산 127-1,
우이동엠티촌,5.0,서울 강북구 우이동,
김병로묘,0.0,서울 강북구 수유동 산 86-1,
동요 윤극영 선생 가옥,0.0,서울 강북구 인수봉로84길 5,
양일동묘,0.0,서울 강북구 수유동 127-4,
국립4.19민주묘지 유영봉안소,0.0,서울 강북구 4.19로8길 17,
북한산국립공원 소귀천코스,0.0,,
북한산 용암봉,5.0,서울 강북구 우이동,
화계사일주문,0.0,서울 강북구 수유동 642-5,
서울테마산책길 오패산자락길,5.0,,
국립4.19민주묘지 전망대,0.0,서울 강북구 수유동 580-1,
광복군합동묘소,0.0,서울 강북구 수유동 산 127-1,
우이천,5.0,서울 강북구 우이동,
안다래골,0.0,서울 강북구 우이동,
북한산 해맞이명소,5.0,,
코끼리바위,3.0,서울 강북구 삼양로173길 116-203,
새한버스기숙사터,0.0,서울 강북구 우이동 6-1,
산악인추모비,4.5,서울 강북구 삼양로173길 116-203,
대동천,3.0,서울 강북구 4.19로 108-15,
북서울꿈의숲산책길,0.0,,
빨래골,0.0,서울 강북구 수유동 산 127-1,
북한산 일출봉,5.0,서울 강북구 우이동 산 68-1,
앵무새바위,5.0,서울 강북구 삼양로173길 116-203,
북한산 샘터,0.0,서울 강북구 수유동 산 127-1,
해골바위,0.0,서울 강북구 우이동,
유림묘,0.0,서울 강북구 수유동 127-3,
북한산 샘터,0.0,서울 강북구 우이동 산 68-1,
북한산 용천수샘터,0.0,서울 강북구 우이동 산 68-1,
둘리테마거리,0.0,서울 도봉구 쌍문동 342-4,
서울미래유산 남정현가옥,0.0,서울 도봉구 도봉로109길 19-4,
차미리사길,0.0,서울 도봉구 쌍문동 437-9,
덕성여대 시반거리,0.0,서울 도봉구 쌍문동 422-7,
서울테마산책길 둘리쌍문근린공원 산책로,0.0,,
초안산,4.5,서울 노원구 월계동 산 6,
초안산근린공원 생태연못,0.0,서울 도봉구 해등로3길 48-11,
창동시민천문대,0.0,서울 도봉구 창동,02-908-0924
북한산둘레길 왕실묘역길20구간,5.0,,
초안산 조선시대분묘군,0.0,서울 노원구 월계동 산 8-3,
차미리사선생묘소,0.0,서울 도봉구 쌍문동 산 278-1,
연산군묘,3.2,서울 도봉구 방학동 산 77,
북한산둘레길 솔샘길4구간,3.6,,
덕성여자대학교 비엔나숲,0.0,서울 도봉구 삼양로144길 33,
초안산 수국동산,5.0,서울 노원구 월계로45가길 57,
이지유어디자인,0.0,서울 도봉구 덕릉로60길 164-23,
양효공안맹담과 정의공주묘역,5.0,서울 도봉구 방학로 252-19,
전태일 기념비,5.0,서울 도봉구 도봉로129길 54,
북한산둘레길 방학동길19구간,5.0,,
북한산자락길,5.0,서울 성북구 정릉동,
우이천,3.7,서울 도봉구 쌍문동,
서울명예도로 함석헌길,0.0,,
