name,degree,address,tel
서울식물원,4.4,서울 강서구 마곡동로 161,02-2104-9716
까치산,3.4,서울 강서구 화곡동 산 162-17,
양천향교,4.1,서울 강서구 양천로47나길 53,02-2659-0076
봉제산,4.7,서울 강서구 화곡동 산 42-1,
개화산,3.9,서울 강서구 개화동 산 91-4,
아라한강갑문 인증센터,4.8,서울 강서구 개화동 31-2,
서울식물원 식물문화센터,4.2,서울 강서구 마곡동로 161,02-120
김포국제공항 국내선청사 공항전망대,4.3,서울 강서구 하늘길 112 김포국제공항 국내선청사 4층,
우장산,4.6,서울 강서구 화곡동 산 60-1,
마곡광장,4.8,서울 강서구 마곡중앙5로 지하 9,02-3665-2707
강서둘레길 1코스(개화산숲길),4.0,,
봉제산 둘레길,5.0,서울 강서구 화곡동,
증미산,4.9,서울 강서구 염창동,
KBS스포츠월드 워터플레이,3.5,서울 강서구 공항대로 376,02-2600-8808
서울식물원 주제원,4.9,서울 강서구 마곡동로 161,
서울식물원 방문자센터,0.0,서울 강서구 마곡동로 161,02-2104-9714
궁산,4.8,서울 강서구 가양동 산 4-7,
수명산,4.7,서울 강서구 내발산동 748,
행주나루터,5.0,서울 강서구 개화길 84,
궁산 소악루,4.9,서울 강서구 양천로47나길 52-54,
서울식물원습지원 한강전망데크,4.8,서울 강서구 마곡동 41-107,
치현정,4.7,서울 강서구 방화동 산 116-9,
개화산 하늘길전망대,3.0,서울 강서구 개화동 산 91-2,
서울식물원 어울림공원,5.0,서울 강서구 마곡동 32-10,
강서둘레길 2코스(공원길),0.0,,
봉제산 약수터,0.0,서울 강서구 화곡동 산 1,
서울식물원 습지생태공원,4.0,서울 강서구 마곡동 32-16,
구암근린공원 허준선생동상,5.0,서울 강서구 가양동 1459-6,
사바나농장,5.0,서울 강서구 개화동 530-3 A동 2호 (네비로 오시면 개화역 검색해서 오세요),0507-0177-3355
개화산 해맞이명소,5.0,,
매봉산,4.5,서울 강서구 등촌동 산 89-6,
검덕산,4.8,서울 강서구 내발산동,
서울식물원 습지원,3.6,서울 강서구 마곡동 49-19,
우장산공원산책길,0.0,,
염창정,5.0,서울 강서구 염창동 산 20-6,
김포국제공항 국내선 제주관광홍보센터,0.0,서울 강서구 하늘길 112 2층,02-6925-0660
허가바위,3.8,서울 강서구 가양동 산 26,
김포국제공항 관광정보센터,0.0,서울 강서구 하늘길 38 1층,
봉제산 봉수대,0.0,서울 강서구 화곡동 산 42-12,
개화산자락길 (무장애숲길),5.0,,
약사사 삼층석탑,4.0,서울 강서구 개화동 322-2,02-2600-6078
강서둘레길 3코스(강서한강길),2.7,,
개화산 봉수대,0.0,서울 강서구 개화동 산 32-6,
양천고성지,5.0,서울 강서구 가양동 산 8-4,02-2600-6078
서울 둘레길 스탬프 6-3구간,0.0,서울 강서구 염창동 226-4,
동부간선수로,0.0,서울 강서구 개화동,
마곡 문화의 거리,0.0,서울 강서구 마곡동 772-4,
양천현아 터,0.0,서울 강서구 가양동 238-5,
치현산,0.0,서울 강서구 방화동 산 131-2,
서울식물원 어린이정원학교,5.0,서울 강서구 마곡동로 161,02-2104-9796
미닛메이드cf촬영지,0.0,서울 강서구 방화대로 94,
개화수로,0.0,서울 강서구 개화동,
범머리못,0.0,서울 강서구 방화동 40,
