name,degree,address,tel
관악산,4.5,서울 관악구 신림동 산 56-1,
샤로수길,3.1,서울 관악구 봉천동,
안국사,4.4,서울 관악구 낙성대로 77,
도림천,4.9,서울 관악구 신림동 808-1,
녹두거리,5.0,서울 관악구 대학길 39-6,
관악산계곡,4.4,서울 관악구 신림동 산 56-1,
신림동별빛거리,1.7,서울 관악구 신림동,
국사봉,4.6,서울 관악구 봉천동,
봉천고개,2.1,서울 관악구 봉천동 1000-4,
관악산입구시계탑,4.3,서울 관악구 신림로 23,
호암산,4.8,서울 관악구 신림동,
관악산둘레길 사색의숲길3구간,5.0,,
관악산둘레길 애국의숲길1구간,3.8,,
미당서정주의집,1.7,서울 관악구 남부순환로256나길 4,02-879-5609
별빛내린천 벽천분수,4.3,서울 관악구 신림동 808-133,
관악산계곡,2.7,서울 관악구 신림동,
관악산둘레길 체험의숲길2구간,5.0,,
관악산공원 무장애숲길 무장애탐방구간,5.0,,
국기봉,4.0,서울 관악구 신림동 산 56-2,
청룡산,4.6,서울 관악구 봉천동 산 174-650,
무너미고개,5.0,서울 관악구 신림동 산 55,
장군봉,4.0,서울 관악구 봉천동 산 149-8,
서울대학교 자하연,4.3,서울 관악구 관악로 1,
강감찬장군상,4.0,서울 관악구 낙성대로 77,
동작충효길 6코스(동작마루길),3.0,,
서울신림동 굴참나무,4.0,서울 관악구 난곡로35길 28-7,
목골산,1.0,서울 관악구 신림동,
모자봉 무장애 숲길,0.0,서울 관악구 신림동 산 56-2,
밤을 걷는 밤 6화(청림동),5.0,,
돌산,5.0,서울 관악구 신림동 산 29,
행운동먹자골목,5.0,서울 관악구 봉천로 487,
무당골,0.0,서울 관악구 봉천동,
깃대봉,4.8,서울 관악구 신림동 산 56-2,
서울테마산책길 관악산 무장애 숲길,3.0,,
서울특별시교육청융합과학교육원 천문대,0.0,서울 관악구 낙성대로 101,02-881-3128
마당바위,5.0,서울 관악구 관악로 1,
관음사 국기대,5.0,서울 관악구 남현동 산 104-4,
봉천동 마애미륵불좌상,3.8,서울 관악구 봉천동 산 4-9,
선유천 국기대,5.0,서울 관악구 봉천동 산 4-9,
서울 남현동 요지,2.7,서울 관악구 남현동 538-1,
박종철거리,3.8,서울 관악구 신림동,
대학동 동네숲,5.0,서울 관악구 신림동 산 24-9,
서울테마산책길 국사봉길,5.0,,
조망대,5.0,서울 관악구 신림동 산 57-13,
관악산계곡나들길,0.0,,
한국원 피격 장소,5.0,서울 관악구 신림동 228-1,
느티나무보호수421년,4.7,서울 관악구 신림동,
도림천물놀이장,0.0,서울 관악구 신림동,
칼바위,5.0,서울 관악구 신림동 산 56-2,
관음사산책길,0.0,,
자운암장,5.0,서울 관악구 관악로 1,
난곡동 벽화마을,5.0,서울 관악구 신림동 709-17,
효민공이경직묘역,0.0,서울 관악구 남현동 산 57-10,
건우봉,4.6,서울 관악구 신림동,
서울대학교 붉은광장,5.0,서울 관악구 관악로 1,
애국의숲길 전망대,4.0,서울 관악구 봉천동,
구벨기에영사관,3.0,서울 관악구 남부순환로 2076,
청능산,5.0,서울 관악구 신림동 산 1-254,
호암산 장군봉,3.5,서울 관악구 신림동,
학바위 국기봉,5.0,서울 관악구 신림동 산 56-2,
관악로,2.3,서울 관악구 봉천동,
서울대학교 4.19기념탑,3.7,서울 관악구 관악로 1,
침묵의얼굴,4.4,서울 관악구 신림동 산 56-1,
정정공강사상묘역,5.0,서울 관악구 신림동 산 107-2,
자하신위선생상,0.0,서울 관악구 신림동 203 일대,
정정공이변의묘소,0.0,서울 관악구 낙성대로 42,
낙성대삼층석탑,4.0,서울 관악구 낙성대로 77,
관악산 깃대봉,4.7,서울 관악구 신림동,
금동대세지보살좌상,0.0,서울 관악구 남부순환로152길 53 호림박물관 내,
김세진이재호열사동판,5.0,서울 관악구 신림동 1467-9,
박종철벤치,5.0,서울 관악구 신림동 246-80,
산장약수터,0.0,서울 관악구 신림동,
독산삼성산나들길,0.0,,
청룡산나들길,0.0,,
안국문,5.0,서울 관악구 낙성대로 77,
서울명예도로 강감찬대로,5.0,,
금동탄생불입상,0.0,서울 관악구 남부순환로152길 53 호림박물관,
이준선생동상,5.0,서울 관악구 관악로 1,
쌍생수 약수터,5.0,서울 관악구 신림동 산 56-2,
백암 박은식 선생 흉상,5.0,서울 관악구 관악로 1,
내삼문,0.0,서울 관악구 낙성대로 77,
낙성대산책길,0.0,,
관악산나들길,5.0,,
국수봉석조미륵좌상,0.0,서울 관악구 관악로 1,
윤길묘,0.0,서울 관악구 신림동 산 59,
자연보호 헌장법기념비,0.0,서울 관악구 신림동,
사당역갈림길,0.0,서울 관악구 남현동 602-131,
서울둘레길 11코스 민속신앙과 불교가 만나는 길,0.0,,
동작충효길 7코스(까치산길),2.7,,
동래정씨 임당공파묘역,0.0,서울 동작구 솔밭로 83,
공작지,5.0,서울 동작구 동작동 290-2,
용마산,4.3,서울 동작구 대방동,
현충원나들길,1.0,,
집박골약수터,5.0,서울 동작구 흑석동,
사당가구거리,2.0,서울 서초구 방배동 2287,
보라매 공원 옥만호,4.6,서울 동작구 보라매로5길 28,
국립서울현충원 경찰충혼탑,5.0,서울 동작구 동작동 220-1,
효사정,4.8,서울 동작구 현충로 55,
국립서울현충원 현충탑,4.2,서울 동작구 현충로 210,
국립서울현충원 육탄10용사현충비,0.0,서울 동작구 동작동 228-7,
흑리단길,2.6,서울 동작구 흑석동 50-91,
중앙대학교 서울캠퍼스 청룡연못,4.3,서울 동작구 흑석로 84,
와우산,4.9,서울 동작구 신대방동,
보라매공원 생태연못,0.0,서울 동작구 보라매로5길 58,
동작충효길 5코스(보라매길),3.0,,
임영신박사동상,0.0,서울 동작구 흑석로 84,
연주대,5.0,경기 과천시 자하동길 62,02-502-5001
장승제,5.0,서울 동작구 노량진동 310-95,
학도의용군 무명용사탑,5.0,서울 동작구 현충로 210,
국립서울현충원 대한독립군무명용사탑,5.0,서울 동작구 동작동 222-4,
국립서울현충원 현충지,0.0,서울 동작구 동작동 193,
김마리아선생동상,5.0,서울 동작구 신대방동 722,
국립서울현충원 유격부대전적위령비,3.8,서울 동작구 동작동 171,
평화의소녀상,4.3,서울 동작구 흑석동 4 흑석역 3번 출구 옆,
무후선열제단,5.0,서울 동작구 동작동 222-4,
학도의용병현충비,0.0,서울 동작구 동작동,
조석견과 완성군이귀정묘역,0.0,서울 동작구 흑석동 54-9,
심훈 생가 터,5.0,서울 동작구 흑석로13길 3,
관악산 연주대,4.8,경기 과천시 중앙동,
현충천,0.0,서울 동작구 동작동 133-29,
국립서울현충원 호국종,5.0,서울 동작구 현충로 210,
노량진컵밥거리,3.7,서울 동작구 노량진로 174,
보라매공원산책길,0.0,,
국립서울현충원 선양광장,0.0,서울 동작구 동작동 133-4,
장영실동상,0.0,서울 동작구 여의대방로16길 61,
중앙대학교 서울캠퍼스 의혈탑,5.0,서울 동작구 흑석로 84,
동재기나루터,4.0,서울 동작구 동작동 125-9,
용양봉저정,5.0,서울 동작구 노량진로32길 14-7,
지장사 철불좌상,0.0,서울 동작구 현충로 174,
사육신역사공원 사육신묘,5.0,서울 동작구 노량진로 191,
호암산 잣나무산림욕장,0.0,서울 금천구 시흥동 산 93-1,
현충로,5.0,서울 동작구 동작동,
동작충효길 4코스(노량진길),4.0,,
동작충효길 3코스(한강나들길),1.0,,
방배동사이길,4.0,서울 서초구 방배동 32-2,
동작대교전망쉼터,2.3,서울 서초구 반포동 1333-1,
남태령고개,3.7,서울 서초구 방배동 산 184,02-3419-7330
깔딱고개,5.0,서울 금천구 시흥동 산 93-1,
방배동먹자골목,1.0,서울 서초구 방배동,
한강수사자조혼비,4.3,서울 동작구 본동 475-1,
숙종왕자연령군 옛묘역터,0.0,서울 영등포구 여의대방로35길 14,
매봉재산,4.7,서울 서초구 방배동,
한강방어선 전투 전사자 명비,5.0,서울 동작구 노량진로 247,
관악산 관음봉,5.0,경기 과천시 중앙동,
서울테마산책길 호암산 능선길,0.0,,
반포천,5.0,서울 서초구 반포동,
노들섬,4.7,서울 용산구 양녕로 445,02-749-4500
사충서원터,5.0,서울 동작구 노량진동 60-11,
청권사,3.3,서울 서초구 효령로 135,02-584-3121
서울둘레길 12코스 설화와 풍수와 역사를 담은 길,0.0,,
남태령옛길 표석,0.0,경기 과천시 과천동 산 95-7,
우면산,3.6,서울 서초구 우면동 산 36,02-2155-6860
관악산 무당바위,4.5,경기 과천시 중앙동 산 12-1,
말미고개,4.3,서울 금천구 시흥대로 334,
순흥안씨 양도공파묘군,5.0,서울 금천구 독산로36나길 63,
반포한강공원 달빛광장,2.8,서울 서초구 반포동 115-5,
대림차이나타운,1.8,서울 영등포구 대림동 1050-43,
서래마을카페거리,0.0,서울 서초구 반포동 126,
관악산 연주대,0.0,경기 과천시 자하동길 64,
주렁주렁 타임스퀘어점,3.9,"서울 영등포구 영중로 15 4,5층",1644-2153
용리단길,3.0,서울 용산구 한강로2가 412,
용산역광장,5.0,서울 용산구 한강대로21나길 17,
남태령옛길,4.0,경기 과천시 과천동 산 119-1,
안양천,4.8,서울 금천구 독산동 770-4,
문래동창작촌,3.6,서울 영등포구 문래동3가 54-28,
여의도물빛광장,4.6,서울 영등포구 여의도동 84-9,02-120
신길동홍어거리,4.8,서울 영등포구 신길동,
과천향교,4.3,경기 과천시 자하동길 18,02-502-2944
쥬라리움 금천점,3.0,서울 금천구 두산로 71 롯데빅마켓 금천점 3층,070-8657-0217
호암산성,5.0,서울 금천구 시흥동 산 93-8,
서울대학교 농업생명과학대학 관악수목원,,경기 안양시 만안구 예술공원로 280,031-473-0071
시흥계곡,5.0,서울 금천구 시흥동 산 73,02-890-2396
세븐럭카지노 서울드래곤시티점,3.7,서울 용산구 청파로20길 95 컨벤션타워 5층,02-2021-6000
관악산 얼굴바위,5.0,경기 과천시 관문동 산 23,
흥선대원군 별장터,3.0,서울 금천구 탑골로3길 48,
한강고수부지공원 여의광장,5.0,서울 영등포구 여의도동 57,
63전망대,4.6,서울 영등포구 63로 50,
독산동맛나는거리,4.5,서울 금천구 시흥대로124길 4,02-837-1011
한강공원여의도지구 녹음수광장,5.0,서울 영등포구 여의도동 85,
반포한강공원 반포안내센터,5.0,서울 서초구 신반포로11길 40,
이원등상사동상,5.0,서울 용산구 양녕로 446,
우면산 소망탑,4.9,서울 서초구 우면동,
여의서로,4.4,,
벚꽃십리길,3.5,서울 금천구 독산동 금천구청역 부근,
서리풀 악기거리,5.0,서울 서초구 서초동 1464-34,
미래한강본부 이촌안내센터,0.0,서울 용산구 이촌로72길 62,02-3780-0551
한강로동 땡땡거리,5.0,서울 용산구 한강로3가 40-48,
한우물,0.0,서울 금천구 호암로 192,
이촌청보리밭,2.5,서울 용산구 이촌동,
당고개순교성지,4.4,서울 용산구 청파로 139-26,02-711-0933
국립중앙박물관 거울못,4.2,서울 용산구 용산동6가,
관악산 의자바위,5.0,경기 과천시 관문동 산 23,
금천녹색광장,5.0,서울 금천구 시흥동 412-5,02-2627-1663
금천구청역길,5.0,서울 금천구 시흥동,
왜고개성지,3.0,서울 용산구 한강대로40길 46,
강희맹 살던 곳,5.0,서울 금천구 독산로32나길 36,
한강고수부지공원 수변광장,5.0,서울 영등포구 여의도동 58,
세라아트도예학원,0.0,서울 서초구 효령로36길 18 2층,02-522-4121
신길동 벽화거리,5.0,서울 영등포구 신길로13가길 5-10,
영등포전통시장 순대골목,0.0,서울 영등포구 영등포동5가 6-1,
우면산 해맞이명소,3.0,,
관악산 국기봉,4.7,경기 안양시 동안구 비산동,
청권사부묘소,0.0,서울 서초구 효령로 135,02-584-3121
밤을 걷는 밤 13화(이촌동),4.8,,
도림천,4.0,서울 구로구 신도림동,
관악산 문원하폭포,5.0,경기 과천시 중앙동 산 11,
왕벚꽃나무길,5.0,서울 금천구 가산동 614-71,
시흥동 은행나무,5.0,서울 금천구 금하로 701,
문래역로데오거리,3.7,서울 영등포구 문래동3가,
숨은암장,3.7,경기 안양시 만안구 석수동 산 11-1,
호암산나들길,0.0,,
도림천,0.0,서울 구로구 구로동,
육봉능선,5.0,경기 과천시 중앙동,
한국순교자103위 시성터,4.2,서울 영등포구 여의도동 2,
석진숲,5.0,서울 영등포구 여의도동 85-6,1588-1204
관악산 로봇바위,5.0,경기 과천시 중앙동 산 11,
글로앤웰,0.0,서울 구로구 디지털로29길 38 604호-12,
우면산둘레길,4.5,,
구로역광장,3.8,서울 구로구 구로동,
성안공상진묘역,1.0,서울 서초구 명달로 45,
이태원거리,2.5,서울 용산구 이태원동 119-23,
여의도계절광장,0.0,서울 영등포구 여의도동,
과천선바위,4.8,경기 과천시 과천동 산 352-4,
예술의전당 세계음악분수,3.3,서울 서초구 남부순환로 2406,
여의도공원 세종대왕동상,5.0,서울 영등포구 여의도동 23-11,
범바위,0.0,서울 서초구 방배동 산 92-1,
시흥향교터,5.0,서울 금천구 금하로 745,
온온사,3.8,경기 과천시 관악산길 58,
샛강생태공원 생태연못,3.0,서울 영등포구 여의도동 49,
서빙고터,4.3,서울 용산구 서빙고동 199-6,
국립중앙박물관 미르폭포,5.0,서울 용산구 서빙고로 137,
북한산 신라진흥왕순수비,4.7,서울 용산구 서빙고로 137 국립중앙박물관,
삼성산 학우봉,5.0,경기 안양시 만안구 석수1동,
한강공원 해넘이전망대,1.0,서울 영등포구 여의도동 84-6,
샛강생태공원 버들광장,5.0,서울 영등포구 여의도동 29-1,
구로동맹파업현장,4.0,서울 금천구 가산동 127-34,
염불암골,5.0,경기 안양시 만안구 석수동,
국기봉,5.0,경기 안양시 만안구 석수동 산 10-1,
서울대공원 둘레길,4.8,경기 과천시 막계동,
방학곳지부군당,5.0,서울 영등포구 영등포로62라길 2-13,
이승국의사 추모비,0.0,서울 서초구 반포동 117-8,
서리골서리풀나들길,5.0,,
서초 우면산숲길,0.0,서울 서초구 서초동 산 54-6,
여의도공원산책길,0.0,,
용산역 여행센터,0.0,서울 용산구 한강대로23길 55 3층,02-3780-5555
과천야생화자연학습장,0.0,경기 과천시 갈현동 520,
용산가족공원산책길,0.0,,
서문벚꽃길,0.0,서울 영등포구 의사당대로 1,
서울테마산책길 반포 수변길,0.0,,
국립과천과학관 천문대,0.0,경기 과천시 상하벌로 110,02-3677-1500
삼각지대구탕골목,5.0,서울 용산구 한강로1가 142-3,
용마능선,0.0,경기 과천시 관문동 산 23,
여의도 인증센터,4.4,서울 영등포구 여의도동 81-8,1577-4359
관악산 국사봉,4.5,경기 안양시 동안구 비산동,
삼막사마애삼존불,0.0,경기 안양시 만안구 삼막로 478,
스머프매직포레스트,4.6,서울 강남구 강남대로106길 29 지하 1층,02-564-1114
열정도,3.8,서울 용산구 백범로87길 55,
서울테마산책길 인재개발원 잣나무숲길,0.0,,
샛강생태공원 여의못,3.0,서울 영등포구 여의도동 39,
구용산수위관측소,5.0,서울 용산구 청암동 169,02-2199-7243
안양천벚꽃길,4.3,서울 영등포구 문래동5가 25,
반공순국용사위령탑,5.0,서울 영등포구 신길동 20-4,02-2125-0848
삼막사 동종,0.0,경기 안양시 만안구 삼막로 478,
관악산 깔딱고개,5.0,경기 과천시 갈현동 산 99,
구 경성방직사무동,5.0,서울 영등포구 영중로 15,
서울랜드,4.3,경기 과천시 광명로 181,02-509-6000
과천식물원,4.0,경기 과천시 홍촌말로 38,
만초천,0.0,서울 용산구 이촌동 393,
삼막사 남녀근석,0.0,경기 안양시 만안구 삼막로 478,
먹거리촌,4.0,서울 금천구 가산동 458-1,
APAP전망대,4.0,경기 안양시 만안구 석수동 산 24-24,
경리단길,1.9,서울 용산구 이태원동 210-5,
호암산 폭포,0.0,서울 금천구 시흥동 산 91-8,
영등포 포장마차거리,0.0,서울 영등포구 영등포동4가 123-1,
전쟁기념관 6.25상징탑,4.8,서울 용산구 이태원로 29,
남이장군사당,0.0,서울 용산구 효창원로 88-10,
별장길 시계탑,0.0,서울 금천구 시흥동 1000-141,
철산로데오거리,4.8,경기 광명시 철산동 528,
디팡,5.0,서울 영등포구 경인로 857-1,
우면산 유아숲,5.0,서울 서초구 서초동 산 36-6,
잔디마당,0.0,서울 영등포구 의사당대로 1,
구로구 참전유공자기념비,0.0,서울 구로구 구로동 50,
서울대공원 어린이동물원,4.0,경기 과천시 대공원광장로 102,02-500-7335
밤섬,4.4,서울 영등포구 여의도동 84-3,02-3780-0793
대방천,1.0,서울 영등포구 대림동,
과천육봉일명사지,4.0,경기 과천시 중앙동 산 11,
팬코라시아,0.0,서울 서초구 사평대로22길 41 성운빌딩 6층,
영등포봄꽃나들길,0.0,,
드라마하우스,0.0,서울 영등포구 문래로 164 SK리더스뷰 B동1층,
우면지,0.0,서울 서초구 서초동 1180-2,
용산가족공원 연못,4.0,서울 용산구 용산동6가 68-87,
방학호진터,5.0,서울 영등포구 신길동 171-1,
샛강생태공원 방개못,0.0,서울 영등포구 여의도동 39,
여의도농민시위현장,1.0,서울 영등포구 여의도동 2,
