name,degree,address,tel
서울어린이대공원 놀이동산,4.3,서울 광진구 능동로 216,02-450-9311
서울어린이대공원 동물원,4.3,서울 광진구 능동 18 어린이대공원 중앙부,02-450-9311
우리유황온천,3.6,서울 광진구 자양로5길 33 지하2층,02-3436-0005
서울어린이대공원,4.7,서울 광진구 능동로 216,02-450-9311
아차산등산로입구,5.0,서울 광진구 긴고랑로 213,
긴고랑계곡,4.6,서울 광진구 중곡동 143-146,02-450-1188
파라다이스 카지노워커힐,3.3,서울 광진구 워커힐로 177,1899-0700
아차산 해맞이명소,4.8,,
뚝섬전망문화콤플렉스 인증센터,4.6,서울 광진구 자양동 145-4,
아차산 입구,5.0,서울 광진구 구의동 3-16,
어린이대공원 능동숲속의무대,4.7,서울 광진구 능동로 216,
아차산어울림광장,4.0,서울 광진구 광장동 370-3,
워커힐길,4.1,서울 광진구 워커힐로 177,
건국대학교 일감호,4.9,서울 광진구 능동로 120,
양꼬치거리,2.8,서울 광진구 자양동 16-35,
건대맛의거리,3.1,서울 광진구 화양동 6-4,
서울어린이대공원 식물원,4.2,서울 광진구 광나루로 441,02-450-9311
시립서울천문대,0.0,서울 광진구 구천면로 2,02-2204-3190
건대양꼬치골목,4.8,서울 광진구 동일로18길 70,
아차산성,3.8,서울 광진구 광장동 5-11,02-450-1410
뚝섬한강공원 안내센터,5.0,서울 광진구 자양동 427-1,02-3780-0521
건대먹자골목,0.0,서울 광진구 화양동,
어린이대공원 팔각당,5.0,서울 광진구 능동로 216,02-3436-2107
건대로데오거리,4.3,서울 광진구 자양동 8-5,
어린이대공원 열린무대,3.7,서울 광진구 능동로 216,
중곡동가구거리,3.0,서울 광진구 능동,
아차산어울림정원 자생식물원,0.0,서울 광진구 광장동 369-4,
광진숲나루 전망대,4.3,서울 광진구 광장동 401-14,02-450-7784
평강폭포,0.0,서울 광진구 중곡동 176-119,
어린이대공원 음악분수,5.0,서울 광진구 능동로 216,
어린이대공원 꿈마루,0.0,서울 광진구 능동로 216,
광나루 터,0.0,서울 광진구 광장동 556,
고하송진우선생동상,5.0,서울 광진구 능동로 216,
화양동느티나무,5.0,서울 광진구 화양동,02-450-7576
아차산일대보루군,0.0,서울 광진구 광장동 381-65,
건대맛의거리,4.0,서울 광진구 동일로 114,
낙천정지,0.0,서울 광진구 자양로3가길 43,
서울어린이대공원 열대동물관,5.0,서울 광진구 능동로 216,
서울테마산책길 뚝섬숲속길,0.0,,
세종대학교 아사달연못,0.0,서울 광진구 능동로 209,
어린이대공원 무지개분수,4.0,서울 광진구 능동로 216,
어린이대공원 동물공연장,0.0,서울 광진구 능동로 216,
아차산1보루,5.0,서울 광진구 중곡동 143-127,
서울어린이대공원 무장애나눔길,0.0,,
상부암 석보살입상,0.0,서울 광진구 광장동 100,
건국대학교 황소상,2.3,서울 광진구 능동로 120,
어린이대공원 방정환동상,5.0,서울 광진구 능동로 216,
뚝섬한강공원 폐쇄형습지,0.0,서울 광진구 자양동 158-17,
어린이대공원 물놀이장,0.0,서울 광진구 광나루로 441,
서울어린이대공원 환경공원,0.0,서울 광진구 능동로 216,
건국대학교 상허유석창박사의묘,5.0,서울 광진구 능동로 120,
어린이대공원 맨발공원,0.0,서울 광진구 능동로 216,
아트원,0.0,서울 광진구 중곡동 575-11,02-452-6943
자라나는숲,5.0,서울 광진구 광장동 401-14,
을지문덕장군상,5.0,서울 광진구 천호대로 662,
어린이대공원 고객안내센터,2.0,서울 광진구 능동로 216,
어린이대공원 전래동화마을,0.0,서울 광진구 광나루로 441,
화양정터,5.0,서울 광진구 화양동 110-32,
국민교육헌장비,3.5,서울 광진구 능동로 216,
어린이대공원 생태연못,0.0,서울 광진구 광나루로 441,
아차산고구려역사길 1코스(아차산고구려역사길),0.0,,
어린이대공원 맹수마을,3.0,서울 광진구 능동로 216,
어린이대공원 환경연못,5.0,서울 광진구 능동로 216,
아차산숲나들길,0.0,,
어린이대공원 사슴마을,0.0,서울 광진구 능동로 216,
그로빈아뜰리에,5.0,서울 광진구 긴고랑로10길 32 1층,
유관순동상,5.0,서울 광진구 능동로 216,
건국대 구속사건 현장,0.0,서울 광진구 능동로 120,
진진낭,5.0,서울 광진구 자양로13다길 3,
대동우물,0.0,서울 광진구 화양동 52,
어린이대공원산책길,0.0,,
어린이대공원 캐릭터월드,0.0,서울 광진구 능동로 216,
어린이대공원 바다동물관,5.0,서울 광진구 능동로 216,
박연동상,5.0,서울 광진구 능동,
순명비유강원석물,0.0,서울 광진구 능동로 216 어린이대공원내,
어린이대공원 들새마을,0.0,서울 광진구 능동로 216,
낙천정터,0.0,서울 광진구 뚝섬로56가길 10,
어린이대공원 초식동물마을,0.0,서울 광진구 능동로 216,
고당 조만식선생 동상,0.0,서울 광진구 능동로 216,
서울어린이대공원 꼬마동물마을,0.0,서울 광진구 능동로 216,
어린이대공원 희망마루,0.0,서울 광진구 능동로 216,
어린이대공원 원숭이마을,0.0,서울 광진구 능동로 216,
서울어린이대공원 맘껏놀이터,0.0,서울 광진구 능동로 216,
서울테마산책길 팔각정길,5.0,,
긴고랑천,0.0,서울 광진구 긴고랑로 213,
cerazone,0.0,서울 광진구 광장로 47 1층,010-9104-0265
효리숲,0.0,서울 광진구 능동로 216,
어린이대공원 교양관,0.0,서울 광진구 능동로 216,
헬로스튜디오,0.0,서울 광진구 동일로24길 47,070-8808-1809
한강,0.0,서울 광진구 자양동,
성내천,4.5,서울 송파구 신천동,
아차산,4.3,경기 구리시 아천동 산 49-1,02-450-1395
RM숲,4.2,서울 송파구 잠실동 1-1,
풍납동토성,3.7,서울 송파구 풍납동 73-1,02-2147-2000
고구려대장간마을,4.0,경기 구리시 우미내길 41,031-550-2363
석촌호수 동호,4.4,서울 송파구 신천동 32,
서울숲카페거리,3.0,서울 성동구 성수동1가 668-11,
청담동명품거리,4.4,서울 강남구 압구정로 448,
광나루자전거공원 인증센터,4.8,서울 강동구 천호동 483-8,
태형숲1호,0.0,서울 송파구 신천동 1-1,
송파나루공원 삼전도비,2.7,서울 송파구 잠실동 47,
아레나광장,0.0,서울 송파구 올림픽로 300,
