name,degree,address,tel
도봉산,4.6,서울 도봉구 도봉동 산 31,02-954-2566
북한산둘레길 왕실묘역길20구간,5.0,,
북한산둘레길 18구간도봉옛길,4.0,,
북한산둘레길 방학동길19구간,5.0,,
연산군묘,3.2,서울 도봉구 방학동 산 77,
북한산둘레길 도봉옛길(무장애탐방구간),0.0,,
북한산국립공원 도봉탐방지원센터,4.8,서울 도봉구 도봉산길 73,02-954-2565
무수골계곡,5.0,서울 도봉구 도봉동 468-1,
전형필가옥,4.8,서울 도봉구 시루봉로 149-18,02-954-5757
도봉산 신선대,4.9,서울 도봉구 도봉동,
헬로애니멀,3.5,서울 도봉구 마들로 650 도봉월드상가 1층 119호,02-955-6619
양효공안맹담과 정의공주묘역,5.0,서울 도봉구 방학로 252-19,
우이천,3.7,서울 도봉구 쌍문동,
마당바위,4.5,서울 도봉구 도봉동 산 31,
창동로데오거리,5.0,서울 도봉구 창동,
도봉산 자운봉,4.9,서울 도봉구 도봉동 산 31,
도봉산둘레길,0.0,,
방학천,0.0,서울 도봉구 쌍문동 718-1,
쌍둥이전망대,4.4,서울 도봉구 도봉동 산 91-1,
방학동 은행나무,5.0,서울 도봉구 방학동 546,
둘리테마거리,0.0,서울 도봉구 쌍문동 342-4,
서울둘레길 안내센터,5.0,서울 도봉구 마들로 916 창포원 1층,070-4465-7906
연산군묘재실,0.0,서울 도봉구 방학로17길 46,
덕성여대 시반거리,0.0,서울 도봉구 쌍문동 422-7,
Y계곡,4.9,서울 도봉구 도봉동 산 31,
북한산국립공원 신선대코스,0.0,,
슈가숲,5.0,서울 도봉구 도봉산길 86,
우이천,0.0,서울 도봉구 창동,
서울미래유산 남정현가옥,0.0,서울 도봉구 도봉로109길 19-4,
북한산국립공원 우이암코스,4.0,,
전태일 기념비,5.0,서울 도봉구 도봉로129길 54,
용어천계곡,0.0,서울 도봉구 도봉동 산 50-2,
도봉산 Y계곡,5.0,서울 도봉구 도봉동 31,
에덴동산,5.0,서울 도봉구 도봉동 산 31,
서울테마산책길 둘리쌍문근린공원 산책로,0.0,,
도봉산길,0.0,서울 도봉구 도봉동 282-219,
초안산근린공원 생태연못,0.0,서울 도봉구 해등로3길 48-11,
방학천문화예술거리,0.0,서울 도봉구 방학동 726-148,
원당샘,5.0,서울 도봉구 해등로32가길 16,
도봉서원과각석군,0.0,서울 도봉구 도봉동 404,
도봉산 주봉,5.0,서울 도봉구 도봉동,
도봉산 해맞이명소,1.0,,
도봉서원,5.0,서울 도봉구 도봉동 512,
중랑천,0.0,서울 도봉구 창동,
서울명예도로 김수영길,0.0,,
전주이씨 영해군파묘역,0.0,서울 도봉구 도봉로169라길 111-10,
시루봉,0.0,서울 도봉구 방학동 산 60-3,
성비원씨묘,0.0,서울 도봉구 방학동 산 61-1,
회산군묘,0.0,서울 도봉구 방학동,
창동시민천문대,0.0,서울 도봉구 창동,02-908-0924
초안산공원,0.0,서울 도봉구 창동 산 167-5,
진주유씨문중묘,5.0,서울 도봉구 도봉동 산 54,
에픽엔터테인먼트 EPIC ENTERTAINMENT,0.0,서울 도봉구 노해로69가길 54,
차미리사길,0.0,서울 도봉구 쌍문동 437-9,
창동3사자동상,5.0,서울 도봉구 창동 303,
김근태길,3.7,서울 도봉구 창동 355,
다락원터,5.0,서울 도봉구 도봉산길 10-30,
선인봉,0.0,서울 도봉구 도봉동 산 31,
호안공 이등과 의령옹주 묘역,0.0,서울 도봉구 도봉동 산 85,
김수영시비,5.0,서울 도봉구 도봉동 511-47,
차미리사선생묘소,0.0,서울 도봉구 쌍문동 산 278-1,
만장봉,5.0,서울 도봉구 도봉동 산 31,
무수천,0.0,서울 도봉구 도봉동,
도봉구관광안내센터,0.0,서울 도봉구 도봉로 552 1층,
쌍문역사산책길,0.0,,
하랑도예공방,0.0,서울 도봉구 마들로 597,02-978-6295
호원도예공방,0.0,서울 도봉구 방학로3길 102,
