name,degree,address,tel
홍릉시험림,4.5,서울 동대문구 회기로 57,02-961-2777
배봉산,4.6,서울 동대문구 전농동 산 32-20,
청량리역광장,3.0,서울 동대문구 왕산로 214,
회기역파전골목,5.0,서울 동대문구 망우로1길 39,
영휘원,4.8,서울 동대문구 홍릉로 90,02-962-0556
용두동쭈꾸미골목,5.0,서울 동대문구 왕산로16길 16,
배봉산무장애숲길,4.7,서울 동대문구 전농동 산 32-20,
청량리통닭골목,3.7,서울 동대문구 제기동 850,
장안평제방길,5.0,서울 동대문구 장안동,
홍릉수목원길,3.6,,
배봉산답십리나들길,5.0,,
장안동맛의거리,0.0,서울 동대문구 장안동 477-3,
촬영소고개,0.0,서울 동대문구 답십리동 2-295,
지식의꽃밭,5.0,서울 동대문구 전농동 691-3,
배봉산 해맞이명소,0.0,,
정릉천,5.0,서울 동대문구 용두동,
천장산 하늘길,0.0,서울 동대문구 청량리동 207-43,
국립산림과학원 외국수목원,4.8,서울 동대문구 회기로 47,
경희대학교 교시탑,2.2,서울 동대문구 경희대로 23,
소망의벽,0.0,서울 동대문구 신설동,
정릉천,4.5,서울 동대문구 제기동,
전영택 집터,5.0,서울 동대문구 이문로21길 7,
숭인원,5.0,서울 동대문구 홍릉로 90,
청량리역 여행센터,0.0,서울 동대문구 왕산로 214,02-913-1788
한국도자기,0.0,서울 동대문구 약령중앙로 72-2,02-927-5883
동국대학교 사범대학 부속고등학교 동국천문대,0.0,서울 동대문구 장안벚꽃로 201,
보제원터,0.0,서울 동대문구 약령시로 2,
선농단 향나무,5.0,서울 동대문구 제기동 274-1,
회기동벽화골목,2.5,서울 동대문구 회기동 3-20,
선동호,1.0,서울 동대문구 경희대로 26,
서울테마산책길 배봉두메십리길,0.0,,
서울청량리역검수차고,0.0,서울 동대문구 왕산로 214,
청계천,0.0,서울 동대문구 용두동,
휘경원터,0.0,서울 동대문구 망우로18나길 20,
드라마오버더레인보우촬영지,5.0,서울 동대문구 회기로 57,
성북천,0.0,서울 동대문구 신설동,
간데메공원 다목적광장,0.0,서울 동대문구 서울시립대로2길 59,
이십사시간찬양교회,0.0,서울 동대문구 경희대로1길 8-7,070-4159-1140
서울시립대학교 하늘못,3.0,서울 동대문구 전농동 산 33,
종연방직 터,0.0,서울 동대문구 안암로 6,
세종대왕신도비,4.5,서울 동대문구 회기로 56,
물시계,5.0,서울 동대문구 회기로 56,
서울테마산책길 홍릉 두물길,0.0,,
구영릉석물,4.0,서울 동대문구 회기로 56,
하늘물터,0.0,서울 동대문구 용두동,
성북천,0.0,서울 동대문구 용두동,
수표,3.0,서울 동대문구 청량리동,
태을천황,0.0,서울 동대문구 약령시로 97,
청계8경 버들습지,4.5,서울 성동구 용답동 179,
청계천매화거리,4.2,서울 성동구 용답동 130,
청계천 청혼의벽,0.0,서울 성동구 마장동 540,
왕십리곱창거리,5.0,서울 성동구 홍익동 590,
서울도보관광코스 동대문전통마켓코스,0.0,,
왕십리광장,5.0,서울 성동구 행당동 192-3,
마장동벽화마을,5.0,서울 성동구 마장동,
서울도보관광코스 2코스(청계천),0.0,,
성북천,2.0,서울 성북구 보문동7가,
왕십리여행자거리,3.0,서울 성동구 고산자로 261-3,
고려대학교 중앙광장,4.4,서울 성북구 안암로 145,
청계천,0.0,서울 성동구 상왕십리동,
용답동로데오거리,3.5,서울 성동구 용답동 125-1,
고려대학교 민주광장,3.0,서울 성북구 안암로 145,
평화의소녀상,5.0,서울 성동구 행당동 168-168,
왕십리맛골목,5.0,서울 성동구 마조로 17,
4.18선언현장,4.2,서울 성북구 안암로 145,
베스트원벽화,0.0,서울 성북구 안암로9가길 63-2,02-929-6104
동관왕묘,3.6,서울 종로구 난계로27길 84,02-731-0535
고산자 김정호동상,5.0,서울 성동구 도선동 35-2,
서울중앙시장 쌈밥골목,5.0,서울 중구 퇴계로85길 22,
보타사 마애보살좌상,3.5,서울 성북구 개운사길 60-46,
신당동떡볶이타운,3.3,서울 중구 다산로33길 10-18,
박완서 집터,5.0,서울 성북구 보문로13바길 13-15,
청계천 애완동물거리,1.7,서울 종로구 창신동,
동망봉,5.0,서울 종로구 동망산길 150,
흥인지문,4.8,서울 종로구 종로 288,02-2148-1114
3.1운동 유적지 상춘원터,5.0,서울 종로구 종로 371,
무학봉,3.7,서울 중구 신당동 산 2-6,
박정희대통령가옥,2.7,서울 중구 다산로36가길 25,
원빈묘터,0.0,서울 성북구 안암로 145,
서울한양도성 낙산구간2코스,4.6,,
혼천시계,3.7,서울 성북구 안암로 145 고려대학교박물관,
응봉산,4.6,서울 성동구 응봉동,
안암동 삼층석탑,3.0,서울 성북구 안암로 145,
청계천,0.0,서울 성동구 사근동,
수족관거리,4.0,서울 종로구 창신동,
응봉산 팔각정,4.6,서울 성동구 금호동4가 1540,
고대박물관소장 홍진종의복,0.0,서울 성북구 안암로 145,
조지훈시비,5.0,서울 성북구 안암로 145,
서울숲카페거리,3.0,서울 성동구 성수동1가 668-11,
광희문,4.8,서울 중구 퇴계로 344,02-3369-5882
안암동 오층석탑,4.0,서울 성북구 종암로 13,
호상,0.0,서울 성북구 안암로 145,
동대문종합시장 먹거리장터,4.0,서울 종로구 종로6가 94-1,
낙산공원 제1전망광장,5.0,서울 종로구 동숭동 산 2-32,
광장시장 전골목,2.5,서울 종로구 종로4가,
성북천,4.5,서울 성북구 삼선동4가,
장충동족발거리,4.4,서울 중구 장충단로 174,
청계천헌책방거리,5.0,서울 중구 을지로6가 17 평화시장 1층,02-2275-5886
돌산마을 조망점,5.0,서울 종로구 창신동 23-785,
혜화문,4.4,서울 종로구 창경궁로 307,
박수근집터,1.5,서울 종로구 지봉로 11,
정릉천,1.0,서울 성북구 종암동,
전태일동상,5.0,서울 종로구 종로5가 411-1,
신당토기항아리집,0.0,서울 중구 퇴계로86길 47,
성동구보도블록변천사 거리,0.0,서울 성동구 용답동 224-1,
동대문패션타운,2.3,서울 중구 을지로6가,
성수동갈비골목,2.9,서울 성동구 성수동1가 668-11,
지봉선생비우당옛터,5.0,서울 종로구 창신동 9-471,
종로5가곱창골목,5.0,서울 종로구 종로5가 194-1 신진시장 먹자골목 내,
마조단 터,0.0,서울 성동구 왕십리로 222,
의릉,4.7,서울 성북구 화랑로32길 146-20,02-964-0579
송정제방,4.3,서울 성동구 송정동,
밤을 걷는 밤 7화(천장산 하늘길),5.0,,
봉갑리지석묘,0.0,서울 성북구 종암로 13 고려대학교 내,
성북천,1.0,서울 성북구 안암동2가,
홍무정운역훈,0.0,서울 성북구 안암로 145,
네팔음식거리,0.0,서울 종로구 창신동 141-4,
개운산숲나들길,3.0,,
장안벚꽃안길,5.0,서울 중랑구 면목동 727-24,
창신동족발골목,4.0,서울 종로구 종로51길 23,
오간수문지,2.5,서울 종로구 창신동 436-91,
낙산공원 제2전망광장,0.0,서울 종로구 동숭동 산 2-10,
동네골목길관광코스 15코스(숭인동),0.0,,
오봉리지석묘,0.0,서울 성북구 종암로 13,
동대문러시아거리,3.6,서울 중구 광희동1가,
서울숲 방문자센터,3.7,서울 성동구 뚝섬로 273,02-460-2905
큰매봉,3.0,서울 성동구 금호동1가 산 37-1,
보문사 대웅전 신중도,5.0,서울 성북구 보문사길 20,
응봉산 해맞이명소,4.5,,
대현산,0.0,서울 성동구 금호동1가 산 37-1,
낙산정,5.0,서울 종로구 동숭동 50-141,
이화달팽이길,5.0,서울 종로구 이화동 9-244,
한월당,0.0,서울 성북구 지봉로23길 4,
밤을 걷는 밤 15화(창신동),4.5,,
아틀리에길,4.3,서울 성동구 성수동1가,
성북천,1.0,서울 성북구 안암동1가,
천장산,4.8,서울 성북구 석관동 산 1-5,
청계천,0.0,서울 성동구 용답동,
밤을 걷는 밤 10화(응봉동),5.0,,
서울숲 느린산책의정원,5.0,서울 성동구 성수동1가 720,
서울도보관광코스 낙산성곽,0.0,,
서울명예도로 박수근길,0.0,,
동대문역사문화공원 서울성곽,3.7,서울 중구 을지로7가 143,
삼군부총무당,5.0,서울 성북구 삼선동1가 산 1-12,02-2241-2652
한양대학교 서울캠퍼스 웅사포효,0.0,서울 성동구 왕십리로 222,
동대문성곽공원 광장,0.0,서울 종로구 종로6가 70,
권진규아틀리에,5.0,서울 성북구 동소문로26마길 2-15,02-3675-3401
서울숲 거울연못,4.8,서울 성동구 성수동1가 645-2,
뚝섬유수지체육공원 정수식물원,0.0,서울 성동구 서울숲길 25,
DDP잔디언덕,5.0,서울 중구 을지로 281,
경성궤도회사터,5.0,서울 종로구 종로 286,
청계천,3.0,서울 종로구 종로5가,
천장산산책길,0.0,,
성곽마을 여행자센터,0.0,서울 성북구 삼선교로4길 89,
삼태기숲,5.0,서울 성북구 상월곡동 산 7-4,
보문사 지장보살도,0.0,서울 성북구 보문사길 20,
북바위유래비,0.0,서울 성북구 종암동 133-12,
중랑천,0.0,서울 성동구 성수동1가,
성수동카페거리,3.9,서울 성동구 성수동2가 276-5,
동대문역사문화공원 이간수문,5.0,서울 중구 을지로 281,
백범학원과김구주택 유적비,5.0,서울 성동구 금호동4가 1101,
아리랑고개,4.0,서울 성북구 정릉동,
초교터,0.0,서울 종로구 종로41길 1,
다산성곽길,4.8,서울 중구 장충동2가,
김상옥열사의상,4.9,서울 종로구 동숭동,
동활인서터,0.0,서울 성북구 동소문로 63,
인평대군집터,5.0,서울 종로구 이화장1가길 6,
장충단길,0.0,서울 중구 장충동2가 187-1,
동네골목길관광코스 14코스(창신동),0.0,,
성동송정둑길,4.0,,
중랑천,0.0,서울 성동구 송정동,
평화의소녀상,5.0,서울 성북구 동소문동2가 2-4 한성대입구 6번출구 가로공원 내,
전차차고터,5.0,서울 종로구 종로6가 289-58,
성제묘,3.5,서울 중구 동호로 385-1,
무쇠막터,5.0,서울 성동구 금호동4가 95-5,
동대문역사문화공원 LED장미정원,0.0,서울 중구 을지로7가 143,
중랑천둔치,0.0,서울 중랑구 면목동,
전농천,0.0,서울 성동구 송정동 75-4,
돈암동거리,0.0,서울 성북구 동선동1가,
북평관터,0.0,서울 종로구 율곡로 286,
동부학당 터,5.0,서울 종로구 종로6가 70,
오롯한손길,0.0,서울 성북구 동소문로 248,
작은매봉,4.0,서울 성동구 금호동4가 1540,
조양교터,0.0,서울 종로구 율곡로14길 43,
낙산성곽길,4.6,서울 종로구 창신동 638-7,
혜화동 필리핀시장,2.2,서울 종로구 혜화동 90-14,
염초청터,3.0,서울 중구 방산동 4-24,
서울숲 산책로,0.0,서울 성동구 성수동1가 678-4,
장충단비,4.0,서울 중구 동호로 257-10,
문숙공 윤관장군동상,5.0,서울 중구 을지로 227,
한국공해문제연구소 터,0.0,서울 종로구 연건동 192-1,
관성묘,3.0,서울 중구 동호로30길 2,
서울테마산책길 서울숲 공원길,0.0,,
에이원 성신여대역,0.0,서울 성북구 아리랑로 25,
홍화문,4.9,서울 종로구 창경궁로 185,
남이장군집터,5.0,서울 종로구 대학로 79-1,
서울대문리대터,5.0,서울 종로구 대학로 104,
중랑천제방 장미벚꽃길,5.0,,
해림도기,0.0,서울 종로구 종로 266 동대문 종합시장A-1087,02-2265-3885
안창호선생 흉상,5.0,서울 종로구 대학로 122,
성수대교 붕괴사고 터,5.0,서울 성동구 성수동1가 685-534,
성동올레길,0.0,서울 성동구 성수동1가,
가산터,0.0,서울 중구 청계천로 246,
응란교터,5.0,서울 종로구 대학로 103,
중랑천,0.0,서울 성동구 용답동,
창경궁,4.8,서울 종로구 창경궁로 185,02-762-4868
구 평화극장 터,0.0,서울 종로구 종로 199,
훈련원터,0.0,서울 중구 을지로 245,
구대한의원 본관,4.0,서울 종로구 대학로 101,
구공업전습소 본관,3.0,서울 종로구 대학로 86,
중랑천,0.0,서울 성동구 응봉동,
B101워크룸,0.0,서울 성동구 연무장1길 18-1 201호,
종묘,4.7,서울 종로구 종로 157,02-765-0195
두뭇개나루터,0.0,서울 성동구 금호동4가 1523-2,
이화대학로거리,0.0,서울 종로구 이화동,
오토바이거리,1.2,서울 중구 충무로5가 19-10,
을지로가구거리,1.0,서울 중구 을지로4가 188-6,
면목천,0.0,서울 중랑구 면목동 727-78,
장면가옥,5.0,서울 종로구 혜화로5길 53,
한국 유림 독립운동 파리장서비,5.0,서울 중구 필동로1길 30,
일성 이준열사 동상,4.3,서울 중구 필동로1길 30,
한위건집터,5.0,서울 종로구 연지동 5-4,
사명대사동상,3.0,서울 중구 장충동2가 197-28,
의릉 정자각,5.0,서울 성북구 화랑로32길 146-35,
서울다누림관광센터,5.0,서울 종로구 창경궁로 117 하나손해보험빌딩 1층,1670-0880
몽양 여운형 선생 서거지,5.0,서울 종로구 혜화동 120,
성수대교참사 희생자위령탑,4.5,서울 성동구 성수동1가 685-571,
서울명예도로 소나무길,0.0,,
성수관광안내소,0.0,서울 성동구 아차산로 100,02-466-2286
두산그룹발상지,0.0,서울 종로구 종로4가 15,
어유구집터,5.0,서울 종로구 창경궁로 258,
이현궁터,0.0,서울 종로구 인의동 28-9,
풀무재,0.0,서울 중구 장충동2가 173-10,
한성부동부관아터,0.0,서울 종로구 인의동 48-26,
대한조국주권수호일념비,5.0,서울 종로구 혜화동 56,
성수동가죽거리,5.0,서울 성동구 성수동2가,
동네골목길관광코스 12코스(혜화동),0.0,,
아트원,0.0,서울 광진구 중곡동 575-11,02-452-6943
어영청터,0.0,서울 종로구 창경궁로 109,
경성여자의학전문학교터,5.0,서울 종로구 창경궁로 265,
한국예술종합학교 석관동캠퍼스 음지못,5.0,서울 성북구 화랑로32길 146-37,
효성한국도자기,0.0,서울 종로구 종로 183 효성주얼리시티2층 324~327호,02-6744-4123
의릉 비각,0.0,서울 성북구 화랑로32길 146-35,
유관순열사동상,5.0,서울 중구 장충동2가 7-22,
고대생4.18피습현장,5.0,서울 종로구 예지동 187-2,
서울대학교병원 세종대왕동상,0.0,서울 종로구 대학로 103,
이한응선생비,0.0,서울 중구 필동로1길 30,
성균관,4.5,서울 종로구 성균관로 25-1,02-760-1472
황참의교터,4.0,서울 종로구 원남동 282,
다시세운광장,3.7,서울 종로구 종로3가 143-1,070-4224-9296
외솔 최현배선생기념비,3.5,서울 중구 장충동2가 산 7-24,
월곡산,4.8,서울 성북구 상월곡동 산 1-1,
밤을 걷는 밤 3화(장충동),5.0,,
서울천주교순례길 말씀의길,5.0,,
명륜당,4.4,서울 종로구 성균관로 25-1,
창경궁 옥천교,0.0,서울 종로구 창경궁로 185,
혜화동김상협가,5.0,서울 종로구 혜화로6길 63,
오동공원산책길,0.0,,
국도극장 터,5.0,서울 중구 을지로 164,
서울숲 한강 전망대,5.0,서울 성동구 성수동1가 700-1,
창경궁 대온실,3.7,서울 종로구 창경궁로 185,
종묘 공민왕신당,5.0,서울 종로구 훈정동,
그로빈아뜰리에,5.0,서울 광진구 긴고랑로10길 32 1층,
종묘 외대문,5.0,서울 종로구 종로 157,
서울도보관광코스 1코스(청계천),0.0,,
보협인석탑,0.0,서울 중구 필동로1길 30 동국대학교박물관,
창경궁 선인문,0.0,서울 종로구 창경궁로 185,
방우산장,5.0,서울 성북구 성북동 142-1,
세운옥상 (휴업중),2.6,서울 종로구 청계천로 159,02-2267-5689
창경궁 춘당지,4.6,서울 종로구 와룡동,
창경궁 명정문,0.0,서울 종로구 창경궁로 185,
창경궁 문정전,5.0,서울 종로구 창경궁로 185,
중랑천,0.0,서울 성동구 금호동4가,
정릉,4.5,서울 성북구 아리랑로19길 116,02-914-5133
비천당,5.0,서울 종로구 성균관로 25-1,
선잠단지,2.0,서울 성북구 성북동 64-1,
창경궁 관천대,0.0,서울 종로구 창경궁로 185,
김창숙선생집터,5.0,서울 종로구 창경궁로27길 66-8,
동빙고터,5.0,서울 성동구 옥수동 4,
익선동한옥거리,4.0,서울 종로구 익선동,
서울문묘와성균관,0.0,서울 종로구 성균관로 25-1,
을지로인쇄골목,4.7,서울 중구 인현동1가 38-10,
대성전,3.0,서울 종로구 성균관로 25-1,
다산팔각정,4.0,서울 중구 신당동 432-1793,
을지로노가리골목,1.2,서울 중구 을지로13길 17,
세종대학교 아사달연못,0.0,서울 광진구 능동로 209,
궁궐담장길,3.0,서울 종로구 와룡동 2-123,
유성룡집터,5.0,서울 중구 퇴계로 228,
서울어린이대공원,4.7,서울 광진구 능동로 216,02-450-9311
굴보쌈골목,4.3,서울 종로구 수표로20길 16-17,
창덕궁 돈화문,4.8,서울 종로구 율곡로 99,
중곡동가구거리,3.0,서울 광진구 능동,
돈의동갈매기살골목,3.4,서울 종로구 돈의동,
창경궁 과학의문,0.0,서울 종로구 창경궁로 185,
이상재선생동상,5.0,서울 종로구 종로 157,
자생식물학습장,4.0,서울 종로구 창경궁로 185,
조지훈집터,0.0,서울 성북구 성북로16길 11,
종묘 영녕전,5.0,서울 종로구 종로 157,02-765-1095
서울어린이대공원 놀이동산,4.3,서울 광진구 능동로 216,02-450-9311
창경궁 함양문,0.0,서울 종로구 와룡동 2-1,
서울테마산책길 성동구 매봉산 치유숲길,5.0,,
창경궁 통명전,5.0,서울 종로구 창경궁로 185,
종묘 제정,0.0,서울 종로구 종로 157,
오세창집터,0.0,서울 성북구 성북로 75-1,
진사식당,3.5,서울 종로구 성균관로 25-1,
매봉산,4.5,서울 중구 신당동 51,
종묘 망묘루,0.0,서울 종로구 종로 157,
종묘 재궁,0.0,서울 종로구 훈정동,
종묘 전사청,0.0,서울 종로구 종로 157,
좌포도청터,3.0,서울 종로구 묘동 58-2,
서울도보관광코스 창경궁~생태코스,0.0,,
중랑천장미터널,4.0,서울 중랑구 중화동 384-2,
창경궁 자경전터,0.0,서울 종로구 창경궁로 185,
창경궁 풍기대,0.0,서울 종로구 창경궁로 185,
운현궁,4.4,서울 종로구 삼일대로 464,02-766-9090
종묘 향대청,0.0,서울 종로구 종로 157,
향대정,0.0,서울 종로구 종로 157,
다이나믹메이즈 서울인사동점,4.0,서울 종로구 인사동길 12 대일빌딩 지하1층,02-2034-0600
윤이상 집터,5.0,서울 성북구 성북동 128-26,
동네골목길관광코스 13코스(명륜동),0.0,,
북촌한옥마을,4.2,서울 종로구 북촌로 53,02-2133-1372
신삼문,0.0,서울 종로구 성균관로 25-1,
인사동거리,4.2,서울 종로구 관훈동,
창경궁 함인정,5.0,서울 종로구 창경궁로 185,
창경궁 숭문당,0.0,서울 종로구 창경궁로 185,
창경궁 문정문,0.0,서울 종로구 창경궁로 185,
정전 동문,0.0,서울 종로구 종로 157,
서울어린이대공원 동물원,4.3,서울 광진구 능동 18 어린이대공원 중앙부,02-450-9311
동재,0.0,서울 종로구 성균관로 25-1,
쌈지길,4.2,서울 종로구 인사동길 44,02-736-0088
종묘 수복방,0.0,서울 종로구 종로 157,
청계천,4.5,서울 종로구 서린동 148,
인사동 문화의거리,3.8,서울 종로구 인사동10길 11-4,
뚝섬만세운동기념비,5.0,서울 성동구 성수동1가 718-2,
창덕궁 성정각,5.0,서울 종로구 율곡로 99,
경복궁,4.8,서울 종로구 사직로 161,02-3700-3900
용마산,4.3,서울 중랑구 면목동,02-2094-2344
양꼬치거리,2.8,서울 광진구 자양동 16-35,
압구정로데오거리,4.3,서울 강남구 신사동 668-33,
종묘 어재실,0.0,서울 종로구 종로 157,
서울도보관광코스 창경궁,0.0,,
광화문광장,4.2,서울 종로구 세종로 1-68,02-120
열린송현녹지광장,4.6,서울 종로구 송현동 48-9,
광화문,4.7,서울 종로구 사직로 161,02-3700-3901
창덕궁 취운정,5.0,서울 종로구 율곡로 99,
흥덕사터,0.0,서울 종로구 명륜1가 2-42,
이순신생가터,5.0,서울 중구 초동 18-5,
북한산둘레길 솔샘길4구간,3.6,,
보신각터,4.3,서울 종로구 종로 54,
성종태실비,5.0,서울 종로구 와룡동,
아차산,4.3,경기 구리시 아천동 산 49-1,02-450-1395
종묘 찬막단,0.0,서울 종로구 종로 157,
서울한양도성 남산구간 3코스,4.7,,
종묘 어정,0.0,서울 종로구 종로 157,
창경궁 양화당,0.0,서울 종로구 창경궁로 185,
덕수궁,4.8,서울 중구 세종대로 99,02-771-9951
부용정,0.0,서울 종로구 율곡로 99,
청와대 본관,3.9,서울 종로구 청와대로 1,
을지로3가 골뱅이골목,2.9,서울 중구 저동2가,
창경궁 집춘문,0.0,서울 종로구 와룡동 2-1,
창경궁 집복헌,0.0,서울 종로구 와룡동,
3.1독립운동기념터 중앙학림,0.0,서울 종로구 성균관로17길 22,
창경궁 빈양문,0.0,서울 종로구 창경궁로 185,
아차산등산로입구,5.0,서울 광진구 긴고랑로 213,
서울명예도로 88볼링길,0.0,,
창경궁 환경전,0.0,서울 종로구 창경궁로 185,
덕수궁돌담길,4.4,서울 중구 세종대로 지하 101,02-751-0734
숭례문,4.6,서울 중구 세종대로 40,02-779-8547
매봉,4.0,서울 중구 신당동 산 51,
창덕궁 대조전,0.0,서울 종로구 율곡로 99,
녹색병원동판,3.0,서울 중랑구 사가정로49길 53,
서무,0.0,서울 종로구 성균관로 25-1,
서울 한양도성 백악구간,5.0,,
만해한용운심우장,4.6,서울 성북구 성북로29길 24,
성락원,1.0,서울 성북구 선잠로2길 47,
