name,degree,address,tel
노량진컵밥거리,3.7,서울 동작구 노량진로 174,
효사정,4.8,서울 동작구 현충로 55,
사육신역사공원 사육신묘,5.0,서울 동작구 노량진로 191,
국립서울현충원 현충문,4.8,서울 동작구 현충로 210,02-813-9047
용마산,4.3,서울 동작구 대방동,
서울미래유산 김영삼사저,3.8,서울 동작구 매봉로2가길 11,
양녕대군이제묘역,4.1,서울 동작구 양녕로 167,
와우산,4.9,서울 동작구 신대방동,
이수역꼬치거리,0.0,서울 동작구 사당동 134-1,
용양봉저정,5.0,서울 동작구 노량진로32길 14-7,
서달산,3.9,서울 동작구 동작동 산 36,
서달산 수목학습원,5.0,서울 동작구 흑석동 330,
동작충효길 6코스(동작마루길),3.0,,
보라매 공원 옥만호,4.6,서울 동작구 보라매로5길 28,
실미도 사건현장,4.5,서울 동작구 노량진로 74,
흑리단길,2.6,서울 동작구 흑석동 50-91,
동작충효길 1코스(고구동산길),4.4,,
동작충효길 2코스(현충원길),3.0,,
한강수사자조혼비,4.3,서울 동작구 본동 475-1,
현충원나들길,1.0,,
동작충효길 7코스(까치산길),2.7,,
서달산 동작대,3.5,서울 동작구 상도동 49-118,
효간공이정영의묘,0.0,서울 동작구 사당동 산 44-7,02-820-1259
동작충효길 4코스(노량진길),4.0,,
평화의소녀상,4.3,서울 동작구 흑석동 4 흑석역 3번 출구 옆,
국립서울현충원 경찰충혼탑,5.0,서울 동작구 동작동 220-1,
학수약수터,4.0,서울 동작구 사당로23길 283,
국립서울현충원 현충탑,4.2,서울 동작구 현충로 210,
국립서울현충원 육탄10용사현충비,0.0,서울 동작구 동작동 228-7,
사충서원터,5.0,서울 동작구 노량진동 60-11,
집박골약수터,5.0,서울 동작구 흑석동,
중앙대학교 서울캠퍼스 청룡연못,4.3,서울 동작구 흑석로 84,
국립서울현충원 현충지,0.0,서울 동작구 동작동 193,
심훈 생가 터,5.0,서울 동작구 흑석로13길 3,
동래정씨 임당공파묘역,0.0,서울 동작구 솔밭로 83,
서달산 자락길,0.0,서울 동작구 상도동,
동작충효길 5코스(보라매길),3.0,,
보라매공원 생태연못,0.0,서울 동작구 보라매로5길 58,
임영신박사동상,0.0,서울 동작구 흑석로 84,
동작충효길 3코스(한강나들길),1.0,,
공작지,5.0,서울 동작구 동작동 290-2,
동재기나루터,4.0,서울 동작구 동작동 125-9,
장승제,5.0,서울 동작구 노량진동 310-95,
유관순열사상,5.0,서울 동작구 사당동 산 24-17,
한강방어선 전투 전사자 명비,5.0,서울 동작구 노량진로 247,
배위량박사 흉상,5.0,서울 동작구 상도로 369,
국립서울현충원 선양광장,0.0,서울 동작구 동작동 133-4,
학도의용군 무명용사탑,5.0,서울 동작구 현충로 210,
국립서울현충원 유격부대전적위령비,3.8,서울 동작구 동작동 171,
장영실동상,0.0,서울 동작구 여의대방로16길 61,
조석견과 완성군이귀정묘역,0.0,서울 동작구 흑석동 54-9,
김마리아선생동상,5.0,서울 동작구 신대방동 722,
현충천,0.0,서울 동작구 동작동 133-29,
한국철도시발지 비,2.0,서울 동작구 노량진로 151,
지장사 철불좌상,0.0,서울 동작구 현충로 174,
국립서울현충원 대한독립군무명용사탑,5.0,서울 동작구 동작동 222-4,
무후선열제단,5.0,서울 동작구 동작동 222-4,
국립서울현충원 호국종,5.0,서울 동작구 현충로 210,
학도의용병현충비,0.0,서울 동작구 동작동,
현충로,5.0,서울 동작구 동작동,
보라매공원산책길,0.0,,
중앙대학교 서울캠퍼스 의혈탑,5.0,서울 동작구 흑석로 84,
노들섬,4.7,서울 용산구 양녕로 445,02-749-4500
서울테마산책길 국사봉길,5.0,,
봉천고개,2.1,서울 관악구 봉천동 1000-4,
국사봉,4.6,서울 관악구 봉천동,
63전망대,4.6,서울 영등포구 63로 50,
밤을 걷는 밤 6화(청림동),5.0,,
한강,4.9,서울 영등포구 여의도동,
이원등상사동상,5.0,서울 용산구 양녕로 446,
밤을 걷는 밤 13화(이촌동),4.8,,
한강 인도교 폭파현장,3.2,서울 용산구 이촌동 372,
한강고수부지공원 여의광장,5.0,서울 영등포구 여의도동 57,
한강고수부지공원 수변광장,5.0,서울 영등포구 여의도동 58,
미래한강본부 이촌안내센터,0.0,서울 용산구 이촌로72길 62,02-3780-0551
새남터순교지,4.5,서울 용산구 이촌로 80-8,
서울명예도로 앙카라길,0.0,,
행운동먹자골목,5.0,서울 관악구 봉천로 487,
한강로동 땡땡거리,5.0,서울 용산구 한강로3가 40-48,
이촌청보리밭,2.5,서울 용산구 이촌동,
이랜드크루즈,3.4,서울 영등포구 여의동로 290,02-6291-6900
여의도계절광장,0.0,서울 영등포구 여의도동,
새남터,0.0,서울 용산구 이촌로 71,
신림동별빛거리,1.7,서울 관악구 신림동,
한강공원여의도지구 녹음수광장,5.0,서울 영등포구 여의도동 85,
서울명예도로 강감찬대로,5.0,,
샤로수길,3.1,서울 관악구 봉천동,
동작대교전망쉼터,2.3,서울 서초구 반포동 1333-1,
재팬타운,2.8,서울 용산구 이촌동 301-5,
용산역광장,5.0,서울 용산구 한강대로21나길 17,
숙종왕자연령군 옛묘역터,0.0,서울 영등포구 여의대방로35길 14,
관악산둘레길 애국의숲길1구간,3.8,,
반포천,5.0,서울 서초구 반포동,
김세진이재호열사동판,5.0,서울 관악구 신림동 1467-9,
청룡산,4.6,서울 관악구 봉천동 산 174-650,
허밍웨이길,5.0,,
관악산입구시계탑,4.3,서울 관악구 신림로 23,
석진숲,5.0,서울 영등포구 여의도동 85-6,1588-1204
반포한강공원 달빛광장,2.8,서울 서초구 반포동 115-5,
한국순교자103위 시성터,4.2,서울 영등포구 여의도동 2,
미당서정주의집,1.7,서울 관악구 남부순환로256나길 4,02-879-5609
반포한강공원 반포안내센터,5.0,서울 서초구 신반포로11길 40,
한강공원 해넘이전망대,1.0,서울 영등포구 여의도동 84-6,
여의서로,4.4,,
주렁주렁 타임스퀘어점,3.9,"서울 영등포구 영중로 15 4,5층",1644-2153
여의도공원 세종대왕동상,5.0,서울 영등포구 여의도동 23-11,
용산역 여행센터,0.0,서울 용산구 한강대로23길 55 3층,02-3780-5555
구용산수위관측소,5.0,서울 용산구 청암동 169,02-2199-7243
사당가구거리,2.0,서울 서초구 방배동 2287,
강감찬장군상,4.0,서울 관악구 낙성대로 77,
만초천,0.0,서울 용산구 이촌동 393,
북한산 신라진흥왕순수비,4.7,서울 용산구 서빙고로 137 국립중앙박물관,
여의도공원산책길,0.0,,
국립중앙박물관 미르폭포,5.0,서울 용산구 서빙고로 137,
피천득산책로,0.0,서울 서초구 반포동 117-11,
서래마을카페거리,0.0,서울 서초구 반포동 126,
영등포전통시장 순대골목,0.0,서울 영등포구 영등포동5가 6-1,
도림천물놀이장,0.0,서울 관악구 신림동,
관악산둘레길 사색의숲길3구간,5.0,,
샛강생태공원 버들광장,5.0,서울 영등포구 여의도동 29-1,
마포갈매기골목,4.5,서울 마포구 도화동 169-3,
남이장군사당,0.0,서울 용산구 효창원로 88-10,
방학곳지부군당,5.0,서울 영등포구 영등포로62라길 2-13,
용산가족공원산책길,0.0,,
삼각지대구탕골목,5.0,서울 용산구 한강로1가 142-3,
한강에서만난인어공주,4.5,서울 영등포구 여의도동 84-9,
여의도생태순환길,3.0,서울 영등포구 여의도동 84,
강제징용노동자상,5.0,서울 용산구 한강로3가 40-999,
열정도,3.8,서울 용산구 백범로87길 55,
샛강생태공원 오리못,3.0,서울 영등포구 여의도동 49,
샛강생태공원 여의못,3.0,서울 영등포구 여의도동 39,
산천동부군당,0.0,서울 용산구 효창원로15길 7,
반공순국용사위령탑,5.0,서울 영등포구 신길동 20-4,02-2125-0848
방배동사이길,4.0,서울 서초구 방배동 32-2,
