name,degree,address,tel
안양천,4.8,서울 금천구 독산동 770-4,
말미고개,4.3,서울 금천구 시흥대로 334,
왕벚꽃나무길,5.0,서울 금천구 가산동 614-71,
쥬라리움 금천점,3.0,서울 금천구 두산로 71 롯데빅마켓 금천점 3층,070-8657-0217
시흥계곡,5.0,서울 금천구 시흥동 산 73,02-890-2396
벚꽃십리길,3.5,서울 금천구 독산동 금천구청역 부근,
금천구청역길,5.0,서울 금천구 시흥동,
독산동맛나는거리,4.5,서울 금천구 시흥대로124길 4,02-837-1011
금천녹색광장,5.0,서울 금천구 시흥동 412-5,02-2627-1663
호암산 잣나무산림욕장,0.0,서울 금천구 시흥동 산 93-1,
가산로데오거리,3.4,서울 금천구 가산동,
시흥동 은행나무,5.0,서울 금천구 금하로 701,
순흥안씨 양도공파묘군,5.0,서울 금천구 독산로36나길 63,
먹거리촌,4.0,서울 금천구 가산동 458-1,
호암산성,5.0,서울 금천구 시흥동 산 93-8,
구로동맹파업현장,4.0,서울 금천구 가산동 127-34,
석탑,5.0,서울 금천구 시흥동 230-40,
흥선대원군 별장터,3.0,서울 금천구 탑골로3길 48,
강희맹 살던 곳,5.0,서울 금천구 독산로32나길 36,
시흥향교터,5.0,서울 금천구 금하로 745,
한우물,0.0,서울 금천구 호암로 192,
깔딱고개,5.0,서울 금천구 시흥동 산 93-1,
순흥안씨강당,5.0,서울 금천구 독산로36나길 57,
안양천,0.0,서울 금천구 가산동,
시흥천,0.0,서울 금천구 시흥동 784-21,
별장길 시계탑,0.0,서울 금천구 시흥동 1000-141,
서울둘레길 13코스 기찻길 따라 걷는 벚꽃길,0.0,,
호암산 폭포,0.0,서울 금천구 시흥동 산 91-8,
호암산나들길,0.0,,
평화의소녀상,5.0,서울 금천구 시흥대로73길 70,
서울테마산책길 호암산 능선길,0.0,,
안양천,0.0,서울 금천구 시흥동,
호암산 불로천약수터,0.0,서울 금천구 시흥동 산 6-7,
씨에스파크,0.0,서울 금천구 가산디지털1로 84,
서울둘레길 12코스 설화와 풍수와 역사를 담은 길,0.0,,
소하천,0.0,경기 광명시 소하동 1303,
키즈맘 광명소하지점,0.0,경기 광명시 소하로 97 광명이마트소하점 2층,
독산삼성산나들길,0.0,,
목골산,1.0,서울 관악구 신림동,
밤일마을 음식문화거리,4.5,경기 광명시 하안동 898,
호암산,4.8,서울 관악구 신림동,
깔깔거리,2.8,서울 구로구 구로동 1125-11,
구름산,4.8,경기 광명시 소하동 116-3,
도덕산 인공폭포 출렁다리,4.2,경기 광명시 광명동 317-80,
철산로데오거리,4.8,경기 광명시 철산동 528,
삼막사계곡,3.8,경기 안양시 만안구 석수동,
서울신림동 굴참나무,4.0,서울 관악구 난곡로35길 28-7,
관악산둘레길 사색의숲길3구간,5.0,,
가리봉연변거리,1.5,서울 구로구 가리봉동 123-37,
안터생태공원 생태숲,0.0,경기 광명시 안재로1번길 27,
안터생태공원 1단계습지,0.0,경기 광명시 안재로1번길 27,
도덕산,4.4,경기 광명시 광명동 산 137,
느티나무보호수421년,4.7,서울 관악구 신림동,
오리이원익 종택및관감당,3.0,경기 광명시 오리로347번길 5-6,
정정공강사상묘역,5.0,서울 관악구 신림동 산 107-2,
오리서원,4.0,경기 광명시 오리로 287,02-898-6306
안터생태공원 금개구리서식지,5.0,경기 광명시 안재로1번길 27,
숨은암장,3.7,경기 안양시 만안구 석수동 산 11-1,
안터생태공원 조류관찰대2,5.0,경기 광명시 안재로1번길 27,
난곡동 벽화마을,5.0,서울 관악구 신림동 709-17,
충현서원,0.0,경기 광명시 소하동,
글로앤웰,0.0,서울 구로구 디지털로29길 38 604호-12,
광명누리길,0.0,,
메타세콰이아길,0.0,경기 광명시 하안동 700-6,
안터생태공원 진입광장,0.0,경기 광명시 안재로1번길 27,
조망대,5.0,서울 관악구 신림동 산 57-13,
안터생태공원 생태통로,0.0,경기 광명시 안재로1번길 27,
구름산 둘레길,0.0,경기 광명시 소하동,
안터생태공원 3단계습지,0.0,경기 광명시 안재로1번길 27,
광명도덕산캠핑장 생태연못,3.5,경기 광명시 밤일안로42번길 69,
산장약수터,0.0,서울 관악구 신림동,
이원익 선생묘및신도비,0.0,경기 광명시 소하동 산 137-1,02-2680-6142
도림천,4.9,서울 관악구 신림동 808-1,
안터생태공원 2단계습지,0.0,경기 광명시 안재로1번길 27,
오리이원익영우,0.0,경기 광명시 오리로347번길 5-6,
