name,degree,address,tel
경춘선숲길,4.4,서울 노원구 공릉동 320-2,
불암산철쭉동산,3.7,서울 노원구 중계동 산 45,02-2116-3964
공릉산백세문,3.5,서울 노원구 공릉동,
문정왕후릉,3.3,서울 노원구 화랑로 727,
경춘선숲길 방문자센터,4.6,서울 노원구 하계동 107-2,02-3783-5977
노원문화의거리,4.8,서울 노원구 상계동 719-1,
노원불빛정원,4.4,서울 노원구 공릉동 29-4,02-2116-0548
벽운동계곡,5.0,서울 노원구 상계동 산 1-2,
당현천,4.0,서울 노원구 중계동 467-2,
서울둘레길 2코스 도시와 자연을 잇는 생태길,4.7,,
불암산 산림치유센터,5.0,서울 노원구 한글비석로12길 51-80,02-3392-4142
우이천,4.4,서울 노원구 월계동,
서울둘레길 1코스 속세를 떠나지 않은 옛사람의 길,4.4,,
수락산역먹자골목,4.5,서울 노원구 상계동,
중계동학원가,2.3,서울 노원구 중계동 391,
상계동 나들이 철쭉동산,0.0,서울 노원구 상계동 72-1,
서울둘레길 3코스 하늘을 품은 포근한 숲길,4.4,,
초안산,4.5,서울 노원구 월계동 산 6,
수락산 계곡,5.0,서울 노원구 상계동 산 42-1,
불암산둘레길전망대,4.0,서울 노원구 중계동 산 101-1,
초안산 수국동산,5.0,서울 노원구 월계로45가길 57,
덕릉고개,0.0,서울 노원구 상계동,
공릉동국수거리,2.5,서울 노원구 공릉동 572-4,
불암산더불어숲,0.0,서울 노원구 한글비석로4길 93-40,02-2289-6867
삼육대학교 제명호,3.0,서울 노원구 화랑로 815,
서울과학기술대학교 붕어방,4.7,서울 노원구 공릉로 232,
강릉명종인순왕후릉,3.8,서울 노원구 화랑로 727,
서울둘레길1코스 전망대,0.0,서울 노원구 상계동 산 145-1,
영축산,4.2,서울 노원구 월계동 산 122-11,
불암산성,5.0,서울 노원구 중계동,
수락산둘레길,0.0,,
불암산둘레길 나절길,2.0,,
서울시민천문대,0.0,서울 노원구 동일로205길 13,02-971-9232
초안산 조선시대분묘군,0.0,서울 노원구 월계동 산 8-3,
산머루산다래암장,5.0,서울 노원구 상계동 산 162-1,
귀임봉,4.0,서울 노원구 상계동 산 52-7,
불암산 폭포약수,5.0,서울 노원구 상계동 산 159-1,
덕능고개,0.0,서울 노원구 상계동 산 156-6,
불암폭포,2.7,서울 노원구 상계동 산 162-1,
이윤탁한글영비,4.5,서울 노원구 한글비석로 202,
학도암 마애관음보살좌상,0.0,서울 노원구 중계로14다길 89,
영축산순환산책로,4.5,서울 노원구 월계동 산 130-3,
불암산 해맞이명소,5.0,,
월계동각심재,4.0,서울 노원구 초안산로7길 20,
수락산디자인거리,0.0,서울 노원구 동일로242길 64,
중랑천,0.0,서울 노원구 상계동,
불암정,4.3,서울 노원구 중계동 산 101-1,
해골바위,4.3,서울 노원구 덕릉로94길 128,
학도암장,5.0,서울 노원구 덕릉로94길 128,
묵동천,0.0,서울 노원구 공릉동 60-1,
104마을갈림길,0.0,서울 노원구 중계동 산 104-40,
수락산보루,5.0,서울 노원구 상계동 산 105-30,
은행나무골,0.0,서울 노원구 중계동,
벽운유원지,5.0,서울 노원구 상계동 24-3,
당현천,0.0,서울 노원구 중계동,
당고개공원 갈림길,0.0,서울 노원구 상계동 산 152-1,
회춘약수터,0.0,서울 노원구 중계로6길 125,
앞개울골,0.0,서울 노원구 상계동,
뒷개울골,0.0,서울 노원구 중계동,
우정암장,0.0,서울 노원구 상계동 산 153-1,
노원골약수,0.0,서울 노원구 상계동,
치유명상의숲,0.0,서울 노원구 동일로250길 85,
충숙공이상길묘역,0.0,서울 노원구 하계동 산 16-1,
도예공방흙사랑,0.0,서울 노원구 노원로 540,
불암산 덕능고개,0.0,서울 노원구 상계동 산 156-6,
넓적바위,0.0,서울 노원구 중계동,
상계동철거민투쟁현장,0.0,서울 노원구 한글비석로 396,
여근석,4.3,서울 노원구 중계동 산 101-7,
강릉 정자각,0.0,서울 노원구 화랑로 727,
노원고개,0.0,서울 노원구 중계동,
평화의소녀상,5.0,서울 노원구 상계동 770-2 역사의 길,
수락샘,0.0,서울 노원구 상계동,
영신여고약수터,0.0,서울 노원구 중계동 101-7,
우당농원,0.0,서울 노원구 상계동 산 5,
웃골,0.0,서울 노원구 하계동,
그림도자기애리,0.0,서울 노원구 동일로 986 노원프레미어스엠코 101동 205A호,02-975-8583
광운대학교 비마상,0.0,서울 노원구 광운로 20,
영신바위,5.0,서울 노원구 중계동 산 101-7,
수락산삼림욕장,1.0,서울 노원구 상계동 산 42-1,
벽진이씨충숙공묘역,3.0,서울 노원구 하계동 16-1,
솔로몬광장,0.0,서울 노원구 화랑로 815,
청암약수,0.0,서울 노원구 중계동,
하루음악연습실,0.0,서울 노원구 동일로 1639-6,070-7750-3377
강릉 비각,0.0,서울 노원구 화랑로 727,
보람약수터,0.0,서울 노원구 상계동,
하림골,0.0,서울 노원구 상계동,
일자바위,0.0,서울 노원구 상계동 산 159-1,
서울테마산책길 당현천,4.8,,
노원역터,0.0,서울 노원구 노원로 444,
초안산나들길,0.0,,
수락산나들길,0.0,,
삼군부청헌당,5.0,서울 노원구 공릉동 육군사관학교,
큰말골,0.0,서울 노원구 상계동,
두들스,0.0,서울 노원구 초안산로 12,
중랑천 쌈지광장,0.0,서울 노원구 상계동 1200-1,
도예공방,0.0,서울 노원구 중계로 198,
태릉 정자각,5.0,서울 노원구 화랑로 727,
불암제3야영장샘,0.0,경기 남양주시 별내동 산 97,
정암약수,0.0,서울 노원구 상계동 26,
연령군이훤신도비,5.0,서울 노원구 공릉동 230-1 육군사관학교 내,
중랑천,0.0,서울 노원구 공릉동,
당현천,0.0,서울 노원구 상계동,
불암제1야영장샘,0.0,서울 노원구 상계동,
공대천,0.0,서울 노원구 공릉로 232,
영원암샘,0.0,서울 노원구 상계동 산 1-1,
용천약수,0.0,서울 노원구 상계동,
수락산 곰바위,0.0,서울 노원구 상계동 산 153-1,
용굴암골,0.0,서울 노원구 상계동,
옥천약수터,0.0,서울 노원구 중계동,
장군약수터,0.0,서울 노원구 상계동,
뒷개울골,0.0,서울 노원구 상계동,
태릉 비각,0.0,서울 노원구 화랑로 727,
구암약수,0.0,서울 노원구 상계동 산 1-1,
생성약수터,0.0,서울 노원구 상계동 산 173-3,
정암약수,0.0,서울 노원구 중계동,
공대천,0.0,서울 노원구 공릉동,
천병약수터,0.0,서울 노원구 중계동 산 101-1,
생성약수터,0.0,서울 노원구 상계동 산 164-21,
불암제2야영장샘,0.0,서울 노원구 중계동,
중계약수터,0.0,서울 노원구 중계동 40-5,
통일약수터,0.0,서울 노원구 상계동 산 159-1,
당현천길,0.0,,
양지약수터,0.0,서울 노원구 중계동,
큰바위샘,0.0,서울 노원구 상계동,
천정약수터,0.0,서울 노원구 중계동 40-5,
창동로데오거리,5.0,서울 도봉구 창동,
중랑천,0.0,서울 도봉구 창동,
에픽엔터테인먼트 EPIC ENTERTAINMENT,0.0,서울 도봉구 노해로69가길 54,
중랑천,0.0,서울 도봉구 방학동,
헬로애니멀,3.5,서울 도봉구 마들로 650 도봉월드상가 1층 119호,02-955-6619
김근태길,3.7,서울 도봉구 창동 355,
초안산공원,0.0,서울 도봉구 창동 산 167-5,
서울명예도로 가인김병로길,0.0,,
방학천,0.0,서울 도봉구 쌍문동 718-1,
하랑도예공방,0.0,서울 도봉구 마들로 597,02-978-6295
방학천문화예술거리,0.0,서울 도봉구 방학동 726-148,
초안산근린공원 생태연못,0.0,서울 도봉구 해등로3길 48-11,
창동3사자동상,5.0,서울 도봉구 창동 303,
전태일 기념비,5.0,서울 도봉구 도봉로129길 54,
