name,degree,address,tel
홍대패션거리,3.8,서울 마포구 서교동 348-78,02-337-7361
망리단길,2.8,서울 마포구 망원동,
평화광장,4.3,서울 마포구 월드컵로 243-48,02-300-5500
만리재,4.0,서울 마포구 아현동 393-35,
홍대걷고싶은거리,2.3,서울 마포구 서교동 348-40,
공덕시장족발골목,3.4,서울 마포구 만리재로 19,
홍대클럽거리,3.4,서울 마포구 와우산로 70,
상암문화광장,4.8,서울 마포구 성암로 255,
홍대예술의거리,3.6,서울 마포구 서교동,
최규하대통령가옥,3.8,서울 마포구 동교로15길 10,
망원정 터,5.0,서울 마포구 동교로8안길 23,
와우산,4.6,서울 마포구 와우산로30길 87,
매봉산,4.1,서울 마포구 증산로 87,
마포갈매기골목,4.5,서울 마포구 도화동 169-3,
마포전골목,2.8,서울 마포구 공덕동,
스머프 매직 포레스트 홍대점,5.0,서울 마포구 어울마당로 151-1 2층,02-338-1114
성미약수터,5.0,서울 마포구 성산동 산 11-61,
정국숲4호,4.0,서울 마포구 상암동 482-222,
마포구 하늘공원 해맞이명소,5.0,,
평화의공원 난지연못,5.0,서울 마포구 성산동,
홍대축제거리,4.3,서울 마포구 서교동 365-28,
임영웅숲,0.0,서울 마포구 상암동 482-429,
난지도,4.3,서울 마포구 상암동 478-1,
문빈 숲 1호,5.0,서울 마포구 상암동 482-233,
홍대벽화거리,3.0,서울 마포구 상수동 88-23,
홍제천,5.0,서울 마포구 성산동,
공민왕사당,5.0,서울 마포구 창전동 446-5,
도영숲,4.9,서울 마포구 상암동 482-204,
성산,4.3,서울 마포구 성산동,
빚다도예공방 홍대점,3.3,서울 마포구 와우산로 32 지하 1층,070-7533-3829
홍대땡땡거리,4.8,서울 마포구 와우산로35길 50-4,
아현동전골목,5.0,서울 마포구 아현동,
일본군관사,2.9,서울 마포구 가양대로 179,
밤을 걷는 밤 16화(합정동),4.7,,
마포음식문화거리,0.0,서울 마포구 용강동 45-15,
절두산순교성지 김대건동상,4.4,서울 마포구 합정동,
망원초록길 광장,0.0,서울 마포구 합정동 465-6,
난지도길,3.0,서울 마포구 성산동,
홍제천,3.0,서울 마포구 상암동,
하늘중앙안내소,0.0,서울 마포구 상암동 481-94,
방탄소년단 1호숲,4.1,서울 마포구 상암동 482-222,
망원 초록길,4.3,서울 마포구 망원동 218-7,
경의선광장,0.0,서울 마포구 염리동 169-12,
피카소거리,5.0,서울 마포구 와우산로 94,
용강동정구중가옥,0.0,서울 마포구 큰우물로2길 22,
코스타리카광장,3.0,서울 마포구 상암동 1178-2,
어벤져스2 촬영지(상암동 DMC 월드컵 북로),4.8,서울 마포구 상암동 1715,
노고산,4.4,서울 마포구 대흥동 산 1-30,
홀트아동복지회 동판,1.7,서울 마포구 양화로 19,
소금길,4.0,서울 마포구 염리동 9-245,
소운서원,5.0,서울 마포구 동교로 215-1,
마포관광정보센터,3.0,서울 마포구 홍익로 22,02-334-7878
하늘길 감성충전소,1.0,서울 마포구 토정로3안길 33 2층,
합마르뜨,0.0,서울 마포구 합정동 404,
공덕소담길,5.0,서울 마포구 공덕동,
서울 양화나루와 잠두봉 유적,0.0,서울 마포구 토정로 6,
창전동부군당,0.0,서울 마포구 창전동 437-3,
평화의소녀상,5.0,서울 마포구 월드컵북로11길 20 전쟁과 여성인권 박물관내,
서울명예도로 노벨길(경의선숲길 홍대입구역방면),0.0,,
하늘계단 안내소,0.0,서울 마포구 상암동 481-72,
관광경찰대 홍대임시센터,0.0,서울 마포구 잔다리로6길 29 서교치안센터 1층,02-700-6278
서강대학교 알바트로스탑,5.0,서울 마포구 백범로 35,
신민당사 터,5.0,서울 마포구 도화동 556,
세븐틴숲,5.0,서울 마포구 상암동 481-34,
포은정몽주선생상,5.0,서울 마포구 합정동,
윤아숲,3.7,서울 마포구 상암동,
봉원천,0.0,서울 마포구 신정동 145-3,
토정 이지함 동상,0.0,서울 마포구 용강동 502,
서함숲,5.0,서울 마포구 상암동 487-108,
피카소거리,0.0,서울 마포구 서교동,
홍대예술의거리 나들길,0.0,,
당인동부군당,5.0,서울 마포구 독막로12안길 25-20,
토정터,5.0,서울 마포구 토정로32길 11,
박순집의묘와묘비,0.0,서울 마포구 합정동 72-5,
문빈 숲 2호,5.0,서울 마포구 상암동 482-233,
박세채정승살던곳,5.0,서울 마포구 신수로3길 23,
노을입구안내소,0.0,서울 마포구 상암동 481-6,
도화동상점가,5.0,서울 마포구 도화길 29,02-712-6802
서강나루터,5.0,서울 마포구 토정로 126,
서울도보관광코스 한강~절두산코스,0.0,,
월드컵기념광장,0.0,서울 마포구 성산동 390-1,
공덕리 금표,0.0,서울 마포구 마포대로 109,
방탄소년단 2호숲,5.0,서울 마포구 상암동 482-222,
새터산,4.0,서울 마포구 성산동 산 37-1,
브라이트룸,5.0,서울 마포구 월드컵로25길 79 1층 안채,02-6053-4224
망봉산,0.0,서울 마포구 상암동 1763,
서울테마산책길 난지 갈대바람길,0.0,,
양화진나루터,0.0,서울 마포구 토정로 6,
문빈 숲 3호,5.0,서울 마포구 상암동 482-220,
서울테마산책길 문화비축기지 산책로,0.0,,
서활인서터,0.0,서울 마포구 마포대로 247,
손나은숲,0.0,서울 마포구 증산로 32,
상암산 DMC체험나들길,0.0,,
김익상의사 본적지터,5.0,서울 마포구 공덕동 458,
광흥창터,5.0,서울 마포구 창전동 445,
솔라스퀘어,0.0,서울 마포구 상암동 1535,
베스트원벽화,0.0,서울 마포구 새창로 52 12-205호,02-929-6104
주식회사 작은휴가,0.0,서울 마포구 서강로 111,02-2688-8170
한강,0.0,서울 마포구 상암동,
불광천,4.5,서울 서대문구 북가좌동,
104고지전적비,4.8,서울 서대문구 성산로13길 35-1,
까치고개,0.0,서울 은평구 증산동 217 (217~222 번지 일대),
화산군 이연신도비,5.0,서울 서대문구 증가로23다길 26-5,
선유도공원 시간의정원,4.3,서울 영등포구 선유로 343,
선유도공원 선유도전망대,4.8,서울 영등포구 선유로 343,
봉산 편백나무 치유의 숲,5.0,경기 고양시 덕양구 간절로 77,
응암동감자국거리,3.6,서울 은평구 응암로4길 27-2,
홍제천인공폭포,4.7,서울 서대문구 연희동 170-181,
스타광장,4.0,서울 서대문구 창천동,
용왕산,4.5,서울 양천구 목동,
증산역갈림길,0.0,서울 은평구 증산동 199-9,
장희빈우물터,3.8,서울 서대문구 연희로15길 74,
불광천,3.0,서울 은평구 응암동,
선유도 해맞이명소,5.0,,
증미산,4.9,서울 강서구 염창동,
안산벚꽃길,5.0,서울 서대문구 연희동,
봉산산책로,5.0,경기 고양시 덕양구 향동동 239-2,
강경대 열사 산화장소,5.0,서울 서대문구 거북골로 34,
반홍산,0.0,서울 은평구 증산동 산 14,
선유도 공원 수생식물원,5.0,서울 영등포구 선유로 343,
홍제천,4.2,서울 서대문구 연희동,
안산 황톳길,5.0,서울 서대문구 연희동 산 2-22,
선유도공원 온실,5.0,서울 영등포구 선유로 343,
연세대학교 백양로,4.9,서울 서대문구 연세로 50,
봉산전망대,0.0,서울 은평구 신사동 산 93-8,
선유도공원 자생습초지,5.0,서울 영등포구 양화동 56,
밤을 걷는 밤 18화(선유도공원),4.7,,
신촌이대거리,5.0,서울 서대문구 창천동,
당산역구름다리,3.3,서울 영등포구 당산동,
양화한강공원 양화안내센터,4.5,서울 영등포구 노들로 221,02-3780-0581
언더우드동상,5.0,서울 서대문구 연세로 50,
불광천수변무대,0.0,서울 은평구 응암동 610-2,
봉산 수색약수터,0.0,서울 은평구 수색동 산 21-1,
염창정,5.0,서울 강서구 염창동 산 20-6,
여의도 인증센터,4.4,서울 영등포구 여의도동 81-8,1577-4359
백련산,3.9,서울 서대문구 홍은동 산 11-123,
응암전통주거리,0.0,서울 은평구 응암동 604-11,
여의서로,4.4,,
한강,0.0,서울 영등포구 양화동,
용왕정,0.0,서울 양천구 목동 199-51,
양호거사비,3.4,서울 서대문구 거북골로 34,
서울명예도로 강경대거리,0.0,서울 서대문구 남가좌동 318-2,
연세로,4.0,서울 서대문구 창천동,
신촌 토끼굴,3.9,서울 서대문구 대신동 143-28,
이한열피격현장,5.0,서울 서대문구 연세로 50,
선유도무지개다리,0.0,서울 영등포구 양화동 32-1,
신촌피아노거리,4.7,서울 서대문구 창천동 30-16,
안양천,0.0,서울 영등포구 양화동,
용왕산 해맞이명소,5.0,,
안양천,0.0,서울 강서구 염창동,
향동천,0.0,경기 고양시 덕양구 덕은동,
백련전망대,0.0,서울 서대문구 홍은동 산 11-123,
신촌관광안내센터,0.0,서울 서대문구 신촌동 74-21,
신촌벽화,5.0,서울 서대문구 신촌로 121,02-363-2081
샤이니숲,4.2,서울 영등포구 여의도동 82-9,
안산 해맞이명소,3.0,,
안산팔각정,0.0,서울 서대문구 연희동,
용왕산나들길,0.0,,
이지신선생묘,0.0,경기 고양시 덕양구 향동동 270-4,
은부산,0.0,경기 고양시 덕양구 덕은동,
고양쌍굴,4.8,경기 고양시 덕양구 덕은동 20-1,
서문벚꽃길,0.0,서울 영등포구 의사당대로 1,
서울둘레길 14코스 안양천 옛추억길,0.0,,
안산,4.5,서울 서대문구 봉원동 산 1,
안산숲나들길,0.0,,
한강밤섬 생태경관보전지역,4.1,서울 영등포구 여의도동 84-3,
이대앞사주카페거리,0.0,서울 서대문구 대현동,
영등포수변둘레길,0.0,서울 영등포구 양평동 63-1,
동방신기숲,4.1,서울 영등포구 여의도동 82-9,
안산자락길,4.7,,
이화52번가,2.3,서울 서대문구 이화여대길 52,
은행산,0.0,경기 고양시 덕양구 덕은동,
인피니트숲,5.0,서울 영등포구 여의도동,
소녀시대숲,5.0,서울 영등포구 여의도동 82-9,
밤섬,4.4,서울 영등포구 여의도동 84-3,02-3780-0793
고은산,3.0,서울 서대문구 홍제동,
신촌대학탐방나들길,0.0,,
국회의사당 식물원,5.0,서울 영등포구 의사당대로 1,
무악동봉수대,4.6,서울 서대문구 홍제동 산 33-44,
대현동석조부도,0.0,서울 서대문구 이화여대길 52,02-3277-3675
삼거리꽃길,5.0,서울 서대문구 대현동,
수미산,3.3,서울 서대문구 홍제동 산 41-2,
평화의소녀상,5.0,서울 서대문구 대현동 60-11 대현문화공원,
남문벚꽃길,0.0,서울 영등포구 의사당대로 1,
잔디마당,0.0,서울 영등포구 의사당대로 1,
형우도기,0.0,서울 양천구 목동중앙북로8나길 29,02-3664-2300
이화여자대학교 김활란박사동상,1.0,서울 서대문구 이화여대길 52,
무악동봉수대지,5.0,서울 서대문구 봉원동 산 1,
무악산동봉수대터,4.4,서울 서대문구 홍제동 산 33-44,02-330-1121
노랑그릇도예공방,1.0,서울 양천구 목동서로 77 현대월드타워 1408호,02-2644-1152
안산천 약수터,0.0,서울 서대문구 봉원동 산 2-1,02-330-1715
여의도물빛광장,4.6,서울 영등포구 여의도동 84-9,02-120
안양천,4.9,서울 영등포구 양평동,
북한산둘레길 7구간옛성길,4.7,,
대덕산,0.0,경기 고양시 덕양구 덕은동 산 103-5,
인왕산,4.8,서울 종로구 옥인동 산 3-39,
독립문,4.6,서울 서대문구 통일로 251,
영등포산업선교회 동판,5.0,서울 영등포구 버드나루로23길 24,
이랜드크루즈,3.4,서울 영등포구 여의동로 290,02-6291-6900
철새도래지,4.3,서울 영등포구 여의도동 84-2,
서울 한양도성 인왕산구간4코스,4.8,,
서울식물원,4.4,서울 강서구 마곡동로 161,02-2104-9716
주렁주렁 타임스퀘어점,3.9,"서울 영등포구 영중로 15 4,5층",1644-2153
딜쿠샤,4.6,서울 종로구 사직로2길 17,070-4126-8853
샛강,2.0,서울 영등포구 여의도동,
돈의문박물관마을,3.9,서울 종로구 송월길 14-3,02-739-6994
한강밤섬 철새조망대,0.0,서울 영등포구 여의도동 83-6,
인왕산 수성동계곡,4.6,서울 종로구 옥인동 179-1,
에스제이세라믹스,0.0,서울 양천구 목동중앙남로14가길 34 지하 1층,02-6439-7998
한강,4.9,서울 영등포구 여의도동,
