name,degree,address,tel
북한산둘레길 7구간옛성길,4.7,,
홍제천인공폭포,4.7,서울 서대문구 연희동 170-181,
안산자락길,4.7,,
독립문,4.6,서울 서대문구 통일로 251,
안산,4.5,서울 서대문구 봉원동 산 1,
안산 황톳길,5.0,서울 서대문구 연희동 산 2-22,
불광천,4.5,서울 서대문구 북가좌동,
안산벚꽃길,5.0,서울 서대문구 연희동,
스타광장,4.0,서울 서대문구 창천동,
홍제천,3.0,서울 서대문구 홍제동,
메타세콰이어길,4.7,서울 서대문구 연희동 산 2-2,02-330-1965
104고지전적비,4.8,서울 서대문구 성산로13길 35-1,
백련산,3.9,서울 서대문구 홍은동 산 11-123,
무악동봉수대,4.6,서울 서대문구 홍제동 산 33-44,
홍지문및탕춘대성,3.6,서울 종로구 홍지동 산 4,
신촌이대거리,5.0,서울 서대문구 창천동,
이대앞사주카페거리,0.0,서울 서대문구 대현동,
산골고개,3.0,서울 서대문구 홍은동 164-44,
신촌 토끼굴,3.9,서울 서대문구 대신동 143-28,
홍심약수터,0.0,서울 서대문구 홍제동 산 1-1,
홍제천,4.2,서울 서대문구 연희동,
백련산등산로,5.0,서울 서대문구 홍은동 11,
연세대학교 백양로,4.9,서울 서대문구 연세로 50,
안산팔각정,0.0,서울 서대문구 연희동,
복주우물터,0.0,서울 서대문구 북아현로24길 39,
밤을 걷는 밤 5화(홍제천),4.5,,
언더우드동상,5.0,서울 서대문구 연세로 50,
안산 해맞이명소,3.0,,
무악산동봉수대터,4.4,서울 서대문구 홍제동 산 33-44,02-330-1121
옛성길전망대,5.0,서울 서대문구 홍은동 산 1-85,
장희빈우물터,3.8,서울 서대문구 연희로15길 74,
서대문독립공원 독립관,4.3,서울 서대문구 통일로 251,
서대문형무소역사관 지하옥사,4.7,서울 서대문구 통일로 251,
연세로,4.0,서울 서대문구 창천동,
신촌관광안내센터,0.0,서울 서대문구 신촌동 74-21,
서대문독립공원 3.1독립선언기념탑,4.8,서울 서대문구 통일로 251,
고은산,3.0,서울 서대문구 홍제동,
서재필동상,5.0,서울 서대문구 현저동,
보도각,5.0,서울 서대문구 홍지문길 1-38,
강경대 열사 산화장소,5.0,서울 서대문구 거북골로 34,
신촌피아노거리,4.7,서울 서대문구 창천동 30-16,
백련전망대,0.0,서울 서대문구 홍은동 산 11-123,
유관순동상,4.3,서울 서대문구 통일로 251,
화산군 이연신도비,5.0,서울 서대문구 증가로23다길 26-5,
서대문형무소 10옥사,3.0,서울 서대문구 통일로 251,
이한열피격현장,5.0,서울 서대문구 연세로 50,
민영환선생동상,4.6,서울 서대문구 충정로3가 414,
무악동봉수대지,5.0,서울 서대문구 봉원동 산 1,
인왕산 홍인약수터,3.0,서울 서대문구 홍제동 산 1-1,
열린홍제천길,0.0,서울 서대문구 홍제동 266-271,
홍제천,5.0,서울 서대문구 포방터길 40,
순국선열추념탑,5.0,서울 서대문구 독립문공원길 80,
수미산,3.3,서울 서대문구 홍제동 산 41-2,
안산숲나들길,0.0,,
이화52번가,2.3,서울 서대문구 이화여대길 52,
백련산나들길,0.0,,
서대문형무소 11옥사,3.0,서울 서대문구 통일로 251,
독립관 터,5.0,서울 서대문구 영천동 268-5,
홍제원터,0.0,서울 서대문구 통일로 416,
신촌대학탐방나들길,0.0,,
청수관 터,5.0,서울 서대문구 통일로 165,
안산천 약수터,0.0,서울 서대문구 봉원동 산 2-1,02-330-1715
연세대학교 이한열동산,5.0,서울 서대문구 신촌동 134,
평화의소녀상,5.0,서울 서대문구 대현동 60-11 대현문화공원,
양호거사비,3.4,서울 서대문구 거북골로 34,
의령원터,0.0,서울 서대문구 북아현로11가길 7,
서울명예도로 강경대거리,0.0,서울 서대문구 남가좌동 318-2,
서대문형무소역사관 중앙사,3.0,서울 서대문구 통일로 251,
연세대학교 독수리상,0.0,서울 서대문구 연세로 50,
인왕산 옥동약수터,4.3,서울 서대문구 홍제동 산 1-1,
신촌벽화,5.0,서울 서대문구 신촌로 121,02-363-2081
이화여자대학교 김활란박사동상,1.0,서울 서대문구 이화여대길 52,
연희궁터 서잠실터,5.0,서울 서대문구 연세로 50,
탕춘대성숲나들길,0.0,,
송재서재필선생동상,5.0,서울 서대문구 독립문공원길 80,
삼거리꽃길,5.0,서울 서대문구 대현동,
서대문독립공원 여옥사,4.0,서울 서대문구 통일로 251,
서대문형무소역사관 격벽장,4.0,서울 서대문구 통일로 251,
인왕산코트,0.0,서울 서대문구 통일로34길 46,
서대문형무소 12옥사,3.0,서울 서대문구 통일로 251,
서대문형무소역사관 9옥사,3.0,서울 서대문구 통일로 251,
초리우물터,5.0,서울 서대문구 미근동 209,
천연정터,0.0,서울 서대문구 냉천동 200-2,
영은문터,5.0,서울 서대문구 통일로 251,
한센병사,3.0,서울 서대문구 통일로 251,
토리박스,0.0,서울 서대문구 서소문로 27 충정리시온 316-317호,070-8656-2896
경기중군영터,0.0,서울 서대문구 냉천동 200-2,
서대문독립공원 순국선열추모비,5.0,서울 서대문구 독립문공원길 80,
통일로,5.0,서울 서대문구 홍은동,
서울명예도로 프랑스로,0.0,,
홍대패션거리,3.8,서울 마포구 서교동 348-78,02-337-7361
석파정,4.6,서울 종로구 부암동 산 16-1,02-395-0100
돈의문박물관마을,3.9,서울 종로구 송월길 14-3,02-739-6994
인왕산 기차바위,4.8,서울 종로구 부암동 산 22-1,
경희궁,4.6,서울 종로구 새문안로 45,02-724-0274
서촌한옥마을,4.1,서울 종로구 통의동,
무무대전망대,4.7,서울 종로구 옥인동 산 3-13,
사직단,4.7,서울 종로구 사직로 89,
창의문,4.4,서울 종로구 창의문로 118,
인왕산 인왕천약수터,0.0,서울 종로구 옥인동 산 3-14,
황학정,4.6,서울 종로구 사직로9길 15-32,02-732-1582
청와대 본관,3.9,서울 종로구 청와대로 1,
치마바위,5.0,서울 종로구 옥인동,
청와대 사랑채(휴관중),3.6,서울 종로구 효자로13길 45,02-723-0300
인왕산둘레길,4.7,,
홍대걷고싶은거리,2.3,서울 마포구 서교동 348-40,
불광천,3.0,서울 은평구 응암동,
세검정터,4.3,서울 종로구 세검정로 244,
경교장,4.8,"서울 종로구 새문안로 29 지하1,2층",02-735-2038
경복궁,4.8,서울 종로구 사직로 161,02-3700-3900
홍난파가옥,3.5,서울 종로구 송월1길 38,070-8112-7900
광화문,4.7,서울 종로구 사직로 161,02-3700-3901
스머프 매직 포레스트 홍대점,5.0,서울 마포구 어울마당로 151-1 2층,02-338-1114
돈의문터,4.9,서울 종로구 평동 112,
홍제천,5.0,서울 마포구 성산동,
단군성전,5.0,서울 종로구 인왕산로 22,
경복궁 교태전,5.0,서울 종로구 세종로 1-1,
이상의집,4.8,서울 종로구 자하문로7길 18,
백사실계곡,3.7,서울 종로구 부암동 115,02-2148-2854
세종마을 음식문화거리,3.6,서울 종로구 체부동 189-1,
윤동주하숙집터,5.0,서울 종로구 옥인길 57,02-2148-2155
성미약수터,5.0,서울 마포구 성산동 산 11-61,
기린교,5.0,서울 종로구 옥인동 179-1,
윤동주시인의언덕,3.4,서울 종로구 청운동 7-3,
광화문광장,4.2,서울 종로구 세종로 1-68,02-120
인왕산 석굴암1약수터,5.0,서울 종로구 옥인동 산 3-41,
청와대 영빈관,4.1,서울 종로구 청와대로 1,
불광천수변무대,0.0,서울 은평구 응암동 610-2,
홍건익가옥,4.0,서울 종로구 필운대로1길 14-4,02-735-1374
기차바위 능선,0.0,서울 종로구 부암동,
홍대클럽거리,3.4,서울 마포구 와우산로 70,
칠궁,4.7,서울 종로구 창의문로 12,
응암전통주거리,0.0,서울 은평구 응암동 604-11,
기생충 포토존,4.5,서울 종로구 부암동 222,
와우산,4.6,서울 마포구 와우산로30길 87,
권율장군집터,3.5,서울 종로구 행촌동 1-18,
경희궁 흥화문,5.0,서울 종로구 새문안로 55,02-724-0274
덕수궁,4.8,서울 중구 세종대로 99,02-771-9951
서울한양도성,5.0,서울 종로구 부암동 산 22-3,02-120
최규하대통령가옥,3.8,서울 마포구 동교로15길 10,
홍대예술의거리,3.6,서울 마포구 서교동,
창의문안내소,4.3,서울 종로구 청운동 산 1-1,02-730-9924
경복궁 경회루,4.9,서울 종로구 세종로 1-1,
북악산,4.3,서울 종로구 삼청동 산 2-27,02-731-0395
홍대땡땡거리,4.8,서울 마포구 와우산로35길 50-4,
칠궁뒷길,0.0,서울 종로구 청운동 89-68,
서울한양도성 숭례문구간,4.4,,
광화문광장 세종대왕동상,4.8,서울 종로구 세종로 1-68,
탕춘대성,5.0,서울 종로구 홍지동 4,
덕수궁 중명전,3.6,서울 중구 정동길 41-11,02-752-5366
덕수궁 석조전대한제국역사관,4.8,서울 중구 세종대로 99,02-771-9951
밤을 걷는 밤 1화(청운효자동~옥인동),5.0,,
경복궁 영추문,5.0,서울 종로구 사직로 161,
최규식경무관동상,4.7,서울 종로구 청운동 산 1-1,
홍대축제거리,4.3,서울 마포구 서교동 365-28,
밤을 걷는 밤 8화(행촌동 송월동),4.7,,
반계윤웅렬별장,3.8,서울 종로구 창의문로5가길 19,
청와대 영빈문,4.9,서울 종로구 궁정동 1-2,
경복궁 신무문,4.3,서울 종로구 사직로 161,
홍대벽화거리,3.0,서울 마포구 상수동 88-23,
안평대군이용집터,0.0,서울 종로구 창의문로7길 28-4,
청와대 연풍문,4.1,서울 종로구 청와대로 1,
돈의문박물관마을 안내소,3.0,서울 종로구 송월길 14-3 1층,
사직단 대문,3.0,서울 종로구 사직로 89,
서울명예도로 노벨길(경의선숲길 홍대입구역방면),0.0,,
인왕산 만수천약수터,2.3,서울 종로구 옥인동 산 3-14,
송석원 터,4.5,서울 종로구 옥인동 24-2,
소금길,4.0,서울 마포구 염리동 9-245,
덕수궁 돈덕전,4.5,서울 중구 세종대로 99,
덕수궁돌담길,4.4,서울 중구 세종대로 지하 101,02-751-0734
옥류동천,0.0,서울 종로구 옥인동 185-2,
고종의길,2.1,서울 중구 덕수궁길 83,02-771-9951
경복궁 월대,0.0,서울 종로구 세종로 1-58,
노고산,4.4,서울 마포구 대흥동 산 1-30,
인왕산 성덕사약수터,1.0,서울 종로구 부암동 산 17-1,
장미동산약수터,3.0,서울 은평구 녹번동 1-1,
청와대 대정원,4.2,서울 종로구 세종로 1,
캠벨선교사주택,0.0,서울 종로구 사직로6길 15,
피카소거리,5.0,서울 마포구 와우산로 94,
서울 둘레길 스탬프 8-2구간,0.0,서울 은평구 불광동 638-5,
백송터,5.0,서울 종로구 통의동 35-15,
석굴암약수터,0.0,서울 종로구 옥인동 3-14,
백호정,0.0,서울 종로구 누상동 산 1-34,
부암동백석동천,4.3,서울 종로구 부암동 산 25,
백사이항복집터,0.0,서울 종로구 필운대로1길 34,
4.19최초발포현장,5.0,서울 종로구 효자동 139,
필운대,2.0,서울 종로구 필운동 산 1-2,
마포관광정보센터,3.0,서울 마포구 홍익로 22,02-334-7878
공민왕사당,5.0,서울 마포구 창전동 446-5,
평화의소녀상,5.0,서울 마포구 월드컵북로11길 20 전쟁과 여성인권 박물관내,
경복궁 향원정,4.6,서울 종로구 사직로 161,
불광먹자골목,5.0,서울 은평구 통일로66길 5-1,
경희궁 숭정전,5.0,서울 종로구 새문안로 45,
까치고개,0.0,서울 은평구 증산동 217 (217~222 번지 일대),
현진건 집터,0.0,서울 종로구 부암동 323-1,
경복궁 집옥재,4.6,서울 종로구 사직로 161,
해공신익희가옥,4.5,서울 종로구 자하문로24길 49-7,02-730-7558
경복궁 흥례문,4.4,서울 종로구 사직로 161,
탕춘대성암문,4.8,서울 종로구 구기동 산 3-24,
코스타리카광장,3.0,서울 마포구 상암동 1178-2,
세종마루 정자,0.0,서울 종로구 옥인동 102-1,
진명여중고교터 표시석,5.0,서울 종로구 창성동 67,
인왕산나들길,0.0,,
백운동천,1.0,서울 종로구 청운동 6-6,
체부동홍종문가옥,5.0,서울 종로구 자하문로5길 33,
청계천,4.5,서울 종로구 서린동 148,
천경자 가옥,0.0,서울 종로구 필운대로 31-3,
경기감영터,0.0,서울 종로구 평동 234,
인왕산 부암약수터,0.0,서울 종로구 부암동 359-10,
백세청풍 각자,5.0,서울 종로구 청운동 52-111,
서울테마산책길 진경산수화길,4.0,,
홍대예술의거리 나들길,0.0,,
부암동나들길,0.0,,
서울역사박물관 전차381호,0.0,서울 종로구 새문안로 55 서울디자인지원센터 1~3층,02-724-0274
포인트제주,0.0,서울 마포구 월드컵북로4길 77 ANT빌딩,
관광경찰대 홍대임시센터,0.0,서울 마포구 잔다리로6길 29 서교치안센터 1층,02-700-6278
청운대안내소,4.0,서울 종로구 부암동 16-18,
경복궁 수정전,4.8,서울 종로구 사직로 161,
봉산산책로,5.0,경기 고양시 덕양구 향동동 239-2,
경희궁지,5.0,서울 종로구 새문안로 45,
동네골목길관광코스 7코스(교남동),0.0,,
세종대왕나신곳 표지석,0.0,서울 종로구 통인동 118-1,
자수궁터,0.0,서울 종로구 옥인동 24-2,
소의문터,5.0,서울 중구 서소문동,
반홍산,0.0,서울 은평구 증산동 산 14,
서울명예도로 노벨길(경의선숲길 연남동방면),0.0,,
정동전망대,4.1,서울 중구 덕수궁길 15 서울시청 서소문청사 1동 13층,
김정희 본가 터,5.0,서울 종로구 적선동 8-4,
김상용집터,0.0,서울 종로구 자하문로33길 22-10,
만리재,4.0,서울 마포구 아현동 393-35,
동네골목길관광코스 문학둘레길,5.0,,
덕수궁 대한문,4.3,서울 중구 세종대로 99,
봉산전망대,0.0,서울 은평구 신사동 산 93-8,
전사청,5.0,서울 종로구 사직로 89,
정종수경사 순직비,4.7,서울 종로구 청운동 산 1-1,
서울명예도로 옥류동천길,0.0,,
새터산,4.0,서울 마포구 성산동 산 37-1,
평화의소녀상,5.0,서울 중구 정동길 9 프란치스코회관 앞,
경복궁 건청궁,5.0,서울 종로구 사직로 161,
덕수궁 석어당,4.7,서울 중구 정동,02-771-9951
부암동윤응렬가,0.0,서울 종로구 창의문로5가길 19,
증산역갈림길,0.0,서울 은평구 증산동 199-9,
홍제천,3.0,서울 종로구 홍지동,
광화문광장 북측광장,5.0,서울 종로구 세종로 1-68,
소파방정환선생 생가터,5.0,서울 종로구 새문안로5가길 5,
선희궁터,5.0,서울 종로구 필운대로 103,
광화문124위 시복터,5.0,서울 종로구 세종로 1-68,
동양극장 터,5.0,서울 중구 충정로1가 68,
김종서집터,5.0,서울 중구 새문안로 16,
내자시터,0.0,서울 종로구 내자동 136,
서울중고등학교터,5.0,서울 종로구 새문안로 45,
김상헌집터,5.0,서울 종로구 자하문로26길 10,
한글가온길,5.0,서울 종로구 당주동 100-6,
청와대 춘추관,4.4,서울 종로구 청와대로 1,
정동교회 이필주 사택터,4.5,서울 중구 정동길 46,
청와대 대통령비서실,5.0,서울 종로구 청와대로 1,
궁정파출소 터,5.0,서울 종로구 자하문로28길 14,
김가진선생집터,5.0,서울 종로구 자하문로 19-1,
대한민국 임시정부 서울연통부 터,5.0,서울 중구 순화동 5-1,
피카소거리,0.0,서울 마포구 서교동,
협률사원각사터,0.0,서울 종로구 신문로1가 240,
겸재정선집터,0.0,서울 종로구 자하문로28가길 9,
백악마루,3.8,서울 종로구 부암동,
흥례문광장,0.0,서울 종로구 효자로 12,
내수사터,0.0,서울 종로구 내수동 72,
이광수의 산장,3.0,서울 종로구 홍지문1길 10,
홍예문,0.0,서울 종로구 부암동 248,
