name,degree,address,tel
용왕산,4.5,서울 양천구 목동,
목동로데오거리,2.3,서울 양천구 신정동,
지양산,3.4,서울 양천구 신월동,
신정산둘레길,5.0,서울 양천구 신정동 621,
정랑고개,0.0,서울 양천구 신정동,
용왕정,0.0,서울 양천구 목동 199-51,
용왕산 해맞이명소,5.0,,
다락골약수터,4.0,서울 양천구 신정동 521,
서서울호수공원 산책길,0.0,,
열녀문,5.0,서울 양천구 신월동 897,
갈산,5.0,서울 양천구 신정동 162-56,
신기,5.0,서울 양천구 신정동,
썬앤문 분수광장,0.0,서울 양천구 목동 919-1,
구로지양산숲나들길,0.0,,
달마을근린공원 산책길,0.0,,
지양산,3.7,서울 양천구 신월동 산 350-14,
생활도예공방,0.0,서울 양천구 목동중앙서로6길 20-5,
에스제이세라믹스,0.0,서울 양천구 목동중앙남로14가길 34 지하 1층,02-6439-7998
양천근린공원 양천광장,3.0,서울 양천구 신정동 320,
신월산,3.0,서울 양천구 신정동 836-36,
갈산 대삼각본점,0.0,서울 양천구 신정동 162-56,
능골,0.0,서울 양천구 신정동,
우렁바위,0.0,서울 양천구 중앙로17길 21,
운이아트조형연구소&갤러리,0.0,서울 양천구 중앙로57길 42,
용왕산나들길,0.0,,
형우도기,0.0,서울 양천구 목동중앙북로8나길 29,02-3664-2300
노랑그릇도예공방,1.0,서울 양천구 목동서로 77 현대월드타워 1408호,02-2644-1152
안양천,4.0,서울 구로구 신도림동,02-2620-3570
안양천벚꽃길,4.3,서울 영등포구 문래동5가 25,
안양천,4.9,서울 영등포구 양평동,
여계묘역,0.0,서울 구로구 고척동 산 6-3,
고척스카이돔 전면광장,4.5,서울 구로구 고척동 63-6,
구로역광장,3.8,서울 구로구 구로동,
도림천생태하천,1.0,서울 영등포구 문래동5가,
문래동창작촌,3.6,서울 영등포구 문래동3가 54-28,
안양천,1.0,서울 구로구 구로동,
도림천,4.0,서울 구로구 신도림동,
까치산,3.4,서울 강서구 화곡동 산 162-17,
주렁주렁 타임스퀘어점,3.9,"서울 영등포구 영중로 15 4,5층",1644-2153
고척동고인돌,0.0,서울 구로구 고척동 산 8,
문래역로데오거리,3.7,서울 영등포구 문래동3가,
고척교전망대,0.0,서울 구로구 경인로 472,
봉제산,4.7,서울 강서구 화곡동 산 42-1,
평화의소녀상,5.0,서울 구로구 구로동 603-13 북부광장,
매봉산,4.2,서울 구로구 개봉동 산 2-1,
봉제산 둘레길,5.0,서울 강서구 화곡동,
목감천,3.0,경기 광명시 철산동,
매봉산,4.5,서울 강서구 등촌동 산 89-6,
봉제산 약수터,0.0,서울 강서구 화곡동 산 1,
안양천유채꽃밭,0.0,서울 구로구 구로동,
안양천,4.5,경기 광명시 철산동,
안양천 목감천 합류부,1.0,서울 구로구 구로동 642-71,
대방천,1.0,서울 영등포구 대림동,
목감천,1.5,서울 구로구 개봉동,
서울 둘레길 스탬프 6-2구간,0.0,서울 구로구 구로동 642-76,
영등포수변둘레길,0.0,서울 영등포구 양평동 63-1,
협성계공 터,1.0,서울 영등포구 선유로43길 32,
드라마하우스,0.0,서울 영등포구 문래로 164 SK리더스뷰 B동1층,
박정희대통령흉상,1.8,서울 영등포구 문래동3가 73-1,
봉제산 봉수대,0.0,서울 강서구 화곡동 산 42-12,
영등포 포장마차거리,0.0,서울 영등포구 영등포동4가 123-1,
오류버들,0.0,서울 구로구 오류동 135-4,02-860-3411
영등포전통시장 순대골목,0.0,서울 영등포구 영등포동5가 6-1,
궁동약수터,0.0,서울 구로구 오리로22다길 104,
구 경성방직사무동,5.0,서울 영등포구 영중로 15,
구로구 참전유공자기념비,0.0,서울 구로구 구로동 50,
찬빛광장,0.0,경기 광명시 철산동 608,
덕고개,0.0,서울 구로구 개봉동,
영등포봄꽃나들길,0.0,,
서울둘레길 14코스 안양천 옛추억길,0.0,,
유림지,0.0,서울 구로구 구로동 689-7,
평화의소녀상,5.0,서울 영등포구 문래로 196,
선유로운,0.0,서울 영등포구 양평동4가 202-1,
대림차이나타운,1.8,서울 영등포구 대림동 1050-43,
안양천,0.0,서울 영등포구 양화동,
영등포역 여행센터,0.0,서울 영등포구 경인로 846 3층,02-2678-7723
선유도 해맞이명소,5.0,,
도림천,0.0,서울 구로구 구로동,
봉제산숲나들길,5.0,,
정선옹주묘역,3.0,서울 구로구 궁동 54-2,
개웅산,5.0,서울 구로구 개봉동 산 53-3,
디팡,5.0,서울 영등포구 경인로 857-1,
현충탑,5.0,경기 광명시 철산동,
이혜선도예,0.0,서울 구로구 구로중앙로7길 28,
측백나무,0.0,서울 구로구 가리봉동 13-10,
영등포산업선교회 동판,5.0,서울 영등포구 버드나루로23길 24,
궁동저수지생태공원 소광장,0.0,서울 구로구 궁동 41-2,
전의이씨부정공파,0.0,서울 구로구 경인로 143,
국기봉,5.0,서울 구로구 궁동 산 1-42,
상산전,5.0,서울 영등포구 국회대로54길 10,
개웅정,4.5,서울 구로구 개봉동 산 53-3,
박처륜의묘,3.3,경기 부천시 오정구 작동 산 7-3,
선유도공원 시간의정원,4.3,서울 영등포구 선유로 343,
개웅산숲산책길,0.0,,
신길동 벽화거리,5.0,서울 영등포구 신길로13가길 5-10,
선유도무지개다리,0.0,서울 영등포구 양화동 32-1,
맥아더사령관 한강방어선 시찰지,5.0,서울 영등포구 영등포동 582-3,
부천무릉도원수목원,4.3,경기 부천시 원미구 춘의동 382,032-320-3000
서문벚꽃길,0.0,서울 영등포구 의사당대로 1,
여의서로,4.4,,
우장산,4.6,서울 강서구 화곡동 산 60-1,
샛강,2.0,서울 영등포구 여의도동,
선유도 공원 수생식물원,5.0,서울 영등포구 선유로 343,
선유도공원 자생습초지,5.0,서울 영등포구 양화동 56,
범바위산,4.5,경기 부천시 오정구 고강동,
염창정,5.0,서울 강서구 염창동 산 20-6,
부천식물원,3.7,경기 부천시 원미구 길주로 660,
푸른수목원,4.6,서울 구로구 연동로 240,02-2686-3200
광명사거리 먹자골목,1.5,경기 광명시 광명동 158-829,
먹거리촌,4.0,서울 금천구 가산동 458-1,
여의도 인증센터,4.4,서울 영등포구 여의도동 81-8,1577-4359
가리봉연변거리,1.5,서울 구로구 가리봉동 123-37,
왕벚꽃나무길,5.0,서울 금천구 가산동 614-71,
망리단길,2.8,서울 마포구 망원동,
선유도공원 온실,5.0,서울 영등포구 선유로 343,
여의도물빛광장,4.6,서울 영등포구 여의도동 84-9,02-120
도덕산 인공폭포 출렁다리,4.2,경기 광명시 광명동 317-80,
철산로데오거리,4.8,경기 광명시 철산동 528,
국회의사당 식물원,5.0,서울 영등포구 의사당대로 1,
글로앤웰,0.0,서울 구로구 디지털로29길 38 604호-12,
진달래동산,4.5,경기 부천시 원미구 춘의동 48-21,
서울식물원,4.4,서울 강서구 마곡동로 161,02-2104-9716
방학곳지부군당,5.0,서울 영등포구 영등포로62라길 2-13,
깔깔거리,2.8,서울 구로구 구로동 1125-11,
도덕산,4.4,경기 광명시 광명동 산 137,
이랜드크루즈,3.4,서울 영등포구 여의동로 290,02-6291-6900
증미산,4.9,서울 강서구 염창동,
평화광장,4.3,서울 마포구 월드컵로 243-48,02-300-5500
도당근린공원 백만송이장미원,3.8,경기 부천시 원미구 도당동 산 25-5,032-320-3000
홍대패션거리,3.8,서울 마포구 서교동 348-78,02-337-7361
부천까치울역카페거리,3.5,경기 부천시 오정구 작동 434,
목감천,3.0,경기 광명시 광명동,
망원정 터,5.0,서울 마포구 동교로8안길 23,
샛강생태공원 버들광장,5.0,서울 영등포구 여의도동 29-1,
원미산,4.7,경기 부천시 원미구 원미동,
KBS스포츠월드 워터플레이,3.5,서울 강서구 공항대로 376,02-2600-8808
와우산,4.9,서울 동작구 신대방동,
쥬라리움 금천점,3.0,서울 금천구 두산로 71 롯데빅마켓 금천점 3층,070-8657-0217
작동산,5.0,경기 부천시 오정구 작동 산 67-2,
샤이니숲,4.2,서울 영등포구 여의도동 82-9,
정국숲4호,4.0,서울 마포구 상암동 482-222,
양천향교,4.1,서울 강서구 양천로47나길 53,02-2659-0076
우장산공원산책길,0.0,,
샛말산,1.0,경기 부천시 오정구 고강동,
수명산,4.7,서울 강서구 내발산동 748,
홍대클럽거리,3.4,서울 마포구 와우산로 70,
작동오리촌,5.0,경기 부천시 오정구 역곡로344번길 16,
천왕산,4.5,서울 구로구 항동 산 34-2,
가산로데오거리,3.4,서울 금천구 가산동,
간대미,0.0,경기 부천시 오정구 고강동,
망원초록길 광장,0.0,서울 마포구 합정동 465-6,
푸른수목원 수생식물원,5.0,서울 구로구 연동로 240,
마포구 하늘공원 해맞이명소,5.0,,
홍대예술의거리,3.6,서울 마포구 서교동,
노량진컵밥거리,3.7,서울 동작구 노량진로 174,
절두산순교성지 김대건동상,4.4,서울 마포구 합정동,
검덕산,4.8,서울 강서구 내발산동,
한국순교자103위 시성터,4.2,서울 영등포구 여의도동 2,
한강고수부지공원 여의광장,5.0,서울 영등포구 여의도동 57,
홍대걷고싶은거리,2.3,서울 마포구 서교동 348-40,
역곡천산책길,5.0,경기 부천시 소사구 괴안동 180-5,
구로동맹파업현장,4.0,서울 금천구 가산동 127-34,
홍제천,3.0,서울 마포구 상암동,
한강,4.9,서울 영등포구 여의도동,
망원 초록길,4.3,서울 마포구 망원동 218-7,
여의도공원 세종대왕동상,5.0,서울 영등포구 여의도동 23-11,
류순정의묘,4.0,서울 구로구 오리로13가길 42,
방탄소년단 1호숲,4.1,서울 마포구 상암동 482-222,
독산동맛나는거리,4.5,서울 금천구 시흥대로124길 4,02-837-1011
춘덕산,3.7,경기 부천시 원미구 역곡동,
홍대축제거리,4.3,서울 마포구 서교동 365-28,
벚꽃십리길,3.5,서울 금천구 독산동 금천구청역 부근,
마곡광장,4.8,서울 강서구 마곡중앙5로 지하 9,02-3665-2707
보라매 공원 옥만호,4.6,서울 동작구 보라매로5길 28,
부천자연생태공원 하늘호수,3.0,경기 부천시 원미구 춘의동 382,
여의도공원산책길,0.0,,
