name,degree,address,tel
북한산둘레길 9구간마실길,4.7,,
북한산국립공원 북한산성탐방지원센터,4.8,서울 은평구 대서문길 45,
북한산둘레길 8구간구름정원길,4.8,,
서울 둘레길 스탬프 8-2구간,0.0,서울 은평구 불광동 638-5,
북한산둘레길 내시묘역길10구간,4.6,,
진관사계곡,4.6,서울 은평구 진관동,
봉산,4.6,서울 은평구 구산동 산 136-13,
응암동감자국거리,3.6,서울 은평구 응암로4길 27-2,
연신내로데오거리,3.5,서울 은평구 연서로29길 6,
박석고개,5.0,서울 은평구 불광동,
삼천사계곡,4.8,서울 은평구 진관동,
봉산전망대,0.0,서울 은평구 신사동 산 93-8,
족두리봉,5.0,서울 은평구 불광동 산 42-1,
봉산산책로,5.0,경기 고양시 덕양구 향동동 239-2,
대서문,4.3,서울 은평구 진관동 251-1,
불광먹자골목,5.0,서울 은평구 통일로66길 5-1,
북한산국립공원 삼천탐방지원센터,0.0,서울 은평구 연서로54길 33,
구파발천,5.0,서울 은평구 진관동 105-1,
불광천,3.0,서울 은평구 응암동,
이말산,4.4,서울 은평구 진관동 산 74,
구파발인공폭포,4.7,서울 은평구 진관동 산 94-11 구파발역 입구,
봉산 해맞이명소,5.0,,
북한산식물원,0.0,서울 은평구 북한산로 316,02-381-5044
불광천수변무대,0.0,서울 은평구 응암동 610-2,
금성당,3.3,서울 은평구 진관동 175-836,
고양누리길1코스 북한산누리길 인증센터,0.0,서울 은평구 진관동 279,031-8075-4384
인조별서유기비,3.0,서울 은평구 역촌동 8-12,
서울테마산책길 서울둘레길 7코스 서오릉고개 녹지연결로,2.0,,
화의군이영묘역,5.0,서울 은평구 진관동 산 42,
북한산국립공원 북한산성지구,5.0,서울 은평구 진관동,02-357-9698
폭포동골,5.0,서울 은평구 진관동,
느티나무 보호수,5.0,서울 은평구 불광동 309-5,
북한산 응봉능선,0.0,서울 은평구 진관길 36,
구파발 만남의광장,5.0,서울 은평구 진관동 산 67-2,
장미동산약수터,3.0,서울 은평구 녹번동 1-1,
연서역터,0.0,서울 은평구 대조동,
한옥마을어울림터,0.0,서울 은평구 연서로48길 74,02-351-4331
까치고개,0.0,서울 은평구 증산동 217 (217~222 번지 일대),
향림폭포,4.0,서울 은평구 불광동 산 42-1,
진관사 사가독서터,0.0,서울 은평구 진관길 73,
북한산 삼천사갈림길,0.0,서울 은평구 진관동 산 32-1,
삼천사마애여래입상,0.0,서울 은평구 연서로54길 127,02-353-3004
응암전통주거리,0.0,서울 은평구 응암동 604-11,
불광사계곡,5.0,서울 은평구 불광동,
북한산 응봉,0.0,서울 은평구 진관동 산 34,
앵봉약수터,0.0,서울 은평구 갈현동 산 12-1,
흰거북바위,0.0,서울 은평구 진관동 산 66,
향림당,0.0,서울 은평구 불광동 산 42-1,
여기소 터,0.0,서울 은평구 진관동 302-3,
백초월길,4.0,서울 은평구 진관동 산 35-2,
서울테마산책길 생각숲길,5.0,,
반홍산,0.0,서울 은평구 증산동 산 14,
북한산옹기,0.0,서울 은평구 북한산로 314,
진관사 칠성각,5.0,서울 은평구 진관길 73,
영산군이전묘역,1.0,서울 은평구 진관동 산 39,
북한산 기자봉,3.5,서울 은평구 진관동 산 34,
금암기적비,5.0,서울 은평구 진관동 45-5,
보호수,3.0,서울 은평구 진관동 188,
봉산 수색약수터,0.0,서울 은평구 수색동 산 21-1,
최효원묘역,0.0,서울 은평구 진관동 산 85,
서울 둘레길 스탬프 7-3구간,0.0,서울 은평구 진관동 382-7,
진관동 석 보살입상,0.0,서울 은평구 진관동 산 100-35,
진관천,0.0,서울 은평구 진관동 290-16,
서울명예도로 이호철길,0.0,,
서울둘레길 16코스 능선따라 고즈넉함을 느끼는 산길,0.0,,
경천군이해룡사패지송금비,0.0,서울 은평구 진관동 산 25,
숙용심씨묘표,5.0,서울 은평구 진관동 126,
북한산 삼각점봉,3.5,서울 은평구 진관동 산 34,
북한산 진관봉,3.0,서울 은평구 진관동,
업라인,0.0,서울 은평구 진흥로5길 1,
웨딩바위,5.0,서울 은평구 진관동,
청담사터,0.0,서울 은평구 진관동 산 100-35,
봉산 만수약수터,0.0,서울 은평구 신사동 산 93-16,
북한산 샘터,0.0,서울 은평구 불광동 산 42-1,
봉산 만수약수터,0.0,서울 은평구 신사동 산 93-16,
서울명예도로 정지용길,0.0,,
매봉,0.0,서울 은평구 진관동 산 34,
서울둘레길 17코스 하늘과 맞닿은 길,0.0,,
북한산 선림봉,4.0,서울 은평구 불광동,
서오릉 앵봉약수터,0.0,서울 은평구 갈현동 산 12-1,
증산역갈림길,0.0,서울 은평구 증산동 199-9,
6.25 피학살현장위령비,0.0,서울 은평구 불광동 247,
서위렴2세 전사기념비,0.0,서울 은평구 은평로11길 10,
서오릉 탑골약수터,0.0,서울 은평구 진관동 산 100-61,
비산약수터,0.0,서울 은평구 진관동 산 34,
물푸레골천,0.0,서울 은평구 진관동,
서오릉 앵봉약수터,0.0,서울 은평구 갈현동 산 12-1,
서오릉 탑골약수터,0.0,서울 은평구 진관동 산 62,
진관공원나들길,0.0,,
이한도예,0.0,서울 은평구 대서문길 36,
봉산 편백나무 치유의 숲,5.0,경기 고양시 덕양구 간절로 77,
인왕산,4.8,서울 종로구 옥인동 산 3-39,
서오릉,4.5,경기 고양시 덕양구 서오릉로 334-32,02-359-0090
안산 황톳길,5.0,서울 서대문구 연희동 산 2-22,
세검정터,4.3,서울 종로구 세검정로 244,
안산벚꽃길,5.0,서울 서대문구 연희동,
홍지문및탕춘대성,3.6,서울 종로구 홍지동 산 4,
고은산,3.0,서울 서대문구 홍제동,
안산,4.5,서울 서대문구 봉원동 산 1,
백사실계곡,3.7,서울 종로구 부암동 115,02-2148-2854
불광천,4.5,서울 서대문구 북가좌동,
안산자락길,4.7,,
메타세콰이어길,4.7,서울 서대문구 연희동 산 2-2,02-330-1965
수미산,3.3,서울 서대문구 홍제동 산 41-2,
인왕산 숲속쉼터,4.3,서울 종로구 청운동 산 4-36,
창의문,4.4,서울 종로구 창의문로 118,
밤을 걷는 밤 5화(홍제천),4.5,,
보도각,5.0,서울 서대문구 홍지문길 1-38,
인왕산정상,5.0,서울 종로구 옥인동,
북한산국립공원 구기탐방지원센터,0.0,서울 종로구 비봉2길 90,02-379-7043
북한산둘레길 6구간평창마을길,4.0,,
북한산국립공원 비봉코스,0.0,,
무악동봉수대,4.6,서울 서대문구 홍제동 산 33-44,
홍제천,4.2,서울 서대문구 연희동,
홍심약수터,0.0,서울 서대문구 홍제동 산 1-1,
향로봉,5.0,서울 종로구 구기동,
석파정별당,4.0,서울 종로구 자하문로 309,
탕춘대성,5.0,서울 종로구 홍지동 4,
인왕산 기차바위,4.8,서울 종로구 부암동 산 22-1,
기생충 포토존,4.5,서울 종로구 부암동 222,
부암동백석동천,4.3,서울 종로구 부암동 산 25,
비봉,5.0,서울 종로구 구기동 산 3-1,
홍제원터,0.0,서울 서대문구 통일로 416,
안산 해맞이명소,3.0,,
강경대 열사 산화장소,5.0,서울 서대문구 거북골로 34,
윤동주시인의언덕,3.4,서울 종로구 청운동 7-3,
앵봉산,4.4,경기 고양시 덕양구 용두동,
무악산동봉수대터,4.4,서울 서대문구 홍제동 산 33-44,02-330-1121
안산팔각정,0.0,서울 서대문구 연희동,
창의문안내소,4.3,서울 종로구 청운동 산 1-1,02-730-9924
인왕산 수성동계곡,4.6,서울 종로구 옥인동 179-1,
인왕산 범바위,4.8,서울 종로구 누상동 산 1-29,
양호거사비,3.4,서울 서대문구 거북골로 34,
탕춘대터,0.0,서울 종로구 신영동 128-1,
탕춘대성숲나들길,0.0,,
안평대군이용집터,0.0,서울 종로구 창의문로7길 28-4,
무계동천,0.0,서울 종로구 부암동 321-2,02-795-2316
서울명예도로 강경대거리,0.0,서울 서대문구 남가좌동 318-2,
화산군 이연신도비,5.0,서울 서대문구 증가로23다길 26-5,
이광수의 산장,3.0,서울 종로구 홍지문1길 10,
홍제천,3.0,서울 종로구 홍지동,
서울한양도성,5.0,서울 종로구 부암동 산 22-3,02-120
장희빈우물터,3.8,서울 서대문구 연희로15길 74,
향동천,5.0,경기 고양시 덕양구 향동동,
반계윤웅렬별장,3.8,서울 종로구 창의문로5가길 19,
서오릉 숙종인현왕후릉,4.0,경기 고양시 덕양구 용두동 475-94,
북한산 진흥왕 순수비지,3.0,서울 종로구 구기동 산 3-1,
무무대전망대,4.7,서울 종로구 옥인동 산 3-13,
치마바위,5.0,서울 종로구 옥인동,
인왕산 홍인약수터,3.0,서울 서대문구 홍제동 산 1-1,
인왕산 옥동약수터,4.3,서울 서대문구 홍제동 산 1-1,
인왕산 선바위,4.6,서울 종로구 무악동 산 3-12,
윤임의묘,0.0,경기 고양시 덕양구 향동동 239-7,
조지서터,0.0,서울 종로구 신영동 124-1,
인왕정,3.0,서울 종로구 무악동 산 3-4,
밤을 걷는 밤 1화(청운효자동~옥인동),5.0,,
