name,degree,address,tel
천호동로데오거리,4.3,서울 강동구 천호동,
서울암사동유적,4.7,서울 강동구 올림픽로 875,02-3425-6520
광진교8번가,4.8,서울 강동구 구천면로 77,02-476-0722
광나루자전거공원 인증센터,4.8,서울 강동구 천호동 483-8,
강풀만화거리,2.4,서울 강동구 성내동,
일자산,4.2,서울 강동구 둔촌동 산 11-7,
천호문구완구거리,4.0,서울 강동구 천호동 456-16,
천호공구거리,1.8,서울 강동구 천호동 457-118,
자전거거리,4.5,서울 강동구 천호동,
주꾸미골목,4.8,서울 강동구 성내동,
고덕천,5.0,서울 강동구 상일동,
서울둘레길 6코스 한강을 따라 펼쳐지는 역사길,4.3,,
암사동선사주거지 움집,5.0,서울 강동구 올림픽로 875,
고덕산,5.0,서울 강동구 고덕동 산 93-9,
구암서원터,3.7,서울 강동구 암사동 산 1-2,
고덕수변생태공원 입구,0.0,서울 강동구 고덕동 365-15,
암사고개,4.4,서울 강동구 암사동 산 1-1,
천호동장미마을,0.0,서울 강동구 천호동 461-158,
광나루안내센터,0.0,서울 강동구 암사동 637-6,
명리단길,2.1,서울 강동구 명일동 312-4,
성림식목원,2.0,서울 강동구 상일동 463-5,02-427-2414
천지식물원,0.0,서울 강동구 둔촌동 576-7,
냉면거리,0.0,서울 강동구 천호동,
강동구청 열린뜰광장,5.0,서울 강동구 성내로 25,
상일리 만세광장,5.0,서울 강동구 상일동 511,
두산저수지,2.0,서울 강동구 길동 31-2,
강동그린웨이 걷기대회코스,5.0,,
고덕천,5.0,서울 강동구 고덕동,
서울명예도로 천호자전거거리,0.0,,
고덕산산책길,0.0,,
예그리나도예공방,0.0,서울 강동구 동남로81길 54,
광주이씨 광릉부원군파묘역,3.0,서울 강동구 암사동 산 12-4,
광나루유원지,2.0,서울 강동구 암사동 624-1,
매봉,0.0,서울 강동구 암사동 산 7-5,
둔촌동자연습지,0.0,서울 강동구 둔촌동 211,
광나루자전거공원 레일바이크,0.0,서울 강동구 천호동 481-11,
문희공 유창묘역,0.0,서울 강동구 상일동 190,
강동평화의소녀상,5.0,서울 강동구 성내로 25,
아펜젤러 동상,5.0,서울 강동구 고덕로 227,
길동자연생태공원 저수지지구,0.0,서울 강동구 길동 3,
서울 둘레길 스탬프 3-2구간,0.0,서울 강동구 상일동 147,
망월천,0.0,서울 강동구 강일동,
영탁1호숲,0.0,서울 강동구 천호동 481-9,
고덕천,0.0,서울 강동구 고덕동,
영림관광농업,0.0,서울 강동구 강동대로 341,
해공신익희선생동상,5.0,서울 강동구 천호동 448-49,
승상산,0.0,서울 강동구 길동 산 10,
하니사랑길,5.0,서울 강동구 성내동 477-1,
서울명예도로 주꾸미골목,0.0,,
서울테마산책길 일자산 치유의 숲길,4.5,,
서울명예도로 로데오거리,0.0,,
다온이즈,0.0,서울 강동구 진황도로49길 41,010-4911-0733
선사주민협동조합,0.0,서울 강동구 고덕로10길 60,
둔촌동 생태경관보전지역,0.0,서울 강동구 둔촌동 212,
서울명예도로 윌로비로,0.0,,
서울명예도로 하니희망길,0.0,,
서울테마산책길 고덕 자갈길,0.0,,
도담,0.0,서울 강동구 상암로 305,
친환경아트홀토화,0.0,서울 강동구 명일로 273,1800-3318
나전칠기장,0.0,서울 강동구 성내동 565,
바위절터,0.0,서울 강동구 암사동 1-7,
고지봉,0.0,서울 강동구 고덕동 93-8,
응봉,0.0,서울 강동구 암사동 산 12-1,
새우고개,0.0,서울 강동구 둔촌동,
고덕생태탐방로,0.0,서울 강동구 고덕동 374-1,
송월요,0.0,서울 강동구 올림픽로 664 대우한강베네시티 101동 819호,02-484-7118
한강,0.0,서울 강동구 암사동,
서울명예도로 문방무리길,0.0,,
일자산숲나들길,0.0,,
서울명예도로 하니사랑길,0.0,,
서울명예도로 암사선사유적로,0.0,,
일자산 둔굴,0.0,서울 강동구 둔촌동 산 18-18,
서울둘레길 7코스 도심 속에서 만나는 작은 숲길,4.1,,
일자산산책로,3.0,경기 하남시 감북동,
일자산 해맞이명소,0.0,,
