name,degree,address,tel
덕수궁,4.8,서울 중구 세종대로 99,02-771-9951
남산골한옥마을,4.4,서울 중구 퇴계로34길 28,02-6358-5533
숭례문,4.6,서울 중구 세종대로 40,02-779-8547
남산케이블카,3.3,서울 중구 소파로 83,02-753-2403
명동거리,3.5,서울 중구 명동2가,
덕수궁돌담길,4.4,서울 중구 세종대로 지하 101,02-751-0734
신당동떡볶이타운,3.3,서울 중구 다산로33길 10-18,
남산둘레길,4.8,서울 중구 회현동1가,
남대문갈치조림골목,3.7,서울 중구 남대문시장길 16-17,
서울한양도성 남산구간 3코스,4.7,,
백범광장,4.8,서울 중구 회현동1가 100-115,
환구단 황궁우,4.2,서울 중구 소공동 87-14,1600-0064
남산케이블카 상부승강장,2.3,서울 중구 남산공원길 125-72,
다산성곽길,4.8,서울 중구 장충동2가,
광희문,4.8,서울 중구 퇴계로 344,02-3369-5882
덕수궁 대한문,4.3,서울 중구 세종대로 99,
남산팔각정,4.4,서울 중구 예장동 8-1,
장충동족발거리,4.4,서울 중구 장충단로 174,
남산돈가스거리,1.0,서울 중구 예장동 8-189,
남산벚꽃길,4.6,서울 중구 장충동2가,
남대문칼국수골목,2.2,서울 중구 남대문시장4길 42-1,
서울한양도성 흥인지문구간,4.4,,
정동전망대,4.1,서울 중구 덕수궁길 15 서울시청 서소문청사 1동 13층,
덕수궁 석조전대한제국역사관,4.8,서울 중구 세종대로 99,02-771-9951
을지로노가리골목,1.2,서울 중구 을지로13길 17,
서울한양도성 숭례문구간,4.4,,
매봉산,4.5,서울 중구 신당동 51,
을지로3가 골뱅이골목,2.9,서울 중구 저동2가,
몽골타운,4.9,서울 중구 을지로44길 12 뉴금호타워 902호,
남산산책로B코스,5.0,서울 중구 회현동1가 산 1-2,
덕수궁 중명전,3.6,서울 중구 정동길 41-11,02-752-5366
남산둘레길전망대,5.0,서울 중구 장충동2가 산 14-21,
청계천 베를린광장,4.5,서울 중구 장교동 1-7,
청계천헌책방거리,5.0,서울 중구 을지로6가 17 평화시장 1층,02-2275-5886
박정희대통령가옥,2.6,서울 중구 다산로36가길 25,
