name,degree,address,tel
서래섬,4.6,서울 서초구 반포동 137-41 한강둔치반포지구,02-3780-0541
서울 헌릉과 인릉,4.1,서울 서초구 헌인릉길 36-10,02-445-0347
방배동카페골목,2.5,서울 서초구 방배동 767-27,
반포한강공원 달빛광장,2.8,서울 서초구 반포동 115-5,
양재천카페거리,3.6,서울 서초구 양재천로 103-2,
우면산,3.6,서울 서초구 우면동 산 36,02-2155-6860
서래마을카페거리,0.0,서울 서초구 반포동 126,
옥녀봉,4.3,서울 서초구 원지동,
헌릉,4.3,서울 서초구 헌인릉길 36-10,02-445-0347
구룡산,4.0,서울 서초구 염곡동,02-2155-6860
청권사,3.3,서울 서초구 효령로 135,02-584-3121
동작대교전망쉼터,2.3,서울 서초구 반포동 1333-1,
양재천산책길,5.0,,
반포천,5.0,서울 서초구 반포동,
우면산 소망탑,4.9,서울 서초구 우면동,
허밍웨이길,5.0,,
남태령고개,3.7,서울 서초구 방배동 산 184,02-3419-7330
서리풀 악기거리,5.0,서울 서초구 서초동 1464-34,
반포한강공원 반포안내센터,5.0,서울 서초구 신반포로11길 40,
양재천,4.3,서울 서초구 양재동 261-23,
방배동먹자골목,1.0,서울 서초구 방배동,
효령대군이보묘역,4.8,서울 서초구 효령로 135,
신세계백화점 파미에스트리트,3.3,서울 서초구 신반포로 176,
신사동간장게장골목,1.7,서울 서초구 신반포로47길 107,
우면산둘레길,4.5,,
서울둘레길 안내센터양재,0.0,서울 서초구 매헌로 99,070-4465-7905
서리풀푸드트럭존,4.7,서울 서초구 서초동 1318-7,
여의천,2.0,서울 서초구 양재동,
매헌시민의숲 삼풍참사위령탑,4.2,서울 서초구 양재동 227-3,
서초여행자지원센터,0.0,서울 서초구 서초동 1318-7,1800-9008
야생화농장,0.0,서울 서초구 헌인릉길 7,02-451-0072
피천득산책로,0.0,서울 서초구 반포동 117-11,
지민숲,5.0,서울 서초구 잠원동 147-1,
인릉산,4.1,서울 서초구 내곡동,
우면산 해맞이명소,3.0,,
우면산 입구,4.0,서울 서초구 방배동,
