name,degree,address,tel
응봉산,4.6,서울 성동구 응봉동,
성수동카페거리,3.9,서울 성동구 성수동2가 276-5,
응봉산 팔각정,4.6,서울 성동구 금호동4가 1540,
서울숲카페거리,3.0,서울 성동구 성수동1가 668-11,
청계천매화거리,4.2,서울 성동구 용답동 130,
성수동수제화거리,4.3,서울 성동구 성수동2가 289-30,
송정제방,4.3,서울 성동구 송정동,
서울숲 곤충식물원,4.3,서울 성동구 성수동1가 685-715,
서울숲 방문자센터,3.7,서울 성동구 뚝섬로 273,02-460-2905
서울숲 한강 전망대,5.0,서울 성동구 성수동1가 700-1,
왕십리곱창거리,5.0,서울 성동구 홍익동 590,
왕십리광장,5.0,서울 성동구 행당동 192-3,
성수동갈비골목,2.9,서울 성동구 성수동1가 668-11,
뚝섬한강공원 능소화군락지,0.0,서울 성동구 성수동2가 623,
서울숲 생태숲,5.0,서울 성동구 성수동1가 699-2,
용답동로데오거리,3.5,서울 성동구 용답동 125-1,
청계8경 버들습지,4.5,서울 성동구 용답동 179,
응봉산 해맞이명소,4.5,,
서울숲 거울연못,4.8,서울 성동구 성수동1가 645-2,
서울숲 느린산책의정원,5.0,서울 성동구 성수동1가 720,
성수대교참사 희생자위령탑,4.5,서울 성동구 성수동1가 685-571,
서울숲공원산책길,0.0,,
아틀리에길,4.3,서울 성동구 성수동1가,
제이홉숲,5.0,서울 성동구 성수동1가 720,
마장동벽화마을,5.0,서울 성동구 마장동,
왕십리맛골목,5.0,서울 성동구 마조로 17,
서울숲 은행나무길,4.8,서울 성동구 뚝섬로 273,
서울숲 은행나무숲,4.3,서울 성동구 성수동1가 678-4,
청계천 청혼의벽,0.0,서울 성동구 마장동 540,
서울숲남산나들길,5.0,,
밤을 걷는 밤 10화(응봉동),5.0,,
매봉,5.0,서울 성동구 옥수동,
백범학원과김구주택 유적비,5.0,서울 성동구 금호동4가 1101,
대현산,0.0,서울 성동구 금호동1가 산 37-1,
뚝섬유수지체육공원 정수식물원,0.0,서울 성동구 서울숲길 25,
큰매봉,3.0,서울 성동구 금호동1가 산 37-1,
전농천,0.0,서울 성동구 용답동 182,
서울테마산책길 성동구 매봉산 치유숲길,5.0,,
성동송정둑길,4.0,,
두뭇개나루터,0.0,서울 성동구 금호동4가 1523-2,
왕십리여행자거리,3.0,서울 성동구 고산자로 261-3,
뚝섬유수지,0.0,서울 성동구 성수동1가,
평화의소녀상,5.0,서울 성동구 행당동 168-168,
독서당터,0.0,서울 성동구 독서당로 191,
동빙고터,5.0,서울 성동구 옥수동 4,
성수대교 붕괴사고 터,5.0,서울 성동구 성수동1가 685-534,
성수동가죽거리,5.0,서울 성동구 성수동2가,
무쇠막터,5.0,서울 성동구 금호동4가 95-5,
뚝섬만세운동기념비,5.0,서울 성동구 성수동1가 718-2,
서울숲 산책로,0.0,서울 성동구 성수동1가 678-4,
서울도보관광코스 2코스(청계천),0.0,,
작은매봉,4.0,서울 성동구 금호동4가 1540,
청계천,0.0,서울 성동구 상왕십리동,
서울테마산책길 서울숲 공원길,0.0,,
성동올레길,0.0,서울 성동구 성수동1가,
중랑천,0.0,서울 성동구 송정동,
전농천,0.0,서울 성동구 송정동 75-4,
B101워크룸,0.0,서울 성동구 연무장1길 18-1 201호,
마조단 터,0.0,서울 성동구 왕십리로 222,
중랑천,0.0,서울 성동구 성수동1가,
성동구보도블록변천사 거리,0.0,서울 성동구 용답동 224-1,
한강,0.0,서울 성동구 성수동1가,
고산자 김정호동상,5.0,서울 성동구 도선동 35-2,
입석포 터,0.0,서울 성동구 금호동4가 1540,
쌍호정터,0.0,서울 성동구 독서당로 218,
성수관광안내소,0.0,서울 성동구 아차산로 100,02-466-2286
청계천,0.0,서울 성동구 사근동,
서울도보관광코스 동대문전통마켓코스,0.0,,
청계천,0.0,서울 성동구 용답동,
한양대학교 서울캠퍼스 웅사포효,0.0,서울 성동구 왕십리로 222,
중랑천,0.0,서울 성동구 응봉동,
중랑천,0.0,서울 성동구 금호동4가,
중랑천,0.0,서울 성동구 용답동,
정릉천,5.0,서울 동대문구 용두동,
무학봉,3.7,서울 중구 신당동 산 2-6,
청계천,0.0,서울 동대문구 용두동,
