name,degree,address,tel
북한산둘레길 솔샘길4구간,3.6,,
북한산둘레길 명상길5구간,4.5,,
서울한양도성 낙산구간2코스,4.6,,
의릉,4.7,서울 성북구 화랑로32길 146-20,02-964-0579
삼청각 유하정,3.3,서울 성북구 성북동 330-230,02-765-3700
미아리고개,4.0,서울 성북구 돈암동,
정릉,4.5,서울 성북구 아리랑로19길 116,02-914-5133
만해한용운심우장,4.6,서울 성북구 성북로29길 24,
북한산국립공원 정릉탐방지원센터,4.7,서울 성북구 정릉동 산 1-1,02-909-0497
아리랑고개,4.0,서울 성북구 정릉동,
북한산자락길,5.0,서울 성북구 정릉동,
성북천,4.5,서울 성북구 삼선동4가,
청수장계곡,4.3,서울 성북구 보국문로 7-10,
북한산국립공원 정릉분소,2.5,서울 성북구 보국문로 215,
성북동 별서,3.0,서울 성북구 선잠로2길 53,
고려대학교 중앙광장,4.4,서울 성북구 안암로 145,
북한산국립공원 정릉탐방안내소,3.0,서울 성북구 보국문로 215,
북한산생태숲 앞,5.0,서울 성북구 정릉동,
칼바위능선,4.4,서울 성북구 정릉동 산 1-1,
정릉천,4.4,서울 성북구 정릉동,
개운산,4.7,서울 성북구 안암동5가 126-87,
숙정문 안내소,5.0,서울 성북구 성북동 산 25-1,02-747-2152
보타사 마애보살좌상,3.5,서울 성북구 개운사길 60-46,
북악산 한양도성,5.0,서울 성북구 성북동,02-730-9924
선잠단지,2.0,서울 성북구 성북동 64-1,
천장산,4.8,서울 성북구 석관동 산 1-5,
월곡산,4.8,서울 성북구 상월곡동 산 1-1,
성북천,2.0,서울 성북구 보문동7가,
북악스카이웨이길,3.0,,
장위동김진흥가옥,5.0,서울 성북구 돌곶이로34길 4-11,
개운산 해맞이명소,5.0,,
천장산산책길,0.0,,
정릉천,1.0,서울 성북구 종암동,
성북동이종석별장,4.0,서울 성북구 성북로 131,
성락원,1.0,서울 성북구 선잠로2길 47,
박경리가옥,5.0,서울 성북구 보국문로29가길 11,
고려대학교 민주광장,3.0,서울 성북구 안암로 145,
삼태기숲,5.0,서울 성북구 상월곡동 산 7-4,
북한산국립공원 보국문코스,0.0,,
밤을 걷는 밤 7화(천장산 하늘길),5.0,,
서울돈암장,1.0,서울 성북구 동소문로3길 84,
개운산숲나들길,3.0,,
북한산 정릉탐방안내소 별관,0.0,서울 성북구 보국문로 215,
북악하늘길 2산책로,3.7,서울 성북구 성북동,
삼군부총무당,5.0,서울 성북구 삼선동1가 산 1-12,02-2241-2652
밤을 걷는 밤 12화(성북동),4.5,,
방우산장,5.0,서울 성북구 성북동 142-1,
박완서 집터,5.0,서울 성북구 보문로13바길 13-15,
우이천,5.0,서울 성북구 석관동,
권진규아틀리에,5.0,서울 성북구 동소문로26마길 2-15,02-3675-3401
오롯한손길,0.0,서울 성북구 동소문로 248,
만해 한용운 동상,5.0,서울 성북구 성북로 155,
솔샘길전망대(쉼터),3.0,서울 성북구 정릉동 232,
4.18선언현장,4.2,서울 성북구 안암로 145,
성곽마을 여행자센터,0.0,서울 성북구 삼선교로4길 89,
정유정 도예작업실,5.0,서울 성북구 성북로5길 40 1층,02-745-9697
한국예술종합학교 석관동캠퍼스 음지못,5.0,서울 성북구 화랑로32길 146-37,
조지훈집터,0.0,서울 성북구 성북로16길 11,
문필봉,5.0,서울 성북구 정릉동 산 1-1,
평화의소녀상,5.0,서울 성북구 동소문동2가 2-4 한성대입구 6번출구 가로공원 내,
괴산외사리석조부도,0.0,서울 성북구 성북로 102-11 간송미술관,
보문사 대웅전 신중도,5.0,서울 성북구 보문사길 20,
북바위유래비,0.0,서울 성북구 종암동 133-12,
동활인서터,0.0,서울 성북구 동소문로 63,
마포최사영고택,3.0,서울 성북구 선잠로 68-20,
성북천,1.0,서울 성북구 안암동1가,
정릉숲산책길,0.0,,
오동공원산책길,0.0,,
장교동한규설가옥,5.0,서울 성북구 정릉로9길 64,
촛대바위,3.7,서울 성북구 성북동,
석가봉,5.0,서울 성북구 정릉동 산 1-1,
혼천시계,3.7,서울 성북구 안암로 145 고려대학교박물관,
넓적바위,5.0,서울 성북구 정릉동,
정릉 정자각,0.0,서울 성북구 아리랑로19길 116,
오세창집터,0.0,서울 성북구 성북로 75-1,
조지훈시비,5.0,서울 성북구 안암로 145,
인디안바위,4.0,서울 성북구 정릉동 산 87-1,
한월당,0.0,서울 성북구 지봉로23길 4,
삼층석탑,1.0,서울 성북구 성북로 102-11,02-920-3355
북한산 청수천샘터,0.0,서울 성북구 정릉동 산 1-1,
에이원 성신여대역,0.0,서울 성북구 아리랑로 25,
성북동고택북촌 산책길,0.0,,
의릉 정자각,5.0,서울 성북구 화랑로32길 146-35,
돈암동거리,0.0,서울 성북구 동선동1가,
안암동 오층석탑,4.0,서울 성북구 종암로 13,
성북천,1.0,서울 성북구 안암동2가,
구진봉,0.0,서울 성북구 성북동 산 25-1,
안암동 삼층석탑,3.0,서울 성북구 안암로 145,
고대박물관소장 홍진종의복,0.0,서울 성북구 안암로 145,
윤이상 집터,5.0,서울 성북구 성북동 128-26,
원빈묘터,0.0,서울 성북구 안암로 145,
북한산 잠룡봉,5.0,서울 성북구 보국문로 176-11,
호상,0.0,서울 성북구 안암로 145,
금동보살입상,0.0,서울 성북구 성북로 102-11,
북악하늘나들길,0.0,,
봉갑리지석묘,0.0,서울 성북구 종암로 13 고려대학교 내,
북한산 샘터,0.0,서울 성북구 정릉동 산 1-1,
홍무정운역훈,0.0,서울 성북구 안암로 145,
오봉리지석묘,0.0,서울 성북구 종암로 13,
석조팔각승탑,0.0,서울 성북구 성북로 102-11,
금동여래입상,5.0,서울 성북구 성북로 102-11,
전문경오층석탑,0.0,서울 성북구 성북로 102-11,
서울둘레길 19코스 사색에 잠겨 걷는 호젓한 숲길,0.0,,
혜화문,4.4,서울 종로구 창경궁로 307,
지봉선생비우당옛터,5.0,서울 종로구 창신동 9-471,
낙산공원 제1전망광장,5.0,서울 종로구 동숭동 산 2-32,
낙산,5.0,서울 종로구 창신동 615-62,
낙산공원 제2전망광장,0.0,서울 종로구 동숭동 산 2-10,
정업원터,5.0,서울 종로구 동망산길 65,
이화장,3.3,서울 종로구 이화장1길 32,02-762-3171
낙산정,5.0,서울 종로구 동숭동 50-141,
대학로거리,4.3,서울 종로구 동숭동 1-151,
서울도보관광코스 낙산성곽,0.0,,
동망봉,5.0,서울 종로구 동망산길 150,
돌산마을 조망점,5.0,서울 종로구 창신동 23-785,
흥인지문,4.8,서울 종로구 종로 288,02-2148-1114
장면가옥,5.0,서울 종로구 혜화로5길 53,
혜화동 필리핀시장,2.2,서울 종로구 혜화동 90-14,
창경궁,4.8,서울 종로구 창경궁로 185,02-762-4868
성균관,4.5,서울 종로구 성균관로 25-1,02-760-1472
명륜당,4.4,서울 종로구 성균관로 25-1,
보제원터,0.0,서울 동대문구 약령시로 2,
창덕궁 후원,4.7,서울 종로구 율곡로 99,
창덕궁,4.8,서울 종로구 율곡로 99,02-3668-2300
종묘,4.7,서울 종로구 종로 157,02-765-0195
동대문생선구이골목,4.0,서울 종로구 종로40가길 5,
이화달팽이길,5.0,서울 종로구 이화동 9-244,
창경궁 대온실,3.7,서울 종로구 창경궁로 185,
홍릉시험림,4.5,서울 동대문구 회기로 57,02-961-2777
혜화동김상협가,5.0,서울 종로구 혜화로6길 63,
홍화문,4.9,서울 종로구 창경궁로 185,
동대문닭한마리골목,3.7,서울 종로구 종로5가 247-3,
용두동쭈꾸미골목,5.0,서울 동대문구 왕산로16길 16,
광장시장 전골목,2.5,서울 종로구 종로4가,
동관왕묘,3.6,서울 종로구 난계로27길 84,02-731-0535
청계천 애완동물거리,1.7,서울 종로구 창신동,
비천당,5.0,서울 종로구 성균관로 25-1,
김상옥열사의상,4.9,서울 종로구 동숭동,
안창호선생 흉상,5.0,서울 종로구 대학로 122,
동네골목길관광코스 15코스(숭인동),0.0,,
몽양 여운형 선생 서거지,5.0,서울 종로구 혜화동 120,
3.1운동 유적지 상춘원터,5.0,서울 종로구 종로 371,
동대문종합시장 먹거리장터,4.0,서울 종로구 종로6가 94-1,
수족관거리,4.0,서울 종로구 창신동,
성북천,0.0,서울 동대문구 신설동,
종연방직 터,0.0,서울 동대문구 안암로 6,
동네골목길관광코스 12코스(혜화동),0.0,,
청계천헌책방거리,5.0,서울 중구 을지로6가 17 평화시장 1층,02-2275-5886
