name,degree,address,tel
롯데월드 어드벤처,4.0,서울 송파구 올림픽로 240,1661-2000
석촌호수 서호,4.5,서울 송파구 잠실동 47,
석촌호수 동호,4.4,서울 송파구 신천동 32,
서울스카이,3.8,"서울 송파구 올림픽로 300 롯데월드타워 B1~B2층, 117~123층",1661-2000
방이동먹자골목,4.0,서울 송파구 방이동 95-4,
송리단길,3.0,서울 송파구 송파동,
워터킹덤,2.6,서울 송파구 송파대로 111 파크하비오 202동,1600-0666
올림픽공원 몽촌토성,4.3,서울 송파구 올림픽로 424,02-2147-2001
문정동로데오거리,3.6,서울 송파구 동남로4길 10,02-400-1633
올림픽공원 세계평화의문,4.9,서울 송파구 올림픽로 424,
송파나루공원 삼전도비,2.7,서울 송파구 잠실동 47,
서울올림픽공원 평화의광장,4.5,서울 송파구 올림픽로 424,
풍납동토성,3.7,서울 송파구 풍납동 73-1,02-2147-2000
석촌호수산책길,5.0,,
서울석촌동고분군,4.8,서울 송파구 석촌동 248,
성내천 벚꽃길,4.3,서울 송파구 방이동 88-6,
매직아일랜드,4.4,서울 송파구 삼학사로 136,1661-2000
성내천,4.5,서울 송파구 신천동,
아레나광장,0.0,서울 송파구 올림픽로 300,
가든파이브라이프 중앙광장,3.5,서울 송파구 충민로 66,
서울방이동고분군,4.6,서울 송파구 오금로 219,
올림픽공원 한얼광장,5.0,서울 송파구 올림픽로 424,
송파관광정보센터,0.0,서울 송파구 송파나루길 206,02-421-0970
송파둘레길 장지천길,3.0,,
서울둘레길 8코스 자연생태가 복원된 도시하천길,3.4,,
송파둘레길 탄천길,3.3,,
정국숲3호,4.0,서울 송파구 잠실동 1-1,
석촌호수길 카페거리,4.0,서울 송파구 석촌호수로 278,
롯데월드 로티 조형물,4.5,서울 송파구 잠실동 41-41,
올림픽공원 몽촌토성 망월봉,5.0,서울 송파구 방이동,
성내천,3.0,서울 송파구 마천동,
송파둘레길 성내천길,0.0,,
올림픽공원 해맞이명소,5.0,,
성내천,0.0,서울 송파구 오금동 141,
위례성길,5.0,서울 송파구 방이동 88-17,
위례휴먼링,4.5,서울 송파구 장지동 901-1,
위례호수공원 다목적광장,2.0,서울 송파구 거여동 266-10,
탄천,0.0,서울 송파구 삼전동,
올림픽공원 88호수,3.0,서울 송파구 올림픽로 424,
송파둘레길 한강길,0.0,,
삼전나루 터,5.0,서울 송파구 석촌호수로 191,
롯데월드 매직캐슬,4.6,서울 송파구 삼학사로 136,1661-2000
RM숲,4.2,서울 송파구 잠실동 1-1,
송파둘레길,0.0,서울 송파구 문정동 428-2,
충헌공김구묘역,3.0,서울 송파구 올림픽로 424 몽촌토성 내,
풍납토성 경당지구,4.0,서울 송파구 풍납동 136,
오금공원 인공폭포,5.0,서울 송파구 오금로 363,
송파 평화의소녀상,4.1,서울 송파구 송파대로37길 77,
문정동 느티나무 보호수,0.0,서울 송파구 문정동 28-9,
풍납토성,0.0,서울 송파구 풍납동 235-2,
밤을 걷는 밤 11화(방이동),5.0,,
방이동먹자촌,5.0,서울 송파구 방이동,
리트릿 스파 시그니엘 서울,5.0,서울 송파구 올림픽로 300 86층,02-3213-1383
칠지도백제의빛,0.0,서울 송파구 방이동 88-10,
롯데월드매직아일랜드 아트란티스,4.9,서울 송파구 송파나루길 15,1661-2000
풍납백제문화공원 백제살림집,5.0,서울 송파구 풍납동 197,
물소리광장,5.0,서울 송파구 양재대로 1222,02-408-1805
위례호수공원 진입광장,0.0,서울 송파구 거여동 산 40-1,
올림픽공원 몽촌호,2.3,서울 송파구 위례성대로 51,
세라젬 웰파크 롯데월드 아이스가든점,0.0,서울 송파구 올림픽로 240 지하3층,
위례호수공원 옛숲,3.0,서울 송파구 거여동 산 41-1,
롯데월드 자이로드롭,5.0,서울 송파구 삼학사로 136,1661-2000
태형숲1호,0.0,서울 송파구 신천동 1-1,
한성백제왕도길,0.0,서울 송파구 방이동,
성내천,0.0,서울 송파구 방이동,
풍납동토성 남성벽 전망대,4.5,서울 송파구 풍납동 240,02-2147-2007
롯데월드 자이로스윙,4.7,서울 송파구 송파나루길 15 매직아일랜드,1661-2000
잠실운동장 뮤직스타존,5.0,서울 송파구 올림픽로 25,
