name,degree,address,tel
남산서울타워,4.5,서울 용산구 용산동2가 산 1-3,02-3455-9277
노들섬,4.7,서울 용산구 양녕로 445,02-749-4500
N서울타워,4.2,서울 용산구 남산공원길 105,02-3455-9277
이태원거리,2.5,서울 용산구 이태원동 119-23,
용리단길,3.0,서울 용산구 한강로2가 412,
경리단길,1.9,서울 용산구 이태원동 210-5,
남산야외식물원,4.2,서울 용산구 이태원동 259-16,
용산역광장,5.0,서울 용산구 한강대로21나길 17,
세븐럭카지노 서울드래곤시티점,3.7,서울 용산구 청파로20길 95 컨벤션타워 5층,02-2021-6000
당고개순교성지,4.4,서울 용산구 청파로 139-26,02-711-0933
108하늘계단,4.2,서울 용산구 후암동,
한남동 카페거리,4.0,서울 용산구 한남동,
남산,4.6,서울 용산구 용산동2가 산 1-3,
열정도,3.8,서울 용산구 백범로87길 55,
왜고개성지,3.0,서울 용산구 한강대로40길 46,
소월길,4.5,,
서울 해병대사령부초대교회,5.0,서울 용산구 용산동2가 2-18,
해방촌예술마을,2.3,서울 용산구 용산동2가,
남영동 대공분실 터,5.0,서울 용산구 한강대로71길 37,
우사단길,4.1,서울 용산구 한남동 763-7,
국립중앙박물관 거울못,4.2,서울 용산구 용산동6가,
남산공원 팔각안내센터,5.0,서울 용산구 남산공원길 126,
세계음식특화거리,,서울 용산구 이태원동 108-3,
수생식물원,5.0,서울 용산구 이태원동 259-16,
한강로동 땡땡거리,5.0,서울 용산구 한강로3가 40-48,
밤을 걷는 밤 17화(한남동),5.0,,
한남동부군당,0.0,서울 용산구 장문로49길 41,
삼각지대구탕골목,5.0,서울 용산구 한강로1가 142-3,
남측포토아일랜드 남측지점,3.7,서울 용산구 이태원동 산 1-7,
미래한강본부 이촌안내센터,0.0,서울 용산구 이촌로72길 62,02-3780-0551
퇴계이황선생상,5.0,서울 용산구 소월로 109,
퀴논길,5.0,서울 용산구 이태원동 65-4,
재팬타운,2.8,서울 용산구 이촌동 301-5,
전쟁기념관 6.25상징탑,4.8,서울 용산구 이태원로 29,
후암동전망대,3.7,서울 용산구 두텁바위로 148,
남산공원남측순환도로,0.0,서울 용산구 이태원동,
새남터순교지,4.5,서울 용산구 이촌로 80-8,
새남터,0.0,서울 용산구 이촌로 71,
이촌청보리밭,2.5,서울 용산구 이촌동,
다산정약용선생상,5.0,서울 용산구 소월로 109,
한강 인도교 폭파현장,3.2,서울 용산구 이촌동 372,
서빙고터,4.3,서울 용산구 서빙고동 199-6,
한강나루터,5.0,서울 용산구 한남동 524-3,
김상옥의사항거터,5.0,서울 용산구 후암로28바길 5,
밤을 걷는 밤 2화(후암동),5.0,,
밤을 걷는 밤 13화(이촌동),4.8,,
백범김구묘역,4.4,서울 용산구 임정로 26,
남산야외식물원 산책길,0.0,,
안중근가묘,5.0,서울 용산구 효창원로 177-18,
남이장군사당,0.0,서울 용산구 효창원로 88-10,
효창공원 원효대사동상,5.0,서울 용산구 효창원로 177-18,
북한산 신라진흥왕순수비,4.7,서울 용산구 서빙고로 137 국립중앙박물관,
구용산수위관측소,5.0,서울 용산구 청암동 169,02-2199-7243
국립중앙박물관 미르폭포,5.0,서울 용산구 서빙고로 137,
동빙고부군당,3.7,서울 용산구 서빙고로73길 24-27,
용산역 여행센터,0.0,서울 용산구 한강대로23길 55 3층,02-3780-5555
남영동스테이크골목,5.0,서울 용산구 남영동 2,
전쟁기념관 형제의상,3.8,서울 용산구 이태원로 29,
만초천,0.0,서울 용산구 백범로90다길 43-71,
보광동무후묘,3.7,서울 용산구 장문로15나길 6,02-794-5664
용산가족공원산책길,0.0,,
광개토대왕릉비,4.2,서울 용산구 이태원로 29,
삼의사묘,5.0,서울 용산구 효창원로 177-18,
효창공원 의열사,4.9,서울 용산구 효창원로 177-18,
산천동부군당,0.0,서울 용산구 효창원로15길 7,
10.29 기억과 안전의 길,3.2,서울 용산구 이태원동 119-23,
서빙고동부군당,0.0,서울 용산구 서빙고로59길 3-6,02-2199-7243
만초천,0.0,서울 용산구 이촌동 393,
바로크미술관,0.0,서울 용산구 한강대로 162,02-794-4563
군자감 강감터,0.0,서울 용산구 원효로3가 1-2,
효창공원 임정요인묘역,5.0,서울 용산구 효창원로 177-18,
이원등상사동상,5.0,서울 용산구 양녕로 446,
용마루길,0.0,서울 용산구 용문동 36-17,
별영창 읍청루터,5.0,서울 용산구 원효로 7,
강제징용노동자상,5.0,서울 용산구 한강로3가 40-999,
청파배다리터,0.0,서울 용산구 청파동1가 158-2,
효창공원 이봉창의사동상,5.0,서울 용산구 임정로 26,
손기정한옥,0.0,서울 용산구 원효로83길 12,
평화의소녀상,5.0,서울 용산구 이태원동 34-2,
효창공원 삼의사묘역,5.0,서울 용산구 임정로 26,
서울명예도로 베트남퀴논길,0.0,,
이태원관광안내소,0.0,서울 용산구 이태원동 119-23 6호선 이태원역사,02-3785-0942
흥무대왕김유신사당,0.0,서울 용산구 서빙고로91길 28-15,
전통염료식물원,0.0,서울 용산구 서빙고로 137 국립중앙박물관 내,
용산아이파크몰 이벤트파크,0.0,서울 용산구 한강대로23길 55 4층,
한남제2부군당,0.0,서울 용산구 장문로49길 17-10,
임시정부요인묘역,0.0,서울 용산구 효창원로 177-18,
숭실학교터,0.0,서울 용산구 신흥로26길 20,
효창공원 반공투사위령탑,5.0,서울 용산구 효창원로 177-18,
용산가족공원 연못,4.0,서울 용산구 용산동6가 68-87,
봉인사부도암사리탑 및 사리장엄구,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
Plant society 1,0.0,서울 용산구 회나무로26길 24 1층,
빙고호텔터,3.0,서울 용산구 서빙고동 235-13,
수표터,5.0,서울 용산구 서빙고로 413,
보리사대경대사탑비,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
만리창터,0.0,서울 용산구 백범로 260,
서울명예도로 유관순길,0.0,,
서울 홍제동 오층석탑,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
월광사 원랑선사탑비,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
한남매봉공원산책길,0.0,,
서울명예도로 남이장군로,2.0,,
전쟁기념관산책길,0.0,,
리나의 서울,0.0,서울 용산구 녹사평대로 254,
영전사지보제존자사리탑,0.0,서울 용산구 서빙고로 137,
나주서문석등,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
천수사오층석탑,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
흥법사 진공대사탑부석관,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
정토사홍법국사 실상탑,0.0,서울 용산구 서빙고로 137,
여주 고달사지 쌍사자 석등,0.0,서울 용산구 서빙고로 137,
거돈사원공국사승묘탑,0.0,서울 용산구 서빙고로 137 국립중앙박물관,
한강,0.0,서울 용산구 용산동6가,
금동보살입상,0.0,서울 용산구 서빙고로 137,
천수사삼층석탑,0.0,서울 용산구 서빙고로 137,
전흥법사염거화상탑,0.0,서울 용산구 서빙고로 137,
서울한양도성 남산구간 3코스,4.7,,
남산둘레길전망대,5.0,서울 중구 장충동2가 산 14-21,
매봉산,4.5,서울 중구 신당동 51,
남산벚꽃길,4.6,서울 중구 장충동2가,
남산팔각정,4.4,서울 중구 예장동 8-1,
남산케이블카 상부승강장,2.3,서울 중구 남산공원길 125-72,
남산둘레길,4.8,서울 중구 회현동1가,
남산케이블카,3.3,서울 중구 소파로 83,02-753-2403
반포한강공원 달빛광장,2.8,서울 서초구 반포동 115-5,
서래섬,4.6,서울 서초구 반포동 137-41 한강둔치반포지구,02-3780-0541
남산골한옥마을,4.4,서울 중구 퇴계로34길 28,02-6358-5533
남산공원 남산약수터,5.0,서울 중구 장충동2가 산 14-21,
백범광장,4.7,서울 중구 회현동1가 100-115,
다산성곽길,4.8,서울 중구 장충동2가,
숭례문,4.6,서울 중구 세종대로 40,02-779-8547
명동거리,3.4,서울 중구 명동2가,
매봉,4.0,서울 중구 신당동 산 51,
남산산책로B코스,5.0,서울 중구 회현동1가 산 1-2,
남산돈가스거리,1.0,서울 중구 예장동 8-189,
남대문갈치조림골목,3.7,서울 중구 남대문시장길 16-17,
남산소나무힐링숲,0.0,서울 중구 장충동2가 산 14-21,
남산공원 남산봉수대,5.0,서울 중구 예장동 8-1,
서울도보관광코스 남산성곽,5.0,,
매봉,5.0,서울 성동구 옥수동,
지민숲,5.0,서울 서초구 잠원동 147-1,
남대문칼국수골목,2.2,서울 중구 남대문시장4길 42-1,
신사동가로수길,3.0,서울 강남구 압구정로 120,
삼순이계단,5.0,서울 중구 소파로 46,
한강,0.0,서울 서초구 잠원동,
남소문터,3.0,서울 중구 장충동2가 산 5-21,
다산팔각정,4.0,서울 중구 신당동 432-1793,
만리재,4.0,서울 마포구 아현동 393-35,
장충동족발거리,4.4,서울 중구 장충단로 174,
백범광장 백범김구상,4.1,서울 중구 회현동1가 100-115,
와룡묘,3.2,서울 중구 남산공원길 609,
남산순환나들길,5.0,,
김유신장군상,5.0,서울 중구 남창동,
공덕시장족발골목,3.4,서울 마포구 만리재로 19,
만리동광장,4.5,서울 중구 퇴계로 33,
서울역 구역사,4.8,서울 중구 통일로 1,
남산순환 나들길(쉽게걷는길),5.0,,
옛 중앙정보부 제5별관,0.0,서울 중구 삼일대로 231,
재미로,4.0,서울 중구 남산동2가 15-27,
유관순열사동상,5.0,서울 중구 장충동2가 7-22,
남산한바퀴코스,0.0,서울 중구 예장동,
남산골공원 서울천년타임캡슐광장,2.9,서울 중구 퇴계로34길 28,
신사동간장게장골목,1.7,서울 서초구 신반포로47길 107,
을지로3가 골뱅이골목,2.9,서울 중구 저동2가,
명동차없는거리,0.0,서울 중구 충무로1가 26-1,
염천교수제화거리,2.8,서울 중구 칠패로 10-2,
신세계백화점 파미에스트리트,3.3,서울 서초구 신반포로 176,
국사당터,0.0,서울 중구 예장동 8-1,
밤을 걷는 밤 3화(장충동),5.0,,
남산케이블카 운전실,0.0,서울 중구 남산공원길 125-72,02-755-5700
한강,2.0,서울 서초구 반포동,
마포전골목,2.8,서울 마포구 공덕동,
김주용선생공덕비,0.0,서울 서초구 잠원로8길 3,
강우규의사동상,4.9,서울 중구 통일로 13,
관훈동 민씨가옥,3.0,서울 중구 퇴계로34길 28,
잠실뽕나무,0.0,서울 서초구 잠원로 157,
국치길,4.0,서울 중구 남산동2가,
압구정지,5.0,서울 강남구 압구정로29길 68,
남대문시장관광안내소,0.0,서울 중구 남대문시장4길 32,02-752-1913
옛중앙정보부장 공관,5.0,서울 중구 퇴계로26길 65,
동빙고터,5.0,서울 성동구 옥수동 4,
서울숲남산나들길,5.0,,
강남관광정보센터,5.0,서울 강남구 압구정로 161,
노인정 터,0.0,서울 중구 필동2가 134-28,
장충단비,4.0,서울 중구 동호로 257-10,
남산일본공사관-통감관저 터,5.0,서울 중구 퇴계로26가길 6,
환구단 황궁우,4.2,서울 중구 소공동 87-14,1600-0064
신반포올레길,0.0,,
이갑성 사택터,0.0,서울 중구 남대문로5가 84-17,
3.1독립운동기념터 세브란스병원앞,5.0,서울 중구 통일로 10,
이덕형선생집터,0.0,서울 중구 남대문로5가 526,
외솔 최현배선생기념비,3.5,서울 중구 장충동2가 산 7-24,
백범학원과김구주택 유적비,5.0,서울 성동구 금호동4가 1101,
소릿길,4.0,서울 중구 예장동 산 5-84,
박문사 터,0.0,서울 중구 동호로 249,
일본군'위안부'피해자 기림비,5.0,서울 중구 소파로 46,
덕수궁돌담길,4.4,서울 중구 세종대로 지하 101,02-751-0734
춘강박승희기념비,0.0,서울 중구 장충단로 59 국립극장 내,
일성 이준열사 동상,4.3,서울 중구 필동로1길 30,
남산 범바위,0.0,서울 중구 예장동,
장충단길,0.0,서울 중구 장충동2가 187-1,
충무로애견거리,1.0,서울 중구 퇴계로 227,
허밍웨이길,5.0,,
한강,0.0,서울 강남구 압구정동,
관성묘,3.0,서울 중구 동호로30길 2,
두뭇개나루터,0.0,서울 성동구 금호동4가 1523-2,
반공건국청년운동 기념비,2.1,서울 중구 예장동,
마포갈매기골목,4.5,서울 마포구 도화동 169-3,
한국 유림 독립운동 파리장서비,5.0,서울 중구 필동로1길 30,
명동관광정보센터,0.0,서울 중구 을지로 66 하나은행 본점 별관 1층,02-778-0333
쌍호정터,0.0,서울 성동구 독서당로 218,
밤을 걷는 밤 4화(명동),5.0,,
이순신생가터,5.0,서울 중구 초동 18-5,
이한응선생비,0.0,서울 중구 필동로1길 30,
이시영선생상,5.0,서울 중구 회현동1가 산 1-2,
논현가구거리,2.0,서울 강남구 학동로 125 헬레스,
홍영식동상,0.0,서울 중구 충무로1가 21-1,
YWCA위장결혼식,5.0,서울 중구 명동1가 5-4,
상진 집터,5.0,서울 중구 남대문로3가 13-3,
북창동음식거리,3.0,서울 중구 북창동 38-3,
덕수궁,4.8,서울 중구 세종대로 99,02-771-9951
청학지,3.0,서울 중구 퇴계로34길 28,
서울한양도성 숭례문구간,4.4,,
주자소터,0.0,서울 중구 충무로3가 60-1,
예빈시 터,5.0,서울 중구 태평로2가 113-1,
충무공이순신생가터,4.3,서울 중구 을지로18길 19,
흑리단길,2.6,서울 동작구 흑석동 50-91,
을지로인쇄골목,4.7,서울 중구 인현동1가 38-10,
현봉학박사상,4.7,서울 중구 남대문로5가 84-11,
선혜청터,0.0,서울 중구 소월로 3,
3.1독립운동기념터,5.0,서울 중구 남대문로3가 110-2,
유네스코길,0.0,서울 중구 남대문로2가 16-18,
이희승학덕추모비,4.0,서울 중구 퇴계로34길 28,
이승국의사 추모비,0.0,서울 서초구 반포동 117-8,
체육관선거현장,2.3,서울 중구 동호로 241,
국립서울현충원 현충문,4.8,서울 동작구 현충로 210,02-813-9047
제기동 해풍부원군윤택영재실,2.0,서울 중구 퇴계로34길 28,
유성룡집터,5.0,서울 중구 퇴계로 228,
피천득산책로,0.0,서울 서초구 반포동 117-11,
조선헌병대 사령부 터,5.0,서울 중구 퇴계로34길 28,
영화인의거리,1.8,서울 중구 충무로2가 111,
이범진열사 집터,5.0,서울 중구 충무로1가 21-1,
을지로노가리골목,1.2,서울 중구 을지로13길 17,
동작충효길 3코스(한강나들길),1.0,,
김범우의 집터,5.0,서울 중구 을지로 66,
대한민국지역홍보센터,0.0,"서울 서초구 신반포로 지하 188 지하1,2층",02-3496-2200
손기정흉상,0.0,서울 중구 손기정로 101,
평화의소녀상,4.3,서울 동작구 흑석동 4 흑석역 3번 출구 옆,
김귀정사망현장,4.6,서울 중구 충무로4가 305-11,
소의문터,5.0,서울 중구 서소문동,
거꾸로세운동상,1.0,서울 중구 퇴계로26가길 6,
용양봉저정,5.0,서울 동작구 노량진로32길 14-7,
사명대사동상,3.0,서울 중구 장충동2가 197-28,
이회영이시영6형제 생가터,5.0,서울 중구 명동1가 1-6,
태평관 터,5.0,서울 중구 태평로2가 120,
한강수사자조혼비,4.3,서울 동작구 본동 475-1,
서래마을카페거리,0.0,서울 서초구 반포동 126,
일석이희승선생기념비,0.0,서울 중구 퇴계로34길 28 한옥마을 내,
은성주점 터,0.0,서울 중구 명동3길 2,
서울명예도로 가로수길,0.0,,
삼청동 오위장김춘영가옥,5.0,서울 중구 퇴계로34길 28,
삼각동도편수 이승업가옥,0.0,서울 중구 퇴계로34길 28,
3.1운동독립기념터,5.0,서울 중구 통일로 21,
3.1독립운동기념비,5.0,서울 중구 남대문로 39,
공덕소담길,5.0,서울 마포구 공덕동,
더벨스파,2.0,서울 중구 소공로 119 더플라자 별관 15층,02-310-7800
남지터,5.0,서울 중구 남대문로5가 1-4,
남부학당 터,0.0,서울 중구 퇴계로30길 15-4,
학동약수터,2.0,서울 강남구 논현동 26,
순정효황후윤씨친가,0.0,서울 중구 퇴계로34길 28,
보협인석탑,0.0,서울 중구 필동로1길 30 동국대학교박물관,
순청 터,0.0,서울 중구 순화동 216,
전환국 터,5.0,서울 중구 세종대로 51-2,
균역청터,0.0,서울 중구 충무로3가 60-1,
중랑천,0.0,서울 성동구 금호동4가,
무쇠막터,5.0,서울 성동구 금호동4가 95-5,
베스트원벽화,0.0,서울 마포구 새창로 52 12-205호,02-929-6104
명동 관광안내소,0.0,서울 중구 명동길 43-1,
동대문러시아거리,3.6,서울 중구 광희동1가,
서울숲 생태숲,5.0,서울 성동구 성수동1가 699-2,
몽골타운,4.9,서울 중구 을지로44길 12 뉴금호타워 902호,
강희맹집터,0.0,서울 중구 순화동 216-2,
서울명예도로 유네스코길,5.0,,
이황 집 터,5.0,서울 중구 서소문동 47-2,
국립서울현충원 선양광장,0.0,서울 동작구 동작동 133-4,
나석주 열사의상,4.7,서울 중구 을지로 66,
국도극장 터,5.0,서울 중구 을지로 164,
양향청터,5.0,서울 중구 저동1가 1-14,
팔홍문터,0.0,서울 중구 순화동 216-2,
