name,degree,address,tel
북한산둘레길 6구간평창마을길,4.0,,
청와대 본관,3.9,서울 종로구 청와대로 1,
경복궁,4.8,서울 종로구 사직로 161,02-3700-3900
창덕궁,4.8,서울 종로구 율곡로 99,02-3668-2300
북촌한옥마을,4.2,서울 종로구 북촌로 53,02-2133-1372
광화문광장,4.2,서울 종로구 세종로 1-68,02-120
광화문,4.7,서울 종로구 사직로 161,02-3700-3901
청계천,4.5,서울 종로구 서린동 148,
창경궁,4.8,서울 종로구 창경궁로 185,02-762-4868
흥인지문,4.8,서울 종로구 종로 288,02-2148-1114
인사동거리,4.2,서울 종로구 관훈동,
쌈지길,4.2,서울 종로구 인사동길 44,02-736-0088
돈의문박물관마을,3.9,서울 종로구 송월길 14-3,02-739-6994
종묘,4.7,서울 종로구 종로 157,02-765-0195
인왕산,4.8,서울 종로구 옥인동 산 3-39,
서촌한옥마을,4.1,서울 종로구 통의동,
익선동한옥거리,4.0,서울 종로구 익선동,
석파정,4.6,서울 종로구 부암동 산 16-1,02-395-0100
열린송현녹지광장,4.6,서울 종로구 송현동 48-9,
운현궁,4.4,서울 종로구 삼일대로 464,02-766-9090
창덕궁 후원,4.7,서울 종로구 율곡로 99,
다이나믹메이즈 서울인사동점,4.0,서울 종로구 인사동길 12 대일빌딩 지하1층,02-2034-0600
경희궁,4.6,서울 종로구 새문안로 45,02-724-0274
인왕산 수성동계곡,4.6,서울 종로구 옥인동 179-1,
서울 한양도성 인왕산구간4코스,4.8,,
인사동 문화의거리,3.8,서울 종로구 인사동10길 11-4,
보신각터,4.3,서울 종로구 종로 54,
딜쿠샤,4.6,서울 종로구 사직로2길 17,070-4126-8853
청와대 사랑채(휴관중),3.6,서울 종로구 효자로13길 45,02-723-0300
창의문,4.4,서울 종로구 창의문로 118,
혜화문,4.4,서울 종로구 창경궁로 307,
동대문생선구이골목,4.0,서울 종로구 종로40가길 5,
서울 한양도성 백악구간,5.0,,
광장시장 전골목,2.5,서울 종로구 종로4가,
광화문광장 이순신 장군 동상,4.9,서울 종로구 세종로 1-68,
북악산,4.3,서울 종로구 삼청동 산 2-27,02-731-0395
경복궁 교태전,5.0,서울 종로구 세종로 1-1,
창덕궁 돈화문,4.8,서울 종로구 율곡로 99,
광화문광장 세종대왕동상,4.8,서울 종로구 세종로 1-68,
백사실계곡,3.7,서울 종로구 부암동 115,02-2148-2854
인왕산 숲속쉼터,4.3,서울 종로구 청운동 산 4-36,
동대문닭한마리골목,3.7,서울 종로구 종로5가 247-3,
가회동백인제가옥,4.7,서울 종로구 북촌로7길 16,02-724-0200
삼청동거리,4.3,서울 종로구 팔판동 67-1,
서울 둘레길 스탬프 8-3구간,0.0,서울 종로구 평창동 산 6-2,
이화장,3.3,서울 종로구 이화장1길 32,02-762-3171
세검정터,4.3,서울 종로구 세검정로 244,
사직단,4.8,서울 종로구 사직로 89,
창경궁 대온실,3.7,서울 종로구 창경궁로 185,
청와대 춘추문,4.7,서울 종로구 세종로 1,
성균관,4.5,서울 종로구 성균관로 25-1,02-760-1472
경교장,4.8,"서울 종로구 새문안로 29 지하1,2층",02-735-2038
명륜당,4.4,서울 종로구 성균관로 25-1,
홍화문,4.9,서울 종로구 창경궁로 185,
호랑이동상,4.6,서울 종로구 누상동 산 1-28,
청와대 영빈관,4.1,서울 종로구 청와대로 1,
피맛골,3.4,서울 종로구 종로 19,
숙정문,3.9,서울 종로구 삼청동 산 25-22,02-747-2152
굴보쌈골목,4.3,서울 종로구 수표로20길 16-17,
돈의문터,4.8,서울 종로구 평동,
경복궁 경회루,4.9,서울 종로구 세종로 1-1,
조계사 일주문,4.8,서울 종로구 우정국로 55,
경복궁 근정전,4.9,서울 종로구 사직로 161,
청계천 애완동물거리,1.7,서울 종로구 창신동,
젊음의거리,3.6,서울 종로구 관철동 32 일대,
돈의동갈매기살골목,3.4,서울 종로구 돈의동,
무무대전망대,4.7,서울 종로구 옥인동 산 3-13,
세종마을 음식문화거리,3.6,서울 종로구 체부동 189-1,
인왕산둘레길,4.8,서울 종로구 사직동 산 1-25,
칠궁,4.7,서울 종로구 창의문로 12,
인왕산정상,5.0,서울 종로구 옥인동,
락희거리,3.0,서울 종로구 낙원동 289-7,
낙산,5.0,서울 종로구 창신동 615-62,
인왕산 선바위,4.6,서울 종로구 무악동 산 3-12,
낙산공원 제1전망광장,5.0,서울 종로구 동숭동 산 2-32,
동대문종합시장 먹거리장터,4.0,서울 종로구 종로6가 94-1,
북촌한옥청,5.0,서울 종로구 북촌로12길 29-1,02-2133-5580
청와대 연풍문,4.1,서울 종로구 청와대로 1,
이상의집,4.8,서울 종로구 자하문로7길 18,
북한산국립공원 구기탐방지원센터,0.0,서울 종로구 비봉2길 90,02-379-7043
종로귀금속거리,3.8,서울 종로구 봉익동,
국사당,3.0,서울 종로구 통일로18가길 20,
홍지문및탕춘대성,3.4,서울 종로구 홍지동 산 4,
청운대안내소,4.0,서울 종로구 부암동 16-18,
평화의소녀상,4.7,서울 종로구 수송동 85-5 일본대사관 앞,
인왕산둘레길,4.7,,
윤동주시인의언덕,3.4,서울 종로구 청운동 7-3,
말바위안내소,4.4,서울 종로구 삼청동 산 2-1,02-765-0297
창덕궁 낙선재,4.9,서울 종로구 율곡로 99,
전태일동상,5.0,서울 종로구 종로5가 411-1,
삼청동길,0.0,서울 종로구 삼청동 산 2-1,
