name,degree,address,tel
대전오월드,4.0,대전 중구 사정공원로 70,042-580-4820
으능정이 문화의거리,3.7,대전 중구 은행동 216,
으능정이스카이로드,3.9,대전 중구 은행동,042-252-7100
보문산,4.3,대전 중구 문화동 산 18-1,042-270-7865
보운대,4.4,대전 중구 대사동 산 1-27,
보문산숲치유센터,5.0,대전 중구 보문산공원로 440,042-270-7878
단재신채호선생 생가지,5.0,대전 중구 단재로229번길 47,
대전오월드 주랜드,0.0,대전 중구 사정공원로 70,
오류동음식특화거리,0.0,대전 중구 계룡로882번길 36,
치유의숲,4.5,대전 중구 무수동 188,042-270-6594
대전 오토바이특화거리,0.0,대전 중구 대흥동,
보문산성,4.7,대전 중구 대사동 산 3-71,
충청남도청 구청사,4.0,대전 중구 중앙로 101,
유등천,5.0,대전 중구 태평동,
구대전형무소망루,0.0,대전 중구 중촌동 16-11,
구 대전부청사,0.0,대전 중구 중앙로 148,
사정공원 사정골식물원,4.0,대전 중구 사정공원로 160,
대전오월드 어린이동물원,0.0,대전 중구 사정공원로 70,
대흥동문화예술의거리,1.0,대전 중구 대흥동 630,
시루봉,5.0,대전 중구 문화동 산 18-1,
대청호오백리길 생태문화관광안내센터,0.0,대전 중구 문창로 62,010-4413-6565
수도산,5.0,대전 중구 대흥동 326-54,
서대전역 관광안내소,3.0,대전 중구 오류로 23,042-523-1338
플라워랜드,4.8,대전 중구 사정공원로 70,
노리존 대전점,1.0,대전 중구 중교로 89,
목척교 포장마차거리,0.0,대전 중구 은행동 314-1,
대전오월드 버드랜드,4.0,대전 중구 사정공원로 70,042-580-4820
대전시민회관 유래비,5.0,대전 중구 대흥동 583-2,
유회당,0.0,대전 중구 운남로85번길 32-18,042-606-6285
충남도지사공관,5.0,대전 중구 보문로205번길 13,
선리단길,5.0,대전 중구 선화동 382,
재마루공원 유래비,0.0,대전 중구 옥계동 197-3,
대전오월드 아프리카사파리,0.0,대전 중구 사정공원로 70,
정생소류지,0.0,대전 중구 정생동 641-2,
충남기계공업고등학교 호국영웅동산,0.0,대전 중구 산성로 154 충남기계공업고등학교,
천비산,0.0,대전 중구 정생동 산 14,
유천동 버드내선돌,0.0,대전 중구 유천동 171-3,
쟁기봉,5.0,대전 중구 안영동 산 42-1,
여경암,5.0,대전 중구 운남로85번길 54-153,042-606-6293
윤봉길의사 상,5.0,대전 중구 대종로 373 충무체육관 광장,
용두동 유래비,0.0,대전 중구 선화로 17,
금동이고개,0.0,대전 중구 금동,
모암골,0.0,대전 중구 호동,
한국조폐공사옛터,0.0,대전 중구 대흥동 628,
보문산마애여래좌상,5.0,대전 중구 석교동 산 17-1,
구완동 청자가마터,0.0,대전 중구 구완동 78-5,
대전오월드 눈썰매장,0.0,대전 중구 사정공원로 70,042-580-4820
태평동 느티나무 보호수,3.0,대전 중구 태평동 264-4,
옥계동 느티나무보호수,0.0,대전 중구 옥계동 51-3,
유등천,0.0,대전 중구 침산동,
대전 오월드 천연기념물시범사육장,0.0,대전 중구 사정공원로 70,
대전오월드 쉼터광장,0.0,대전 중구 사정동 117-4,
돌다리골,0.0,대전 중구 석교동,
보문사지,0.0,대전 중구 무수동 174,
은행동 애견거리,0.0,대전 중구 대흥동 630,
봉소루,0.0,대전 중구 봉소루로 29,
안동권씨 유회당종가일원,0.0,대전 중구 운남로 65,
어남동 느티나무보호수,0.0,대전 중구 어남동 산 6,
국사봉유적,5.0,대전 중구 사정공원로 70,
목달동유래비,0.0,대전 중구 목달동 455-6,
젠한국 대전본점,0.0,대전 중구 계룡로 842,042-532-6800
창계숭절사,0.0,대전 중구 대둔산로137번길 67,
충무자동차특화거리,5.0,대전 중구 대종로 368-1,
대전오월드 사파리탑승장,3.0,대전 중구 사정공원로 70,
대전천,0.0,대전 중구 중촌동,
대사동 느티나무 보호수,0.0,대전 중구 대사동 104-8,
정생동백자가마터,0.0,대전 중구 정생동 4-3,
중암사 부도,0.0,대전 중구 정생동 산 14,
대전천,0.0,대전 중구 선화동,
송학사약수터,0.0,대전 중구 대사동 197-18,
대사천,0.0,대전 중구 문창동 347-1,
사정생태뜰,5.0,대전 중구 사정동 187,
대전지구 전적비,0.0,대전 중구 대사동 산 3-71 보문산 야외음악당,
사정성,0.0,대전 중구 사정동 산 62,
산제당,0.0,대전 중구 문화로99번길 68,
중촌동거리미술관,0.0,대전 중구 대전천서로 687,
상록원,4.5,대전 중구 대둔산로31번길 16,
대전천,0.0,대전 중구 호동,
사정생태습지원,0.0,대전 중구 사정동 187,
오도산,4.5,대전 중구 구완동 산 27,
대전지구 전승비,0.0,대전 중구 보문산공원로 426-83 보문산 야외음악당,
단재신채호동상,3.8,대전 중구 문화동 1-29,
장안봉,0.0,대전 서구 괴곡동 산 7-7,
구완동상감청자가마터,3.5,대전 중구 운남로 252-190,
복전선원 목조대세지보살좌상,0.0,대전 중구 부사로 70,
보문산 고촉사약수터,5.0,대전 중구 문화동 산 18-1,
해철이산,5.0,대전 중구 안영동 산 34-5,
범골천,0.0,대전 중구 호동 351-1,
보문산 보문천약수터,0.0,대전 중구 대사동 산 3-71,
대전오월드 오월드영상관,0.0,대전 중구 사정공원로 70,
을유해방기념비,5.0,대전 중구 대사동 산 3-71,
삼남기념탑,0.0,대전 중구 뿌리공원로 79,
보문산 찬샘길,0.0,대전 중구 사정동 198-1,
보문산 까치고개,0.0,대전 중구 문화동 산 18-1,
대전오월드 아기동물나라,0.0,대전 중구 사정공원로 70,
단재신채호 동상,5.0,대전 중구 어남동 235-1,
보문산 명수천약수터,0.0,대전 중구 부사동 산 2-13,
옥녀바위,0.0,대전 중구 침산동,
대전오월드 범퍼카,3.0,대전 중구 사정공원로 70,
문화동 왕버드나무보호수,0.0,대전 중구 문화동 1-29,
산내리골,0.0,대전 중구 금동,
침산,5.0,대전 중구 침산동 산 30-2,
산성들,0.0,대전 중구 산성동,
뿌리공원 중앙광장,4.0,대전 중구 뿌리공원로 79,
대전오월드 열대조류관,0.0,대전 중구 사정공원로 70,
목은이색대전영당,5.0,대전 중구 대종로71번길 55-15,
두루봉,0.0,대전 중구 목달동 산 32-1,
남성바위,0.0,대전 중구 정생동,
석태산,0.0,대전 중구 금동 산 7,
광영정,0.0,대전 중구 무수동 299-4,
6월 항쟁 기념비,1.0,대전 중구 중앙로 지하 145,
대전광역시관광안내소,0.0,대전 중구 사정공원로 70,042-586-1330
애국지사총,5.0,대전 중구 사정공원로 160,
대전오월드 우주전투기,0.0,대전 중구 사정공원로 70,
플라워랜드 미로원,0.0,대전 중구 사정공원로 70,
유회당판각,0.0,대전 중구 운남로85번길 32-18,
과례천,0.0,대전 중구 태평동,
떡갈봉,5.0,대전 중구 금동 산 26-13,
허브스쿨,0.0,대전 중구 산서로 741-27,
영렬탑,0.0,대전 중구 보훈로 46,
보문산공원 문충공연제송선생 구국기념비,0.0,대전 중구 대사동 193-8,
