name,degree,address,tel
용마산,4.3,서울 중랑구 면목동,02-2094-2344
중랑천,4.3,서울 중랑구 면목동 1338-12,
용마랜드,3.5,서울 중랑구 망우로70길 118,02-436-5800
봉화산,4.2,"서울 중랑구 묵동 산 46-19 묵동, 상봉동",02-2094-2342
용마폭포,4.6,서울 중랑구 면목동 산 1-4,
중랑천제방 장미벚꽃길,5.0,,
봉화산옹기테마공원,4.7,서울 중랑구 신내로21길 116,
장안벚꽃안길,5.0,서울 중랑구 면목동 727-24,
서울둘레길 4코스 도시를 벗어나 만나는 길,5.0,,
중랑천장미터널,4.0,서울 중랑구 중화동 384-2,
장미길,4.8,서울 중랑구 중랑천로 322,
중랑천제방산책로,0.0,,
봉화산둘레길,4.3,서울 중랑구 신내동,
대향이중섭묘역,5.0,서울 중랑구 망우동 산 57-3,
망우리고개,4.0,서울 중랑구 망우동,
용마산5보루,0.0,서울 중랑구 면목동 산 1-2,
용마봉,0.0,서울 중랑구 면목동 산 1-2,
태릉시장특화거리,0.0,서울 중랑구 중화동 314-1,
묵동천,5.0,서울 중랑구 신내동 311-1,
중랑천,0.0,서울 중랑구 중화동,
녹색병원동판,3.0,서울 중랑구 사가정로49길 53,
서울명예도로 88볼링길,0.0,,
아토피치유의숲,0.0,서울 중랑구 면목동 산 1-3,
장미꽃빛거리,0.0,서울 중랑구 묵동 200-3,
구릉산,0.0,서울 중랑구 신내동,
숙선옹주묘,5.0,서울 중랑구 묵동 산 37-1,
망우산숲나들길,5.0,,
중랑천둔치,0.0,서울 중랑구 면목동,
중랑구 무장애나눔길,0.0,,
13도창의군탑,5.0,서울 중랑구 망우동 57-3,
구릉산,4.0,서울 중랑구 신내동 산 77-19,
새우개고개,5.0,서울 중랑구 신내동,
중랑청소년체험의숲 운영센터,0.0,서울 중랑구 망우동 74,
극락사약수터,5.0,서울 중랑구 망우로91길 100,
YH무역공장터,0.0,서울 중랑구 사가정로49길 53,
상봉동 연탄공장터,5.0,서울 중랑구 상봉동 500-4,
아차산봉수대터,0.0,서울 중랑구 묵동 산 46-19 외 3필지,
중랑캠핑숲나들길,0.0,,
봉화산 해맞이명소,4.0,,
나들이약수터,1.0,서울 중랑구 망우동,
신내저류지,0.0,서울 중랑구 신내역로 165,
형제바위,0.0,서울 중랑구 망우동 산 57-3,
충익공신경진묘역,5.0,서울 중랑구 망우로70길 103,
중랑천제방,0.0,서울 중랑구 면목동,
면목천,0.0,서울 중랑구 면목동 727-78,
다해인터내셔날,0.0,서울 중랑구 망우로70길 103,02-495-2580
용마산나들길,0.0,,
서울명예도로 옹기테마길,0.0,,
서울명예도로 서울장미길,0.0,,
봉화제도당,0.0,서울 중랑구 묵동 46-19,
중랑캠핑숲 분수연못,0.0,서울 중랑구 망우동 56,
서울명예도로 우림맛솜씨길,5.0,,
서울명예도로 서일대학길,0.0,,
소통의 문,0.0,서울 중랑구 망우동 산 56,
구능산,0.0,서울 중랑구 신내동 산 2-1,
경춘선숲길,4.4,서울 노원구 공릉동 320-2,
노원불빛정원,4.4,서울 노원구 공릉동 29-4,02-2116-0548
묵동천,0.0,서울 노원구 공릉동 60-1,
공릉산백세문,3.5,서울 노원구 공릉동,
망우산,3.6,경기 구리시 교문동 산 84-2,02-2094-2344
의릉,4.7,서울 성북구 화랑로32길 146-20,02-964-0579
문정왕후릉,3.3,서울 노원구 화랑로 727,
삼군부청헌당,5.0,서울 노원구 공릉동 육군사관학교,
공릉동국수거리,2.5,서울 노원구 공릉동 572-4,
그림도자기애리,0.0,서울 노원구 동일로 986 노원프레미어스엠코 101동 205A호,02-975-8583
연령군이훤신도비,5.0,서울 노원구 공릉동 230-1 육군사관학교 내,
우이천,5.0,서울 성북구 석관동,
경춘선숲길 방문자센터,4.6,서울 노원구 하계동 107-2,02-3783-5977
사색의길,4.0,경기 구리시 교문동 산 84-1,
깔딱고개쉼터,5.0,경기 구리시 아천동 산 7-1,
배봉산답십리나들길,5.0,,
동구릉,4.4,경기 구리시 동구릉로 197,031-563-2909
서울과학기술대학교 붕어방,4.7,서울 노원구 공릉로 232,
불암산둘레길 나절길,2.0,,
준도예아트,0.0,서울 노원구 동일로 1007,02-975-0850
갈매 구릉산자락길,5.0,경기 구리시 갈매동 392-20,031-550-2241
별하정,5.0,경기 구리시 갈매동 663,
전영택 집터,5.0,서울 동대문구 이문로21길 7,
배탈고개,4.9,경기 구리시 동구릉로80번길 5-8,
천장산,4.8,서울 성북구 석관동 산 1-5,
디세,5.0,서울 노원구 공릉로34길 121 용호빌딩 3층,0507-1326-2163
망우독립유공자묘역 문일평 묘소,0.0,경기 구리시 교문동 산 84-2,
한국예술종합학교 석관동캠퍼스 음지못,5.0,서울 성북구 화랑로32길 146-37,
효빈묘,4.5,경기 구리시 교문동 산 140-6,
동구릉 숭릉,5.0,경기 구리시 동구릉로 197,
천장산산책길,0.0,,
갈매여가녹지공원 무장애나눔길,0.0,,
배봉산,4.6,서울 동대문구 전농동 산 32-20,
숭릉 정자각,4.0,경기 구리시 동구릉로 197,
동구릉 경릉,5.0,경기 구리시 동구릉로 197,
태릉 비각,0.0,서울 노원구 화랑로 727,
오성군묘,5.0,경기 구리시 교문동 산 140-6,
배봉산무장애숲길,4.7,서울 동대문구 전농동 산 32-20,
백교저수지,0.0,경기 구리시 교문동 709-2,
동구릉 혜릉,4.0,경기 구리시 동구릉로 197,
경희대학교 교시탑,2.2,서울 동대문구 경희대로 23,
아름마을교통광장,0.0,경기 구리시 인창동 487-138,031-550-2418
영축산,4.2,서울 노원구 월계동 산 122-11,
샛다리지,4.0,경기 구리시 교문동 443-3,
관용탑,0.0,경기 구리시 교문동,
불암산더불어숲,0.0,서울 노원구 한글비석로4길 93-40,02-2289-6867
삼태기숲,5.0,서울 성북구 상월곡동 산 7-4,
동구릉 원릉,2.1,경기 구리시 동구릉로 197,
원릉 영조정순왕후릉,3.0,경기 구리시 동구릉로 197,
휘릉 인조왕비장렬왕휘릉,5.0,경기 구리시 동구릉로 197,
회기동벽화골목,2.5,서울 동대문구 회기동 3-20,
동구릉 휘릉,0.0,경기 구리시 동구릉로 197,
영축산순환산책로,4.5,서울 노원구 월계동 산 130-3,
삼육대학교 제명호,3.0,서울 노원구 화랑로 815,
강릉명종인순왕후릉,3.8,서울 노원구 화랑로 727,
중랑천,0.0,서울 노원구 공릉동,
서울시립대학교 하늘못,3.0,서울 동대문구 전농동 산 33,
장안평제방길,5.0,서울 동대문구 장안동,
건원릉,4.5,경기 구리시 동구릉로 197,031-563-2909
현릉 문종왕릉,4.6,경기 구리시 동구릉로 197,
배봉산 해맞이명소,0.0,,
강릉 정자각,0.0,서울 노원구 화랑로 727,
월계공원산책길,0.0,,
풍성군묘,0.0,경기 구리시 교문동 산 138-4,
강릉 비각,0.0,서울 노원구 화랑로 727,
우이천,4.4,서울 노원구 월계동,
104마을갈림길,0.0,서울 노원구 중계동 산 104-40,
광개토태왕비동상,5.0,경기 구리시 교문동 468-1,031-550-8351
웃골,0.0,서울 노원구 하계동,
동구릉 재실,3.0,경기 구리시 동구릉로 197,
아차산 4보루,5.0,경기 구리시 아천동 52-2,
인창중앙공원 어울마당,0.0,경기 구리시 동구릉로66번길 29,
인창중앙공원 솟을마당,0.0,경기 구리시 동구릉로66번길 29,
선동호,1.0,서울 동대문구 경희대로 26,
동구릉 수릉,5.0,경기 구리시 동구릉로 197,031-563-2909
인창중앙공원 현충탑,5.0,경기 구리시 동구릉로66번길 29,
충숙공이상길묘역,0.0,서울 노원구 하계동 산 16-1,
동구릉 문종왕릉,0.0,경기 구리시 동구릉로 197,
광개토태왕광장,0.0,경기 구리시 교문동 468-1,031-550-2472
이십사시간찬양교회,0.0,서울 동대문구 경희대로1길 8-7,070-4159-1140
아차산,4.3,경기 구리시 아천동 산 49-1,02-450-1395
벽진이씨충숙공묘역,3.0,서울 노원구 하계동 16-1,
홍릉시험림,4.5,서울 동대문구 회기로 57,02-961-2777
서울둘레길 3코스 하늘을 품은 포근한 숲길,4.4,,
밤을 걷는 밤 7화(천장산 하늘길),5.0,,
동천제,0.0,서울 노원구 하계동,
돌다리곱창골목,0.0,경기 구리시 수택동 408,
동구릉 현덕왕후릉,5.0,경기 구리시 동구릉로 197,
목릉선조왕릉,1.1,경기 구리시 동구릉로 197,
산들소리,,경기 남양주시 불암산로59번길 48-31,010-3039-3252
월곡산,4.8,서울 성북구 상월곡동 산 1-1,
아트원,0.0,서울 광진구 중곡동 575-11,02-452-6943
아차산등산로입구,5.0,서울 광진구 긴고랑로 213,
평강폭포,0.0,서울 광진구 중곡동 176-119,
불암산철쭉동산,3.7,서울 노원구 중계동 산 45,02-2116-3964
청계천매화거리,4.2,서울 성동구 용답동 130,
구리광장,3.3,경기 구리시 인창동 208-39,031-550-2045
서울어린이대공원 동물원,4.3,서울 광진구 능동 18 어린이대공원 중앙부,02-450-9311
북서울꿈의숲 창녕위궁재사,4.6,서울 강북구 월계로 173,
파라다이스 카지노워커힐,3.3,서울 광진구 워커힐로 177,1899-0700
불암산 산림치유센터,5.0,서울 노원구 한글비석로12길 51-80,02-3392-4142
아차산 해맞이명소,4.8,,
회춘약수터,0.0,서울 노원구 중계로6길 125,
유황온천로데오,3.0,경기 남양주시 별내중앙로 30 9층,031-528-4310
구리타워,3.8,경기 구리시 왕숙천로 49,
북서울꿈의숲 전망대,3.9,서울 강북구 번동,
서울테마산책길 팔각정길,5.0,,
갈매천,0.0,경기 구리시 갈매동,
경기옛길 평해길 제1길 망우왕숙길,0.0,,
중계동학원가,2.3,서울 노원구 중계동 391,
노원문화의거리,4.8,서울 노원구 상계동 719-1,
별내동 카페거리,4.4,경기 남양주시 별내동 946-7,
촬영소고개,0.0,서울 동대문구 답십리동 2-295,
장자못,4.3,경기 구리시 교문동 593-1,
천장산 하늘길,0.0,서울 동대문구 청량리동 207-43,
왕숙천,0.0,경기 구리시 인창동 22-29,
오동공원산책길,0.0,,
초안산 수국동산,5.0,서울 노원구 월계로45가길 57,
미아리고개,4.0,서울 성북구 돈암동,
서울시민천문대,0.0,서울 노원구 동일로205길 13,02-971-9232
아차산 입구,5.0,서울 광진구 구의동 3-16,
청량리통닭골목,3.7,서울 동대문구 제기동 850,
초안산,4.5,서울 노원구 월계동 산 6,
고려대학교 중앙광장,4.4,서울 성북구 안암로 145,
테이블에이 다산점,3.2,"경기 남양주시 다산중앙로146번길 12-10 7, 8층",031-523-2570
불암산둘레길전망대,4.0,서울 노원구 중계동 산 101-1,
이윤탁한글영비,4.5,서울 노원구 한글비석로 202,
명빈묘,3.0,경기 구리시 아천동 산 14,031-563-2909
동구릉 인목왕후릉,0.0,경기 구리시 동구릉로 197,
서울둘레길 5코스 사람과 역사를 잇는 길,4.7,,
동구릉 의인왕후릉,5.0,경기 구리시 동구릉로 197,
노원고개,0.0,서울 노원구 중계동,
정릉천,1.0,서울 성북구 종암동,
불암산등산코스,5.0,경기 남양주시 별내동 797,
지식의꽃밭,5.0,서울 동대문구 전농동 691-3,
평화의소녀상,4.6,경기 구리시 인창동 219-4,
미아사거리 먹자골목,5.0,서울 강북구 미아동 860-68,
아차산어울림광장,4.0,서울 광진구 광장동 370-3,
용답동로데오거리,3.5,서울 성동구 용답동 125-1,
북서울꿈의숲 계절수목원,0.0,서울 강북구 월계로 173,
두레물골,0.0,경기 구리시 사노동,
개운산,4.7,서울 성북구 안암동5가 126-87,
국립산림과학원 외국수목원,4.8,서울 동대문구 회기로 47,
보타사 마애보살좌상,3.5,서울 성북구 개운사길 60-46,
워커힐길,4.1,서울 광진구 워커힐로 177,
구리시민한강공원 태극기광장,5.0,경기 구리시 토평동 810,
아차산성,3.8,서울 광진구 광장동 5-11,02-450-1410
두들스,0.0,서울 노원구 초안산로 12,
숭인원,5.0,서울 동대문구 홍릉로 90,
아차산태극기동산,5.0,경기 구리시 아천동 산 9-7,
북서울꿈의숲 월영지,3.5,서울 강북구 월계로 173,
송정제방,4.3,서울 성동구 송정동,
암사동선사주거지 움집,5.0,서울 강동구 올림픽로 875,
태능갈비골목,5.0,경기 남양주시 별내동 700-2,
중곡동가구거리,3.0,서울 광진구 능동,
월계동각심재,4.0,서울 노원구 초안산로7길 20,
개운산숲나들길,3.0,,
학도암 마애관음보살좌상,0.0,서울 노원구 중계로14다길 89,
불암산 정상,4.5,경기 남양주시 별내동,
왕숙천 생태습지,0.0,경기 구리시 수택동 363-3,
