name,degree,address,tel
중앙해장,4.0,서울 강남구 영동대로86길 17 육인빌딩 1층,02-558-7905
진미평양냉면,3.7,서울 강남구 학동로 305-3 정각빌딩 1층,02-515-3469
노티드 청담,3.8,서울 강남구 도산대로53길 15 1층,1800-6067
압구정공주떡,4.2,서울 강남구 논현로161길 10 1층,02-516-3643
농민백암순대 본점,4.4,서울 강남구 선릉로86길 40-4 알앤지타운 1층,02-555-9603
뱃고동,3.7,서울 강남구 언주로172길 54 지하 1층,02-514-8008
뽕나무쟁이 선릉본점,4.2,서울 강남구 역삼로65길 31 1층,02-558-9279
신동궁감자탕뼈숯불구이 선릉직영점,3.6,서울 강남구 선릉로86길 39 1층,02-558-7944
울프강스테이크하우스,3.6,서울 강남구 선릉로152길 21 영인빌딩 1층,02-556-8700
삼원가든,,서울 강남구 언주로 835,02-548-3030
새벽집 청담점,3.3,서울 강남구 도산대로101길 6,02-546-5739
팀호완 삼성점,3.5,"서울 강남구 봉은사로86길 30 지하1층, 1층",0507-1374-3082
몽중헌 청담점,3.8,서울 강남구 도산대로 445 엠빌딩 지하1층,02-3446-7887
땀땀,3.6,서울 강남구 강남대로98길 12-5,02-554-8892
스케줄 청담,,서울 강남구 선릉로152길 37 1층,02-548-3356
어거스트힐 강남점,4.1,서울 강남구 강남대로106길 25 1층,02-568-8003
농민백암순대 강남직영점,4.6,서울 강남구 역삼로3길 20-4,02-501-2772
꽁티드툴레아 도산점,3.3,서울 강남구 도산대로49길 39 1층,070-8846-8490
강강술래 역삼점,3.7,서울 강남구 논현로 325 1층,02-567-9233
알베르,3.0,서울 강남구 강남대로102길 34,02-566-6181
돝고기506,3.5,"서울 강남구 역삼로17길 53 서연빌딩 2,3층",02-6933-9506
수담한정식,3.5,서울 강남구 봉은사로 418 조양빌딩 지하1층,02-558-4900
갓덴스시 강남점,4.1,서울 강남구 테헤란로 109 강남제일빌딩 1층,02-2051-1477
까폼 본점,4.1,서울 강남구 선릉로153길 18 지하1층,02-6081-7318
능라도 강남점,3.8,서울 강남구 삼성로 534 싹아트센터 1층,02-569-8939
리북집 논현직영점,3.8,서울 강남구 학동로2길 47,02-540-8589
보노보노플러스 삼성점,3.8,서울 강남구 테헤란로 508 해성2빌딩 지하1층,02-3288-8080
마일스톤커피,4.5,서울 강남구 논현로159길 49 1층,070-4219-1195
보슬보슬 역삼본점,,서울 강남구 논현로85길 59 남곡빌딩 1층,02-6014-1245
홍명,3.7,서울 강남구 논현로131길 10 1층,02-548-2223
대가방 본점,3.1,"서울 강남구 봉은사로 333 1층 101,102호",02-544-6336
신동궁감자탕 역삼직영점,3.3,서울 강남구 테헤란로10길 21,
장인닭갈비 강남점,3.0,서울 강남구 테헤란로1길 19 지하 1층,02-3452-3441
강남진해장,3.2,서울 강남구 테헤란로5길 11 유빌딩 1층,02-557-2662
