name,degree,address,tel
백년화편,4.3,서울 강동구 양재대로81길 32 1층,1588-5678
스윗솔트,4.6,서울 강동구 상암로 286,02-3427-0999
차이나린찐,2.4,서울 강동구 강동대로 217 인텍스파크뷰 1층,02-470-2600
로니로티 천호점,4.1,서울 강동구 천호대로 1027 2층,02-487-7999
브랜뉴하이몬드,3.8,"서울 강동구 천호옛14길 11 1,2층",02-478-2402
갓잇 올림픽공원점,3.9,서울 강동구 성안로 14 1층,02-485-9451
풍년상회쪽갈비,4.4,서울 강동구 천호옛14길 23-6,02-478-0555
이한진숙성회,4.5,서울 강동구 구천면로 247-1 2층,02-476-5007
수라연,2.3,서울 강동구 강동대로 143-64 태창타워 2층,02-473-0550
소문난사골칼국수,3.9,서울 강동구 천호대로 1121 일성오피스텔 1층,
더식당,4.1,서울 강동구 천호대로157길 24 2층,02-489-0403
강동반상,3.2,서울 강동구 상일로6길 39 강동타워 지하1층,02-429-2733
버섯잔치집,3.8,서울 강동구 성내로 52 성원빌딩 1층,02-470-0092
긴자 올림픽공원점,3.2,서울 강동구 강동대로 223,02-483-1122
길조,3.5,서울 강동구 천호대로 1173,02-476-9494
평양만두집,3.8,서울 강동구 성내로 14,02-488-2149
시집,4.0,서울 강동구 천호대로158길 15-8,02-486-8986
숟가락반상 마실 강동점,3.0,서울 강동구 동남로73길 31 한국4H회관 2층,02-429-6999
푸지미곱창,3.8,서울 강동구 천호옛14길 23,
메이탄 길동점,3.7,서울 강동구 천호대로 1125 2층,02-474-2988
신흥정육식당,4.0,서울 강동구 양재대로89길 16,
강동해물찜해천탕,3.5,"서울 강동구 양재대로 1416 1,2층",02-483-7345
천호맛집 등갈비달인 본점,4.4,서울 강동구 천호대로158길 25 1층,02-6203-4638
꿀꿀진순대국 강동본점,4.1,"서울 강동구 양재대로103길 70 강동아너스빌 1층 101,102호",0507-1435-0087
꼼떼 둔촌본점,,서울 강동구 동남로51길 9 1층,02-470-2001
쭈꾸미도사 천호점,4.2,서울 강동구 천호대로158길 9 1층,02-488-0523
봉래면옥,4.3,서울 강동구 명일로 200-16,02-6081-2500
연풍민락 천호점,4.0,서울 강동구 천호대로157길 18 원방빌딩 2층 201호,02-473-9688
소담촌 강동역점,,서울 강동구 천호대로 1092 에스케이허브진 2층,02-488-3369
미드데이썬,,서울 강동구 양재대로91나길 55 1층 101호,0507-136-9308
몽땅족발,3.7,서울 강동구 구천면로24길 20-16,02-485-7669
길동우동 길동본점,3.5,서울 강동구 천호대로 1135 1층,02-471-3455
청해진,3.9,서울 강동구 강동대로 187 파크비유캐슬 1층,02-473-8102
해왕조개전문 둔촌점,4.8,서울 강동구 풍성로56길 39,02-484-3111
송월냉면,4.0,서울 강동구 구천면로29길 26,02-484-1910
셀프하우스,3.5,서울 강동구 올림픽로 572 코오롱2차아파트상가 107호,02-476-7063
산수고원,3.3,서울 강동구 동남로 588,02-478-3490
족발선생,,서울 강동구 올림픽로70길 51-6 1~3층,02-472-1333
함경면옥,3.6,서울 강동구 강동대로 215 삼안빌딩 1층,02-473-5406
양도령숯불민물장어 본점,3.7,서울 강동구 양재대로 1521 1층,02-489-0010
해중천반점 천호동점,2.8,서울 강동구 천호옛길 84,02-477-3878
짬뽕지존 길동점,2.9,서울 강동구 양재대로 1450 1층,02-476-2234
에이컷스테이크 올림픽공원점,4.0,서울 강동구 강동대로 187 파크뷰캐슬 2층,02-482-8050
아키노유키 본점,3.8,서울 강동구 올림픽로70길 50-7,02-488-6923
화진포막국수 강동구청점,3.9,서울 강동구 성내로10길 12,02-478-1539
고모네원조콩탕북어탕,4.4,서울 강동구 풍성로57길 13,02-485-4675
형제기사식당,4.5,서울 강동구 성안로 186 1층,02-472-8015
풍촌코다리네 본점,4.1,서울 강동구 올림픽로 763 1층,02-442-9279
한국식왕돈까스1980 천호본점,3.0,서울 강동구 올림픽로 737,02-472-6363
사시미 천호점,3.3,서울 강동구 천호대로155길 22 1~4층,02-474-0840
천호동엄마손만두,3.5,서울 강동구 올림픽로 683 명화빌딩 1층 101호,02-471-4436
안녕식당,3.2,서울 강동구 천호대로159길 53,02-473-0543
멘야세븐,3.7,서울 강동구 양재대로112길 45,070-4300-7771
풀팬,4.2,서울 강동구 올림픽로 660 104호,02-489-1919
천호누룽지통닭구이 성내점,4.7,서울 강동구 천호옛14길 35 1층,02-474-9279
황도바지락칼국수,3.1,서울 강동구 천호대로 1256,
왕대포포차,2.6,"서울 강동구 구천면로 140 9, 10층",
씨푸드박스 천호본점,4.1,서울 강동구 구천면로 149 1층,02-478-4474
서초면옥 천호본점,2.7,서울 강동구 올림픽로 728 1층,02-489-1423
초밥의신 부타 천호점,3.5,서울 강동구 천호대로155길 11 1층,02-470-9788
국민떡볶이,4.0,서울 강동구 양재대로83길 14,010-9711-6693
보성갈비 본점,3.9,서울 강동구 양재대로89가길 14 1층,02-486-3393
예가족발,4.1,서울 강동구 양재대로 1424 하나빌딩 1층,02-472-7757
채스우드커피,3.8,서울 강동구 성안로 42 1층,02-470-4562
명일원조닭발,4.2,서울 강동구 상암로47길 86,02-429-8548
테라로사 길동점,3.8,"서울 강동구 천호대로 1221 SK라이프스타일 스테이션 1,2층",1668-2764
지리산왕재봉흑돼지,3.8,서울 강동구 상암로 26 1층,02-3426-5120
인정원월남쌈 본점,2.8,서울 강동구 천호대로 1158 1층,02-476-7077
맥도날드 서울둔촌DT점,3.4,서울 강동구 양재대로 1382,02-6140-5000
골드참치,3.9,서울 강동구 양재대로 1500,02-478-3337
대성원,4.0,서울 강동구 천중로15길 37 1층,02-484-8005
숯불돼지갈비마포집,2.5,서울 강동구 상암로 200 1층,02-3427-4816
주양두리돈까스 암사직영점,2.3,서울 강동구 고덕로 89 2층,02-487-8558
쭈꾸쭈꾸쭈꾸미 본점,3.1,서울 강동구 천호옛길 98,02-484-1472
영화정해장국,4.5,서울 강동구 진황도로43길 9 1층,02-476-1968
양촌리 길동점,2.1,서울 강동구 천호대로 1108 13호,02-485-9292
시찌린,3.5,서울 강동구 동남로 877 2층,02-3427-8592
닭집애 성내점,4.1,서울 강동구 천호옛14길 35 1층 101호,010-7484-8424
충무굴보쌈족발,3.4,서울 강동구 양재대로111길 7,02-484-5556
서울스타시티레스토랑,3.3,서울 강동구 구천면로 140 7층,02-488-2042
푸주옥,2.6,서울 강동구 강동대로 209,02-474-6987
마드레,3.5,서울 강동구 동남로 710,02-486-0852
디자인카페허브,3.7,서울 강동구 천호대로200길 15-16,02-417-0437
펠어커피 강동점,4.2,서울 강동구 천호옛14길 23-12 1층,070-8098-7781
돈가스만,4.3,서울 강동구 강동대로53길 93 1층,02-477-6301
당산오돌 길동점,4.5,서울 강동구 진황도로 93,02-486-8202
하다식당,4.2,서울 강동구 풍성로 105 1층,02-474-3555
개성김치손만두,4.7,서울 강동구 동남로85길 70,02-428-3871
세꼬시,4.5,서울 강동구 양재대로 1427 1층,02-473-8664
산장가든,4.1,서울 강동구 동남로49길 26,02-485-3388
스시마에,4.4,서울 강동구 성내로 40 1층,02-484-9914
옛날불고기,4.0,서울 강동구 상암로12길 4 1층,02-477-9235
얌얌카츠,4.6,서울 강동구 천호옛14길 22 1층,
육대쌈 암사점,2.9,서울 강동구 고덕로 104,02-427-6363
카페제이,4.1,서울 강동구 동남로82길 19 1층,070-8270-9370
용문객잔,4.5,서울 강동구 구천면로41길 14,
진이네떡볶이,3.6,서울 강동구 동남로71길 23 한양아파트상가 1층,02-481-2585
할머니추어탕,4.4,서울 강동구 구천면로 516,02-481-1022
맥도날드 굽은다리역DT점,2.7,"서울 강동구 양재대로 1587 1,2층",070-7209-0553
동구밖장작구이,3.7,서울 강동구 풍성로 309,02-484-5292
블랑제리11-17,3.4,서울 강동구 올림픽로 624 1층,02-6439-6718
오징어포차,3.9,서울 강동구 구천면로 246 1층,
고집 천호점,4.0,서울 강동구 천호대로 1027 1층,070-4415-9200
벌스커피,4.2,서울 강동구 성내로5길 34 1층,02-6084-3317
브런치빈 명일점,,서울 강동구 양재대로 1625 7층 1호,02-474-3941
주양돈까스 고덕본점,1.9,서울 강동구 동남로73길 26 1층,02-441-2101
선남Sea,4.3,서울 강동구 상암로 26 선사타워빌딩 1층,02-427-8195
고급아바이순대,2.9,서울 강동구 진황도로 127,02-484-4317
여수집,3.3,서울 강동구 아리수로68길 28,02-427-5551
오륜정,3.4,서울 강동구 성내로6길 32 1층,02-482-3698
경송,4.3,서울 강동구 천호대로159길 22 1층,02-486-9588
다람,3.1,서울 강동구 양재대로85길 29 1층,02-475-6047
우리동네막국수국밥,4.9,서울 강동구 상암로4길 9,02-428-0401
쿠우쿠우 골드강동점,3.3,서울 강동구 양재대로 1571 홈플러스 지하1층 B1호,02-484-6274
스타벅스 천호로데오점,4.4,서울 강동구 천호대로 1037,1522-3232
월요일,4.0,"서울 강동구 천호대로158길 36-6 1,2층",
스타벅스 강동암사DT점,3.8,서울 강동구 고덕로 43,1522-3232
천하뼈다귀감자탕,4.0,서울 강동구 성안로 13,02-475-5588
착한낙지 서울둔촌점,2.8,서울 강동구 동남로 592,02-484-0071
성내동커피집 온온,4.0,서울 강동구 성내로18길 34 1층 103호,
인생횟집,4.4,서울 강동구 올림픽로92길 11 1층,02-478-1802
황실짜장 광진교4호점,4.0,서울 강동구 올림픽로 688 1층,
장어집,3.8,서울 강동구 가래여울2길 33,02-441-8000
브리에,,서울 강동구 강동대로51길 50 1층,0507-1336-7304
대박집 천호점,3.9,서울 강동구 구천면로 283,02-485-0203
서울감자탕,3.3,서울 강동구 천호대로 1116,02-484-8337
스타벅스 천호역점,4.4,서울 강동구 천호대로 1012 태승빌딩 1층,1522-3232
더맛있는족발보쌈 명일점,3.5,서울 강동구 양재대로143길 7 1층,02-442-6399
참사랑해 본점,4.5,서울 강동구 양재대로 1500 1층 109호,02-473-1337
전주감자탕,4.3,서울 강동구 상암로 191 1층,02-442-7714
한국식윤화돈까스 본점,2.5,서울 강동구 천호대로 1194 1층,02-489-5717
앙상블,4.8,서울 강동구 양재대로147길 5 2층,02-441-9451
청기와타운 길동사거리점,3.9,서울 강동구 양재대로 1424 하나빌딩 1층 101호,02-483-3674
원조성내식당,4.0,서울 강동구 양재대로81길 8,02-476-5769
라라포분짜쌀국수,3.6,서울 강동구 성안로 170 에이치비골드빌 1층 101호,02-6485-2000
명륜진사갈비 서울암사점,4.3,서울 강동구 올림픽로98길 30 탑스빌딩 1층,02-429-2232
