name,degree,address,tel
유림 닭도리탕,3.3,서울 강서구 공항대로71길 5,02-3665-3930
금고깃집 마곡본점,3.5,"서울 강서구 마곡동로 61 에이스프라자 1,2층 109, 203~205호",0507-1386-8295
조연탄,4.0,서울 강서구 곰달래로60길 29,070-7641-2008
봉이밥,4.3,"서울 강서구 마곡중앙로 171 마곡나루역프라이빗타워2 1층 103,104호",02-6954-0288
키누카누 발산점,3.6,"서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호",02-6421-9876
공항칼국수,2.5,서울 강서구 공항대로 18-1,02-2664-9748
샤브20 발산역점,4.2,서울 강서구 공항대로 261 2층,02-2658-2005
마부자생삼겹살김치찌개,2.9,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,02-3665-0788
옥소반 마곡본점,,"서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 123,124호",02-2668-8080
청산별곡 발산점,2.7,서울 강서구 공항대로 290 순봉빌딩 2층 207호,02-3664-9599
카페우드진,4.0,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호,02-6052-0116
광주똑순이아구찜,3.9,서울 강서구 강서로 375-8 정호빌딩 1층,02-2668-3030
고성막국수,3.5,서울 강서구 방화대로49길 6-7,02-2665-1205
고양이정원,2.7,서울 강서구 개화동로19길 18 1층,02-2665-4507
도화림,4.2,서울 강서구 강서로 391 문영비지웍스 2층 206호,02-6952-8777
상생삼겹살,4.5,"서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 113,114호",02-6989-9191
백제원 등촌점,3.5,서울 강서구 공항대로 367 3층 301호,02-2668-4114
충북식당,3.2,서울 강서구 강서로45가길 9,02-2697-1475
사모님짬뽕,3.2,서울 강서구 금낭화로18길 10 1층,0507-1438-3422
오복순대국 등촌직영점,4.0,서울 강서구 공항대로45길 5,02-3661-6611
원조수구레,3.5,서울 강서구 공항대로 103 마곡엠밸리9단지 판매시설2동 1층 111호,02-2665-4596
예향정 마곡점,4.3,"서울 강서구 마곡중앙로 161-11 힐스테이트에코 2층 A-202, 203호",02-3665-1973
갈비생각 발산점,3.5,서울 강서구 강서로54길 42 1층,02-2063-1113
꾸이꾸이돼지촌쭈꾸미 본점,3.9,서울 강서구 초원로 77 1층,02-2662-3450
발산삼계탕,3.7,서울 강서구 강서로 344,02-3662-3930
발산한우진곱창,4.1,서울 강서구 강서로 395 플레이스에이치,02-2668-7776
방화동교동짬뽕,4.4,서울 강서구 금낭화로24나길 21,02-2665-5778
원조나주곰탕,4.5,서울 강서구 양천로14길 10 2동 1층,02-2666-8292
도일처,2.7,서울 강서구 개화동로 567 1~2층,02-2662-2322
칼스토랑,4.3,서울 강서구 방화대로6라길 2 1층,02-2666-5142
이조면옥,2.6,서울 강서구 양천로 353,02-3661-3457
닥터로빈 강서점,4.2,"서울 강서구 공항대로 396 1,2층",02-2065-3111
속초그바람에 발산점,4.5,서울 강서구 강서로54길 11 1층,02-3665-6839
이현우스시,4.5,서울 강서구 강서로33길 26 1층,02-2699-0020
조선갈비,2.3,서울 강서구 공항대로 341,02-2658-9300
다채우렁돌솥쌈밥,3.8,서울 강서구 화곡로20길 12,02-2608-0008
훈장골 발산점,3.7,서울 강서구 공항대로36길 9,02-2666-5251
마실 발산점,2.7,서울 강서구 공항대로 290 2층,02-3663-6639
원조동글갈비,2.4,서울 강서구 화곡로 194-15,
능라도 마곡점,3.3,"서울 강서구 마곡동로 56 건와빌딩 2층 202,203호",02-6958-8939
