name,degree,address,tel
온정돈까스,,서울 관악구 조원로 60 1층,02-3281-3330
쟝블랑제리,3.8,서울 관악구 낙성대역길 8,02-889-5170
강강술래 신림점,2.9,서울 관악구 남부순환로 1660 1층,02-886-9233
원조민속순대타운,3.2,"서울 관악구 신림로59길 14 2,3층",
정담은보쌈 신림점,4.1,서울 관악구 남부순환로 1661,02-888-8401
서울갈비 신림점,4.0,서울 관악구 남부순환로 1645,02-885-7610
고기굽는사람들 샤로수길본점,4.4,서울 관악구 관악로14길 70 1층 106호,0507-1357-6884
복돈이부추삼겹살 사당본점,2.6,서울 관악구 남현1길 68-14 남현빌딩 1층,02-582-5124
아리차이 신림점,4.0,서울 관악구 신림동길 4 1층,02-877-1272
외래향 서울대점,3.5,서울 관악구 남부순환로 1801 2층 201호,02-888-1224
기절초풍왕순대,4.0,"서울 관악구 봉천로62길 2 1,2층",02-872-8805
월화고기 보라매직영점,,서울 관악구 보라매로3길 16,02-888-7592
중화요리팔공,4.3,서울 관악구 남부순환로 1680 지하1층,02-877-9815
오월의김밥,4.5,서울 관악구 봉천로 605,02-876-7792
킷사서울,3.2,서울 관악구 남부순환로226길 31 2층,02-878-7444
춘천골숯불닭갈비,4.7,서울 관악구 신림동7길 46 1층,02-873-8592
막불감동,3.8,서울 관악구 남부순환로 1599 지하1층,02-883-2110
디자이너리카페,3.9,서울 관악구 관천로 71-1 4층,02-868-7112
은행골 본점신관,3.3,서울 관악구 조원로 10-1 1층,02-859-4988
정가 한정식,3.9,서울 관악구 남부순환로 1710 이너스빌딩,02-884-8988
미가할매집,3.7,서울 관악구 신림로 374,02-888-6940
청송산오징어,4.0,서울 관악구 남현1길 8 1층,02-584-5286
텐동요츠야,3.7,서울 관악구 관악로14길 71 2층,
시골집,3.8,서울 관악구 낙성대로 22-7,02-874-7333
논밭골 봉천점,3.5,서울 관악구 청룡길 30,02-875-6493
숙이네조개전골 서울대입구점,4.4,서울 관악구 관악로16길 41 1층,02-878-4645
마뇨떡볶이,4.1,서울 관악구 신원로 35 삼모더프라임타워 2층,02-873-6262
모힝,4.0,서울 관악구 남부순환로226길 36 2층,02-873-5164
소담촌 봉천현대시장직영점,4.0,서울 관악구 양녕로 50 금강빌딩 2층,02-876-0977
서울밥집,4.0,서울 관악구 관천로 36-1 1층,
서울집 신림직영점,4.1,서울 관악구 신림동길 6,02-872-7610
제주상회,4.3,서울 관악구 관악로12길 108 지하 1층,02-883-7083
깡통닭갈비,4.0,서울 관악구 남부순환로 1597-14 1층,02-873-7770
한우정육마당 구로점,4.0,서울 관악구 시흥대로164길 3 1층,02-867-0070
만성찬팅,3.5,서울 관악구 신림로 322-4 1층,02-883-1978
사생활 신림점,3.6,서울 관악구 신사로14길 19 지하1층,070-5033-7759
미나리생삼겹,4.2,서울 관악구 남부순환로 1585-3 1층,02-884-9292
오첨지,4.2,서울 관악구 남부순환로176길 18 2층,02-889-8016
폼앤노말,4.1,서울 관악구 신림로67길 25 1층,010-4053-1124
봉이돈까스,4.3,서울 관악구 남부순환로 1754,02-877-7009
미림분식,4.1,서울 관악구 호암로 553,
대원갈비,2.9,서울 관악구 신림로67길 5,02-883-3532
성민양꼬치 본점,4.0,서울 관악구 관악로16길 38 1층,02-888-8665
고창복의낙지세상 봉천점,2.9,서울 관악구 남부순환로 1725 2층,02-886-4242
조프로감자탕 서울대본점,4.2,서울 관악구 봉천로 461 1층,02-877-7199
신셰프양꼬치&훠궈 남현동1호점,2.6,서울 관악구 남현3길 71,02-598-0077
쥬벤쿠바,4.1,"서울 관악구 관악로14나길 10 1,3층",02-6032-0278
동명 IZAKAYA,4.0,서울 관악구 남현1길 42 남현빌딩 4층,02-522-8227
힘찬정육점식당 사당역직영점,2.7,서울 관악구 남현1길 58 1층,02-521-6366
