name,degree,address,tel
신림춘천집 구로디지털직영점,4.5,서울 구로구 디지털로32나길 17-23 우남산업 102호,070-8624-1998
강촌숯불닭갈비 본점,3.2,서울 구로구 공원로6나길 35-2,02-851-2194
스시메이진 구로점,2.6,서울 구로구 디지털로 300 지밸리몰 2층 6호,02-6344-3782
평양냉면,3.8,서울 구로구 고척로10길 65,02-2614-2263
메이비,3.0,서울 구로구 디지털로32나길 51,02-859-3073
신도림참족발 신도림점,4.2,서울 구로구 경인로 661 신도림1차푸르지오상가 1층 158호,02-3439-7182
컴포 신도림점,4.6,서울 구로구 경인로67길 57 상림빌딩 1층 102호,02-2637-3841
봉고기 신도림본점,4.0,"서울 구로구 경인로 619-3 상가 1층 112,113호",02-3667-8426
진심갈비,4.6,서울 구로구 경서로 11 1층,02-2689-9992
바르미스시샤브 현대백화점 디큐브시티점,3.6,서울 구로구 경인로 662 별관 3층,02-2210-9570
새벽집양곱창 신도림점,3.3,서울 구로구 경인로61길 21 크라운빌상가 1층 108호,02-2296-0325
최우영스시,3.2,서울 구로구 디지털로 288 대륭포스트타운 지하 1층,02-2082-3430
갓파스시 구로점,2.8,서울 구로구 디지털로 288 대륭포스트타워1차 2층 214호,02-864-4377
초가집부뚜막청국장,4.2,서울 구로구 구로중앙로28길 24 1층,02-863-0600
고바우,4.2,서울 구로구 부일로1길 9,02-2611-5586
백년불고기 구로디지털점,4.4,서울 구로구 시흥대로163길 15 1층,02-865-5024
서일순대국 구로점,4.2,서울 구로구 구로중앙로 6 1층,02-855-9833
송림가,2.7,서울 구로구 경인로 398,02-2066-6000
더족발 신도림본점,4.5,서울 구로구 경인로 619-3 푸르지오3차 상가 1층 106호,02-2636-9288
라마다서울신도림호텔 카페라라,4.7,서울 구로구 경인로 624 1층,02-2162-2051
오사카로,3.2,서울 구로구 경인로67길 23 대우푸르지오 206호,
소담촌 고척점,3.5,서울 구로구 경인로 397 골든타워빌딩 2층,02-2625-8388
닥터로빈 고척점,4.3,서울 구로구 경인로46길 51 3층,02-2066-8211
미식가양꼬치,4.6,서울 구로구 디지털로32길 92 미래타워빌딩 1층,02-851-5321
뒤뜰,3.3,서울 구로구 안양천로539길 6 고척빌딩 1층,02-2613-1973
쭉심 오류동점,4.5,서울 구로구 경인로23길 8,02-2684-1235
신선회수산 신도림점,4.6,서울 구로구 공원로6다길 14 1층,02-867-0408
대두족발,3.5,서울 구로구 디지털로32길 97-6 1층,02-888-3088
다채 개봉점,3.9,서울 구로구 개봉로23길 38 동흥빌딩 1층,02-2685-3392
한판참숯소갈비 구로디지털점,3.6,서울 구로구 시흥대로163길 12,02-867-7048
속초붉은대게,3.5,서울 구로구 경인로 584 신도림팰러티움 1층 106호,02-2633-8919
에버애프터,4.0,서울 구로구 새말로18길 36-10 지층,070-7543-1098
숙이네조개전골 신도림점,3.5,서울 구로구 새말로16길 29,02-861-6522
밤새먹소,3.5,서울 구로구 경인로 572 스타팰리스 1층,02-2068-7637
이춘복참치 신도림점,,서울 구로구 경인로 662 현대백화점 신도림디큐브시티 3층,02-2211-0375
