name,degree,address,tel
하누소 창동본점,2.5,서울 도봉구 노해로 327 5층,02-900-9800
대문,3.5,서울 도봉구 시루봉로 139-6,02-956-0843
무수옥,3.4,서울 도봉구 도봉로165길 15,02-954-6292
동적깡통구이 쌍문본점,4.4,서울 도봉구 도봉로109길 30 1층,02-906-9732
쌍문동판다쓰,4.2,서울 도봉구 우이천로24길 49 1층,02-6052-1578
황금정원,2.9,서울 도봉구 방학로 312,02-954-8881
도봉산양고기,3.2,서울 도봉구 도봉로191길 99-6,02-3492-3324
삼오집,3.4,서울 도봉구 도봉로165길 4,02-954-1916
수정궁,3.7,서울 도봉구 방학로 173,02-3491-0440
방학사거리짬뽕집 본점,3.0,서울 도봉구 도당로27길 22 1층,02-955-6558
호호분식,4.2,서울 도봉구 도봉로121길 32,02-900-1377
신화푸드빌리지 서울창동점,3.2,서울 도봉구 도봉로 526 2층,02-3297-3770
마쯔무라돈까스 본점,4.4,서울 도봉구 노해로63길 84 지하1층,02-991-9801
도봉관,,"서울 도봉구 노해로 261 1,2층",02-991-1231
옹기꽃게장,3.6,서울 도봉구 도봉산4가길 14-9 1층,02-3493-8201
짱나라해장국,4.4,서울 도봉구 방학로6길 20 1층,02-956-0664
산도토리임자탕,4.5,서울 도봉구 덕릉로60길 13 1층,02-903-9928
태림산채정식,3.7,서울 도봉구 노해로60길 32 1층,02-998-5468
소도둑 도봉동점,3.8,서울 도봉구 도봉로 909 1층,02-955-8882
쭈꾸미킹 쌍문점,3.1,서울 도봉구 도봉로 425 1층,02-900-7191
참만두,4.1,서울 도봉구 창동 23-4,010-2247-8432
도봉산두부,4.1,서울 도봉구 도봉산길 65-5,02-956-1999
할머니토스트,4.2,서울 도봉구 덕릉로60다길 15,010-9512-8809
채랑,4.2,서울 도봉구 도봉로 465 1층,02-900-4001
통나무집,4.0,서울 도봉구 노해로60길 99,02-900-6644
묵은지사랑,4.0,서울 도봉구 도봉로164길 38,02-954-5264
사이코우스시 쌍문점,2.8,서울 도봉구 방학로7길 99,
꿀소담,,"서울 도봉구 해등로16길 67 1,2층",010-9092-1512
천지연 서울창동점,3.1,서울 도봉구 도봉로 526,02-3297-3770
거궁 창동점,3.0,서울 도봉구 마들로13길 61 상가 3층,02-6077-8989
창동숯불돼지갈비,3.5,서울 도봉구 노해로63다길 15,02-900-9818
