name,degree,address,tel
을밀대 본점,4.2,서울 마포구 숭문길 24,02-717-1922
오레노라멘 합정본점,4.4,서울 마포구 독막로6길 14 2층,02-322-3539
미쁘동,,서울 마포구 동교로38길 33-21 2층,070-4242-1881
어반플랜트 합정,4.2,서울 마포구 독막로4길 3 1~3층,070-4192-0378
바다회사랑,3.4,서울 마포구 동교로27길 60 1층,02-338-0872
프릳츠 도화점,3.9,서울 마포구 새창로2길 17,02-3275-2045
역전회관,,서울 마포구 토정로37길 47,02-703-0019
마포진짜원조최대포 본점,,서울 마포구 마포대로 112-4,02-719-9292
헤키,4.6,서울 마포구 동교로9길 33 1층,070-7773-9870
피오니 홍대점,3.8,서울 마포구 독막로7길 51 1층,02-333-5325
진진,3.5,서울 마포구 월드컵북로1길 60 1층,070-5035-8878
마포양지설렁탕,3.3,서울 마포구 새창로 6,02-716-8616
하이디라오 홍대지점,4.2,서울 마포구 양화로 176 와이즈파크 5층,02-332-7668
카페공명 연남점,4.0,서울 마포구 연희로 11 한국특허정보원빌딩 1층,070-8869-6304
옥동식 서교점,3.9,서울 마포구 양화로7길 44-10 1층,010-5571-9915
어글리베이커리,3.1,서울 마포구 월드컵로13길 73,02-338-2018
몽중헌 공덕점,3.7,서울 마포구 마포대로 92 공덕해링턴 스퀘어 A동 2층,02-2197-1881
마포나루 도화본점,4.2,서울 마포구 삼개로 11,02-711-5959
망원동 즉석우동 전문돈까스 본점,3.8,서울 마포구 동교로 83 1층,02-336-1330
램랜드,4.1,서울 마포구 토정로 255 1층,02-704-0223
943킹스크로스,4.1,"서울 마포구 양화로16길 24 지하1층, 1~4층",
진미식당,3.7,서울 마포구 마포대로 186-6,02-3211-4468
락희옥 마포본점,4.4,서울 마포구 백범로 170 공덕더샵아파트 101동 1층 1호,02-719-9797
원조조박집 본관,4.2,서울 마포구 토정로 313-1 1층,02-712-7462
황금콩밭,3.8,"서울 마포구 마포대로16길 9 1,2층",02-313-2952
우동카덴 합정점,3.1,"서울 마포구 양화로7안길 2-1 1,2층",02-3142-6362
바다회사랑 2호점,3.2,"서울 마포구 동교로 143 1,2층",02-325-6565
연교,3.9,서울 마포구 연희로1길 65 1층,02-333-4561
소이연남,4.0,서울 마포구 동교로 267 1층,02-323-5130
모연,4.6,서울 마포구 토정로 318 영우빌딩 1층,02-704-0770
스케줄 합정,3.5,서울 마포구 양화로6길 33 홍타운 1층,02-322-2622
맛이차이나,3.6,서울 마포구 독막로 68 2층,010-9822-2653
감나무집기사식당,,서울 마포구 연남로 23 1층,02-325-8727
중화복춘,4.1,서울 마포구 동교로 220-7 1층,0507-1436-2209
크레이지카츠,4.1,서울 마포구 포은로2나길 44 2층,070-8621-7219
각시보쌈,3.7,서울 마포구 성지길 25,02-333-8786
담택,4.5,서울 마포구 월드컵로8길 34 1층,02-336-0974
투떰즈업,3.5,서울 마포구 월드컵로19길 71 1층,02-2291-6677
색동저고리 마포점,3.1,서울 마포구 도화길 27 2층,02-711-1211
우리바다수산,3.5,서울 마포구 월드컵로 102,02-322-3489
강강술래 홍대점,3.8,"서울 마포구 잔다리로6길 25 1,2층",02-3143-6635
굴다리식당,2.3,서울 마포구 새창로 8-1,02-712-0066
마포원조떡볶이,3.0,서울 마포구 도화2길 3 1층,02-719-2005
카와카츠 본점,4.2,서울 마포구 동교로 126 광남벨라스아파트 1층 102호,070-8801-2053
일등식당,4.1,서울 마포구 방울내로 82 1층,02-333-0361
리치몬드과자점 성산본점,3.6,서울 마포구 월드컵북로 86,02-325-0221
카미야,4.2,서울 마포구 와우산로21길 28-6 지하1층,02-322-5733
황곱 홍대점,4.7,서울 마포구 어울마당로 149 1층,02-337-8292
마포옥,,서울 마포구 토정로 312 1층,02-716-6661
마포왕족발,3.6,서울 마포구 만리재로 19 1층,02-717-2126
프리모바치오바치 홍대본점,3.9,"서울 마포구 와우산로23길 44 2,3층",02-323-0098
홍대 조선시대,4.7,서울 마포구 홍익로3길 44 지하1층,010-9482-9185
두껍삼 마포직영점,,"서울 마포구 독막로 331 마스터즈타워빌딩 1, 2층",1670-3592
아소정,3.7,서울 마포구 백범로25길 9 1층,02-703-5959
비스트로주라,4.4,서울 마포구 와우산로23길 18-7 1층,02-6406-5640
비파티세리 공덕점,4.2,서울 마포구 마포대로14길 4 1층,02-702-1220
앤트러사이트 서교점,3.6,서울 마포구 월드컵로12길 11,02-336-7650
감성타코 홍대점,3.5,서울 마포구 와우산로21길 20-11 2층,02-337-8883
복성각 마포본점,4.0,서울 마포구 마포대로 63-8 삼창프라자 지하 1층,02-703-3700
커피리브레 연남점,3.8,"서울 마포구 성미산로32길 20-5 1,2층",02-334-0615
미미램양꼬치,3.7,서울 마포구 성미산로 196 상암빌딩 1층,02-6339-7666
포비 합정점,3.7,서울 마포구 양화로3길 66 1층,02-566-3861
앤트러사이트 합정점,3.6,서울 마포구 토정로5길 10,02-336-7850
와이키키마켓,4.1,서울 마포구 마포나루길 332,02-854-8000
또보겠지떡볶이집 깐따삐아점,,서울 마포구 와우산로21길 28-12,0507-1394-8645
피자네버슬립스 합정상수점,4.1,서울 마포구 양화로6길 73 4층,070-8822-5877
우와 홍대본점,3.4,서울 마포구 와우산로21길 21-16 2층 202호,0507-1414-9500
카페레이어드 연남점,,"서울 마포구 성미산로 161-4 1,2층",116
평이담백뼈칼국수,4.2,서울 마포구 양화로7길 84 1층,02-336-3454
몰토베네,4.5,서울 마포구 성지3길 67 1층,02-6407-5678
장수갈매기 본점,3.6,서울 마포구 도화길 46 1층,02-716-7766
강동원,3.7,서울 마포구 망원로 3,02-335-0202
일일향 마포점,3.1,서울 마포구 새창로2길 15-2,02-702-2733
스파카나폴리,4.1,서울 마포구 양화로6길 28 2층,02-326-2323
멕시코식당,4.1,서울 마포구 독막로2길 23 1층,02-336-3666
더담,3.2,서울 마포구 와우산로29길 44 2층 201호,02-335-0066
소금집델리 망원,3.9,서울 마포구 월드컵로19길 14 2층,02-336-2617
경기떡집,3.7,서울 마포구 동교로9길 24 1층,02-333-8880
칸다소바 홍대점,4.3,서울 마포구 와우산로 51-6 1층,02-332-1660
테이스티버거,3.6,서울 마포구 독막로 67-11 행운빌딩 1층,02-336-3034
가미우동,4.3,서울 마포구 홍익로2길 23 1층 2호,
땡스네이쳐,4.2,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호,02-332-7470
일미락 상암점,3.5,서울 마포구 성암로13길 40,02-302-9293
개화기요정,2.3,서울 마포구 독막로7길 22,02-325-6677
툭툭누들타이,3.5,"서울 마포구 성미산로 161-8 지하1층, 1, 2층",070-4407-5130
마포곱창타운,3.6,서울 마포구 동교로27길 20 1층,02-336-4496
다이닝원 상암점,3.3,서울 마포구 매봉산로 80 파크M빌딩 지하 1층 1~10호,02-303-6274
남해바다,,서울 마포구 토정로37길 46 정우상가 1층 12호,02-707-3101
21세기 우리바다수산,2.6,서울 마포구 동교로 173,02-3141-6386
아오이토리,4.0,서울 마포구 와우산로29길 8 KC빌딩 1층,02-333-0421
교다이야,3.7,서울 마포구 성지길 39,02-2654-2645
산동만두,4.6,서울 마포구 도화길 22-10 1층,02-711-3958
철길왕갈비살,3.4,서울 마포구 와우산로32길 24,02-3143-2801
장인닭갈비 홍대점,,서울 마포구 어울마당로 111-1 1층,02-511-8812
콜린,3.8,"서울 마포구 어울마당로 45 1,2층",02-3141-1119
뉴오더클럽,3.7,서울 마포구 동교로34길 3 지하1층,02-336-1025
코코로카라 kokorokara,,서울 마포구 연남로1길 41 1층,010-4230-5928
합정고깃집,4.4,서울 마포구 양화로1길 21,02-3142-9282
연남제비,4.5,서울 마포구 성미산로 186 1층,02-6080-9808
신김치생삼겹살,3.7,서울 마포구 양화로 50 지1층,02-6405-8690
슬로우캘리 연남본점,4.1,서울 마포구 동교로38길 35 2층,02-336-0688
장작집 연남본점,4.1,서울 마포구 월드컵북로6길 19,010-3336-8844
딥블루레이크,4.0,서울 마포구 포은로6길 11,02-333-8532
이미커피,4.3,서울 마포구 동교로25길 7 1층,02-6368-5228
츠케루,4.5,서울 마포구 와우산로23길 9 칼리오페 1층 102호,02-322-1335
디벙크,4.0,서울 마포구 성지1길 30 더보이드빌딩 지하1층,02-6930-5598
이치류 홍대본점,4.3,서울 마포구 잔다리로3안길 44,02-3144-1312
당인리책발전소,3.8,"서울 마포구 월드컵로14길 10-8 지하층 ,1층",
합정광안리,,서울 마포구 독막로3길 38 1층,02-332-7366
합정옥,3.7,서울 마포구 양화로1길 21 2층,02-322-4822
육시리 마포직영점,4.4,서울 마포구 토정로 310 한국카본빌딩 1층,02-715-6692
홍대조폭떡볶이 홍대2호점,2.7,서울 마포구 홍익로6길 38 1층,
월강부산돼지국밥,4.0,서울 마포구 동교로 241-1 월강돼지국밥,02-326-5800
백년토종삼계탕 본점,3.6,서울 마포구 양화로 118,02-325-3399
홍마떡 홍대본점,,서울 마포구 어울마당로 112-6 1층,02-324-1107
한강껍데기,3.4,서울 마포구 망원로 48-1,02-6083-3733
작당모의,,"서울 마포구 동교로32길 19 1층 101,102호",070-8838-3815
마녀주방 홍대점,4.1,"서울 마포구 와우산로21길 36-10 1,2층",
스아게K,3.9,서울 마포구 와우산로29라길 7,02-336-1029
냉장고,4.7,서울 마포구 와우산로 23 규민빌딩 1층 102호,02-6012-0918
밀라노식당,4.1,서울 마포구 연남로1길 6-9,010-5415-5759
콩카페 연남점,3.6,서울 마포구 성미산로 161-14 1층,070-4131-0333
델리인디아,4.5,서울 마포구 독막로9길 8 2층,02-2631-2109
모멘트커피,3.4,서울 마포구 월드컵북로4길 29 1층,070-8860-5287
영동감자탕,4.5,서울 마포구 월드컵북로5길 17 1층,02-3141-8885
고향집,3.6,서울 마포구 포은로8길 28 1층,02-322-8762
봉피양 마포점,3.4,서울 마포구 토정로 308,02-715-2292
향미,3.1,서울 마포구 성미산로 193 1층,02-333-2943
하카타분코,3.0,서울 마포구 독막로19길 43 1층,
마포소문난원조족발,3.8,서울 마포구 만리재로 19,02-716-9731
산더미불고기,,서울 마포구 어울마당로 47 1층,02-323-8226
땡스오트 연남,4.3,서울 마포구 성미산로23길 68,02-3144-0890
발리문,4.4,서울 마포구 동교로 248-1 2층,070-7774-8282
미스터리브루잉컴퍼니,4.2,서울 마포구 독막로 311 재화스퀘어 1층,02-3272-6337
육장,4.1,서울 마포구 월드컵로19길 74 지하2층,
비스트로사랑방,4.0,서울 마포구 와우산로15길 40 2층,070-4799-0368
이치젠,3.6,서울 마포구 포은로 109 1층 101호,070-7740-0321
짬뽕지존 홍대점,3.3,서울 마포구 어울마당로 44-1 보리수빌딩 1층,02-332-6158
중화복춘 골드동교점,,서울 마포구 월드컵북로6길 42 태성빌딩 1층 101호,070-8803-2207
대도식당 마포대로점,,서울 마포구 마포대로 19 신화빌딩 지하 1층,02-714-9772
조선화로구이,3.8,서울 마포구 월드컵북로 5,02-3143-1300
양화정숯불갈비,,서울 마포구 월드컵로1길 17 1층,02-323-5777
사루카메,,서울 마포구 연남로 15 1층,070-8233-8933
하하,3.4,서울 마포구 동교로 263,02-337-0211
원마산 아구찜 본관,4.4,서울 마포구 마포대로1길 46 1층,02-719-0687
또보겠지떡볶이집 호호피크닉점,3.9,서울 마포구 독막로3길 34 2층 201호,02-335-3537
풍천장어 연남점,4.3,서울 마포구 동교로27길 39 1층,02-332-8361
연어롭다,,서울 마포구 동교로38길 42 지하1층,02-324-8300
소코아 홍대점,4.5,서울 마포구 와우산로15길 49 1층,070-8867-2510
테일러커피 연남1호점,3.9,서울 마포구 성미산로 189 1층,02-326-0355
브런치가,2.9,"서울 마포구 월드컵북로4길 39 1,2층",02-735-0263
여우골 홍대점,4.1,서울 마포구 와우산로19길 9,02-325-8717
교대이층집 상암점,3.9,서울 마포구 월드컵북로48길 19 상암빌딩 2층,02-3152-8878
소점,,서울 마포구 성미산로17길 99,010-6316-7739
순대일번지,2.8,서울 마포구 월드컵로 117 1층,02-334-9210
마루심 마포점,3.6,서울 마포구 토정로 316 성진빌딩 1층,02-711-1378
우이락 망원본점,3.2,서울 마포구 포은로8길 22 1층,0507-1438-5594
비포블루밍,4.0,서울 마포구 양화로23길 28,
시오,,서울 마포구 독막로2길 30 1층,02-6402-9413
아이엠베이글 공덕점,4.4,서울 마포구 백범로 152 공덕파크자이 근린생활시설 101동 1층 15호,070-7718-2881
하하&김종국의 401정육식당 홍대본점,2.2,서울 마포구 잔다리로 23 1층,02-325-0805
보승회관 홍대직영점,2.8,서울 마포구 어울마당로 131,02-322-8111
키쉬미뇽,3.3,서울 마포구 양화로6길 35,02-333-3466
망원시장손칼국수,3.9,서울 마포구 망원로8길 29 1층,02-6012-7139
그레이랩,4.0,서울 마포구 토정로3길 16,02-333-5694
롯데시티호텔마포 나루,4.3,서울 마포구 마포대로 109 2층,02-6009-1090
옥소반 상암점,4.0,서울 마포구 매봉산로 80 파크엠 1층 9호,02-303-4561
아우룸,,서울 마포구 월드컵로5길 33-26 1층,02-6105-0707
서강8경,3.4,서울 마포구 토정로 128 8층,02-334-1919
마포오향족발,3.0,서울 마포구 만리재로 19,02-715-7719
카페나하,4.1,서울 마포구 희우정로16길 32 2층,070-8834-1632
지로우라멘,4.0,서울 마포구 와우산로29가길 79,
신촌서서갈비,3.6,서울 마포구 서강로20길 11 1층,02-707-3886
혼가츠,3.0,서울 마포구 와우산로21길 36-6 102호,02-322-8850
공상온도,4.0,서울 마포구 동교로23길 40 지하 1층,02-336-0247
오롯,4.5,서울 마포구 백범로24길 5-5,02-3272-3555
몽미,4.6,서울 마포구 월드컵북로48길 50 1층,02-3152-0588
강화통통생고기 본점,4.1,서울 마포구 동교로 90 1층,02-322-1838
별천지설농탕,3.5,서울 마포구 월드컵북로 6,02-338-9966
한상가득왕솥뚜껑 상암본점,3.7,서울 마포구 월드컵북로42나길 20 위너스하임 지하1층 B01호,02-374-5701
오마,,서울 마포구 성미산로 192 챕터연남 2층,070-7786-1221
얼스어스,3.4,서울 마포구 성미산로 150 지하1층,
공감 홍대2호점,,서울 마포구 와우산로17길 10 2층,02-336-1675
SOUPER 마포,4.2,서울 마포구 삼개로 20 근신빌딩 별관 103호,02-711-2518
마포나루 아크로점,4.0,서울 마포구 마포대로 68 아크로타워 지하1층 102호,02-712-6822
부영각,3.6,서울 마포구 토정로 268,02-716-2413
마포갈매기,3.9,서울 마포구 도화길 48-21,02-712-0655
파네트,4.1,서울 마포구 마포대로11길 17,02-719-4600
능라도 마포점,3.0,서울 마포구 마포대로 25,02-717-0304
일편등심,4.1,서울 마포구 홍익로6길 52 SIL빌딩 3층,02-6212-1092
1984,3.5,서울 마포구 동교로 194 혜원빌딩 1층,02-325-1984
베르데 연남,4.2,서울 마포구 동교로 262-6 1층,02-6348-7564
시루케이크,4.5,서울 마포구 어울마당로1길 18 1층,070-4177-7700
옥자회관,4.4,서울 마포구 성암로 219-6 1층,02-375-5057
제비다방,4.4,서울 마포구 와우산로 24,02-325-1969
이춘복참치 공덕점,,서울 마포구 마포대로 92 효성해링턴 스퀘어 B동 2층 1호,02-2197-0212
히츠지야 한국본점,,서울 마포구 독막로3길 21 101호,0507-1416-6217
후라토식당 상수직영점,4.0,서울 마포구 독막로15길 3-14 1층,0507-1394-7090
부탄츄 홍대점,2.6,서울 마포구 와우산로35길 75 1층,02-3144-3304
마시타야,,서울 마포구 와우산로29라길 26,070-8119-5715
삿뽀로 홍대점,,서울 마포구 월드컵북로 14,02-3144-4671
