name,degree,address,tel
목란,3.3,서울 서대문구 연희로15길 21,02-732-0054
어머니와아들,4.2,서울 서대문구 홍은중앙로 100-1 1층,02-391-0411
신촌형제갈비,2.6,서울 서대문구 명물1길 2,02-365-0001
우동카덴 연희점,3.4,서울 서대문구 연희로 173 거화빌딩 1층,02-3142-6362
만동제과,4.3,서울 서대문구 연희로 32 1층,02-6489-2334
한옥집김치찜 서대문본점,2.6,서울 서대문구 통일로9길 12 1층,02-362-8653
철길떡볶이,2.8,서울 서대문구 충정로 35-6,02-364-3440
고미정,3.9,서울 서대문구 연희로26길 28,02-324-0016
연경 연희점,2.8,서울 서대문구 연희로 145,02-333-6655
연희동칼국수 본점,3.4,서울 서대문구 연희맛로 37 2층,02-333-3955
락희안 가좌본점,4.2,"서울 서대문구 가재울로4길 53 1, 2층",02-375-7576
꼬숑돈까스,3.7,서울 서대문구 명물1길 2 1층,
맛있는집,4.6,서울 서대문구 거북골로20길 55 지하1층,02-305-1906
수빈,,"서울 서대문구 연희로25길 31-3 1,2층",02-307-9979
앤트러사이트 연희점,3.5,서울 서대문구 연희로 135,02-332-7650
더파이홀,4.0,서울 서대문구 연세로5나길 20 1층,010-4258-1181
사조미가,3.4,서울 서대문구 통일로 107-39 사조빌딩 2층,02-362-1500
라구식당,4.0,서울 서대문구 연세로 42-24 1층,02-364-2224
녹원쌈밥,3.6,서울 서대문구 연희로25길 22,02-336-9483
복성각,3.3,서울 서대문구 명물1길 24,02-364-1522
소신이쏘,3.8,서울 서대문구 연세로5가길 19 1층,02-324-3245
조은집,3.6,서울 서대문구 연희맛로 43,02-323-8084
정육면체,3.8,서울 서대문구 연세로5다길 22-8 1층,070-4179-3819
달인꽈배기,3.8,서울 서대문구 통일로 205-3,02-313-5419
고삼이 신촌점,4.3,서울 서대문구 연세로7안길 38,02-324-1403
독수리다방,4.2,서울 서대문구 연세로 36 독수리빌딩 8층,02-363-1222
월순철판동태찜,4.4,서울 서대문구 연희맛로 17-14 1층,02-325-1567
피터팬1978 본점,4.1,서울 서대문구 증가로 10 연궁빌딩 1층,02-336-4775
이화원,2.8,서울 서대문구 연희맛로 13,02-334-1888
복성각 서대문점,3.6,서울 서대문구 통일로 135 충정빌딩 지하1층,02-313-5887
신촌황소곱창 신촌본점,2.2,서울 서대문구 연세로9길 31 1층,
오향만두,4.4,서울 서대문구 연희맛로 22 1층,02-326-2087
참맛집,2.5,서울 서대문구 경기대로 82 지하1층,02-6095-8576
연희곰탕,4.2,서울 서대문구 증가로 17 1층,02-336-1801
벽제갈비 신촌점,3.8,서울 서대문구 명물길 22 2층,02-392-8308
완차이,4.1,"서울 서대문구 명물길 50-7 1,2층",02-392-7744
현명식탁,4.0,서울 서대문구 명물길 32 5층,02-2088-1229
연남장,3.6,서울 서대문구 연희로5길 22,02-3141-7978
카페폭포,3.8,서울 서대문구 연희로 262-24 1층,02-330-4998
청송함흥냉면전문점 본관,3.7,서울 서대문구 연희맛로 6 1층,02-334-3545
미스터서왕만두,4.5,서울 서대문구 신촌역로 16 103호,
카라멘야,,서울 서대문구 연세로7안길 34-1 1층,0507-1320-6221
신촌수제비,3.0,서울 서대문구 신촌로 87-8 1층,02-334-9252
가타쯔무리,4.3,서울 서대문구 명지대길 72,
연희김밥 본점,3.4,서울 서대문구 연희로11가길 2,02-323-8090
미도인 신촌,3.5,서울 서대문구 명물길 33 2층,
부엉이돈가스 신촌점,4.0,서울 서대문구 연세로4길 62 1층,02-312-1216
연어초밥,4.8,서울 서대문구 이화여대1길 42-1 3층,02-313-2611
편의방,3.8,서울 서대문구 연희로 36,02-363-5887
롯지190,4.5,서울 서대문구 홍제천로 190 1층,
보승회관 신촌점,2.4,서울 서대문구 연세로5길 26 1층,02-326-0105
효동각 본점,3.0,서울 서대문구 연대동문길 24,
유닭스토리 신촌점,3.6,서울 서대문구 연세로4길 7 1층,02-6012-9563
서대문족발 본점,3.4,서울 서대문구 충정로6안길 54,02-312-5580
매뉴팩트커피 연희본점,4.3,서울 서대문구 연희로11길 29 2층,02-6406-8777
시오 연희본점,3.5,서울 서대문구 연희로11가길 23 1층,02-3144-6919
마더린러베이글,,서울 서대문구 이화여대5길 5 1층,070-7758-3030
신촌고기창고,3.7,서울 서대문구 연세로7길 34-4,02-323-9090
춘천집닭갈비막국수,3.2,서울 서대문구 연세로5가길 1,02-325-2361
모래내설농탕 본점,2.6,서울 서대문구 모래내로 271,02-304-0311
로덴드론 연희점,4.0,서울 서대문구 연희로25길 82,02-332-2288
엄마손떡볶이 본점,3.2,서울 서대문구 증가로10길 37,02-305-7572
옐로우보울,,서울 서대문구 충정로 7 구세군빌딩 지하1층 1호,02-6364-4961
심야식당텐조,4.5,서울 서대문구 거북골로20길 71 1층,02-303-1057
맛있는칼국수 본점,4.3,서울 서대문구 불광천길 150,02-375-9177
부탄츄 신촌점,3.2,서울 서대문구 연세로5길 26-9,02-3144-6604
라이라이,3.6,서울 서대문구 연희로15길 27,02-338-3203
가마마루이,4.1,서울 서대문구 성산로22길 4,02-3142-3929
이빠네마그릴,4.1,서울 서대문구 연세로4길 6 2층,02-365-6118
가미분식,3.7,"서울 서대문구 이화여대8길 2 301-나,302호",02-364-3948
모래내곱창,4.5,서울 서대문구 증가로10길 26 1층,02-306-0374
소담촌 홍제점,3.6,서울 서대문구 통일로 413 연세스포츠센터 5층,02-391-8877
설레임삼겹살1989,4.2,서울 서대문구 연세로5가길 31,02-3144-1727
그릭데이 이대본점,4.0,서울 서대문구 신촌역로 22-8 대국빌딩 1층,02-363-9222
클로리스 신촌점,4.2,서울 서대문구 연세로4길 38,02-392-7523
산천마루,4.2,서울 서대문구 세검정로1길 21,02-394-3919
엠브로돈까스 신촌점,3.8,서울 서대문구 명물길 26,02-363-5241
아저씨네낙지찜 신촌점,3.9,서울 서대문구 연세로5다길 39,02-323-6665
스웨이커피스테이션,4.1,서울 서대문구 연희로11길 61,02-6348-0061
닭내장집,4.2,서울 서대문구 수색로 28-5,
하이드미플리즈 홍제점,4.1,서울 서대문구 통일로39나길 5 1층,
아웃백스테이크하우스 신촌점,3.9,서울 서대문구 연세로12길 33,02-3147-1871
웅네서서갈비,3.8,서울 서대문구 신촌역로 13-1 1층,02-365-6333
현대수산,3.8,서울 서대문구 서소문로 45 SK리쳄블 1층,010-3613-1999
여우골 신촌점,3.8,서울 서대문구 연세로5다길 10 1층,02-6337-4988
공릉닭한마리,3.7,서울 서대문구 연세로2길 77 1층,02-393-9599
술익는마을,3.8,서울 서대문구 연세로7길 22,02-338-1190
호밀밭,4.3,서울 서대문구 신촌역로 43 1층,02-392-5345
이품,3.6,서울 서대문구 연희로11길 20,02-322-6172
가화만사성,2.6,서울 서대문구 연세로5가길 1 2층,02-3142-6171
