name,degree,address,tel
다래함박스텍,4.4,서울 강북구 수유로 20-2,02-2241-7558
진호횟집,4.4,서울 강북구 도봉로98길 33 1층,02-902-9915
샘터마루,,서울 강북구 4.19로12길 35 1층,02-902-6456
대보명가 서울본점,3.4,서울 강북구 4.19로 69,02-907-6998
엘림들깨수제비칼국수,4.2,서울 강북구 삼각산로 67,02-996-2583
소담촌 수유점,4.1,서울 강북구 도봉로 388 테마빌딩 8층,02-903-9033
제일분식,3.1,서울 강북구 숭인로 65-3 숭인시장,02-985-7333
장수마늘보쌈,4.3,서울 강북구 덕릉로 192,02-997-6155
산성골,3.0,서울 강북구 덕릉로 126,02-989-7341
대광어회집,4.3,서울 강북구 노해로 31,02-903-6789
어니언 미아,4.5,서울 강북구 솔매로50길 55 서울강북우체국 1층,070-7816-2714
소담촌 미아사거리점,4.2,서울 강북구 월계로 3 덕신빌딩 5층,02-987-5566
미림산장,2.4,서울 강북구 삼양로181길 253,02-993-3330
낙지일번지,4.2,서울 강북구 도봉로89길 10 1층,02-907-1017
무너미,,서울 강북구 노해로8가길 40 1층,02-903-5058
한옥카페 선운각,3.3,서울 강북구 삼양로173길 223,
스시노칸도 수유점,3.8,서울 강북구 한천로139나길 1 3층,02-997-5949
키토산우이산장,3.4,서울 강북구 삼양로181길 141-5 2층,02-999-9119
조연탄 수유점,4.7,서울 강북구 한천로140길 20,02-996-8858
황주집,3.4,서울 강북구 도봉로 372 1층,02-903-6275
착한낙지 수유점,3.7,서울 강북구 4.19로 82,02-905-7963
이설함흥냉면,2.3,"서울 강북구 4.19로 42 1,2층",02-997-7370
수유손칼국수,3.1,서울 강북구 도봉로101길 45,02-905-9949
수유리우동집 본점,3.0,서울 강북구 덕릉로 94 1층,02-980-9630
조개일번지,4.2,서울 강북구 도봉로8길 37,02-988-1014
고메스퀘어 수유점,3.1,서울 강북구 도봉로 308 9층,02-6956-6275
여러분평양냉면,4.7,서울 강북구 한천로 1074 1층,02-998-5802
진미기사식당,4.4,서울 강북구 한천로 1163 1층,02-998-0010
원조할매곱창 미아점,3.2,서울 강북구 월계로3길 68,02-989-0878
상미규카츠 수유본점,3.6,서울 강북구 도봉로87길 32 1층,02-996-8892
흥부전놀부전,3.2,서울 강북구 노해로 42-1,02-900-2779
연포생선구이전문점,3.5,서울 강북구 덕릉로28길 65 1층,02-984-5592
육두막,4.0,서울 강북구 노해로 38 1층,02-994-1100
미즐카페엠,3.3,서울 강북구 4.19로 107 1층,02-999-5055
엄마손기사님식당 수유본점,4.0,서울 강북구 한천로 1138,02-999-3684
애슐리퀸즈 미아사거리역점,,서울 강북구 도봉로 52 와이스퀘어 5층,02-6415-0041
숯불왕갈비돼지,3.9,서울 강북구 덕릉로 79 1층,02-904-5533
우리콩순두부,4.5,서울 강북구 삼양로173길 46,02-995-5918
크을농,3.9,서울 강북구 4.19로 91 1층,02-990-7900
능이마을,3.7,서울 강북구 솔샘로 330,02-987-5292
카페산아래,3.5,서울 강북구 삼양로181길 56,
일번지정육식당 수유점,4.1,서울 강북구 한천로140길 5,02-903-1015
명인갈비 미아직영점,3.8,서울 강북구 솔샘로 327 1층 101호,02-986-9292
풍천장어마을,2.9,서울 강북구 삼양로181길 45,02-956-1991
큰두레참숯 국내산무한리필,4.6,서울 강북구 도봉로 284 1층,02-983-9992
옥류헌릴렉스,3.4,서울 강북구 삼양로181길 142,02-993-1829
왕가,2.3,서울 강북구 삼양로 681,02-908-9277
동네함박,3.8,서울 강북구 도봉로15길 11 2층,02-6104-0418
