name,degree,address,tel
원조할아버지손두부,4.4,서울 광진구 자양로 324 1층,02-447-6540
송림식당,3.4,서울 광진구 자양번영로 79,02-457-5473
신토불이떡볶이 본점,3.2,서울 광진구 자양로43길 42 1층,
영미오리탕 군자점,4.1,서울 광진구 동일로60길 53 천수빌딩 1층,02-463-5222
송화산시도삭면 2호점,4.2,서울 광진구 아차산로30길 33 1층,02-468-7826
서북면옥,3.6,서울 광진구 자양로 199-1,02-457-8319
로니로티 건대점,3.9,서울 광진구 아차산로 225 3층,02-498-7999
하이디라오코리아 건대점(휴업중),4.4,서울 광진구 능동로 110 2층,02-456-5683
멕시칼리,4.6,서울 광진구 능동로36길 181 1층 멕시칼리,070-7623-1707
이이요,4.2,서울 광진구 능동로32길 6,02-3437-2225
소담촌,3.8,서울 광진구 용마산로 10 3층,02-2201-8800
호야초밥참치 본점,2.7,서울 광진구 능동로13길 39 한아름건물 1층,02-461-3739
송화양꼬치,4.2,서울 광진구 동일로18길 70,02-462-7826
비스타워커힐서울 피자힐,3.6,서울 광진구 워커힐로 177,1670-0005
도우터,4.2,서울 광진구 아차산로31길 40 1층,02-464-0559
건대사시미,3.2,서울 광진구 아차산로33길 23,02-465-3222
체리커피,3.7,서울 광진구 능동로 284 1층 체리커피,02-444-7222
라구뜨,3.9,서울 광진구 능동로 90 더클래식500 B동 3층,02-2218-5770
군자대한곱창 본점,3.1,서울 광진구 능동로36길 10 1층,02-456-5207
고기대통령 본점,4.3,서울 광진구 능동로 91 2층,02-462-9080
계탄집 본점,4.4,서울 광진구 능동로 31 1층,02-464-6804
화기애애 건대점,4.2,서울 광진구 아차산로31길 16 1층,02-461-7585
함흥본가면옥 건대점,3.3,서울 광진구 광나루로 456 1층,02-447-8806
비스타워커힐 서울 더 뷔페,4.6,서울 광진구 워커힐로 177 1층,1670-0005
오코노미야키식당하나,4.7,서울 광진구 능동로13길 111 1층,02-469-8884
깍뚝,4.5,서울 광진구 능동로19길 36 1층,0507-1441-0280
모두랑,3.7,서울 광진구 자양로28길 24 1층,02-457-1178
뚝방길홍차가게,4.4,서울 광진구 자양강변길 277 1층,02-512-0189
바르미 샤브샤브n칼국수 구의점,3.7,서울 광진구 아차산로 471 CS플라자 3층,02-3437-1005
매운향솥,4.1,서울 광진구 동일로18길 61 1층,02-6461-0016
시옌 건대점,4.1,서울 광진구 능동로 137-8,02-498-2280
이화만두,4.4,서울 광진구 능동로 278-1 1층,02-455-3486
돕,2.8,서울 광진구 아차산로31길 9,02-499-2838
마초쉐프 건대점,3.3,서울 광진구 능동로 125 2층,02-497-8886
만경상회,4.6,서울 광진구 동일로22길 40 1층,02-6369-4603
비스타워커힐서울 명월관,3.7,서울 광진구 워커힐로 177,02-450-4595
기와집 본점,,서울 광진구 면목로 32 1층,02-2242-4145
서울편백찜 광장점,3.7,서울 광진구 광장로 83 1층,02-456-2096
더이퀼리브리엄커피,4.3,서울 광진구 아차산로30길 7 3층,010-5255-6073
매화반점 본점,3.1,서울 광진구 동일로18길 105,02-498-1939
가온,2.9,서울 광진구 아차산로78길 75 현대골든텔2차 106호,02-3436-7100
백일도,3.9,서울 광진구 능동로47길 37,02-467-8822
민정식당 본점,4.0,서울 광진구 아차산로42길 41-4 1층,02-452-3574
고고기,4.2,서울 광진구 아차산로 471 CS프라자빌딩 1층,02-454-0092
후토,4.7,서울 광진구 동일로24길 98 2층,02-465-8590
포차조개구이,5.0,서울 광진구 용마산로 40 1층,02-458-3346
훈춘양꼬치,4.6,서울 광진구 아차산로34길 38,02-464-6808
남한강민물매운탕,3.6,서울 광진구 동일로 150,02-464-7568
뱃놈,4.2,서울 광진구 광나루로19길 9 1층,010-5603-9282
고베규카츠 건대점,,서울 광진구 아차산로33길 64 2층,02-469-4620
최원석의돼지한판 광장점,3.9,서울 광진구 아차산로 478 1층,02-447-4544
아르무아,3.8,"서울 광진구 동일로22길 117-27 1,2층",02-463-9981
대명소곱창,3.9,서울 광진구 능동로 298,
스시텐 강변점,4.2,서울 광진구 구의강변로 86 강변리치타워 101호,02-454-9248
빠오즈푸,4.0,서울 광진구 광나루로 373 1층,02-462-9256
도톰 본점,4.8,서울 광진구 능동로 386 1층,02-444-4231
은혜즉석떡볶이,3.3,서울 광진구 광나루로 381-1 2층,02-468-7401
범가,,서울 광진구 광장로 58-1 1층,
도치피자 강변,4.3,서울 광진구 아차산로62길 14-4,02-446-8006
군자오리촌,4.2,서울 광진구 능동로35길 18-1,02-466-7962
콩예원,4.0,서울 광진구 아차산로78길 75,02-444-3331
뽀빠이기사식당,2.8,서울 광진구 긴고랑로 17-1,02-467-2445
마당족발,3.8,"서울 광진구 능동로 173 1, 2층",02-468-3030
끝돈 건대입구역점,3.7,서울 광진구 아차산로 238 1층 103호,02-498-0929
