name,degree,address,tel
강강술래 시흥점,3.5,서울 금천구 시흥대로 193 금천ICT타워 2층,02-808-1888
동흥관,2.9,"서울 금천구 시흥대로63길 20 B동 지하1층, 1,2층",02-803-3759
가산물갈비&즉석소불고기,3.6,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,010-9581-8981
개성손만두요리전문점 가산디지털점,4.7,서울 금천구 가산로9길 22,02-851-8886
도원,3.4,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,
북촌삼대갈비 가산본점,4.3,서울 금천구 가산로 149 1층,02-830-0003
마벨리에 시흥점,3.6,서울 금천구 시흥대로 201 홈플러스 7층,1899-9991
파티엘하우스,2.7,서울 금천구 디지털로 173 엘리시아빌딩 3층,02-865-1141
동대문털보네,4.6,서울 금천구 디지털로9길 99 스타밸리 1층,02-2649-0449
인생파곱창,3.5,서울 금천구 시흥대로52길 42 1층,02-895-7778
순댕이네얼큰수제비,2.9,서울 금천구 시흥대로136길 1,02-852-3670
진영면옥,4.6,서울 금천구 가산로 22-5 1층,02-864-2383
춘천옥,2.6,"서울 금천구 디지털로12길 19 1, 2층",02-868-9937
호세가,4.3,서울 금천구 남부순환로108길 19 1층,070-8959-8826
인크커피 가산플래그십스토어,4.0,"서울 금천구 가산디지털2로 127-20 B03, 101, 103, 201호",02-854-7200
가산어시장,3.3,서울 금천구 벚꽃로 316 씨엔에스타워 1층 102호,02-865-3332
전주식당,4.8,서울 금천구 독산로109길 27 1층,02-831-7935
문정곱창,4.1,서울 금천구 디지털로12길 37 1층,02-6014-7290
김사부샤브샤브,4.0,서울 금천구 가산로 132,010-5811-0412
우시장3호집,3.3,서울 금천구 시흥대로 364 1층,02-808-0756
두껍삼 가산직영점,,"서울 금천구 벚꽃로38길 43 1, 2층",1670-3592
여신족발,3.7,서울 금천구 벚꽃로38길 21 1층,02-865-9244
이화룡불짬뽕,4.3,서울 금천구 시흥대로122길 15 1층,02-864-0025
지리산삼계탕,4.6,서울 금천구 가산로 88 1층,02-869-2009
통영해물가 가산2호점,4.2,서울 금천구 벚꽃로46길 1-5,02-852-8378
황제짬뽕양꼬치,3.9,서울 금천구 디지털로9길 32 B동 1층 107호,02-2106-8530
은행골 시흥분점,3.8,서울 금천구 시흥대로 198 지하1층,02-809-4988
스시쥬베이,4.5,서울 금천구 가산로 147,02-851-2477
맥도날드 서울시흥DT점,3.7,서울 금천구 시흥대로 184,02-6269-6200
스미다,4.1,서울 금천구 벚꽃로 298 대륭포스트6차 b143호,070-4633-2525
왕게수산,3.9,서울 금천구 시흥대로 182,02-3141-8435
삼숙이갈비 가산디지털본점,3.8,서울 금천구 벚꽃로 308,02-864-8588
초가집부뚜막청국장 독산점,4.7,서울 금천구 독산로 242,02-839-7828
종로계림 닭도리탕원조 가산디지털단지점,4.1,"서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호",02-2067-0093
니하우,4.3,서울 금천구 벚꽃로38길 32-43 1층,02-858-4033
딥,4.2,서울 금천구 범안로 1249 1층,
스시초이,3.4,서울 금천구 가산디지털1로 171 SK V1센터 2층,02-861-5519
이화순대국,4.0,서울 금천구 시흥대로 237-12,
왕래성,4.5,서울 금천구 가산로 8 1층,02-6404-5557
다도해수산,4.8,서울 금천구 남부순환로108길 27 1층,02-2688-5188
실비순대국,4.1,서울 금천구 범안로 1207,02-804-8856
텐마루 가산점,4.3,서울 금천구 디지털로12길 21 2층,02-857-0199
남도상차림,4.4,서울 금천구 시흥대로92길 4,02-802-8286
암소한마리 본점,2.7,서울 금천구 시흥대로 371,02-804-0068
아웃백스테이크하우스 가산점,3.0,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층,02-2136-9971
미요리포차,3.7,서울 금천구 시흥대로123길 38 1층,02-837-8096
명륜진사갈비 서울독산점,2.5,서울 금천구 시흥대로 447,02-854-0031
떡볶이랑걸레만두랑,2.0,서울 금천구 시흥대로58길 13,
화로구이,2.3,"서울 금천구 범안로 1200 1,2층",02-894-8592
제주탐하리,4.8,서울 금천구 가산로9길 12-8 1층,02-865-9233
스튜디오레이크,4.9,서울 금천구 디지털로 210 2층,0507-1308-9864
삼은식당,4.9,서울 금천구 범안로21길 17 2층,02-807-1587
애슐리퀸즈 가산퍼블릭점,,"서울 금천구 디지털로 178 A동 지하1층 B109,B111,B113호",0507-1497-0227
만두라,4.1,서울 금천구 시흥대로 97 BB53호,02-809-8338
우리소양평해장국 본점,3.4,서울 금천구 범안로 1244,02-893-5559
본가집가마솥설렁탕 금천구청본점,,서울 금천구 시흥대로 269 대현오피스텔 1층 101호,02-804-1175
풍년갈비,3.0,서울 금천구 디지털로12길 33,02-867-6515
누리한방삼계탕,4.4,서울 금천구 가산디지털1로 186 제이플라츠 지하1층 118-3호,02-2028-5599
편안집,5.0,서울 금천구 시흥대로 167 1층,02-805-7262
육로,,서울 금천구 벚꽃로 298 대륭포스트타워6차 1층 102호,070-8888-7403
스타벅스 금천독산점,4.7,서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호,1522-3232
맥도날드 가산비지니스센터점,2.4,서울 금천구 가산디지털1로 165 1층,02-6341-8300
말뚝곱창 6호점,3.2,서울 금천구 벚꽃로 316 씨엔에스타워 1층 103호,010-8538-1458
산들애밥상,3.3,"서울 금천구 독산로 178-1 1,2층",02-802-4535
탐나종합어시장 가산점,3.1,서울 금천구 가산로 156 1층,02-835-7255
미가양꼬치,3.9,서울 금천구 벚꽃로42길 5,02-837-3003
스타벅스 가산디지털점,3.9,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층,1522-3232
카페로드,4.6,서울 금천구 범안로 1152 독산빌딩 2층,0507-1448-3375
동남집,4.0,"서울 금천구 디지털로9길 99 스타밸리 1층 105,106호",02-2027-0010
금천가든,4.5,서울 금천구 시흥대로124길 6,02-837-7300
휴스시,4.4,서울 금천구 디지털로9길 46 이앤씨드림타워7차 1층 108호,02-860-5566
신미경정통춘천닭갈비 독산직영점,4.5,서울 금천구 독산로50길 11,02-896-5222
천년풍천장어 직영9호점,2.8,서울 금천구 시흥대로 357 1층,02-808-6843
탐나종합어시장 시흥사거리점,1.4,서울 금천구 금하로 636 1층,02-895-7722
우리집 순대국,2.7,서울 금천구 금하로 650,02-802-6179
시골보쌈,3.2,서울 금천구 시흥대로63길 33 1층 104호,02-891-1116
야시장,3.5,서울 금천구 벚꽃로 309 1층,02-862-8967
맥도날드 가산디지털점,2.7,"서울 금천구 벚꽃로 298 대륭포스트타워6차 103-1,103-2,119,B102호",02-6332-6500
스타벅스 독산사거리점,3.9,서울 금천구 시흥대로 426,1522-3232
옛날닭꼬치사골부대찌개,3.9,서울 금천구 벚꽃로 212 1층,
스타벅스 금천시흥점,4.0,서울 금천구 시흥대로 164,1522-3232
명륜진사갈비 석수역점,2.8,서울 금천구 시흥대로 10 1층,02-807-8253
조개가득 가산본점,3.0,서울 금천구 가산디지털2로 142-21,02-869-5939
스타벅스 가산디지털단지역점,3.9,서울 금천구 벚꽃로 298,1522-3232
삼대족발 금천점,3.5,서울 금천구 시흥대로 196 1층,02-808-7255
모나드커피로스터스,4.3,서울 금천구 금하로24길 5 1층,010-7516-0892
