name,degree,address,tel
어머니대성집,3.5,서울 동대문구 왕산로11길 4,02-923-1718
나정순할매쭈꾸미,3.8,서울 동대문구 무학로 144,02-928-0231
서울뼈구이매운족발,3.5,서울 동대문구 왕산로 274-1,02-965-5838
남원통닭 본점,3.3,서울 동대문구 홍릉로1길 39 1층,02-968-9841
성천막국수 답십리점,4.3,서울 동대문구 답십리로48나길 2 1층,02-2244-5529
한상차림밥상,3.4,서울 동대문구 한빛로 28 1층,010-9073-4141
육전식당 본점,4.1,서울 동대문구 난계로30길 16,02-2253-6373
할머니냉면,3.5,서울 동대문구 왕산로37길 51,02-963-5362
혜성칼국수,3.6,서울 동대문구 왕산로 247-1 1층,02-967-6918
은하곱창,3.7,서울 동대문구 전농로15길 22 1층,02-2247-0254
영화장,3.0,서울 동대문구 휘경로 3-8,02-967-9595
광주식당,3.4,서울 동대문구 경동시장로2길 49-4,02-969-4403
일미간장게장,3.0,서울 동대문구 장한로24길 7 1층,02-2242-4338
안동집,3.5,서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호,02-965-3948
원조홍릉각,3.0,서울 동대문구 약령시로 90,02-969-7787
킹수제만두,4.0,서울 동대문구 한빛로 3 1층,02-926-0288
한옥정,3.3,서울 동대문구 답십리로 146-4,02-2249-1082
회기왕족발보쌈,3.5,서울 동대문구 회기로 158 1층,02-966-4955
홍능갈비 본점,3.2,서울 동대문구 제기로 85,02-966-0420
장안정 본점,3.5,서울 동대문구 답십리로 291-3 1층,02-2246-6574
마루샤브 용두직영점,2.3,서울 동대문구 왕산로 61 한일빌딩 1층,02-953-7443
이모네왕파전,3.3,서울 동대문구 회기로28길 12-3,
일번지정육식당 장한평점,3.4,서울 동대문구 장한로 18 1층,02-2212-9926
여기가좋겠네,3.4,서울 동대문구 회기로21길 25 1층,02-968-9112
늘봄해물찜손칼국수 답십리본점,2.9,서울 동대문구 전농로 39,02-2215-5051
망우로30,4.0,서울 동대문구 망우로 30-1 1층,010-3380-2386
민들레영토 경희대점,4.9,서울 동대문구 경희대로1길 34,02-959-3733
경동한우정육식당,3.9,서울 동대문구 고산자로 421,02-962-0962
갈비명가이상 답십리점,2.5,서울 동대문구 천호대로 327,02-2243-8200
원조골뱅이전문점,4.1,서울 동대문구 왕산로37길 7,02-959-6131
감초식당,2.9,서울 동대문구 약령서길 28 1층,02-962-4570
소담촌 장안점,3.9,서울 동대문구 사가정로 207 4층,02-2212-1399
함경면옥,2.3,서울 동대문구 왕산로 87,02-921-7300
고황24시뼈다귀해장국감자탕,3.1,서울 동대문구 경희대로1길 8-16 1층,02-966-5082
먹깨비,3.5,서울 동대문구 장한로 92 화성빌딩 105~107호,02-2249-2158
춘천냉면,4.1,서울 동대문구 왕산로37길 50,02-966-8194
놀부만두,3.8,서울 동대문구 망우로16길 15,02-2241-7550
오관스시,4.0,서울 동대문구 회기로 121 1층,070-8225-6369
평양냉면,3.6,서울 동대문구 홍릉로 14-3 1층,02-965-8254
용두동복집,4.2,서울 동대문구 왕산로16길 9,02-921-5936
마루한,4.3,서울 동대문구 서울시립대로27길 3,02-6406-1126
정대감감자탕 본점,3.6,서울 동대문구 천호대로83길 46,02-2242-2533
이문동그집,4.3,서울 동대문구 이문로 195 1층,02-966-7892
영동교집 장안직영점,3.0,서울 동대문구 천호대로83길 32 1층,02-3394-5882
소담촌 용두점,4.2,서울 동대문구 왕산로 60-1 포은회관 5층,02-921-5530
레알라면,4.4,서울 동대문구 회기로25길 23-5 1층,0507-1311-4208
멍군집,4.7,서울 동대문구 회기로 148-4 1층,010-7623-0304
남도보쌈파전,4.3,서울 동대문구 장한로27가길 28 장평빌딩 1층,02-2213-3236
육전식당 3호점,3.9,서울 동대문구 천호대로 38,02-2234-6373
신가네왕코등갈비,4.5,서울 동대문구 천호대로 67,02-924-3042
허파식당,4.2,서울 동대문구 왕산로26가길 17 1층,02-924-4119
커피나인 본점,4.3,서울 동대문구 전농로3길 12 1층,02-6396-9992
다이닝원 청량리점,4.0,서울 동대문구 고산자로32길 78 아트포레스트 청량리 2층,02-960-5985
대한곱창 장안점,4.0,서울 동대문구 천호대로85길 21 동원빌딩 1층,
현고대닭발 본점,4.7,서울 동대문구 제기로2가길 3 1층,02-928-9995
홍능족발,3.2,서울 동대문구 홍릉로 20,02-957-6000
비나레스토랑,4.7,서울 동대문구 안암로24길 4,02-926-5860
한우마을정육식당,4.9,서울 동대문구 한천로17길 21 1층,02-2214-9462
전농곱창싱,4.7,서울 동대문구 전농로14길 14 1층,02-2248-6191
흥부골숯불돼지왕갈비 본점,3.2,서울 동대문구 장한로24길 46 2층,02-2245-2006
서산간장게장,4.2,서울 동대문구 장한로24길 7,02-2217-3078
경동시장 평양냉면,4.5,서울 동대문구 왕산로29길 4 2층,02-965-8258
제주미향해장,4.3,서울 동대문구 경동시장로10길 46 1층,02-6949-3353
콘반,3.9,서울 동대문구 한천로26길 48-12 듀펠센터 1층 102호,070-4134-3903
마루기,4.2,서울 동대문구 이문로28길 16 2층,02-962-7754
신락원,3.8,서울 동대문구 전농로20길 2 1층,02-2244-0008
송쉐프 장안점,3.8,서울 동대문구 장한로2길 20 2~4층,02-2215-9999
고향집,4.3,서울 동대문구 경동시장로2길 52 1층,02-964-8844
힘찬풍천장어,4.0,서울 동대문구 난계로 252 1층,02-2231-9743
기태만두,4.3,서울 동대문구 경동시장로10길 44 1층,010-8492-1611
