name,degree,address,tel
애플하우스 이수,3.1,서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호,02-595-1629
쿠우쿠우 보라매공원점,,서울 동작구 보라매로5가길 16 보라매아카데미타워 7층 701호,02-835-6274
조가네갑오징어 사당점,3.1,서울 동작구 남부순환로271길 24 1층,02-3472-0108
전주전집,3.2,서울 동작구 동작대로7길 19,010-4660-7391
서일순대국 별관,3.6,서울 동작구 여의대방로24길 16 1층,02-821-7769
가마솥손두부,4.0,서울 동작구 남부순환로271길 20,02-3472-2202
다독이네숯불구이,4.8,서울 동작구 노량진로 106-5 1층,02-6101-9299
소담촌 사당직영점,4.2,서울 동작구 동작대로 43 5층,02-522-0653
천하무족,4.4,서울 동작구 동작대로7길 74 1층,02-595-3308
등나무집,3.7,서울 동작구 대림로 52 1층,
페니힐스,4.0,"서울 동작구 동작대로1길 10-14 1,2층",
방배김밥,3.5,서울 동작구 동작대로27길 59-16 1층,02-599-0566
오징어야,4.1,서울 동작구 만양로14길 9,02-824-3880
한울갈비,,서울 동작구 동작대로1길 9 1층,02-583-4118
운봉산장,4.2,서울 동작구 장승배기로 118-1 1층,02-815-2850
노량해전,3.3,서울 동작구 만양로16길 4 1층,070-4300-5551
해물한소반 사당직영점,3.3,서울 동작구 동작대로1길 18 1층,02-597-0717
초와밥,4.1,서울 동작구 동작대로5길 8 2층,02-523-5937
그릴진,,서울 동작구 동작대로27다길 31 세양그레이스빌 1층 101호,02-532-4135
고가네숯불구이통닭,4.0,서울 동작구 상도로 136 일신빌딩 1층,02-825-0095
모스키친,4.5,서울 동작구 보라매로 91 1층,02-6497-3529
훈장골 사당점,3.5,서울 동작구 동작대로 7 신광빌딩 지하1층,02-525-9100
세녹,2.6,서울 동작구 사당로 304,02-597-8001
라시에스타,3.2,서울 동작구 동작대로 21 양지빌딩 6층,02-587-9087
스시로로,3.8,서울 동작구 동작대로23길 29,02-585-1015
닥터로빈 흑석점,3.2,서울 동작구 현충로 124 뉴지엄 1층,02-3280-3103
호요,3.9,서울 동작구 동작대로13길 6-7 1층,02-6409-0809
남해안활어,3.7,서울 동작구 사당로30길 157,02-522-2069
낙성곱창,3.3,서울 동작구 동작대로19길 60,02-3474-5777
사리원,3.1,서울 동작구 상도로50길 2-15,02-814-6022
훈감동,,서울 동작구 동작대로9길 4 1층,010-9118-0516
유정우함흥냉면,4.1,서울 동작구 동작대로29다길 7-1 1층,02-3478-0105
해물포차꼴통 1호점,3.3,서울 동작구 장승배기로 126,070-8614-8121
상도늘보리 본점,4.5,서울 동작구 상도로26길 19,02-3280-6550
시간을들이다 본점,4.2,서울 동작구 보라매로 80 1층,02-812-2158
원조쯔왕돈까스,3.1,"서울 동작구 동작대로23길 33 1,2층",0507-1464-0435
낙지세상 신대방본점,3.1,서울 동작구 대림로 57 중산타워 1층,02-834-5777
영일만,4.0,서울 동작구 남부순환로271길 27,02-522-4080
카페퍼블리코,,"서울 동작구 상도로 47 헬로우빌딩 A동 1,2층",02-815-4000
다래식당,3.2,서울 동작구 만양로2길 2,02-812-4156
상남스시,4.3,서울 동작구 여의대방로24길 64 1층,02-822-3455
신사펍 이수점,4.5,서울 동작구 동작대로 129 4층,
72420 사당본점,4.2,서울 동작구 동작대로1길 50 1층,02-588-2420
사이공리,3.4,서울 동작구 장승배기로 151-1 1층,02-822-1763
단아한정식,2.9,서울 동작구 동작대로27가길 44 2층,02-532-3945
청와옥 사당직영점,3.6,서울 동작구 동작대로 71 1층,02-588-0885
빕스 프리미어 대방점,3.4,서울 동작구 노량진로 2 2층,02-3280-1997
초록애 대방점,3.5,서울 동작구 여의대방로54길 5,02-823-9600
미소네,3.7,서울 동작구 동작대로7길 32 1층,02-587-7191
세종대왕 숯불갈비 보라매점,3.2,서울 동작구 여의대방로 136 정석빌딩1~3층,02-823-2517
오센,3.8,서울 동작구 동작대로27나길 8,02-3478-1559
약초마을,3.4,서울 동작구 노량진로 26 1층 102호,02-824-5215
오감만족,4.6,서울 동작구 장승배기로23길 1,02-822-5697
프레임676,3.8,서울 동작구 시흥대로 676 1층,070-8807-6046
불광옥,4.4,서울 동작구 사당로30길 161 1층,02-875-6161
골든볼9 본점,3.2,"서울 동작구 노량진로14가길 11 지하1,2층",02-826-7542
친구네정육식당 보라매점,4.5,서울 동작구 여의대방로26길 22 1층,02-3280-8880
닭발집,3.9,서울 동작구 장승배기로 123-1 2층,010-9944-6637
머치커피,4.5,서울 동작구 동작대로9길 43 1층,0507-1320-2726
미스피츠,4.4,서울 동작구 동작대로3길 30 1층,02-525-4806
스톤504 스테이크하우스,4.2,서울 동작구 상도로61길 54 1층,02-6401-0504
뚜스뚜스 흑석역점,3.1,서울 동작구 현충로 75 1층,02-3664-9000
도쿄빙수 이수점,3.9,"서울 동작구 동작대로27길 38 1층 103,104호",02-3482-0503
권참치 사당점,4.4,서울 동작구 사당로30길 142 2층,02-597-7080
디피스트,4.4,서울 동작구 동작대로27길 31 2층,
진주식당,,서울 동작구 노들로 674 노량진수산시장 5층 2호,0507-1356-7941
마마부찌,4.4,서울 동작구 만양로14길 40,02-817-1123
터방내,4.4,서울 동작구 흑석로 101-7,02-813-4434
정작가의막걸리집,3.6,서울 동작구 동작대로33가길 5 1층 3호,010-8986-1048
