name,degree,address,tel
목란,3.3,서울 서대문구 연희로15길 21,02-732-0054
우동카덴 연희점,3.4,서울 서대문구 연희로 173 거화빌딩 1층,02-3142-6362
신촌형제갈비,2.6,서울 서대문구 명물1길 2,02-365-0001
만동제과,4.3,서울 서대문구 연희로 32 1층,02-6489-2334
어머니와아들,4.2,서울 서대문구 홍은중앙로 100-1 1층,02-391-0411
한옥집김치찜 서대문본점,2.6,서울 서대문구 통일로9길 12 1층,02-362-8653
철길떡볶이,2.8,서울 서대문구 충정로 35-6,02-364-3440
고미정,3.9,서울 서대문구 연희로26길 28,02-324-0016
연경 연희점,2.8,서울 서대문구 연희로 145,02-333-6655
락희안 가좌본점,4.2,"서울 서대문구 가재울로4길 53 1, 2층",02-375-7576
연희동칼국수 본점,3.4,서울 서대문구 연희맛로 37 2층,02-333-3955
맛있는집,4.6,서울 서대문구 거북골로20길 55 지하1층,02-305-1906
꼬숑돈까스,3.8,서울 서대문구 명물1길 2 1층,
수빈,,"서울 서대문구 연희로25길 31-3 1,2층",02-307-9979
앤트러사이트 연희점,3.5,서울 서대문구 연희로 135,02-332-7650
라구식당,4.1,서울 서대문구 연세로 42-24 1층,02-364-2224
녹원쌈밥,3.6,서울 서대문구 연희로25길 22,02-336-9483
더파이홀,4.0,서울 서대문구 연세로5나길 20 1층,010-4258-1181
사조미가,3.4,서울 서대문구 통일로 107-39 사조빌딩 2층,02-362-1500
복성각,3.3,서울 서대문구 명물1길 24,02-364-1522
조은집,3.5,서울 서대문구 연희맛로 43,02-323-8084
소신이쏘,3.8,서울 서대문구 연세로5가길 19 1층,02-324-3245
달인꽈배기,3.8,서울 서대문구 통일로 205-3,02-313-5419
정육면체,3.8,서울 서대문구 연세로5다길 22-8 1층,070-4179-3819
고삼이 신촌점,4.3,서울 서대문구 연세로7안길 38,02-324-1403
월순철판동태찜,4.4,서울 서대문구 연희맛로 17-14 1층,02-325-1567
독수리다방,4.2,서울 서대문구 연세로 36 독수리빌딩 8층,02-363-1222
