name,degree,address,tel
용마해장국,4.2,서울 중랑구 용마공원로5길 20,02-2209-5938
소담촌 상봉점,3.4,서울 중랑구 망우로 328 시네마시티 15층 1501호,02-434-1999
쭈꾸미킹 상봉점,3.9,서울 중랑구 송림길 13,02-439-0035
산채가한정식,4.1,서울 중랑구 동일로157길 30 1층,02-948-1138
이학갈비 면목점,3.6,서울 중랑구 면목로 310 2층,02-437-0170
홍이네옛날떡볶이,3.2,서울 중랑구 망우로73길 26,02-439-5831
쿠우쿠우 골드 상봉점,3.2,서울 중랑구 망우로 316 이지펠리스 3층,02-433-6274
까망통돼지,4.6,서울 중랑구 면목로 488 2층,02-438-5730
찜집 본점,3.9,서울 중랑구 면목로 287,02-494-0044
먹거리집,2.9,서울 중랑구 면목로91길 8 1층,
함평국밥,4.0,서울 중랑구 봉우재로33길 73 1층,
강원도동강오리,4.3,서울 중랑구 용마산로115길 10,02-492-6717
옛날할머니분식,4.1,서울 중랑구 중화동 73-3 1층,02-496-2130
어글리스토브 상봉점,3.6,서울 중랑구 상봉로 131 듀오트리스 1층,02-433-8459
잉꼬네떡볶이,3.8,서울 중랑구 용마산로120길 43 1층,
마구로,3.4,서울 중랑구 망우로 270 2층,02-492-7100
육미제당 묵동점,4.4,서울 중랑구 동일로 938 월등스카이뷰아파트 1층,02-975-8899
이주소곱창,3.8,서울 중랑구 봉우재로33길 34 1층,02-978-4723
태능배밭갈비,3.1,서울 중랑구 동일로143길 30,02-973-9292
맑은샘,3.8,서울 중랑구 용마산로99길 13,
작은부엌,4.4,서울 중랑구 면목로 361 1층,0507-1311-9160
농부보쌈,3.6,서울 중랑구 용마산로 389 석주빌딩 지하1층,02-496-8860
연탄돼지갈비,3.0,서울 중랑구 봉우재로 159,02-433-7714
양지촌,1.9,서울 중랑구 망우로 184,02-2207-4200
미락한정식,4.3,서울 중랑구 봉우재로 27 1층,02-494-3800
태릉설렁탕 본점,3.5,서울 중랑구 공릉로 65 1층,02-971-1511
울타리곱창,3.4,서울 중랑구 중랑역로 20 1층,02-491-7178
봉일천돼지부속,4.3,서울 중랑구 면목로 463 1층,02-491-9231
고기를품다 사가정직영점,4.5,서울 중랑구 면목로48길 17 1층,070-4045-9736
쪽갈비대통령 먹골본점,4.8,서울 중랑구 동일로163길 46 1층,02-979-0316
청평매운탕,4.5,서울 중랑구 공릉로 46,02-976-9891
캠프X그릴,4.3,서울 중랑구 동일로 929 2층,02-6677-0043
오늘그릴 신내점,4.2,서울 중랑구 봉화산로54길 5 1층,070-4176-3509
홍어천국,4.4,"서울 중랑구 면목로 421 1,2층",02-436-4757
무한리필통큰소 상봉직역점,3.9,서울 중랑구 망우로 316 이지팰리스 2층 201-1~201-3호,02-433-4310
커피스터프,3.9,서울 중랑구 망우로42길 10,
우림닭한마리,4.7,서울 중랑구 용마산로115길 26,02-433-5512
착한낙지 신내점,2.2,서울 중랑구 용마산로125길 108-19,02-438-9790
신선한우촌,3.6,서울 중랑구 용마산로 707,02-492-3335
천외천,4.3,서울 중랑구 봉우재로33길 12 1층,02-435-3334
동네술집 상봉점,4.2,서울 중랑구 망우로50길 36 1층,070-8822-5793
중화호반닭갈비막국수 본점,3.7,서울 중랑구 봉화산로 20 1층,02-439-1656
면동떡볶이,3.5,서울 중랑구 면목로57길 33 1층,
개인공간,4.2,서울 중랑구 송림길 12 1층,070-7718-0087
브라더야끼,4.7,서울 중랑구 공릉로 38 1층,02-972-9500
카페브릭,4.1,서울 중랑구 신내역로1길 127-11,
하늘정원더파티,2.5,서울 중랑구 숙선옹주로 6-9 묵동자이프라자 1단지 지하1층,02-978-6677
다시사랑받개,4.4,서울 중랑구 용마산로 529 4층,010-9984-6460
흥부골 숯불돼지왕갈비,3.0,서울 중랑구 면목로 341 1층,02-491-4488
임현숙의이화김치찌개,2.8,서울 중랑구 중랑천로 188 1층,02-432-4320
한동길감자탕 신내본점,4.0,서울 중랑구 신내로 225 디아뜨갤러리 153~155호,02-3421-0656
더 아너스,4.6,서울 중랑구 망우로 353 상봉이노시티 C동 지하 1층,02-439-1300
파크더블유,2.9,서울 중랑구 양원역로16길 103-111,02-432-5659
최민석마구로 묵동본점,3.2,서울 중랑구 동일로 939 2층,02-977-0737
숯불닭갈비에반하닭,4.8,서울 중랑구 면목로 352 1층,02-433-9294
대광어횟집,4.7,서울 중랑구 사가정로51길 39 지하1층,02-434-3351
대박왕곱창,4.7,서울 중랑구 답십리로 367,02-491-6405
먹고을전주콩나물국밥 묵동본점,2.3,서울 중랑구 중랑역로 268,02-977-0038
황해칼국수,4.3,서울 중랑구 숙선옹주로 3 1층,02-974-8174
한도니 신내점,4.0,서울 중랑구 봉화산로54길 32 A동 1층,02-436-2292
능이마을 망우직영점,3.5,서울 중랑구 용마산로115길 42 1층,02-436-5556
찡어찡어,3.6,서울 중랑구 면목로 454 1층,010-9773-8012
여봉닭발,4.7,서울 중랑구 망우로30길 40 1층,0507-1416-9980
이어도참치,4.6,서울 중랑구 동일로 635,02-493-3733
빈스로드 본사,4.9,서울 중랑구 봉화산로 111,070-7593-7005
묵동할머니떡볶이,3.1,서울 중랑구 공릉로12가길 14,02-979-6082
스타벅스 상봉역점,4.1,서울 중랑구 망우로 307,1522-3232
감자바우묵동영양족발,3.3,서울 중랑구 동일로 946,02-972-9566
스토어드커피,4.5,서울 중랑구 동일로157길 22 1층,070-8823-7669
동부왕족발보쌈 본점,4.6,서울 중랑구 봉우재로33길 38 1층,02-432-3500
고기를품다 중화점,4.4,서울 중랑구 중랑역로 23 1층,010-6368-2274
가고파설렁탕,4.2,서울 중랑구 봉우재로 200,02-434-5677
박가뼈다귀감자탕 본점,3.0,서울 중랑구 망우로 193,02-496-1600
왕십리불곱창,4.4,서울 중랑구 상봉로 102 1층,02-6013-3336
왕대박대게파티 신내동본점,4.6,서울 중랑구 봉화산로 234,02-491-1654
종로닭한마리,4.7,서울 중랑구 면목로88길 5-9 1층,02-435-7606
뱃놈과백정 사가정점,3.7,서울 중랑구 면목로 348 1층,02-493-0807
곽만근갈비탕 상봉점,2.7,서울 중랑구 봉우재로 117 1층,02-494-1700
에헴,3.6,서울 중랑구 망우로48길 27-12 1층,02-493-1204
스시혼 신내점,,서울 중랑구 신내로 50 1층,02-434-3290
문가네정육식당 상봉역점,3.5,서울 중랑구 면목로 490,02-438-9000
카페252,3.3,서울 중랑구 망우로 252 1층,02-493-8286
옛가칼국수,4.3,서울 중랑구 중랑천로10길 39 2층,02-492-1555
홍길동회수산,3.3,서울 중랑구 봉우재로33길 47,02-493-7778
빛나는바다 묵동점,3.8,서울 중랑구 중랑역로 249,
향촌칼국수,3.5,서울 중랑구 면목로55길 10,
망우찜쌈밥,4.4,서울 중랑구 용마공원로2길 11,02-437-0175
가나점보돈까스분점,2.7,서울 중랑구 용마산로94가길 24 1층,02-2207-8587
추오정남원추어탕,3.9,서울 중랑구 용마산로125길 108-7,02-433-0203
백미의정부부대찌개,4.4,서울 중랑구 용마산로115길 59 2층,02-492-1832
다청쌈밥 망우점,4.2,서울 중랑구 봉우재로 237,02-2244-0909
쥬스토,4.9,서울 중랑구 면목로45길 3-6 3층,010-8617-7313
로기스커피,4.6,서울 중랑구 겸재로 172-1 1층,070-8621-8791
맥도날드 중랑점,3.3,서울 중랑구 망우로 202 동성빌딩 1층,02-6212-1900
경미양꼬치,4.7,서울 중랑구 면목로 277,02-491-7113
맥도날드 신내점,3.4,서울 중랑구 봉화산로 194 신아타운 1~2층,02-6212-3100
묵동부대찌개전문,4.2,서울 중랑구 중랑역로 247 1층,02-974-4866
춘천골닭갈비막국수,4.2,서울 중랑구 용마산로115길 30,02-438-3249
한참치 묵동본점,3.3,서울 중랑구 공릉로 32 공감대아파트 상가 1층 B03호,02-949-0448
바다목장바닷가재,3.5,서울 중랑구 봉우재로 49 1층,02-491-5419
중국성,2.7,서울 중랑구 망우로42길 7 1층,02-439-7443
라떼플로라,3.5,서울 중랑구 동일로156길 7 103호,02-432-9503
오늘애김밥 양원역점,3.4,서울 중랑구 양원역로10길 25,070-7809-1978
상봉갈비,3.7,서울 중랑구 봉우재로 111 1층 103~105호,02-496-5607
노브랜드버거 중화점,3.2,"서울 중랑구 동일로 799 1,2층",02-432-9906
태능가든,2.4,서울 중랑구 신내로14길 13,02-3422-2800
명륜진사갈비 서울망우점,3.8,서울 중랑구 용마산로 488 유진빌딩 1층,02-435-4035
황박사왕족발,4.7,서울 중랑구 면목로 363,02-491-0048
산채보리밥,4.6,서울 중랑구 동일로157길 8 2층,02-979-0135
스타벅스 상봉점,3.8,서울 중랑구 상봉로 131 상봉듀오트리스주상복합,1522-3232
참맛감자탕 본사직영상봉점,3.1,서울 중랑구 면목로 465,02-495-5588
이종구낙지세상 신내점,4.3,서울 중랑구 봉화산로52길 65,02-493-3908
장어굽는총각들,,서울 중랑구 면목로44길 12 1층,02-435-4225
바다회천국,3.8,서울 중랑구 용마산로 494 1층,02-438-8844
강촌숯불닭갈비,4.8,"서울 중랑구 상봉로 99 백운아파트 1층 103,104호",02-434-0992
카페소고 망우점,4.5,서울 중랑구 신내로1길 15,02-6014-6912
리틀하노이 동부시장점,4.3,서울 중랑구 동일로109길 46 1층,010-5533-5455
윤가네오리요리전문점,4.0,서울 중랑구 겸재로 205 1층,02-492-0819
독도게찜,3.2,서울 중랑구 망우로 458,02-433-8892
후후스시,4.7,서울 중랑구 겸재로 198 1층 102호,02-438-9800
빠리짬뽕,2.9,서울 중랑구 중랑역로 44 1층,0507-1412-0009
섬진강유황생오리,3.6,서울 중랑구 용마산로116길 6,02-433-5292
디저트아카데미,4.6,서울 중랑구 망우로36길 38 102호,02-433-6096
항아리,4.1,서울 중랑구 중랑역로50길 4,02-948-1122
모이카페,2.7,서울 중랑구 용마산로125길 108-17,070-4230-0404
강금옥쭈꾸미,2.8,서울 중랑구 봉우재로33길 69,02-3295-4009
원조경상도떡볶이,,서울 중랑구 망우로71길 36-17 1층,02-438-6245
용마쉼터,3.3,서울 중랑구 망우로70길 118,02-436-4171
장원정,4.7,서울 중랑구 중랑역로 138-2,02-972-2383
추대감네시골얼큰뼈다귀 먹골본점,4.2,서울 중랑구 공릉로 81 1층,02-6401-9942
김시우초밥 중화점,3.7,서울 중랑구 봉화산로 52 1층,02-6013-0206
꿀삼겹 본점,3.8,서울 중랑구 봉우재로 139 1층,02-433-5730
제이식스 1호점,2.6,서울 중랑구 면목로 487,02-434-7387
다운이네,4.7,서울 중랑구 중화동 73-7 1층,
상봉커피,4.7,서울 중랑구 봉우재로 96,
88소곱창,3.8,서울 중랑구 봉우재로33길 65,02-493-8803
용호횟집,4.5,서울 중랑구 중랑역로 44-1 1층,02-496-4142
돈대감,4.2,서울 중랑구 송림길 1 1층,02-3395-9882
홍어본가,4.2,서울 중랑구 동일로 867,02-979-5305
짚신매운갈비찜 사가정점,4.5,서울 중랑구 면목로45길 19,02-432-6608
서래왕차돌 먹골점,3.9,서울 중랑구 동일로 946 1층 101호,02-972-9192
소꼴농장,4.4,서울 중랑구 봉우재로 132 1층,02-2209-8398
세컨드고메,3.3,서울 중랑구 동일로 927 2층,02-975-8645
성이네천원김밥,5.0,서울 중랑구 중랑역로 150,02-976-5648
남선반점,3.0,서울 중랑구 중랑역로 145,02-949-4433
벌교꼬막집,4.1,서울 중랑구 중랑역로 53,02-435-9004
북카페공간 중화점,4.3,서울 중랑구 동일로 795 지하1층,02-2207-3970
KFC 망우동점,2.9,서울 중랑구 망우로 410 1층,02-433-9625
포앤시드니 묵동자이점,4.1,서울 중랑구 동일로 932 묵동자이2단지 201동 113호,02-972-0075
스타벅스 중랑구청점,3.9,서울 중랑구 신내로 72,1522-3232
설빙 상봉점,4.2,서울 중랑구 망우로 204 2층,02-6380-0707
벌교계절맛집,3.5,서울 중랑구 용마산로 713 2층,02-434-0576
세상만사뼈다귀,2.8,서울 중랑구 겸재로 196 1층,02-435-4955
뚝배기바지락칼국수 면목본점,3.4,서울 중랑구 면목로 294,02-2208-2949
전설의짬뽕 묵동점,4.4,서울 중랑구 동일로 939,02-977-6523
할매복집,3.1,서울 중랑구 공릉로 82 1층,02-979-7606
돼봉삼겹살,1.9,서울 중랑구 망우로50길 24 1층,
만두박사,4.6,서울 중랑구 공릉로 66-1,02-744-3030
맥주아비,5.0,서울 중랑구 동일로163길 12 1층,
맹돌이생선구이쌈밥,4.0,서울 중랑구 용마산로115길 59 2층,02-491-8221
대박집 면목본점,2.8,서울 중랑구 면목로 419 1층,02-433-4331
시골솥뚜껑생삼겹살,4.6,서울 중랑구 봉우재로 158 1층,
저수지민물매운탕 본점,5.0,서울 중랑구 면목로 241 1층,02-439-6124
진국설렁탕,2.9,서울 중랑구 용마산로115길 102,02-433-5627
양평신내서울해장국 망우점,3.3,서울 중랑구 양원역로 25-10 1층,02-494-9559
굽다503.15,4.9,서울 중랑구 망우로32길 20 대림빌딩 1층 101호,02-435-3141
본가왕해물찜 중랑점,4.0,서울 중랑구 용마산로129길 60,02-437-2030
원조사가정손두부,4.1,서울 중랑구 면목로44길 62,02-496-7787
