name,degree,address,tel
코끼리베이글,3.3,서울 영등포구 선유로 176 수화공단 1층 60호,070-4184-0082
또순이네,3.2,서울 영등포구 선유로47길 16,02-2672-2255
송죽장,2.6,서울 영등포구 문래로 203 1층,02-2678-1323
가양칼국수,4.1,서울 영등포구 국제금융로 78 홍우빌딩 지하1층 지하3호,0507-1399-0438
정인면옥 본점,3.6,서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층,02-2683-2615
진주집,3.8,"서울 영등포구 국제금융로6길 33 지하1층 27,28호",02-780-6108
대한옥,3.4,서울 영등포구 영등포로51길 6,02-2633-5052
영일분식,3.5,서울 영등포구 도림로141가길 34-1,02-2636-9817
카페1953위드오드리,4.0,서울 영등포구 경인로77가길 12 1층,02-2672-0504
하이디라오 영등포점,,서울 영등포구 경인로 870 2층,02-2678-0715
대관원,3.5,서울 영등포구 당산로37길 1 2층,02-2068-8791
화목순대국,3.6,서울 영등포구 여의대방로 383 경도빌딩 1층,02-780-8191
부일갈비,4.5,서울 영등포구 영중로6길 23-8,02-2636-9462
삼거리먼지막순대국,4.0,서울 영등포구 시흥대로185길 11,02-848-2469
골목오리집,,서울 영등포구 도림로139가길 11 1층,02-2676-1387
허브족발,4.0,서울 영등포구 당산로48길 6 1층,02-2633-4339
승남집,4.5,서울 영등포구 영중로4길 9-4,070-4086-0905
3일한우국밥,3.6,서울 영등포구 영등포로 204,02-2678-0117
원조호수삼계탕 본점,3.4,서울 영등포구 도림로 276 1층,02-846-4688
강강술래 당산점,3.0,서울 영등포구 선유로 251,02-2677-9233
청수,3.0,서울 영등포구 국제금융로 112,02-784-1559
삼해집 영등포점,2.6,"서울 영등포구 영등포로 250 1,2층",02-2634-5508
신길동별난아찌짬뽕,2.2,서울 영등포구 영등포로62길 10,010-5395-1151
이조보쌈집,3.1,서울 영등포구 당산로 244,02-2671-3257
양키통닭,4.2,서울 영등포구 도림로139길 13 1층,070-8800-0815
흑돈가 여의도직영점,3.4,서울 영등포구 여의대방로69길 23,02-783-8800
당산옛날곱창,4.4,서울 영등포구 당산로47길 14,02-3667-2315
세상의모든아침 여의도점,,서울 영등포구 여의대로 24 전경련회관 50층,02-2055-4442
함흥냉면,3.4,서울 영등포구 영등포로42길 6,02-2678-2722
당산오돌 본점,,서울 영등포구 국회대로37길 6 1층,02-2068-5592
동해도 본점,2.2,서울 영등포구 은행로 25 안원빌딩 지하 1층,02-761-6200
올드문래,3.9,서울 영등포구 도림로 433-6 1층,02-6326-4336
마호가니커피 여의도점,3.4,서울 영등포구 여의대로 66 하이투자증권빌딩 1층,02-785-8880
양키스그릴 문래점,3.8,서울 영등포구 도림로 434-9 1층 102호,0507-1358-2819
능이버섯백숙,4.4,서울 영등포구 선유로 32,02-2677-7373
동해반점,4.1,서울 영등포구 시흥대로 639 1층,02-832-4430
항정사이,3.9,"서울 영등포구 영중로4길 13-2 1,2층",02-2677-1474
영등포꽃삼,3.5,서울 영등포구 영중로4길 6 1층,02-2678-8988
여로집 본관,2.7,서울 영등포구 영중로10길 26 1층,02-2678-8934
오복순대국,2.6,서울 영등포구 도림로 465 1층,02-2677-4183
대한옥 2호점,3.4,서울 영등포구 가마산로69가길 7 1층,02-832-6687
바스버거 여의도점,4.1,서울 영등포구 국제금융로 20 율촌빌딩 지하1층,02-784-6643
대문점,3.2,서울 영등포구 영중로10길 30 1층,02-2678-3256
하동관 국회의사당역직영점,3.3,서울 영등포구 은행로 3 삼희익스콘벤처타워 1층,02-785-9292
마굿간생고기 영등포점,3.5,서울 영등포구 영중로4길 14,02-2677-5849
러스트베이커리,3.2,서울 영등포구 경인로79길 15 1층,070-8805-0815
63뷔페 파빌리온,4.1,서울 영등포구 63로 50 63빌딩 지하1층,02-789-5731
커피리브레 영등포타임스퀘어점,3.7,서울 영등포구 영중로 15 타임스퀘어 1층 112호,02-2635-0615
오월의종 타임스퀘어점,3.8,서울 영등포구 영중로 15 112-1호,
타마,3.3,서울 영등포구 은행로 30 중소기업중앙회 1층,
창고43 본점,3.5,서울 영등포구 국제금융로6길 33 여의도백화점 M2층,02-783-4557
켄싱턴호텔 여의도 브로드웨이,4.3,서울 영등포구 국회대로76길 16,02-6670-7260
갈빗,3.1,서울 영등포구 도림로125길 14,02-2638-0012
동경화로 문래점,4.2,"서울 영등포구 당산로 34 1층 107,108호",02-2671-7567
월화고기 문래동본점,,서울 영등포구 당산로 34 118호,02-2671-7592
당산원조곱창,3.8,서울 영등포구 당산로45길 9,02-2634-7773
육갑식당 당산점,4.3,서울 영등포구 당산로47길 15 대양빌딩 1층,02-2678-9293
다미,3.0,서울 영등포구 국제금융로8길 34 오륜빌딩 1층,02-783-5167
본보야지,3.2,서울 영등포구 국제금융로2길 7 한주빌딩 2층,02-782-8889
교대이층집 여의도점,,서울 영등포구 국제금융로8길 27-8 NH농협캐피탈빌딩 2층,02-6124-7892
이한스시,3.2,서울 영등포구 선유로22길 3 유선빌딩 2층,02-2637-4989
소문난식당,4.1,서울 영등포구 도림로141가길 32-1,02-2635-0570
그믐족발 본점,,서울 영등포구 경인로79길 21 1층,02-6104-6453
아루히,4.1,서울 영등포구 여의나루로 42 여의도종합상가 2층 221호,
호박집,3.0,서울 영등포구 영등포로 237-1,02-2634-9703
