name,degree,address,tel
몽탄,,서울 용산구 백범로99길 50,02-794-8592
남영돈,,서울 용산구 한강대로80길 17 1층,02-793-3598
한남동한방통닭,4.0,서울 용산구 대사관로34길 38,02-797-8677
24시뼈다귀감자탕,4.2,서울 용산구 대사관로 73 1층,02-790-8309
오근내닭갈비,3.8,서울 용산구 이촌로29길 15,02-797-0131
맥심플랜트,4.3,"서울 용산구 이태원로 250 지하1~2층,1~3층",070-4287-8557
나리의집,3.4,서울 용산구 이태원로 245,02-793-4860
패션5 한남점,2.9,서울 용산구 이태원로 272 SPC빌딩 1층,02-2071-9505
구복만두,3.7,서울 용산구 두텁바위로 7 1층,02-797-8656
손문 대구막창갈매기살 용산점,4.3,서울 용산구 새창로 213-9 1층,02-793-3189
오근내2닭갈비,3.1,서울 용산구 한강대로11길 13 1층,02-798-0131
명동교자 이태원점,3.9,서울 용산구 녹사평대로 136,02-790-7300
올드페리도넛,3.9,서울 용산구 한남대로27길 66 2층,02-6015-2022
다운타우너 한남,4.3,서울 용산구 대사관로5길 12 1층,070-8806-3696
일미집,3.4,서울 용산구 후암로 1-1 1층,02-776-0670
기와,3.3,서울 용산구 한강대로21나길 40,02-710-7777
돈까스잔치 동빙고점,,서울 용산구 서빙고로 297,02-796-9969
홍철책빵,2.9,"서울 용산구 한강대로102길 57 1,2층",
평양집,2.8,서울 용산구 한강대로 186,02-798-3989
삼각지원대구탕 본점,3.1,서울 용산구 한강대로62가길 8-1 1~2층,02-797-4488
오스테리아 오르조 한남,4.2,서울 용산구 한남대로20길 47 2층,010-6361-0801
부자피자 1호점,3.9,서울 용산구 이태원로55가길 28,02-794-9474
파이프그라운드,3.9,서울 용산구 한남대로27길 66 지하1층,02-793-1500
라쿠치나,4.2,서울 용산구 회나무로44길 10,02-794-6006
차마시는뜰,4.4,서울 용산구 녹사평대로46길 92 삼호빌라 지하 0호,010-9680-0688
현선이네 용산본점,3.2,"서울 용산구 한강대로39길 2-13 1,2층",010-4750-8886
부다스벨리,4.5,"서울 용산구 녹사평대로40길 48 지하1층,1,2층",1666-2753
앤트러사이트 한남점,3.6,서울 용산구 이태원로 240 1~3층,02-797-7508
바토스 이태원점,3.7,"서울 용산구 이태원로15길 1 1,2층",02-797-8226
문배동육칼 본점,3.3,서울 용산구 백범로90길 50 1층,02-713-6204
도동집,2.9,서울 용산구 후암로48길 1 지하1층,02-772-9463
잠수교집 본점,,서울 용산구 장문로 81 1층,02-749-0434
보니스피자펍,3.6,서울 용산구 신흥로3길 2,02-792-0303
단박왕돈까스,3.9,서울 용산구 백범로90길 74 1층,02-718-1419
동빙고,3.9,서울 용산구 이촌로 319,02-794-7171
