name,degree,address,tel
1인1잔,3.7,"서울 은평구 연서로 534 1,2층",02-355-1111
벙구갈비,4.4,서울 은평구 응암로 269 1층,02-352-5092
옥탑방,4.3,서울 은평구 서오릉로 115 1층,010-9127-6400
백년가게 만포면옥 본점,,"서울 은평구 연서로 171 1, 2층",02-389-3917
가이오국수 본점,4.1,서울 은평구 연서로 132 1층,02-388-0621
원조두꺼비집불오징어,4.3,"서울 은평구 연서로28길 5 1,2층",02-355-3130
중화원,3.7,서울 은평구 통일로66길 10-16,02-353-3379
역촌왕돈까스 역촌본점,2.8,서울 은평구 진흥로 121-1,02-355-2777
충무칼국수보쌈,4.0,서울 은평구 은평로 193 2층,02-3142-3198
마마수제만두,3.8,서울 은평구 증산로 397 에벤에셀빌딩 1층,02-375-1688
갈현동할머니떡볶이,3.5,서울 은평구 통일로87길 8-1,02-354-8399
횟집울릉도,3.6,서울 은평구 서오릉로 29-4 1층,02-356-8898
YM커피프로젝트,4.6,서울 은평구 연서로29길 21-8 1층,070-7767-0829
롱브레드 은평한옥마을점,3.2,"서울 은평구 연서로 530 1, 2층",02-352-7290
소담촌 구산직영점,3.7,서울 은평구 서오릉로 145 상원빌딩 3층,02-356-8668
벙구갈비,4.2,서울 은평구 은평로 32,02-306-5092
넷길이콩나물국밥,4.4,서울 은평구 진흥로 139,02-6406-7808
이가네가마솥설렁탕,3.6,서울 은평구 진흥로 130 1층,02-387-2246
보들이족발,3.7,서울 은평구 연서로 230-10,0507-1429-7610
쿠우쿠우 연신내점,3.7,서울 은평구 통일로 856 메트로타워 6층,02-388-3690
홍제동30년 우동국수,2.8,서울 은평구 서오릉로 242,02-388-5929
옥토끼제면소,4.5,서울 은평구 불광천길 536,02-6104-6353
서부감자국,2.8,서울 은평구 서오릉로 8,02-356-4555
차이몬스터,3.8,서울 은평구 불광천길 334 1층,02-305-7843
제주도그릴 특상 은평본점,3.7,서울 은평구 응암로 373 역촌빌딩 1층,0507-1354-2571
원조은평감자국,4.4,서울 은평구 응암로 287,02-389-4458
화포식당,4.0,서울 은평구 연서로29길 20-15 1층,0507-1428-8591
아리산채,4.4,서울 은평구 수색로 217-1 1층,02-307-1687
성일식당,4.7,서울 은평구 갈현로 306-8 1층,010-8078-8338
이상향,4.0,서울 은평구 진흥로5길 17 1층,
머슴과마님,3.8,서울 은평구 응암로 369-1,02-388-3331
산들애 건강밥상,3.9,서울 은평구 대서문길 43-16 1층,02-385-9693
골목집갈비살,4.2,서울 은평구 연서로27길 12-9 1층,02-6398-4586
가야밀냉면해물칼국수,4.0,서울 은평구 대서문길 36 북한산성상가 A동 106호,02-356-5546
보들이쭈꾸미,4.3,서울 은평구 은평로 46,02-376-3588
봉희설렁탕 본점,2.6,서울 은평구 증산로 413,02-302-9754
아로이타이,4.3,서울 은평구 은평로 108 메트로럭스 2층 201호,02-359-6409
양촌리 은평점,3.3,서울 은평구 은평로 141 1~4층,02-3157-8592
1인1상,2.6,"서울 은평구 연서로 534 4,5층, 옥상층",02-357-1111
장충당 역촌점,4.0,서울 은평구 진흥로 33,02-389-7771
풍천장어 응암점,4.8,서울 은평구 응암로 340-1 대진빌딩 1층,02-351-9989
탕면,4.3,서울 은평구 진관3로 33 지하1층 B111호,02-6084-0342
목노집,4.0,서울 은평구 연서로28길 10,02-355-1652
오늘은보글부대,4.1,서울 은평구 불광천길 430 1층,02-376-7907
근린커피,3.6,서울 은평구 응암로21길 23,070-7715-5300
노량진횟집,4.0,서울 은평구 은평로8길 3 1층,02-383-6533
우주미,,서울 은평구 은평로 185,02-354-7788
송추가마골 은평1호점,2.3,서울 은평구 북한산로 276 2층,02-371-0022
카페뤽상부르,3.9,"서울 은평구 연서로25길 6-11 1, 2층",02-385-2846
유라쿠,3.1,서울 은평구 연서로 214,02-384-9696
뚜띠쿠치나 응암점,2.7,서울 은평구 증산로 465,02-302-5676
휴식,,서울 은평구 연서로26길 14 2층,02-386-0437
참나무본가 은평점,3.7,서울 은평구 통일로 1020 헤센스마트 2층,02-354-9702
코스모스,2.9,서울 은평구 연서로15길 2,
넙딱집 역촌본점,,서울 은평구 진흥로 124 1층,0507-1337-9728
원조양평해장국 직영점,3.3,서울 은평구 연서로 203,02-354-5058
만나만두,4.6,서울 은평구 연서로 292 1층 103호,02-387-2001
