name,degree,address,tel
삼청동수제비,3.1,서울 종로구 삼청로 101-1,02-735-2965
어니언 안국,3.5,서울 종로구 계동길 5,070-7543-2123
청진옥,3.2,서울 종로구 종로3길 32,02-735-1690
광화문미진 본점,3.6,"서울 종로구 종로 19 르메이에르종로타운 1층 116-2,117호",02-732-1954
이문설농탕,3.0,서울 종로구 우정국로 38-13 1층,02-733-6526
핏제리아오,4.6,"서울 종로구 동숭길 86 2,3층",02-3673-5005
부촌육회,4.3,서울 종로구 종로 200-12 1층,02-2267-1831
노티드 안국,3.5,서울 종로구 북촌로 6-3 1층,070-7755-9377
진옥화할매원조닭한마리 본점,3.3,서울 종로구 종로40가길 18,02-2275-9666
온천집 익선,3.5,서울 종로구 돈화문로11나길 31-8 1층,02-762-8215
토속촌 삼계탕,3.7,서울 종로구 자하문로5길 5,02-737-7444
황생가칼국수,3.6,서울 종로구 북촌로5길 78,02-739-6334
대련집,3.5,서울 종로구 종로16길 37 1층,02-2265-5349
깡통만두,3.9,서울 종로구 북촌로2길 5-6,02-794-4243
오죽이네,4.1,서울 종로구 돈화문로11가길 25,02-741-8874
대성집,4.1,서울 종로구 사직로 5 1층,02-735-4259
안주마을,4.1,서울 종로구 자하문로1길 3,02-723-3529
서촌계단집,3.0,서울 종로구 자하문로1길 15 1층,02-737-8412
진진수라 광화문점,3.5,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,02-6226-8191
혜화칼국수,3.2,서울 종로구 창경궁로35길 13,02-743-8212
테라로사 광화문점,4.0,서울 종로구 종로1길 50 더케이트윈타워 B동 1층,1668-2764
계림 종로본점,3.8,서울 종로구 돈화문로4길 39,02-2263-6658
백제정육점,3.6,서울 종로구 종로35길 34,02-762-7491
백부장집닭한마리 본관,4.1,서울 종로구 삼봉로 100-1 1층,02-732-2565
우육면관 청계천점,4.5,"서울 종로구 청계천로 75-2 1,2층",070-4213-5678
정돈,3.9,서울 종로구 대학로9길 12 지하1층,02-987-0924
산모퉁이,3.1,서울 종로구 백석동길 153,02-391-4737
광장시장통큰누이네육회빈대떡,4.3,"서울 종로구 동호로 403-24 1,2층",02-2268-3344
잘빠진메밀 서촌점,3.4,"서울 종로구 자하문로11길 4 1, 2층",070-4142-1214
양반댁,,서울 종로구 인사동길 19-18 1층,02-733-5507
광화문뚝감,3.9,서울 종로구 새문안로3길 21 1층,02-722-5894
광화문한옥집,3.0,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,02-731-2500
서린낙지,3.3,서울 종로구 종로 19 르메이에르 종로타운 2층,02-735-0670
포비 광화문점,4.3,서울 종로구 종로3길 17 광화문D타워 1층 21호,02-2251-8125
미도갈비 종로직영점,3.6,서울 종로구 삼일대로15길 25 1층,010-9741-9233
샤오바오 우육면 본점,3.9,서울 종로구 삼일대로17길 15 1층,02-723-7788
순대실록 대학로본점,4.6,서울 종로구 동숭길 127 우성빌딩 2층,0507-1407-5338
창신동매운족발 본점,3.6,서울 종로구 종로51길 23,02-3675-9689
자하손만두,2.8,서울 종로구 백석동길 12 지하1층,02-379-2648
잘빠진메밀 익선동점,3.8,서울 종로구 율곡로8길 73 1층,070-4113-1214
도마 인사점,4.1,서울 종로구 인사동8길 6-1,02-733-9376
장군굴보쌈,3.4,서울 종로구 수표로20길 22,02-2274-9548
몽중헌 안국점,4.0,서울 종로구 북촌로 31-22,02-730-2051
평양고깃집,4.4,서울 종로구 인사동5길 14 2층,070-4419-4999
화목순대국 광화문1호점,3.9,서울 종로구 새문안로5길 11,02-723-8313
양연화로 종로직영점,,"서울 종로구 삼일대로17길 18 1,2층",02-3210-0808
오레노라멘 인사점,4.1,서울 종로구 율곡로 49-4 1층 101호,02-722-3539
육회자매집 본점1호점,3.8,서울 종로구 종로 200-4 1층,02-2274-8344
혜화도담,,서울 종로구 대명1길 16-6 1층,02-744-9850
스미스가 좋아하는 한옥,3.2,서울 종로구 삼청로 22-7,02-722-7003
영춘옥,3.0,서울 종로구 돈화문로5가길 13 1층,02-765-4237
나누미떡볶이 성대본점,3.2,서울 종로구 성균관로 9-1 1층,02-747-0881
아키비스트,3.9,서울 종로구 효자로13길 52 1층,02-738-1517
살롱순라,3.7,서울 종로구 율곡로10길 75,02-6409-0027
계열사,,서울 종로구 백석동길 7 1층,02-391-3566
학림다방,4.2,서울 종로구 대학로 119 2층,02-742-2877
원소닭 원할매소문난원조닭한마리,,서울 종로구 종로40가길 25 원할매소문난,02-2279-2078
대성식당,4.1,서울 종로구 종로26길 14-3,0507-1407-5903
