name,degree,address,tel
삼육가 사당역1호점,,서울 서초구 방배천로 10 동화빌딩 1층,02-582-0102
서관면옥 교대본점,4.0,서울 서초구 서초대로56길 11 1층,02-521-9945
임병주 산동칼국수,3.3,서울 서초구 강남대로37길 65,02-3473-7972
노랑저고리 강남점,3.6,서울 서초구 서초대로73길 9 타임빌딩 5층,02-534-5300
하이디라오 강남점,4.1,서울 서초구 서초대로77길 54 서초W타워 2층,02-533-8260
일품진진수라 강남점,3.3,서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층,02-6250-3110
프릳츠 양재점,4.0,서울 서초구 강남대로37길 24-11 서림빌딩 1층,02-521-4148
설마중,3.5,서울 서초구 남부순환로 2648,02-3462-8888
딘타이펑 강남점,,서울 서초구 서초대로73길 12 세계빌딩 2층,02-534-2783
백년옥 본관,3.0,서울 서초구 남부순환로 2407 1층,02-523-2860
봉산옥 서초동본점,3.8,서울 서초구 반포대로8길 5-6,02-525-2282
텍사스데브라질 센트럴시티점,3.6,서울 서초구 사평대로 205 파미에가든 4층,02-6282-5000
낙원타코 강남역점,,서울 서초구 서초대로73길 7 우송빌딩 2층,02-595-1540
영동설렁탕,3.5,서울 서초구 강남대로101안길 24 1층,02-543-4716
교대이층집 교대본점,,서울 서초구 서초대로50길 24 청화빌딩 2층,02-525-6692
3대삼계장인,,서울 서초구 반포대로28길 56-3 한라빌딩 1층,02-522-2270
영동족발 본점,,서울 서초구 남부순환로358길 8,02-571-3939
바른식 시골보쌈&감자옹심이 사당역별관점,2.4,서울 서초구 방배천로 12 1층,02-6959-2830
속초어시장 방배점,3.5,서울 서초구 방배천로2길 7 1층,02-523-0511
이자카야나무 강남3호점,3.4,서울 서초구 서초대로75길 23,02-535-0348
버드나무집 서초본점,3.4,서울 서초구 효령로 434 1층,02-3473-4167
수향가 사당직영점,2.9,서울 서초구 남부순환로 2121-3 1~2층,02-523-8799
산들해 반포점,3.5,서울 서초구 반포대로 287 래미안퍼스티지 중심상가 지하1층,02-537-0113
탐라도야지,3.3,서울 서초구 서초대로50길 82,02-521-3337
정담은,3.0,서울 서초구 방배천로2길 15 지하1층,02-877-4000
꿉당 신사,4.1,서울 서초구 강남대로 615 금정빌딩,
디오디아2.0,4.2,서울 서초구 강남대로 213 엘타워 4층,02-526-8700
일일향 3호점,3.0,서울 서초구 서초대로78길 22 3층,02-555-8133
초선과여포 본점,3.9,서울 서초구 서초대로78길 44 2층,02-525-9890
대도식당 강남대로점,,서울 서초구 강남대로 589 멀버리힐스 지하3층,02-544-9772
이남장 서초점,3.0,서울 서초구 서초대로49길 4,02-592-0268
모던눌랑 센트럴시티점,3.6,서울 서초구 사평대로 205 센트럴시티 파미에가든 4층 BP4-6호,02-6282-5005
한소반 청계산점,3.8,서울 서초구 청계산로 249,02-3453-1500
고메램 강남점,3.9,서울 서초구 강남대로 359 대우도씨에빛2차 지하1층,02-588-7805
이춘복참치&스시 강남점,,"서울 서초구 강남대로61길 13 1,2층",02-591-4558
공미학 서초교대점,3.5,서울 서초구 서초대로48길 101 1층,02-6462-9000
정담이깃든사랑채,3.4,서울 서초구 방배천로2길 7 2층,02-521-5800
마루심 반포점,3.6,서울 서초구 고무래로10길 10 청구빌딩 1층,02-592-8998
주,4.0,서울 서초구 동광로19길 16,02-3482-3374
조양관,3.0,"서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층, 지하1층",02-3473-8181
루엘드파리,4.1,"서울 서초구 서초중앙로 18 1층 107,112,117,118호",02-322-0939
배나무골 양재본점,4.0,서울 서초구 마방로2길 12 보성빌딩 지하1층,02-571-5252
샤브리샤브샤브,,서울 서초구 방배천로2길 21 성현빌딩 3층,02-597-0789
초동집 본점,3.8,서울 서초구 방배천로 22 1층,02-585-2722
세광양대창 교대본점,,"서울 서초구 반포대로28길 79 1,2층",02-583-6692
메이탄 강남점,3.5,서울 서초구 서초대로73길 54 2층 210~214호,02-535-6686
갈비사랑,3.6,"서울 서초구 강남대로 204 지하, 1~5층",02-3463-9800
밴건디스테이크하우스,4.5,서울 서초구 사평대로22길 5 1층,02-595-6062
됐소 강남점,4.2,"서울 서초구 서초대로78길 46 익산빌딩 2,3층",02-586-8588
교대곱창,2.4,서울 서초구 서초중앙로 77,02-3474-9167
태양커피 방배점,4.4,서울 서초구 서초대로25길 55 1층,02-534-8180
강촌원조쭈꾸미 본점,3.4,서울 서초구 남부순환로350길 36 1층,02-575-4458
크라이치즈버거 양재역점,4.8,서울 서초구 강남대로41길 8 1층,02-582-6244
청류벽,3.1,서울 서초구 서초대로74길 29 1층 105호,02-2055-1191
산들해 양재동점,3.4,서울 서초구 강남대로 213 엘타워 지하1층,02-579-3457
대나무골,2.7,서울 서초구 법원로3길 15 영포빌딩 지하,02-533-8410
해몽,4.2,서울 서초구 사평대로56길 8 양정빌딩 2층 가호,02-515-6080
리에또,3.9,서울 서초구 방배천로4안길 20 2층,02-581-5291
진스시,3.7,서울 서초구 강남대로43길 22-2,02-588-3330
더 리버사이드 호텔 뷔페 더 가든키친,3.1,서울 서초구 강남대로107길 6 더리버사이드호텔 1층,02-6710-1133
캐틀앤비 양재천점,2.8,서울 서초구 양재천로 131,02-578-2737
미우야,3.3,서울 서초구 강남대로23길 90 기정빌딩 1층,02-577-6348
자매수산 본점,2.9,서울 서초구 사평대로56길 12 정경빌딩 1층,02-536-9292
양양메밀막국수,3.7,서울 서초구 동광로15길 10,02-3482-3738
삼성각,2.8,서울 서초구 서초대로78길 42 2층,02-598-7779
가츠오,3.9,서울 서초구 서초중앙로20길 21 1층,02-6338-5154
구름떡,4.0,서울 서초구 방배로33길 21 1층,02-533-1530
해담채 남부터미널점,3.4,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하 1층,02-585-4997
황재벌,3.2,서울 서초구 남부순환로347길 42-4 1층,02-3471-5454
교대갈비집,,서울 서초구 반포대로28길 91 대진빌딩 2층,02-587-6692
샘밭막국수 서초점,3.3,서울 서초구 서초중앙로24길 27 지파이브센트럴플라자 지하1층,02-585-1702
남궁야,3.7,서울 서초구 방배천로4안길 10,02-581-9252
장꼬방묵은김치찌개전문,3.1,서울 서초구 효령로 364,02-522-0035
두껍삼 강남직영점,,서울 서초구 서초대로78길 44 서초나산스위트 1층,1670-3592
채빛퀴진,3.9,서울 서초구 올림픽대로 2085-14,02-3477-3100
악바리,3.3,서울 서초구 서초대로77길 41,02-3482-3080
청계산곤드레집,,"서울 서초구 청룡마을1길 1 1,2층",02-574-4542
기와집순두부 서초점,3.9,서울 서초구 서초대로51길 14 지하1층,02-599-0579
설눈,3.9,서울 서초구 서초대로46길 20-7 영토빌딩 1층,02-6959-9339
금수복국 서초점,3.2,서울 서초구 서초중앙로24길 27 G5센트럴프라자 1층 28~31호,02-532-5482
락희옥 서초교대역지점,3.0,"서울 서초구 반포대로30길 63 영서빌딩 1, 2층",02-582-5958
요멘야고에몬 강남점,3.4,서울 서초구 서초대로77길 7 서초빌딩 1층,02-534-8036
데블스도어 센트럴시티점,3.5,서울 서초구 사평대로 205,02-6282-4466
장꼬방,4.4,서울 서초구 강남대로61길 27 1층,02-597-5511
만원수산,3.8,서울 서초구 서초대로77길 37 서초월드상가 3층 302호,
사당 강고집 (사당본점),4.4,서울 서초구 방배천로4안길 6 1층,02-6489-9589
한성돈까스,3.5,서울 서초구 강남대로97길 10 1층,02-540-7054
진대감 신사점,4.2,서울 서초구 나루터로12길 18,02-543-8858
신사고집,4.4,서울 서초구 나루터로 70 영서빌딩 1층 101호,02-3443-8292
채미가,3.1,서울 서초구 법원로2길 15,02-591-7892
서리풀식당,,서울 서초구 서초대로50길 39 1층,02-582-6692
진대감 교대점,3.1,서울 서초구 서초대로50길 62-9 1층,010-4472-2472
진동둔횟집,3.8,서울 서초구 강남대로91길 18,02-511-2179
레몬그라스타이,4.1,서울 서초구 효령로68길 67 1층,02-522-3029
카몽,4.6,서울 서초구 서초대로42길 17 1층,
JW메리어트호텔서울 플레이버즈,4.1,서울 서초구 신반포로 176 JW메리어트서울 2층,02-6282-6730
파이브가이즈 강남,3.2,"서울 서초구 강남대로 435 주류성빌딩 1,2층",070-8834-7900
홍천한우,3.9,서울 서초구 효령로55길 47 1~3층,02-586-0513
토다베이글 본점,3.8,서울 서초구 성촌6길 39,02-529-5401
한양왕족발,3.7,서울 서초구 방배천로2안길 15,02-523-3006
묘오또 방배점,4.2,서울 서초구 방배로28길 16 세광빌딩 1층,
쿠오레,3.8,서울 서초구 강남대로 275 1층 101호,070-7750-9230
감격시대,2.5,서울 서초구 서초대로50길 104 1층,02-521-3392
육품,3.3,서울 서초구 강남대로65길 12 2층,02-6949-6582
로리스더프라임립,3.8,서울 서초구 서초대로 411 GT타워 3층,02-590-2800
브루클린더버거조인트 서래마을점,3.8,서울 서초구 서래로2길 27 1층,02-533-7180
어다미,4.2,서울 서초구 서초대로 279,02-533-4916
중국요리리향,2.5,"서울 서초구 반포대로28길 15 1,2층",02-525-3580
라비드쿤,3.7,서울 서초구 마방로2길 15-5,010-9097-0709
바른식시골보쌈&감자옹심이 교대점,4.2,서울 서초구 서초대로52길 17 창성빌딩 1층,02-583-6431
교대이층집 사당점,3.1,서울 서초구 방배천로 12-9 2층,02-523-8188
퀸즈가든,2.1,서울 서초구 강남대로53길 7 애니타워 지하1층,02-522-0531
타르타르 강남역점,3.6,서울 서초구 강남대로61길 13 1층,010-9497-2922
담,2.7,서울 서초구 남부순환로 2406 1층,02-598-8187
순대실록 센트럴시티점,4.1,서울 서초구 신반포로 176 1.5층 8호,02-6282-5338
소들녘 서초점,3.3,서울 서초구 효령로 232,02-583-0505
만다린,3.8,"서울 서초구 방배로6길 10-15 1,2층",02-581-3366
덕자네방앗간 강남본점,2.9,"서울 서초구 서초대로77길 62 강남역1차 아이파크 1층 101,102호",02-599-8959
봉피양 양재점,2.8,서울 서초구 강남대로 283 남성빌딩 1층,02-522-9291
쓰리버즈 센트럴시티점,3.2,서울 서초구 사평대로 205,02-6052-0104
로우어가든,4.3,서울 서초구 사평대로57길 28 1층,070-4200-0921
미소의집,4.1,서울 서초구 신반포로 27-6 한신종합상가 지하2층,02-537-0547
모범갈빗살 강남역본점,4.4,서울 서초구 서초대로73길 40 1층 104호,02-533-2588
