name,degree,address,tel
소문난성수감자탕,3.0,서울 성동구 연무장길 45 1층,02-465-6580
대성갈비,3.2,서울 성동구 서울숲4길 27,02-464-3012
어니언 성수,3.5,"서울 성동구 아차산로9길 8 1,2층",070-4353-3238
성수족발,3.3,서울 성동구 아차산로7길 7 1층,02-464-0425
쎈느,3.8,"서울 성동구 연무장5길 20 1,2층",02-469-2122
할아버지공장,3.3,"서울 성동구 성수이로7가길 9 1,2층",010-3934-2301
대림창고,3.1,서울 성동구 성수이로 78,02-499-9669
제스티살룬 성수,4.1,서울 성동구 서울숲4길 13 1층,02-2205-2622
스시도쿠,4.1,서울 성동구 왕십리광장로 6 1층,02-2281-3255
땅코참숯구이 본점,4.2,서울 성동구 행당로17길 26 1층,02-2281-6908
인생한우,3.7,서울 성동구 마장로31길 43 영지빌딩 2층,02-2292-2888
성수다락,,서울 성동구 뚝섬로9길 20 2층,0507-1349-9197
춘향미엔,4.3,서울 성동구 왕십리로21길 26 1층,02-2281-9031
로우키,4.3,서울 성동구 연무장3길 6 1층,070-8824-2010
온량,3.7,서울 성동구 서울숲4길 26-10 1층,02-6403-3643
잠수교집 성수점,,서울 성동구 아차산로 137 1층,02-465-0434
유래회관,4.2,서울 성동구 마장로 196,02-2293-8866
왕십리조개창고,3.3,서울 성동구 왕십리로 331 경진빌딩 지하1층,010-4596-0449
인더매스 마장,4.3,서울 성동구 마장로 270 1층,02-6084-8996
르프리크,4.3,서울 성동구 연무장5길 9-16 B103호,02-2054-0119
밀도 성수본점,3.7,서울 성동구 왕십리로 96 1층,02-497-5050
호호식당 성수동점,3.2,서울 성동구 서울숲4길 25,02-498-2384
오레노카츠 성수본점,3.8,서울 성동구 성수일로 47 1층 102호,02-499-0323
제일양대창,3.9,서울 성동구 고산자로 281 2층,010-8690-9792
센터커피 서울숲점,3.8,서울 성동구 서울숲2길 28-11 1층,070-8868-2008
소바식당 성수점,3.0,서울 성동구 연무장7가길 6 1층,02-6339-1552
