name,degree,address,tel
나폴레옹과자점 성북본점,3.1,서울 성북구 성북로 7,02-742-7421
성북동메밀수제비누룽지백숙,3.7,서울 성북구 성북로31길 9,02-764-0707
성북동면옥집,2.9,서울 성북구 대사관로 40,02-765-3450
태조감자국,3.8,서울 성북구 보문로34길 43 세학빌딩 1층,02-921-7667
성북동빵공장,2.4,서울 성북구 대사관로 40 B동 1~3층,02-762-3450
쌍다리돼지불백 본점,3.1,서울 성북구 성북로23길 4 1층,02-743-0325
수연산방,3.2,서울 성북구 성북로26길 8 상허 이태준 가옥,02-764-1736
공푸,4.3,서울 성북구 삼선교로24길 29 1층,070-7566-4683
안동반점,4.0,서울 성북구 고려대로1길 35-1,02-923-4448
금왕돈까스 본점,2.7,서울 성북구 성북로 138,02-763-9366
수아당,4.3,"서울 성북구 동소문로20가길 33 1,2층",02-926-0625
채화정,4.3,서울 성북구 오패산로3길 9,02-912-8333
갈비명가이상 길음신관,2.5,서울 성북구 정릉로 395,02-919-8000
팔백집 본점,3.8,서울 성북구 보문로30길 46,02-928-0032
고른햇살,4.4,서울 성북구 개운사길 14 1층,02-953-3394
삼청각 일화당,2.6,서울 성북구 대사관로 3,02-765-3700
한상,2.8,서울 성북구 화랑로 248 장위뉴타워 13층,010-5584-7629
청수장,3.2,서울 성북구 정릉로 237-2 1층,02-913-6176
이공김밥 안암본점,4.0,서울 성북구 안암로 61-6 1층,02-926-0005
옛날중국집,3.3,서울 성북구 성북로8길 8,02-764-0094
청년밥상문간,4.9,서울 성북구 보국문로11길 18-2 2층,02-741-6031
갈비명가이상 돈암본관,2.7,서울 성북구 정릉로 364,02-925-8700
서울왕돈까스 성북동본점,3.4,"서울 성북구 창경궁로35다길 140 1,2층",02-766-9370
해로커피,4.5,서울 성북구 성북로 19-3 1층,02-6012-9871
가부 본점,4.1,서울 성북구 보문로 182 1층,02-929-2182
남해바다마차,3.5,서울 성북구 한천로78길 71,02-966-5036
장수감자탕,4.2,서울 성북구 도봉로3길 9-10,02-980-1003
두부촌,3.5,서울 성북구 안암로 43,02-922-1783
메리킹 서울북부점,4.7,서울 성북구 종암로 167 동일하이빌 뉴시티상가 4층,02-941-4100
백소정 안암본점,4.2,서울 성북구 개운사길 30 2층,0507-1392-2022
장위동유성집 본점,3.1,"서울 성북구 화랑로 118 2, 3층",02-915-4021
광명수산,4.1,서울 성북구 동소문로 125 1층,02-929-8945
일번지정육식당 돌곶이점,4.0,서울 성북구 화랑로 254 1층,02-960-1012
창신동매운족발 본점1호점,3.9,서울 성북구 한천로78길 57 1층,02-966-9923
애정마라샹궈 본점,4.3,서울 성북구 동소문로20나길 11 2층,02-921-3721
비너발트,3.7,서울 성북구 월곡로 112,02-919-8848
꿀사발떡볶이,3.5,서울 성북구 정릉로6길 45 1층,
제순식당 성신여대본점,4.3,서울 성북구 동소문로20다길 30-9,02-927-2007
동선식당,4.3,서울 성북구 보문로30라길 9 1층,02-953-6632
제주고깃집 성북구청점,4.4,서울 성북구 보문로 144 1층,02-921-0505
성북동돼지갈비 본점,2.4,서울 성북구 성북로 115,02-764-2420
동우설렁탕 본점,4.3,서울 성북구 개운사길 45,
오박사네왕돈까스 본점,2.9,"서울 성북구 혜화로 80 1, 2층",02-3673-5730
성북동집,3.9,서울 성북구 성북로24길 4 1층,02-747-6234
밀곳간,4.1,서울 성북구 성북로18길 19 1층,02-742-0525
봉화묵집,4.3,서울 성북구 아리랑로19길 46-2,02-918-1668
바람난오리궁뎅이,4.5,서울 성북구 보국문로29길 15,02-918-5999
그레도제빵사,3.9,서울 성북구 화랑로 304,070-8290-3033
성북동이안,4.0,서울 성북구 성북로5길 29-19 1층,02-744-2919
돈암돈집,4.0,서울 성북구 동소문로20다길 15 1층,02-6013-9924
라라면가,4.3,서울 성북구 동소문로22길 57-25,02-921-4851
푸른농장정육식당,4.4,서울 성북구 보문로 181 1층,02-929-4816
국화정원,3.4,서울 성북구 성북로 154,02-741-0021
팔백집,3.8,서울 성북구 고려대로27길 3,02-921-5567
드림랜드,3.7,서울 성북구 월계로 166,02-906-4198
기차순대국,4.2,서울 성북구 솔샘로18길 91 1층,02-914-9316
국시집,3.1,서울 성북구 창경궁로43길 9,02-762-1924
카페루틴,4.2,서울 성북구 보문로34가길 6 1층,02-6489-4589
폴드커피,4.5,"서울 성북구 종암로 214-3 1,2층",
죠셉의커피나무,4.2,서울 성북구 성북로31길 65,02-741-1060
유자유김치떡볶이 본점,4.0,서울 성북구 고려대로24길 48 2층,02-928-7754
삼성통닭 본점,4.0,서울 성북구 고려대로24길 60,02-922-0077
