name,degree,address,tel
갓잇 송리단길점,4.2,"서울 송파구 오금로16길 20 1,2층",070-8824-9451
청와옥 방이본점,3.4,서울 송파구 위례성대로 48 반도빌딩 1층 102호,02-416-3456
명인밥상,3.1,서울 송파구 송이로 157 지하1층,02-409-3355
청와옥 석촌호수직영점,3.3,서울 송파구 삼학사로 96,02-422-0550
해주냉면,3.5,서울 송파구 백제고분로7길 8-16 1층,02-424-7192
별미곱창,3.4,서울 송파구 오금로11길 14 1층,02-413-3610
진지아,4.3,"서울 송파구 백제고분로41길 12-9 1,2층",02-418-5354
라라브레드 송파점,,"서울 송파구 오금로16길 4 지하1층, 1,2층",1800-1990
함경도찹쌀순대,3.5,서울 송파구 송파대로28길 32 올림피아 오피스텔 1층,02-403-8822
산들해 송파점,3.2,서울 송파구 위례성대로 6 현대토픽스 2층,02-448-3457
육화식당,4.4,"서울 송파구 올림픽로32길 29 1,2층",02-424-6882
몽중헌 방이점,4.0,"서울 송파구 위례성대로 10 S타워 20,21층",02-2202-8004
봉피양 방이점 본관,3.8,서울 송파구 양재대로71길 5,02-415-5527
황도바지락칼국수,3.6,서울 송파구 백제고분로 358,02-417-5058
군산오징어 잠실본점,3.5,"서울 송파구 삼학사로 101 군산오징어빌딩 1,2층",02-413-2046
오향가 가락본점,4.3,서울 송파구 송이로 106,02-401-6999
툇마루밥상,2.9,"서울 송파구 송파대로 111 파크하비오타워 2층 205동 211,212호",02-409-6979
고도식 잠실점,,서울 송파구 백제고분로45길 28 벤도치빌딩 1층,02-422-8692
수작나베 석촌호수직영점,4.4,서울 송파구 석촌호수로 234 라품미빌딩 1층,02-423-3767
돈까스의집,3.4,서울 송파구 삼전로 100 아카데미빌딩 1층,02-413-5182
다운타우너 잠실,4.0,서울 송파구 백제고분로45길 3 1층,070-8868-3696
늘푸른목장 잠실본점,3.5,서울 송파구 백제고분로9길 34,02-3431-4520
일일향 잠실점,,서울 송파구 석촌호수로 290 성우빌딩 지하1층~2층 B02호,02-421-8900
엘리스리틀이태리,4.1,서울 송파구 백제고분로41길 43-21 1층,
무한소 신천본점,,서울 송파구 백제고분로9길 25 1층,02-2281-9465
개나리아구찜 송파본점,3.4,서울 송파구 오금로15길 7-8 1층,02-423-0060
오레노라멘 송파점,4.5,서울 송파구 백제고분로45길 17-3 1층 102호,
골드참치 잠실점,3.8,서울 송파구 오금로 125 유미빌딩 2층,02-422-7747
방이샤브샤브칼국수 방이본점,4.4,서울 송파구 오금로31길 42,02-423-3450
화반 방이점,4.3,서울 송파구 오금로13길 8 1층,02-418-9292
삿뽀로 방이점,3.8,서울 송파구 오금로11길 7 제이타워빌딩 2층,02-418-7797
본가설렁탕,2.8,서울 송파구 석촌호수로 204,02-414-5945
골목떡볶이,3.4,서울 송파구 문정로1길 33,02-3402-3452
마싯내,4.2,서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호,02-2202-3979
흥부골숯불돼지왕갈비,4.3,서울 송파구 백제고분로33길 35 1층,02-418-0003
뉴질랜드스토리,4.3,서울 송파구 석촌호수로 268 경남레이크파크 1층,070-7523-6265
단디 송리단길본점,3.9,서울 송파구 백제고분로45길 7 1층 1호,02-412-5335
홈수끼 방이본점,3.6,서울 송파구 위례성대로 134,02-417-4124
오모리찌개 잠실본점,2.6,서울 송파구 송파대로 471 1층,02-2203-0067
이성원쉐프의청년감자탕순대국 방이동본점,3.7,서울 송파구 오금로19길 5 1층,02-3431-9252
담은갈비,4.2,서울 송파구 삼전로 93 1층,02-423-8053
자연별곡 NC송파점,3.5,서울 송파구 충민로 66 NC백화점 7층,02-2157-5754
바이킹스워프 롯데월드몰점,3.3,서울 송파구 올림픽로 300 4층,1644-3210
잠수교집 3호점,,서울 송파구 송파대로49길 51 1층,02-419-0434
남경막국수 신천점,3.4,서울 송파구 석촌호수로 74 잠실엘타워아파트 B동 1층,02-417-0060
놀부유황오리진흙구이 잠실점,3.6,"서울 송파구 오금로 131 1,2층",02-425-5292
주은감자탕,2.6,서울 송파구 삼학사로 71 1층,02-413-3670
배키욘방,,서울 송파구 올림픽로32길 22-23 평원빌딩 1층 102호,02-418-7773
크래버대게나라 잠실본점,3.8,서울 송파구 위례성대로 92 1층,02-412-2338
평이담백 뼈칼국수 방이점,4.3,서울 송파구 위례성대로18길 31-12,02-417-7488
큰손닭한마리 잠실새내본점,4.1,서울 송파구 백제고분로15길 59 1층,010-2740-3366
할머니포장마차멸치국수,3.4,서울 송파구 오금로11길 59 1층,02-416-6698
비와별닭갈비 잠실점,4.1,서울 송파구 삼학사로 100 2층,02-2202-5552
벨라스가든,3.5,서울 송파구 백제고분로41길 42-19,02-424-4243
코벤트가든 올림픽공원점,3.3,서울 송파구 위례성대로 128 정화빌딩1층,02-3431-5565
칠성집갈매기,4.8,"서울 송파구 법원로11길 7 문정현대지식산업센터법조타운 1층 126, 127호",070-4277-0107
진대감 방이점,3.8,서울 송파구 오금로13길 6 1층,02-416-2472
평양만두한상,4.5,서울 송파구 양재대로71길 28-22 1층,02-422-1187
청화초밥,4.2,서울 송파구 오금로13길 14 1층,02-420-3686
피제리아라고,4.1,서울 송파구 백제고분로41길 39,02-422-8588
소담촌 가락시장직영점,4.3,서울 송파구 송파대로28길 13 거북이빌딩 2층,02-402-0999
수원집,3.5,서울 송파구 송파대로 108 1층,02-407-1005
도삭면공방,4.0,서울 송파구 백제고분로7길 8-12 승현빌딩 1층,02-417-8868
뷰클런즈,4.1,서울 송파구 백제고분로43길 10 1층,070-4065-4860
청국장과보리밥 잠실점,4.4,서울 송파구 백제고분로20길 4 1층,02-2042-1234
멘야하나비 서울본점,,서울 송파구 백제고분로45길 38 1층 103호,070-8959-1108
커피바이 로스터스,3.9,서울 송파구 백제고분로17길 56 2층,02-415-4153
황산냉면,4.3,서울 송파구 가락로 257 1층,02-3431-2262
풍년뼈다귀해장국,3.0,서울 송파구 가락로 94,
본가진미간장게장,3.7,서울 송파구 백제고분로 420 1층,02-422-5081
송파감자국,4.2,서울 송파구 가락로 82 1층,02-416-7350
벽제갈비 방이점,2.8,서울 송파구 양재대로71길 1-4,02-415-5522
중화일상,4.1,서울 송파구 백제고분로 401 골재회관 1층,02-422-5566
진성한우곱창,3.1,서울 송파구 송파대로28길 27,02-402-3439
파오파오 새마을시장본점,4.0,서울 송파구 석촌호수로12길 22 1층 101호,02-412-9198
미엔아이 송파점,4.3,서울 송파구 오금로16길 5 1층 101호,02-422-0652
앙떼띠 잠실점,3.9,"서울 송파구 올림픽로 342 아울타워 1,2층",02-420-7410
내고향횡성 한우정육점식당,2.9,서울 송파구 오금로 113,02-415-8080
프로퍼커피바,3.4,서울 송파구 위례성대로22길 6 유진빌딩 1층,02-3401-0703
가락골마산아구찜,3.9,서울 송파구 송이로19길 3,02-409-6665
부일갈매기,3.9,서울 송파구 삼전로13길 4,02-412-1462
일월고기,3.4,서울 송파구 오금로15길 7-16 2층,02-415-7546
원산만두,3.7,서울 송파구 백제고분로46길 39 1층,02-420-1109
연탄부락 잠실새내점,4.3,서울 송파구 백제고분로9길 22 1층,070-4115-9062
젠젠 잠실점,3.3,서울 송파구 백제고분로45길 34 동방빌딩 2층,02-412-7240
