name,degree,address,tel
락희안 목동점,3.9,"서울 양천구 오목로 330 2,3층",02-2652-7576
대박곱창 본점,4.4,서울 양천구 오목로 170 태남프라자 1층,02-2601-8892
더아리엘 목동점,3.5,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,02-2655-0770
일미락 본점,3.7,서울 양천구 목동동로 226-15 1층,02-2642-9292
대가,3.6,서울 양천구 신정중앙로 66,02-2605-1667
토다이U 목동점(휴업중),2.6,서울 양천구 목동동로 401 부영그린타운2차 지하1층 101호,1800-7888
양천뼈다귀 본점,3.6,서울 양천구 목동동로 258,02-2642-4334
만복순대국,4.1,서울 양천구 목동로 219 1층,02-2696-0304
항아리보쌈,4.3,서울 양천구 신목로 48 1층,02-2696-0053
양천옥설렁탕,4.0,서울 양천구 등촌로 86,02-2654-7788
카멜리온,4.6,서울 양천구 오목로 196 1층,
마실,3.5,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,02-2649-1800
젠틀한식탁,,서울 양천구 목동동로14길 6-1 1층,
정진식당,4.7,서울 양천구 신정중앙로 94 1층,02-2602-3378
푸주옥,3.5,서울 양천구 남부순환로 663 1층,02-2696-8825
원두막,2.7,"서울 양천구 신목로 56 2, 3층",02-2061-1212
커피별녹색잔,4.6,서울 양천구 목동로21길 26,02-2696-3337
먹자대게,,서울 양천구 목동서로 213 세신비젼프라자 1층 108호,02-2647-1500
착한낙지 목동점,3.1,서울 양천구 국회대로 289,02-2649-0112
한마음정육식당 목동직영점,4.7,서울 양천구 신목로 48,02-6014-2929
옛날마차,3.4,서울 양천구 신정중앙로 84,02-2608-6755
삿뽀로 목동점,2.7,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층 102호,02-2644-3366
부산돼지국밥 신월점,4.2,서울 양천구 남부순환로 344,02-2690-5533
색동저고리 목동점,3.4,서울 양천구 목동동로 411,02-2649-5522
현경 목동점,2.7,서울 양천구 오목로 312 제일빌딩 지하1층,02-2061-1877
원조양평신내서울해장국 양천직영점,3.9,서울 양천구 공항대로 646 태진빌딩 1층,02-2653-3456
밥초,,서울 양천구 오목로48길 10 1층,02-2690-4810
황금오리농장,3.6,서울 양천구 국회대로 192 1층,02-2699-6974
6즙530,4.0,"서울 양천구 오목로 337-10 소망빌딩 1층 105,106호",02-2642-9298
히노야마,,서울 양천구 목동서로 349 센트럴프라자 119호,02-2650-8667
카페제하,4.5,서울 양천구 목동동로 177 삼성쉐르빌2차 1층,
닥터로빈 목동점,3.7,서울 양천구 오목로 299 트라팰리스 웨스터애비뉴 W동 1층 101호,02-2646-3101
한우나주곰탕,3.8,서울 양천구 오목로 313-2,02-2645-3999
통큰해물탕 목동본점,,서울 양천구 목동중앙북로5길 30 1층,02-2655-1125
화로상회 목동1호점,4.2,서울 양천구 목동동로8길 9 1층,02-2062-2292
오목집 목동본점,,"서울 양천구 목동서로 155 목동파라곤 지하상가 144,145호",02-6737-6692
소담촌 신월점,3.9,서울 양천구 신월로 155 흥인하이젠 2층,02-2691-0770
파티세리소나,4.6,서울 양천구 목동중앙북로5길 34 1층,02-2606-4454
홍마방,4.1,서울 양천구 목동중앙북로14길 1 1층,02-2646-9316
강릉스낵,3.7,서울 양천구 목동동로 228-2 1층,02-2643-5556
금석궁,4.0,서울 양천구 오목로48길 19,02-2608-3100
칸지,3.2,서울 양천구 목동동로 264,02-2062-1236
살구나무집칼국수,3.5,서울 양천구 중앙로32길 35,02-2652-9991
진미집,3.2,서울 양천구 공항대로 646 1층 1호,02-3664-6400
호돈돈가스,4.3,서울 양천구 신월로 132 1층 102호,070-8800-7789
스타벅스 신월IC DT점,3.5,서울 양천구 남부순환로 430,1522-3232
냅다청양집 목동직영점,4.4,서울 양천구 신정중앙로 85,02-6465-1984
원조황소곱창구이 본점,4.3,서울 양천구 중앙로 292-1,02-2697-3363
할머니추어탕 신월2호점,3.8,서울 양천구 가로공원로 146 정용빌딩 1층,02-2607-1023
조개천하 목동직영점,3.3,서울 양천구 신정중앙로 68 해풍빌딩 1층 101호,02-2065-2067
금정,4.0,서울 양천구 목동동로14길 7-1,02-2644-5748
14일의설레임,4.4,서울 양천구 월정로 20 1층,02-2602-8292
원조춘천숯불닭갈비,4.2,서울 양천구 신목로 98 1층,02-2648-9288
마루샤브 목동점,,서울 양천구 목동동로 339 목동트윈빌 지하1층 126-2호,02-2642-0066
스시경,4.0,서울 양천구 목동중앙북로7가길 10 정목빌딩 1층 106호,02-2062-0677
남춘네숯불닭갈비 염창직영점,4.2,서울 양천구 목동중앙북로 100 1층,02-2645-2668
우리분식멸치국수,3.7,서울 양천구 오목로 14,02-2691-9014
임꺽정부대찌개 오목본점,4.3,서울 양천구 목동동로12길 27 1층,02-2645-8252
개성집,3.2,서울 양천구 목동중앙서로 48,02-2642-5695
하순옥황금안동국시 목동본점,4.3,서울 양천구 목동서로 213 세신비젼프라자 지하1층 101~104호,02-2646-2648
옥천집,3.2,서울 양천구 목동로21길 4 1층,02-2695-4554
할범탕수육 본점,2.7,서울 양천구 목동중앙북로 15,02-2652-0883
해촌샤브칼국수 목동직영점,4.0,서울 양천구 목동중앙북로 65,02-2644-9114
이치마구로,4.6,서울 양천구 오목로 331 2층,02-2653-0111
대홍훠궈샤브샤브 목동점,4.7,서울 양천구 신정중앙로 99,070-7576-3749
동호철판낙지,4.4,서울 양천구 신월로15길 12,02-2605-9876
윤정포장마차 본점,3.3,서울 양천구 중앙로34길 19 1층,
진대감 목동점,3.9,서울 양천구 오목로 337-10,02-2654-2001
은행골 목동점,3.6,서울 양천구 목동서로 155,02-2646-4988
안동돼지갈비,3.5,서울 양천구 목동중앙북로7가길 43 1층,02-2647-8886
어촌마을,4.9,서울 양천구 오목로 58,02-2690-8658
목동해물,3.1,서울 양천구 목동동로 226-14 1층,02-6101-2335
은행나무집,2.7,서울 양천구 중앙로34가길 8,02-2062-0777
주막해물촌,4.8,서울 양천구 목동중앙서로1길 16 케이빌딩 1층,02-2643-2295
고기준 목동점,3.9,"서울 양천구 오목로 313-7 1,2층",02-2646-0007
숲속도토리마을,4.3,서울 양천구 중앙로25길 46,02-2697-7210
목동평양면옥,3.9,서울 양천구 목동서로 57 1층,02-2644-7743
대복,4.8,서울 양천구 오목로 276 2층,02-2643-9595
우장창창 목동본점,3.6,서울 양천구 목동중앙서로1길 17,02-2645-9591
평미가,3.2,서울 양천구 목동동로10길 16 1층,02-2644-0721
도쿄빙수 오목교역점,3.7,서울 양천구 오목로 328 1층,02-2644-6568
강모집,4.0,서울 양천구 목동중앙본로 107 대명이튼캐슬 A동 1층 101호,02-6406-7904
가랑삼계탕,2.8,서울 양천구 목동로 210 목동타운빌딩 2층 201호,02-2647-1373
가정경양,,서울 양천구 목동동로 437 드림네스트 1층 101호,02-2649-2458
봉스시,3.6,서울 양천구 은행정로7길 25,02-2604-3353
명륜진사갈비 신정네거리점,4.0,서울 양천구 중앙로 222 1층,02-2653-3392
홍두깨손칼국수,3.5,서울 양천구 남부순환로 589,
스타벅스 신정DT점,3.3,서울 양천구 신월로 341,1522-3232
제이브라운 목동점,3.0,서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호,
천외천,3.7,서울 양천구 등촌로 220 1층 112~120호,02-2061-0321
패닉이스케이프 목동지점,1.6,서울 양천구 신정중앙로 96 4층,02-6408-5044
화덕 생선구이 굽자,4.9,서울 양천구 남부순환로70길 22 1층,02-2692-9966
금강호민물장어 신월본점,4.0,서울 양천구 남부순환로 431,02-2602-0592
대박곱창 신정점,4.7,서울 양천구 신월로 340,02-2651-0852
미러볼밥술상,4.3,서울 양천구 신월로 312-1 1층,010-9188-8923
브런치빈 목동점,,서울 양천구 목동동로 233-3 삼성화재서비스빌딩 1층 102호,02-2648-8001
