name,degree,address,tel
명동교자 본점,3.6,서울 중구 명동10길 29,02-776-5348
금돼지식당,,서울 중구 다산로 149 1~3층,0507-1307-8750
우래옥 본점,4.0,서울 중구 창경궁로 62-29,02-2265-0151
오장동함흥냉면,2.6,서울 중구 마른내로 108,02-2267-9500
목멱산방,3.2,서울 중구 퇴계로20길 71 1층,02-318-4790
정원레스토랑 어반가든,4.2,서울 중구 정동길 12-15 1층,02-777-2254
마복림떡볶이,2.9,서울 중구 다산로35길 5 1층,02-2232-8930
태극당,3.3,서울 중구 동호로24길 7,02-2279-3152
디라이프 스타일키친 광화문점,3.7,서울 중구 세종대로 136 서울파이낸스센터 지하1층 101A호,02-6273-0100
진작,4.1,서울 중구 수표로12길 12 1층,02-2285-4484
평양면옥 본점,3.5,서울 중구 장충단로 207,02-2267-7784
오장동흥남집 본점,3.6,서울 중구 마른내로 114,02-2266-0735
원조남산왕돈까스,1.7,서울 중구 소파로 107,02-755-3370
은주정,3.2,서울 중구 창경궁로8길 32,02-2265-4669
원조만선호프 노가리체인본점,1.6,서울 중구 을지로13길 19 1층,02-2274-1040
필동면옥,3.7,서울 중구 서애로 26,02-2266-2611
더스팟 패뷸러스,4.0,"서울 중구 명동2길 22 1,2층",02-779-1981
유즈라멘 만리동점,4.3,서울 중구 만리재로 217 경김회관 1층,070-4177-0365
광화문국밥 본점,4.0,서울 중구 세종대로21길 53 1층,02-738-5688
을지다락,4.0,서울 중구 수표로10길 19 4층,070-8844-4484
사랑방칼국수,4.1,서울 중구 퇴계로27길 46 1층,02-2272-2020
안동장,3.2,서울 중구 을지로 124,02-2266-3814
남포면옥,3.0,"서울 중구 을지로3길 24 1,2층",02-777-3131
우정,3.3,서울 중구 퇴계로76길 55 1층,02-2233-0669
부민옥,3.5,서울 중구 다동길 24-12,02-777-4323
덕수궁 리에제와플,3.4,서울 중구 덕수궁길 5 1층,02-318-5202
커피한약방,3.8,서울 중구 삼일대로12길 16-6 1층,070-4148-4242
무교동북어국집,4.6,서울 중구 을지로1길 38 1층,02-777-3891
평안도족발집,4.3,서울 중구 장충단로 174-6,02-2279-9759
란주칼면,3.7,서울 중구 소공로 64 동남빌딩,
가메골손왕만두 남대문본점,4.0,서울 중구 남대문시장4길 42 1층,02-755-2569
딘타이펑 명동점,,서울 중구 명동7길 13 호텔28 2층,02-3789-2778
명동교자 분점,3.0,서울 중구 명동10길 8,02-776-3424
중림장,,서울 중구 청파로 459-1,02-392-7743
두툼,3.8,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호,02-392-8592
산수갑산 을지로점,2.9,서울 중구 을지로20길 24 1층,
하동관 명동본점,2.6,서울 중구 명동9길 12,02-776-5656
호수집 원조닭꼬치,3.7,서울 중구 청파로 443,02-392-0695
진주회관,3.3,서울 중구 세종대로11길 26 1층,
농민백암순대 시청직영점,4.5,서울 중구 남대문로1길 33 1층,02-755-5232
평래옥,2.7,서울 중구 마른내로 21-1,02-2267-5892
애성회관,4.3,서울 중구 남대문로5길 23 대경빌딩 1층,02-352-0303
명동돈가스,2.9,서울 중구 명동3길 8,02-775-5300
호랑이,3.6,서울 중구 을지로 157 대림상가 3층 라열 351호,02-2269-5880
더하우스1932,4.2,서울 중구 만리재로35길 7,02-365-1932
약수순대국,3.1,서울 중구 동호로7길 14 1층,02-2236-5926
부원면옥,3.4,서울 중구 남대문시장4길 41-6 부원상가 2층,02-753-7728
서울신라호텔 더파크뷰,4.0,서울 중구 동호로 249 1층,02-2230-3374
쯔루하시후게츠 명동점,4.1,서울 중구 명동8길 21-5 2층,02-3789-5920
커피루소 정동점,4.1,"서울 중구 정동길 17 이화정동빌딩 1, 2층",02-772-9935
옥경이네건생선,3.1,서울 중구 퇴계로85길 7 1층,02-2233-3494
만리재비스트로,3.7,서울 중구 만리재로 201 1층,02-393-1824
충무로쭈꾸미불고기 본점,3.3,서울 중구 퇴계로31길 11,02-2279-0803
황평집,4.1,서울 중구 마른내로 74 1층,02-2266-6875
아이러브신당동,2.5,서울 중구 퇴계로76길 50 성환빌딩 1층,02-2232-7872
이남장 본점,4.0,서울 중구 삼일대로12길 16 1층,02-2267-4081
남산돈가스,3.6,서울 중구 소파로 23 1층,02-777-1976
커피앤시가렛,3.9,서울 중구 서소문로 116 유원빌딩 17층,02-777-7557
덕수정,3.6,서울 중구 정동길 41 1층,02-755-0180
적당,,서울 중구 을지로 29 1층,070-7543-8928
진고개,3.6,서울 중구 충무로 19-1,02-2267-0955
초류향,3.1,서울 중구 다동길 24-10,02-775-2668
미성옥,4.0,서울 중구 명동길 25-11,02-776-8929
약수동해물텀벙 약수동본점,4.0,서울 중구 다산로10길 11 1층,02-2253-9588
청와옥 을지로3가 직영점,3.8,서울 중구 을지로 110 1층 1호,02-2266-1300
남산산채집,2.8,서울 중구 소파로 95 1층,02-754-1978
동강나루터,4.4,서울 중구 을지로 99 2층,02-2273-5989
중앙식당,3.9,서울 중구 남대문시장길 22-12 1층,02-752-2892
이나니와요스케 서울시청점,2.9,서울 중구 을지로 6 재능빌딩 1층,02-772-9994
황소막창,4.1,서울 중구 을지로3길 49,02-319-9055
사마르칸트,3.4,서울 중구 마른내로 159-21 1층,
고려삼계탕 시청본점,3.6,서울 중구 서소문로11길 1,02-752-9376
야래향,3.3,서울 중구 퇴계로10길 14,02-752-3991
만포막국수,3.5,서울 중구 동호로14길 2 1층,02-2235-1357
풍년닭도리탕,4.0,서울 중구 세종대로14길 17-5 1층,02-755-5278
리사르커피로스터스 약수점,4.7,서울 중구 다산로8길 16-7 1층,070-7778-5538
라칸티나,3.3,서울 중구 을지로 19 삼성빌딩 지하 1층,02-777-2580
금성관,3.7,서울 중구 남대문로 29 1~3층,
동강나루터,4.3,서울 중구 세종대로1길 6 1층,02-775-9331
국민회관,3.9,서울 중구 만리재로 209-2,
주신당,3.7,서울 중구 퇴계로 411 1층 6호,02-2231-1806
더식당 명동점,3.7,서울 중구 명동10길 36 아트박스 2층,02-318-2234
풍남원조골뱅이,4.0,서울 중구 수표로 50-1,02-2265-2336
한가람 본점,3.9,서울 중구 남대문로5길 25 1층,02-318-3088
공일부엌,2.9,서울 중구 만리재로 209 1층,02-313-7207
롯데호텔서울 라세느,4.0,서울 중구 을지로 30 본관 1층,02-317-7171
용금옥,3.9,서울 중구 다동길 24-2,02-777-1689
유가,4.3,서울 중구 퇴계로12길 68,02-3789-9688
희락갈치,3.7,"서울 중구 남대문시장길 22-6 1,2층",02-755-3449
챔프커피 제3작업실,4.0,서울 중구 을지로 157 대림상가 라열 3층 381호,010-8943-4516
교대이층집 시청점,3.9,서울 중구 남대문로1길 38 2층,02-318-6882
경상도식당,2.4,서울 중구 을지로39길 41,02-2265-4714
몽중헌 페럼타워점,3.7,서울 중구 을지로5길 19 페럼타워 지하2층,02-6353-8585
스타사마르칸트,3.5,서울 중구 을지로42길 14 1층,02-2279-7780
소담촌 약수직영점,3.7,서울 중구 동호로10길 30 약수하이츠상가 4층,02-2238-5280
본가을지오뎅도루묵,3.4,서울 중구 수표로 54 1층,02-2274-5092
산동교자,2.6,서울 중구 남대문로 52-13 1층,02-778-4150
수잔나의앞치마,4.1,서울 중구 퇴계로49길 24,02-2272-8007
산채향,3.8,서울 중구 청계천로 8 프리미어플레이스빌딩 지하 1층,02-778-2959
혜민당,3.9,서울 중구 삼일대로12길 16-9 1층,070-8833-4242
천향원,4.3,서울 중구 남대문로7길 33 소공빌딩 2층,0507-1364-7705
영덕회식당,,서울 중구 창경궁로1길 6,02-2267-0942
그릴1492 본점,4.2,서울 중구 퇴계로 369 1층,02-2233-1492
포엠,4.5,서울 중구 명동4길 13 2층,02-776-5003
뻘하우스,4.5,서울 중구 다산로47길 15 리더스빌딩 1층,02-2231-7292
동원 VIP참치 서소문점,4.3,서울 중구 세종대로11길 42 부림빌딩 2층,02-754-9900
풍문고기집,2.9,서울 중구 세종대로2길 6-1,0507-1407-6252
강남면옥 명동점,3.4,서울 중구 명동7길 8 미래빌딩 5층,02-3789-7117
르빵 명동성당점,3.7,서울 중구 명동길 74 지하1층 B103호,02-3789-7545
서울부띠끄,3.1,서울 중구 만리재로 209-1,
진주집,3.5,"서울 중구 남대문시장길 22-2 1,2층",02-319-5759
동경우동,3.9,서울 중구 충무로 48 1층 1호,
창고43 무교점,2.5,서울 중구 무교로 21 더익스체인지 서울빌딩 2층,02-3789-0043
웨스틴조선서울 아리아,4.2,서울 중구 소공로 106,02-317-0357
충무집,3.3,서울 중구 을지로3길 30-14 1층,010-2019-4088
심세정,,서울 중구 퇴계로 409-11 1층,070-8823-7577
오목집 시청점,3.9,서울 중구 남대문로1길 38 1층,02-3789-6882
마포우사미,4.2,서울 중구 동호로 195-7,02-2253-8253
촙촙,3.6,서울 중구 수표로 46 2층,02-2261-1361
부산복집,3.7,서울 중구 수표로2길 25,02-2266-6334
신동궁 감자탕뼈숯불구이,3.4,서울 중구 명동9길 43,02-318-4222
교대갈비집 시청점,4.2,서울 중구 남대문로1길 31 2층,02-778-5582
원조영락골뱅이,1.9,서울 중구 수표로 52 1층,02-2264-9489
방산분식,3.9,서울 중구 을지로35길 50,02-2265-8009
명화당 명동1호점,3.4,서울 중구 명동4길 32 2층,02-777-7317
루싱,3.4,서울 중구 한강대로 416 서울스퀘어 지하1층 27-2호,02-6456-8911
송옥,3.4,"서울 중구 남대문로1길 11 1,2층",02-752-3297
산청숯불가든 을지로,,서울 중구 을지로 114-6 1층,02-2273-8188
바스버거 광화문점,3.8,서울 중구 다동길 5 광일빌딩 지하 1층,02-722-6653
백송,4.1,서울 중구 다산로33다길 45 1층,0507-1338-6292
마노디셰프 명동점,4.1,서울 중구 명동길 26 유네스코빌딩 11층,02-777-7047
락희옥 을지로지점,4.4,서울 중구 을지로 101 정익빌딩 2층,02-772-9797
유림면,3.1,서울 중구 서소문로 139-1 1층,
이북만두,2.6,서울 중구 무교로 17-13,02-776-7361
vip참치 코리아나호텔점,3.4,서울 중구 세종대로 135 코리아나호텔 3층,02-725-7001
명동함흥면옥 본점,3.6,서울 중구 명동10길 35-19,02-776-8430
을지깐깐 을지로본점,3.5,"서울 중구 을지로12길 12 2층 201,202호",02-6368-6788
원조남산왕돈까스 명동본점,3.4,서울 중구 명동7길 21 1층,070-8847-8685
할아버지손칼국수,3.5,서울 중구 마장로9길 37 1층,010-6354-8999
영양센타 본점,3.3,서울 중구 명동2길 52,02-776-2015
문화옥,3.6,서울 중구 창경궁로 62-5,02-2265-0322
러시아케이크,4.4,서울 중구 을지로42길 7 1층,02-6053-4079
해랑스시,4.1,서울 중구 통일로 10 연세재단세브란스빌딩 지하1층,02-2259-0088
팔레드신,3.4,서울 중구 퇴계로 67 레스케이프호텔 6층,02-317-4001
호박식당 본점,2.5,"서울 중구 다산로 152 1,2층",02-2233-7905
춘천막국수,4.1,서울 중구 다산로10길 6 1층,02-2232-2969
백제삼계탕,3.6,서울 중구 명동8길 8-10,02-776-3267
바스버거 을지로점,4.2,서울 중구 을지로12길 11 지하1층 10호,02-2272-6652
땡초곱창,3.9,서울 중구 퇴계로87길 54 1층,02-2234-1240
컨퍼런스하우스 달개비,3.4,서울 중구 세종대로19길 16 비동,02-765-2068
꽁시면관 본점,3.3,서울 중구 명동2길 45,
광화문몽로,2.7,서울 중구 세종대로21길 40,02-722-8767
필동함박 본점,3.4,서울 중구 필동로 7-1 1층,070-8656-6606
바다한가득 무교동점,4.2,서울 중구 다동길 24-4 1층,02-3789-7150
사마르칸트시티,4.1,서울 중구 을지로42길 16 2층,02-6014-6368
할머니순대국,4.0,서울 중구 퇴계로87길 3-1 1층,02-2233-6743
브레라,3.3,서울 중구 다산로 41 2층,02-2236-0770
해남낙지,4.1,서울 중구 을지로41길 28 임성빌딩 2층,02-2274-4163
세광양대창 시청점,4.0,서울 중구 남대문로1길 37 1층,02-777-7174
영덕회식당 시청점,4.0,"서울 중구 무교로 32 효령빌딩 지하1층 101,102호",02-757-0066
오양식관,3.0,서울 중구 세종대로21길 49 지하1층,02-732-8088
은화계,3.7,서울 중구 퇴계로 374 1층,02-2233-9992
비어할레 을지점,4.3,서울 중구 을지로3길 34 산다빌딩 1층,02-777-7051
르풀,3.2,서울 중구 정동길 33,02-3789-0400
서울다이닝,4.2,서울 중구 동호로 272 웰컴시티 2층,02-6325-6321
진남포면옥,3.2,"서울 중구 다산로 108 청라빌딩 2,3층",02-2252-2457
성원식당 본관,2.3,서울 중구 을지로20길 36-1,02-2285-3865
진성한우곱창,3.4,서울 중구 다산로 243-1 1층,02-2234-0777
1번지남산돈가스,1.1,서울 중구 소파로 91 1층,02-752-5838
라운드앤드,3.6,서울 중구 정동길 35 1층,
명동양과,2.8,"서울 중구 명동9길 23 한양빌딩 1,2층 101호",02-771-2288
분카샤 을지로점,2.6,서울 중구 을지로14길 20 2층,02-2269-6947
을지빈,4.2,서울 중구 을지로14길 21 2층,02-2278-8818
도치피자 장충,3.9,서울 중구 동호로24길 27-6,02-2277-8005
올디스타코,3.7,서울 중구 충무로4길 3,02-6397-6969
원조1호 장충동할머니집,2.1,서울 중구 장충단로 174,02-2279-9979
아리연,3.2,서울 중구 세종대로12길 12 해남2빌딩 지하1층,02-757-1994
처가집,4.7,서울 중구 동호로11가길 22,02-2235-4589
명동칼국수,4.1,서울 중구 세종대로21길 48,02-737-3034
을지로전주옥,,서울 중구 을지로 101 1층,02-2279-1710
복성각 덕수궁돌담길점,3.2,서울 중구 덕수궁길 7 오천회관 2층,02-913-2222
현대칼국수,3.8,서울 중구 세종대로 76,02-752-9504
화떡,3.6,"서울 중구 명동4길 15 2,3층",02-772-9991
카페 아포테케리,3.4,서울 중구 퇴계로 409-9,02-2236-8987
커피그래,4.1,서울 중구 동호로 204 청화빌딩 1층 102호,0507-1348-1256
VIP참치 북창점,4.2,서울 중구 남대문로1길 6 은성빌딩 2층,02-777-0081
뚱보돼지갈비통고기,4.3,서울 중구 퇴계로27길 14,02-2267-1801
본가 원조닭한마리,4.6,서울 중구 마른내로2길 19,02-2274-2986
코인 명동점,4.2,서울 중구 명동6길 10,02-753-1667
하니칼국수,,서울 중구 퇴계로 411-15 1층,02-3298-6909
독립맥주공장,4.2,서울 중구 정동길 17 이화정동빌딩 1층,02-3789-2890
곰국시집,3.8,"서울 중구 무교로 24 2,3층",02-756-3249
한일관 을지로점,3.2,서울 중구 을지로5길 19 페럼타워 지하1층,02-6353-8977
