name,degree,address,tel
도곡정보문화도서관,5.0,서울 강남구 도곡로18길 57,1644-3227
역삼문화공원 제1호공영주차장,4.8,서울 강남구 테헤란로7길 21,
논현문화마루도서관,5.0,서울 강남구 논현로131길 40 논현문화마루 4~5층,02-512-8580
역삼1동문화센터 공영주차장,0.0,서울 강남구 역삼동 829-20,1544-3113
한국문화의집코우스,5.0,서울 강남구 테헤란로92길 12-9,02-3011-1788
역삼문화공원,3.5,서울 강남구 역삼동 635-1,
역삼문화공원 제2호공영주차장,3.2,서울 강남구 테헤란로7길 32,
강남스포츠문화센터,2.2,서울 강남구 밤고개로1길 52,02-2176-0803
동영문화센터,2.0,서울 강남구 언주로 337,02-559-5114
자곡문화센터,3.3,서울 강남구 자곡로 100,02-6712-0580
강남문화재단,0.0,서울 강남구 선릉로 668 강남구보건소 5층,02-6712-0523
역삼1문화센터,0.0,서울 강남구 역삼로7길 16,02-2176-0720
삼성1동문화센터 공영주차장,0.0,서울 강남구 봉은사로 616,
송은문화재단,5.0,서울 강남구 도산대로 441,02-3448-0100
문화시민,3.9,서울 강남구 강남대로62길 35 2층,
일원스포츠문화센터,4.5,서울 강남구 영동대로 22 지하1층,02-2176-0984
유나이티드문화재단,0.0,서울 강남구 강남대로102길 41,02-553-0377
영롱농문화도서관,0.0,서울 강남구 양재대로55길 6 수서1단지아파트 상가 204호,02-2135-3838
대치2동복합문화센터,0.0,서울 강남구 영동대로65길 24,02-2176-0700
강남출판문화연구소,0.0,서울 강남구 도산대로1길 62,
반려문화,4.2,서울 강남구 언주로133길 23,
논현2동복합문화센터,0.0,서울 강남구 학동로43길 17,02-2176-0620
대치2동문화센터 공영주차장,0.0,서울 강남구 영동대로65길 24,1544-3113
팜클문화유산,0.0,서울 강남구 선릉로10길 18-7 201호,
논현문화마루,0.0,서울 강남구 논현로131길 40,
삼성1동복합문화센터,0.0,서울 강남구 봉은사로 616,02-2176-0660
도곡2문화센터,5.0,서울 강남구 남부순환로378길 34-9,02-2176-0740
대치4동복합문화센터,0.0,서울 강남구 도곡로77길 23 대치4동사무소문화복지관,02-2176-0710
동영문화센터 주차장,1.0,서울 강남구 언주로 337,
삼성2문화센터,0.0,서울 강남구 봉은사로 419,02-2176-0670
한은희우리문화한복,0.0,서울 강남구 언주로165길 7-2,02-544-7125
가온문화,0.0,서울 강남구 봉은사로37길 5 캠프지 1층,02-2269-1300
문화상품권,0.0,서울 강남구 영동대로 326 6층,
도곡2문화센터 오유아트홀,0.0,서울 강남구 남부순환로378길 34-9 4층,02-2176-0743
도곡2동 문화센터 주차장,0.0,서울 강남구 남부순환로378길 34-9,
청담문화센터,0.0,서울 강남구 압구정로79길 26 청담1동사무소5층체육실,02-2176-0640
논현문화마루 공영주차장,0.0,서울 강남구 논현로131길 40 지하2~6층,
개포4복합문화센터,3.0,서울 강남구 개포로24길 33,
문화빌딩,0.0,서울 강남구 논현로 552,
간판문화,3.0,서울 강남구 강남대로128길 42,02-547-0131
도곡정보문화도서관 주차장,0.0,서울 강남구 도곡로18길 57,1544-3113
신사동복합문화센터,0.0,서울 강남구 압구정로 128,02-2176-0600
자곡문화센터 주차장,0.0,서울 강남구 자곡로 100,
세곡문화센터,1.0,서울 강남구 밤고개로 286,02-2176-0760
대치1동문화센터,0.0,서울 강남구 남부순환로391길 19,02-2176-0680
논현문화마루도서관 분관,0.0,서울 강남구 학동로 169 3층,02-511-7466
강남풀잎문화센터,0.0,서울 강남구 테헤란로8길 22 4층 401호,
역삼2문화센터,0.0,서울 강남구 도곡로43길 25,
소전문화재단,,서울 강남구 영동대로138길 23 2층,02-511-2016
롯데문화센터 롯데백화점 강남점,0.0,서울 강남구 선릉로62길 28 3~6층,02-531-2100
강남스포츠문화센타,0.0,서울 강남구 학동로 426,02-2226-4057
건축문화사옥,0.0,서울 강남구 테헤란로22길 15,
논현1문화센터,4.5,서울 강남구 학동로20길 25,02-2176-0610
개포4문화센터 공영주차장,0.0,서울 강남구 개포로24길 33,
신사문화센터 개방화장실,5.0,서울 강남구 압구정로 128,
이에스생활문화,0.0,서울 강남구 삼성로122길 28,
훔볼트 독일문화평생교육원,5.0,서울 강남구 논현로138길 9,02-511-2940
강남출판문화연구소 주차장,0.0,서울 강남구 도산대로1길 62,
개포2문화센터,0.0,서울 강남구 개포로 511,02-2176-0750
한국문화센타,0.0,서울 강남구 테헤란로 323,02-558-8850
역삼1문화센터 노외주차장,0.0,서울 강남구 역삼로7길 16,
독서문화연구원,0.0,서울 강남구 선릉로64길 14 2층,02-599-9964
역삼문화공원 휴가든,4.7,서울 강남구 역삼동 635-1,
사라스와띠 치유문화센터,0.0,서울 강남구 삼성로84길 32 하나빌딩 2층,02-6014-2004
강남문화재단 도곡1문화센터,0.0,서울 강남구 도곡로18길 57,02-2176-0770
보령문화인쇄,0.0,서울 강남구 봉은사로 624,
세곡복합문화센터 전기차충전소,0.0,서울 강남구 자곡로 100,1522-2573
대치3문화센터 주차장,0.0,서울 강남구 영동대로65길 11,
한국철도문화재단,0.0,서울 강남구 광평로56길 8-13 수서타워 411호,02-2226-8098
문화스튜디오,0.0,서울 강남구 언주로 317,02-566-4335
개포2동문화센터 주차장,0.0,서울 강남구 개포로 511,
한국문화진흥,0.0,서울 강남구 영동대로 326 컬쳐랜드타워 5~12층,1577-2111
이마트(문화) 수서점,0.0,서울 강남구 광평로 280,02-380-5678
통일문화연구원,4.0,서울 강남구 논현로 708,02-553-3944
궁중문화상조,0.0,서울 강남구 도산대로38길 16,02-512-4472
삼익문화재단,0.0,서울 강남구 학동로 171 3층,02-542-0893
문화통상,0.0,서울 강남구 논현로 552 문화빌딩 2층,02-3273-6606
풀잎문화센터 강남지부,0.0,서울 강남구 봉은사로 129 거평타운 3층 306호,02-556-7722
SBS방송아카데미 문화예술원,0.0,서울 강남구 학동로 140 더플레이스빌딩 4층,
렛츠런문화공감센터 강남점,4.0,서울 강남구 도산대로 529 KRA프라자,02-6006-5277
문화공간땅속,0.0,서울 강남구 강남대로62길 33 서이빌딩 지하 1층,
문화스테이,0.0,서울 강남구 도산대로17길 8 동문빌딩 5층 501호,010-9330-5259
세일 음악문화재단,,서울 강남구 논현로 414,
문화세탁소,0.0,서울 강남구 개포로22길 102,02-529-4814
봉은사 전통문화체험관,0.0,서울 강남구 봉은사로 531,02-3218-4816
문화컴퓨터세탁,3.0,서울 강남구 개포로22길 102,02-529-4814
DB김준기문화재단,0.0,서울 강남구 테헤란로 432 동부금융센터 33층,02-3011-5543
방의걸 문화갤러리,0.0,서울 강남구 압구정로 201,
사찰음식문화센터,0.0,서울 강남구 광평로31길 56 1층,
청담2문화센터,0.0,서울 강남구 학동로67길 11,
유니버설문화재단,,서울 강남구 강남대로94길 91,070-7124-1722
문화 공인중개사사무소,0.0,서울 강남구 강남대로 310,
문화공간연구소,0.0,서울 강남구 테헤란로5길 7,
한국교육문화재단,0.0,서울 강남구 역삼로17길 51,02-3676-3101
문화마케팅연구소,0.0,서울 강남구 테헤란로82길 15 393호,02-408-9274
역삼1문화센터 전시실,0.0,서울 강남구 역삼로7길 16 1층,02-2176-0721
한중문화협력연구원,1.0,서울 강남구 강남대로92길 31 민석빌딩 8층,02-3452-4788
유기농문화센터,0.0,서울 강남구 테헤란로27길 8 다온빌딩 11층,02-3452-8853
청담문화개발,0.0,서울 강남구 선릉로152길 34 6층 1호,
문화기획이유,0.0,서울 강남구 봉은사로63길 7 수목빌딩 A동 3층,02-988-3603
한국체육문화교육원,0.0,서울 강남구 광평로 280 1302호,02-420-5677
여성문화예술기획,0.0,서울 강남구 남부순환로355길 33 B동 302호,
하이트문화재단,0.0,서울 강남구 영동대로 714,02-520-3564
문화아트,1.0,서울 강남구 강남대로156길 28-2,02-3445-5007
해성문화재단,,서울 강남구 테헤란로 504 해성1빌딩,02-528-1308
세계문화예술교류협회,0.0,서울 강남구 테헤란로79길 25-4 203,
중국정경문화연구원,0.0,서울 강남구 강남대로84길 23 1701호,
평화선교문화재단,,서울 강남구 강남대로146길 25,02-3444-9806
한국가맹문화진흥원,0.0,서울 강남구 강남대로128길 75 302호,
한국의문화상품,0.0,서울 강남구 봉은사로 406 306호,0502-888-3000
대치2문화센터 개방화장실,0.0,서울 강남구 영동대로65길 24,
동북아교육문화협력재단,0.0,서울 강남구 봉은사로29길 21 성우빌딩 5층 501호,02-561-2445
스포츠문화방송,0.0,서울 강남구 봉은사로30길 42,02-553-8881
태진문화재단,0.0,서울 강남구 언주로133길 11,02-6929-4480
한국원자력문화진흥원,0.0,서울 강남구 도산대로 176 대광빌딩 5층 502호,02-577-6054
문화물산,0.0,서울 강남구 언주로85길 13,
포이문화센터,0.0,서울 강남구 개포로22길 87 포이문화체육센터,
최금숙한복문화,0.0,서울 강남구 압구정로 306 반도상가 3층,02-543-2109
세계음식문화연구원,0.0,"서울 강남구 논현로57길 24 2,3층",02-577-1138
문화기획상상,0.0,서울 강남구 논현로 136,070-8235-0509
한국창업문화진흥협회,0.0,서울 강남구 테헤란로19길 28 이림빌딩 2층,02-575-1478
정송문화재단,,서울 강남구 테헤란로 110 캠브리지빌딩 19층,02-501-6911
삼성1문화센터 개방화장실,0.0,서울 강남구 삼성동 161-2,
일지문화재단,0.0,서울 강남구 봉은사로 317 아모제논현빌딩 402호,02-2016-3082
도곡정보문화도서관 개방화장실,0.0,서울 강남구 도곡로18길 57,
우호문화재단,0.0,서울 강남구 테헤란로 333 신도벤처타워,02-2008-0002
애크미문화예술연구소,0.0,서울 강남구 선릉로161길 15-3,
백천문화재단,0.0,서울 강남구 봉은사로 502 지하1층 101호,031-426-0337
서울국제문화예술교육센터,0.0,서울 강남구 양재대로41길 13 1층,02-544-8833
한국 문화예술국제교류협회,0.0,서울 강남구 선릉로145길 5-11 주영빌딩 6층,02-517-4111
북촌전통주문화연구원,0.0,서울 강남구 삼성로107길 31,
경원문화재단,0.0,서울 강남구 강남대로 542,02-519-3152
한국호돌이문화재단,0.0,서울 강남구 테헤란로22길 15,
대원문화재단,0.0,서울 강남구 테헤란로87길 36 도심공항타워 15층,02-6000-4567
한국문화교류센터,0.0,서울 강남구 강남대로 354,02-3481-1822
세곡문화센터 주차장,0.0,서울 강남구 밤고개로 286,
한국지식문화경영아카데미,0.0,서울 강남구 논현로 507 성지하이츠3차 507호,02-552-5587
풀잎문화연합회,0.0,서울 강남구 테헤란로8길 22,02-556-7722
한국문화체육관광협회,5.0,서울 강남구 논현로36길 31,02-882-7883
문화기획3456,0.0,서울 강남구 강남대로 364 14층,
게임문화체험관 37호,0.0,서울 강남구 헌릉로757길 35,
도서출판 기독문화,0.0,서울 강남구 역삼로63길 19-9,010-7507-4141
대치4문화센터 개방화장실,0.0,서울 강남구 도곡로77길 23,
풀잎문화센터 선릉지부,0.0,서울 강남구 선릉로 519 4층,
태도장학문화재단,0.0,서울 강남구 개포로28길 8,02-734-0816
차문화연구소,0.0,서울 강남구 광평로31길 56,
글로벌 독일문화 평생교육원,0.0,서울 강남구 테헤란로 310 904호,02-552-7716
대치2문화센터 공영주차장 전기차충전소,0.0,서울 강남구 영동대로65길 24 지하 2층 주차장,1899-2100
봉은문화센터,0.0,서울 강남구 봉은사로 531,
춤놀이문화연구소,0.0,서울 강남구 도곡로 112 서한빌딩 2층,070-8869-9668
역삼문화공원 지하4층주차장 전기차충전소,0.0,"서울 강남구 테헤란로7길 21 (역삼동, 국립어린이청소년도서관)",1522-2573
지역문화관광연구센터,0.0,서울 강남구 도곡로3길 25 209호,02-568-2708
문화건축사사무소,0.0,서울 강남구 논현로 650-1,02-540-3224
한국문화예술교육총연합회,5.0,서울 강남구 선릉로145길 5-11 주영빌딩 7층,02-517-4111
진서문화교육재단,0.0,서울 강남구 학동로3길 41 연우빌딩 8층,02-737-3171
한미 문화사회발전협회,0.0,서울 강남구 논현로 619 양지빌딩 4층,
세계한식문화협회,0.0,서울 강남구 논현로 553 삼정빌딩 5층,
이에스생활문화에스,0.0,서울 강남구 영동대로 602 6층 P68,
일원문화사업단협동조합,0.0,서울 강남구 개포로138길 20,070-7579-7791
도곡2문화센터 개방화장실,0.0,서울 강남구 남부순환로378길 34-9,
세계문화예술방송,0.0,"서울 강남구 테헤란로25길 20 현대역삼벤처텔 1413호, 1512호",1833-3362
국제교육문화재단,0.0,서울 강남구 테헤란로 147 성지하이츠 2차 1309호,02-2088-2091
한국수공예문화협회 평생교육원,0.0,서울 강남구 선릉로62길 17 4층 401호,02-539-9605
동영문화센터앞 대여소,0.0,서울 강남구 언주로 337,
한국힐링문화진흥협회,0.0,서울 강남구 개포로 246,
재단법인규랑문화예술재단,0.0,서울 강남구 삼성로72길 5,070-7860-8308
논현1문화센터 개방화장실,0.0,서울 강남구 학동로20길 25,
강남스포츠문화센터 식당,0.0,서울 강남구 밤고개로1길 52,
강남문화재단 도곡1부설주차장,0.0,서울 강남구 도곡로18길 57,02-2176-0774
친환경크린문화협회,0.0,서울 강남구 남부순환로351길 40,02-556-6200
문화일보 수서지국,0.0,서울 강남구 광평로60길 32,02-445-1049
세계문화경영연구원,0.0,서울 강남구 남부순환로379길 35 103호,02-2187-6700
방탄소년단시네마게임문화산업전문회사,4.3,서울 강남구 봉은사로26길 10 한양빌딩 3층,
역삼1문화센터 개방화장실,0.0,서울 강남구 역삼로7길 16,
한국 실버예술문화네트워크,0.0,서울 강남구 도곡로 116 명진타워 202호,02-579-0108
지에프엑스문화산업전문(주),0.0,서울 강남구 선릉로131길 8,
강남스포츠문화센터 전기차충전소,0.0,서울 강남구 밤고개로1길 52 주차장 입구,1661-9408
세계 문화예술교류협회,0.0,서울 강남구 도산대로55길 52 금학빌딩 3층,
문화일보 청담지국,0.0,서울 강남구 테헤란로79길 25-2 B102호,
아인아르떼문화예술콘텐츠연구소,0.0,서울 강남구 논현로77길 7,02-6015-4222
세계한류문화교류진흥회,0.0,서울 강남구 압구정로36길 34-6 2층,02-567-2577
렛츠런문화공감센터 선릉지점,0.0,서울 강남구 테헤란로 416,02-6006-5300
한국전시문화산업 협동조합빌딩,0.0,서울 강남구 역삼로 128,
문화일보 삼성지국,0.0,서울 강남구 삼성로76길 21,
삼성중앙역4번출구(문화센터더 리빌) 대여소,0.0,서울 강남구 봉은사로 531,
