name,degree,address,tel
꿈의숲아트센터,3.7,서울 강북구 월계로 173,02-399-1000
강북문화정보도서관,3.9,서울 강북구 오현로 145,02-944-3100
근현대사기념관,3.9,서울 강북구 4.19로 114,02-903-7580
상상톡톡미술관,3.0,서울 강북구 월계로 173,02-2289-5401
꿈의숲아트센터 콘서트홀,0.0,서울 강북구 월계로 173,02-2289-5401
솔샘문화정보도서관,3.0,서울 강북구 솔샘로 177,02-944-3150
수유문화정보도서관,0.0,서울 강북구 삼양로 299,02-944-3170
꿈의숲아트센터 퍼포먼스홀,4.5,서울 강북구 월계로 173,02-2289-5401
수유마을작은도서관,0.0,서울 강북구 도봉로71길 26 2층,02-987-6380
강북청소년문화정보도서관,2.0,서울 강북구 삼양로54길 68,02-944-3141
송중문화정보도서관,3.7,서울 강북구 도봉로20나길 6,02-944-3160
문익환통일의집,5.0,서울 강북구 인수봉로 251-38,02-902-1623
미아문화정보도서관,4.5,서울 강북구 솔매로49길 14,02-944-3180
수유3동새마을문고,0.0,서울 강북구 노해로 36 2층,02-901-2311
국립4.19민주묘지 기념관,4.7,서울 강북구 4.19로8길 17,
번1동새마을문고,0.0,서울 강북구 덕릉로41길 74 3층,02-3778-4267
푸른별환경도서관,5.0,서울 강북구 삼양로51길 22 양지마을주민공동이용시설 1층,
지혜어린이도서관,0.0,서울 강북구 도봉로65길 35 3층,02-987-5100
강북문화원,0.0,서울 강북구 삼각산로 85,02-999-8810
우이동 산악문화허브,4.8,서울 강북구 삼양로 689-1,02-994-8848
미아동새마을문고,0.0,서울 강북구 솔매로49길 14 복합청사 2층,02-3778-4067
북한산둘레길북카페,0.0,서울 강북구 4.19로28길 10,02-940-3753
행복숲작은도서관,0.0,서울 강북구 덕릉로 37 3층,02-989-4043
아낌없이주는나무,0.0,서울 강북구 월계로7길 11,
수유1동새마을문고,0.0,서울 강북구 삼양로 299 2층,02-3778-4466
우이동새마을문고,0.0,서울 강북구 삼양로139길 49 2층,02-3778-4918
겨자씨작은도서관,0.0,서울 강북구 삼양로27길 35 삼양제일교회,02-988-0591
좋은맘작은도서관,0.0,서울 강북구 삼양로 430 2층,070-4643-1579
강북문화예술회관 강북진달래홀,0.0,서울 강북구 삼각산로 85 1층,02-994-8458
송천동새마을문고,0.0,서울 강북구 솔샘로 284 2층,02-3778-4168
별빛초롱문고,0.0,서울 강북구 삼각산로 157 2층,02-994-1318
번3동새마을문고,0.0,서울 강북구 한천로105길 21 주민센터 2층,02-3778-4367
번2동새마을문고,0.0,서울 강북구 한천로 897 번2동주민센터 2층,02-3778-4319
꿈익는책마을어린이도서관,0.0,서울 강북구 삼양로47길 9 2층,02-945-1305
오패산마을공동체마을꿈터작은도서관,0.0,서울 강북구 오현로 31 삼화그린빌 102호,070-7646-0093
하늘씨앗작은도서관,0.0,서울 강북구 삼양로 246,02-981-7891
꿈나무문고,0.0,서울 강북구 월계로 53-3,02-987-0180
꿈꾸는문고,0.0,서울 강북구 삼각산로 140,070-4249-7091
하늘을나는작은도서관,0.0,서울 강북구 한천로124나길 27 101호,
작은도서관두루,0.0,서울 강북구 삼양로73길 23 2층,02-945-0239
꼴찌만화방작은도서관,0.0,서울 강북구 덕릉로 19-1 2층,02-645-2200
박을복자수박물관,0.0,서울 강북구 삼양로149가길 53,02-990-7000
송천아름인도서관,0.0,서울 강북구 솔샘로 271,02-984-2237
한누리작은도서관,0.0,서울 강북구 인수봉로 243 지층,
번동꿈나무작은도서관,0.0,서울 강북구 오현로31길 21 201호,
작은도서관함께놀자,0.0,서울 강북구 삼양로123길 14 2층,02-999-2207
수유2동새마을문고,0.0,서울 강북구 한천로 1117 2층,02-3778-4719
씽크엘작은도서관,0.0,"서울 강북구 삼양로54길 92 지하1층,1층,3~4층",02-981-4620
삼각산동새마을문고,0.0,서울 강북구 솔샘로 174 SK시티아파트 관리사무소 1층,070-8825-0858
