name,degree,address,tel
서울시립 남서울미술관,3.5,서울 관악구 남부순환로 2076,02-598-6246
관악아트홀,0.0,서울 관악구 신림로3길 35,02-828-5714
관악중앙도서관,4.2,서울 관악구 신림로3길 35,02-828-5700
서울대학교 중앙도서관 본관,3.6,"서울 관악구 관악로 1 관악캠퍼스 62,62-1동",02-880-8001
호림박물관,5.0,서울 관악구 남부순환로152길 53,02-858-2500
서울대학교 미술관,4.0,서울 관악구 관악로 1,02-880-9504
조원도서관,4.0,서울 관악구 조원로12길 25,02-851-5571
구립신림청소년독서실,3.7,서울 관악구 난곡로58길 15,02-856-1207
은천동작은도서관,4.0,"서울 관악구 봉천로33나길 30 4,5층",02-877-1162
삼모아트센터,0.0,서울 관악구 신원로 35 삼모타워8층,02-883-2667
용꿈꾸는작은도서관,2.5,서울 관악구 관악로 145 관악구청 본관 1층,02-889-8823
낙성대공원도서관,3.0,서울 관악구 낙성대로 77,02-872-5576
글빛정보도서관,4.5,서울 관악구 관악로30길 23 1~4층,02-878-7460
성현동작은도서관,3.5,서울 관악구 관악로37길 56 상가B동 5층,02-877-7182
서울청년센터 관악 청년문화공간신림동쓰리룸,5.0,서울 관악구 신림로 91 302호,02-878-0823
서울대학교 박물관,3.0,서울 관악구 관악로 1,02-880-5333
이편한세상서울대입구1단지작은도서관,0.0,서울 관악구 청룡10길 45 102동,02-882-9891
난곡주민도서관새숲,0.0,"서울 관악구 난곡로 78 난향꿈둥지 2,3층",02-839-1121
그림숲그림책작은도서관,5.0,서울 관악구 청룡9길 12-39 1층,02-883-4041
신림동굴렁쇠작은도서관,0.0,서울 관악구 신림동길 14 신림동주민센터 2층,02-877-2727
남현동우리작은도서관,1.0,서울 관악구 남현1가길 29 남현동복합청사 3층,02-525-1334
서림작은도서관,0.0,서울 관악구 신림로39길 17,
이편한세상서울대입구아파트2단지작은도서관,0.0,서울 관악구 청룡16길 43 202동,02-882-9891
책이랑놀이랑도서관,5.0,서울 관악구 행운1길 12 신창문화복지센터 2층,02-878-0955
신사동해오름작은도서관,0.0,서울 관악구 조원로 142 2층,02-853-7336
박종철 센터,4.0,서울 관악구 대학5길 7,070-8833-7452
서울대학교 중앙도서관 관정관,4.6,서울 관악구 관악로 1,
보라매동다사랑작은도서관,0.0,서울 관악구 봉천로 279-8 보라매동주민센터 2층,02-876-2879
꿈마을도서관,0.0,서울 관악구 중앙2길 16 2층,02-886-3196
관천로 문화플랫폼 S1472,5.0,서울 관악구 관천로 53,02-6357-5000
삼성작은도서관,5.0,서울 관악구 호암로 520 1층,070-7163-5166
우리누리아트,0.0,서울 관악구 관악로 105 동산빌딩 6층,02-588-8654
고맙습니다하난곡작은도서관,0.0,"서울 관악구 난우10가길 20-7 2,3층",02-868-8994
인헌동보물섬작은도서관,5.0,서울 관악구 남부순환로246가길 20 인헌동주민센터 2층,02-889-4941
대학동녹두작은도서관,0.0,서울 관악구 신림로 111 주민센터 2층,02-872-4765
낙성대동우듬지작은도서관,5.0,서울 관악구 낙성대로4가길 5 낙성대동주민센터 4층,02-876-4072
서림동글사랑작은도서관,0.0,서울 관악구 신림로29길 6 서림동주민센터 2층,02-884-3951
발효작은도서관,0.0,서울 관악구 남부순환로 1794 4층 401호,
청림동푸른숲 작은도서관,0.0,서울 관악구 관악로40길 39 청림동주민센터 3층,02-876-4090
중앙동새싹작은도서관,0.0,서울 관악구 양녕로6다길 7 주민센터 1층,02-875-9513
리틀비버작은도서관,0.0,서울 관악구 양녕로 13-1 2층,
강감찬도시농업센터,3.0,서울 관악구 낙성대로 96,
서원동어울작은도서관,0.0,서울 관악구 신림로 282 주민센터 2층,02-872-5322
숲속작은도서관,0.0,서울 관악구 관악산나들길 114 관악산 제1광장,070-4118-6154
신원동울타리작은도서관,2.5,서울 관악구 신원로3길 13 주민센터 2층,02-839-1547
별별창작꿈터 봉현작은도서관,4.0,서울 관악구 관악로 255-7 자치회관 1층,070-7163-5167
삼성동샛별작은도서관,4.0,서울 관악구 호암로 589 삼성동주민센터 3층,02-876-2063
콜링아트센터,4.1,서울 관악구 관악로14길 110 지하1층,02-545-4083
갈보리사립작은도서관,0.0,서울 관악구 관천로11길 57 지하1층,
성현동파랑새작은도서관,0.0,서울 관악구 구암길 38 주민센터 2층,02-875-9054
난곡동책사랑작은도서관,0.0,서울 관악구 난곡로30길 40 난곡동주민센터 3층,02-861-7130
우리동네작은도서관,0.0,서울 관악구 조원로16길 33 3층 202호,
청룡동숯고을작은도서관,0.0,서울 관악구 쑥고개로 44 청룡동주민센터 2층,02-876-4083
책N꿈도서관,0.0,서울 관악구 남부순환로 1989 b3호,
서울대학교 인문소극장,0.0,서울 관악구 관악로 1 서울대학교 14동 101호,02-880-2281
쉼작은도서관,0.0,서울 관악구 남부순환로145길 11,
신림푸르지오도서관,0.0,서울 관악구 남부순환로 1430 신림푸르지오아파트,02-830-1554
행운동마루작은도서관,4.0,서울 관악구 행운1길 43 행운동주민센터 2층,02-876-3434
은천마루 작은도서관,0.0,서울 관악구 은천로9길 20 3층,
우듬지작은도서관,0.0,서울 관악구 관악로 223 6층,
한울타리도서관,0.0,서울 관악구 인헌12길 46-2 은천아파트,
푸른나무도서관,0.0,서울 관악구 남부순환로 1978-1 지하1층,
관악파크푸르지오아파트작은도서관,0.0,서울 관악구 행운10길 21 101동 1층,
아름인 도서관,0.0,서울 관악구 남현길 63,
블루밍문고,0.0,서울 관악구 양녕로 93 관리사무소 밑,02-877-9864
청년공간 이음,5.0,서울 관악구 봉천로62길 5 4층,02-873-3575
다서원,0.0,서울 관악구 청림5길 28 관악푸르지오 제2단지 단지내 소재,070-8271-2051
미성동책의향기작은도서관,0.0,서울 관악구 난곡로 249 미성동주민센터 3층,02-830-5312
해성작은도서관,0.0,서울 관악구 관악로 285 행복상가 310호,02-872-8591
은천2단지작은도서관,0.0,서울 관악구 인헌12길 46-1 204동 108호,02-887-3168
상상작은도서관,0.0,서울 관악구 호암로 405 2층,032-777-1016
관악청소년회관 소극장,0.0,서울 관악구 신림로23길 17 1층,02-876-0636
두리하나작은도서관,0.0,서울 관악구 국회단지길 105,02-874-1939
