name,degree,address,tel
예스24라이브홀,3.4,서울 광진구 구천면로 20,070-5001-4532
유니버설아트센터,3.6,서울 광진구 천호대로 664,070-7124-1740
육영재단 어린이회관,4.0,서울 광진구 광나루로 441,02-2204-6028
나루아트센터,0.0,서울 광진구 능동로 76,02-2049-4700
건국대학교 새천년관대공연장,5.0,서울 광진구 능동로 120 새천년관 지하2층,02-455-1896
광진정보도서관,4.2,서울 광진구 아차산로78길 90,02-3437-5092
빛의 시어터,4.3,서울 광진구 워커힐로 177 워커힐 호텔앤리조트 지하1층,1670-2827
서울상상나라,4.1,서울 광진구 능동로 216,02-6450-9500
아차산숲속도서관,4.2,서울 광진구 영화사로 139,02-2049-2970
자양한강도서관,4.6,서울 광진구 뚝섬로52길 66 2층,02-456-0048
CXC아트뮤지엄,4.1,서울 광진구 아차산로 272 스타시티 3층,
광진구립군자동도서관,5.0,서울 광진구 면목로 13 1층,02-2049-2960
동서울아트홀,0.0,서울 광진구 구의강변로 38 동서울호텔 지하2층,02-3436-7777
비스타워커힐서울 비스타홀,0.0,서울 광진구 워커힐로 177 지하2층,02-455-5000
광진문화원,5.0,서울 광진구 광나루로56길 67,02-447-0244
구의제3동도서관,0.0,서울 광진구 강변역로 17 구의제3동주민센터 3층,02-454-6294
운룡도서관,4.0,서울 광진구 자양로43길 85 지층,02-454-3431
본다빈치뮤지엄 능동점,4.0,서울 광진구 광나루로 441,1661-0553
자양제4동도서관,5.0,서울 광진구 뚝섬로26길 58,02-465-0737
건국대학교 상허기념도서관,5.0,서울 광진구 능동로 120,02-450-3855
우인아트홀,0.0,서울 광진구 동일로 360 우인웨이브 5층,02-3443-5702
나루아트센터 대공연장,0.0,서울 광진구 능동로 76,02-2049-4700
블라인드아트홀소극장,4.0,서울 광진구 아차산로 331-1 지원빌딩 지하1층,0507-1318-2182
중곡문화체육센터 도서관,4.1,서울 광진구 능동로 433,02-3408-4960
자양4동새마을작은도서관,0.0,서울 광진구 아차산로24길 17 공공힐링센터 3층,02-462-0395
구의역 스마트도서관,0.0,서울 광진구 자양동 216-13,
서울상상나라 극장,0.0,서울 광진구 능동로 216 지하1층,02-456-0116
건국대학교 박물관,0.0,서울 광진구 능동로 120,02-450-3880
사람아이앤지작은도서관,5.0,서울 광진구 자양로 322 3층,
이룸도서관,0.0,서울 광진구 용마산로 49,02-446-0691
설렘아트홀,0.0,서울 광진구 능동로19길 23 지하1층,010-3334-4609
아차산아래작은도서관놀자,0.0,서울 광진구 자양로50가길 45 2층,02-2272-2011
중곡교회작은도서관,0.0,서울 광진구 긴고랑로36길 56 지층,02-452-4985
광진어린이공연장,3.0,서울 광진구 능동로 400,
무지개작은도서관,0.0,서울 광진구 뚝섬로55길 25 3층,
사하라작은도서관,0.0,서울 광진구 광장로 78 2층,
광장동새마을작은도서관,3.0,서울 광진구 광장로 52 광장동주민센터 2층,02-458-8379
신양북카페,0.0,서울 광진구 뚝섬로22길 8,02-463-1201
새빛작은도서관,0.0,서울 광진구 아차산로 330 1층,02-3436-6852
성신비전스쿨작은도서관,0.0,서울 광진구 동일로 160,02-463-5959
자양1동새마을작은도서관,0.0,서울 광진구 자양로13길 37 주민센터 2층,02-446-0135
국제문학작은도서관,0.0,"서울 광진구 광나루로15길 41 1층 101,102호",
