name,degree,address,tel
디큐브링크아트센터,4.4,서울 구로구 경인로 662 디큐브시티 7층,02-2211-3000
서울특별시교육청구로도서관,4.6,서울 구로구 공원로 15,02-6958-2800
구로아트밸리 예술극장,3.8,서울 구로구 가마산로25길 9-24,02-2029-1700
서울특별시교육청 고척도서관,3.0,서울 구로구 고척로45길 31,02-2615-0524
오류아트홀,3.7,"서울 구로구 경인로20가길 38 1,2층",02-2614-7961
G밸리산업박물관,5.0,서울 구로구 디지털로26길 38 G타워 3층,02-6734-6900
고척 열린도서관,5.0,"서울 구로구 경인로43길 49 3,4층",
개봉도서관,5.0,서울 구로구 개봉로16길 30-11,02-2689-1695
구로문화원,0.0,서울 구로구 경인로20가길 38 2층,02-851-0837
구로기적의도서관,4.3,서울 구로구 구로중앙로40길 24,02-2632-8878
구립하늘도서관,5.0,서울 구로구 구로동로13길 68,02-864-9585
예술나무씨어터,0.0,서울 구로구 구로중앙로 134 나인스에비뉴 지하 1층,1661-5054
구캔갤러리,4.7,서울 구로구 경인로 661 신도림1차푸르지오 101동 3층 306호,02-2675-9997
서울특별시교육청융합과학교육원 남부분원,0.0,서울 구로구 구로중앙로27나길 21,02-854-0457
항동푸른도서관,3.9,서울 구로구 연동로 290-46,
오류문화센터 오류아트홀,5.0,서울 구로구 경인로20가길 38 2층,02-2614-7961
꿈마을도서관,4.7,서울 구로구 디지털로27다길 65,02-830-5807
오류2동새마을작은도서관,5.0,서울 구로구 오리로10길 44-5,02-2625-6523
구일역 스마트도서관,0.0,서울 구로구 구일로 133,
파크사이드도서관,0.0,서울 구로구 가마산로25길 9-13,
가리봉동새마을작은도서관,0.0,서울 구로구 디지털로19길 22 1층,02-853-7263
구로구민회관 대강당,0.0,서울 구로구 가마산로25길 21,02-860-2592
고척1동새마을작은도서관,0.0,서울 구로구 중앙로3길 18-8 고척1동 주민센터,02-2620-7848
오류동역 스마트도서관,0.0,서울 구로구 경인로20길 13,
구로꿈나무극장,0.0,서울 구로구 구로동로26길 54 구로구시설관리공단 4층,02-830-2562
송해아트홀,5.0,서울 구로구 경인로 611-17 지하1층,
