name,degree,address,tel
금천구립독산도서관,4.5,서울 금천구 독산로54길 114,02-863-9544
금천구립가산도서관 (휴관중),4.4,서울 금천구 가산로5길 43,02-865-6817
문화정원아트홀,5.0,서울 금천구 가산로 61,02-839-1155
금나래아트홀,5.0,서울 금천구 시흥대로73길 70 1층,02-2627-2985
금천뮤지컬센터,5.0,서울 금천구 시흥대로115길 48,02-2627-1446
금천구립금나래도서관,5.0,서울 금천구 시흥대로73길 70,02-2627-2991
금천구립시흥도서관,1.0,서울 금천구 금하로 764,02-809-8242
책이든거리작은도서관,0.0,서울 금천구 가산동 677,02-853-3327
은행나무어린이도서관,0.0,서울 금천구 독산로35가길 8 주차장 아래,02-892-7894
해오름작은도서관,5.0,서울 금천구 시흥대로123길 11 4층,02-2104-5569
참새작은도서관,0.0,서울 금천구 한내로 69-15 종합복지관 3층,02-2104-5765
꿈꾸는작은도서관,5.0,서울 금천구 시흥대로12길 10-5 남부도로사업소 동네방네마을이음센터 2층,02-2104-5688
금천문화원,0.0,서울 금천구 시흥대로38길 61,02-896-8552
금천사이언스큐브,0.0,서울 금천구 금하로 783,02-2627-2190
지혜의숲작은도서관,0.0,서울 금천구 시흥대로90길 29 신일교회 1층,070-4192-5822
구로공단 노동자생활체험관,5.0,서울 금천구 벚꽃로44길 17,02-830-8426
미래향기작은도서관,0.0,서울 금천구 독산로 179 1층,02-2104-5584
금천문화복지도서관,0.0,서울 금천구 가산로 61,
문화공간 아이원,0.0,서울 금천구 시흥대로 167 2층,02-3286-0077
아트센터 예술의 시간,4.9,서울 금천구 범안로9길 23,02-6952-0005
와서작은도서관,0.0,서울 금천구 벚꽃로56길 62 지하1층,02-859-2414
나누리작은도서관,0.0,서울 금천구 금하로23길 40 301호,02-896-7991
가산동작은도서관,0.0,서울 금천구 가산로 129 2층,02-867-9444
책달샘숲속작은도서관,0.0,서울 금천구 독산로54길 188,
어울샘,5.0,서울 금천구 탑골로 22,02-809-7860
청개구리작은도서관,0.0,서울 금천구 독산로 317 주민센터 3층,02-2104-5606
맑은누리작은도서관,0.0,서울 금천구 시흥대로58길 36 시흥1동주민센터 5층,02-2104-5649
책읽는마을작은도서관,0.0,서울 금천구 독산로74길 31 1층,02-858-9919
꿈씨어린이작은도서관,0.0,서울 금천구 독산로 232 독산4동주민센터 2층,02-2104-5625
행궁마을작은도서관,0.0,서울 금천구 금하로24길 6 시흥5동 주민센터 1층,02-2104-5728
길빛,0.0,서울 금천구 독산로 16,
금천현대작은도서관,0.0,서울 금천구 벚꽃로 73 금천현대아파트 관리동,02-806-3117
산돌어린이도서관,0.0,서울 금천구 시흥대로75길 12 산돌문화센타 2층,02-808-7902
마루한,0.0,서울 금천구 금하로 679 202호,
새재미작은도서관,0.0,서울 금천구 독산로28길 22,02-896-4572
샘솟는,0.0,서울 금천구 독산로64길 15,
도란도란작은도서관,0.0,서울 금천구 독산로36길 14 시흥4동주민센터 1층,02-2104-5706
시흥행궁 전시관,0.0,"서울 금천구 금하로24길 6 1,6층",02-2627-1455
소망의나무어린이작은도서관,0.0,서울 금천구 금하로11길 22 시흥교회 소망관 2층,02-804-9596
롯데캐슬1차작은도서관,0.0,서울 금천구 벚꽃로 40 금천롯데캐슬골드파크1차아파트,070-4405-8780
세광문고,0.0,서울 금천구 독산로32가길 9-13,
트리니티작은도서관,0.0,서울 금천구 시흥대로72길 13 1층,02-802-5390
범일운수종점타이거1,0.0,서울 금천구 금하로29길 22 지하1층,
은행나무어린이도서관,0.0,서울 금천구 탑골로 43-8 1층,02-892-7894
효명아트홀,0.0,서울 금천구 가산디지털1로 24 8층,02-880-0680
레미어린이극장 금천점,0.0,서울 금천구 두산로 71 빅마켓 3층,02-868-5961
서울독산동유적발굴전시관,0.0,서울 금천구 벚꽃로 40 금천롯데캐슬골드파크 3차아파트 109동,
금천에코센터,0.0,서울 금천구 시흥대로73길 70,
즐스튜디오,0.0,서울 금천구 벚꽃로20길 15,
해피라이브러리 7호점,0.0,서울 금천구 가산로 106,
모두의마을공간커뮤니티센터,0.0,서울 금천구 벚꽃로 14 1층,
새재미마을활력소,0.0,"서울 금천구 독산로50길 105 2,3층",
이랜드갤러리 아트로,0.0,서울 금천구 가산디지털1로 159,02-2029-3111
행복한아이,0.0,서울 금천구 남부순환로 1418,
모두의책방,0.0,서울 금천구 남부순환로128길 42 모두의학교 2층,
퍼블릭홀 (2024년 5월 예정),0.0,서울 금천구 디지털로 178,
데미안,0.0,서울 금천구 독산로101길 22,
반초갤러리,0.0,서울 금천구 탑골로8길 21,02-6949-0549
희망나래도서관,0.0,서울 금천구 금하로11길 17,
하베르스터디카페 금천점,5.0,서울 금천구 금하로 760-1,
에너지정보관,2.0,서울 금천구 남부순환로 1418 1층,02-2191-1432
이랜드스페이스,0.0,서울 금천구 가산디지털1로 159 이랜드월드 1층,02-2029-9885
늘솔나루마을활력소,0.0,서울 금천구 금하로 764 금천종합복지타운 2층,
노상주차장7,0.0,서울 금천구 가산로3길 92,02-809-0062
금천고등학교 도서관,0.0,서울 금천구 시흥대로38길 26,
노상주차장4,0.0,서울 금천구 시흥대로123길 91,02-809-0062
이엔피독서실,0.0,서울 금천구 가산로 106,
싸이먼아트센터,0.0,서울 금천구 가산디지털2로 14 대륭테크노타운 12차 320호,02-2029-6611
빛,0.0,서울 금천구 시흥대로130길 3,
오씨어터,0.0,서울 금천구 가산동 113-1 지하 2층,02-745-7610
금천문화역사포럼,0.0,서울 금천구 시흥대로52길 62 고객쉼터 2층,
씨투지,0.0,서울 금천구 가산디지털1로 145,
프로피스,0.0,서울 금천구 시흥대로73길 67,
극단글로리아,0.0,서울 금천구 금하로 793,02-893-8025
금천아트캠프,0.0,서울 금천구 벚꽃로 40,02-808-7662
주식회사 유민커넥트,0.0,서울 금천구 서부샛길 648,
포레스트작은도서관,1.0,경기 광명시 금하로 533 주님의숲 3층,070-4617-5766
꿈꾸는나무작은도서관,0.0,경기 광명시 하안로 198 동양2차아파트 관리사무소 3층,02-899-0701
북스토리작은도서관,0.0,경기 광명시 신촌로 49 신촌휴먼시아 106동 1층,070-4231-2400
초심스터디카페 광명소하점,0.0,경기 광명시 금하로 531,
새싹작은도서관,1.0,경기 광명시 하안로 238 주민회관 B동 2층,02-2680-6219
꿈이열리는작은도서관,0.0,경기 광명시 안양천로 121 신광교회 1층,02-893-6031
밝은빛음악영어작은도서관,0.0,경기 광명시 소하로 13 밝은빛교회,070-8246-6295
소하1동작은도서관,0.0,경기 광명시 소하로 25 행정복지센터 1층,070-7543-6408
광명시소하도서관,4.8,경기 광명시 소하일로 7,02-2680-0900
다우리작은도서관,0.0,경기 광명시 소하로 161 휴먼시아6단지아파트 605동 1층,02-899-0008
구름산햇빛작은도서관,0.0,경기 광명시 소하로 38,070-7759-0595
하안쌈지공원 스마트도서관,0.0,경기 광명시 하안동 61,
희망작은도서관,0.0,경기 광명시 소하로 55 402동상가 1층,070-4177-7667
광남새마을금고소하지점작은도서관,0.0,경기 광명시 금하로 458 웅신아트 207호,02-2617-0361
사랑기쁨도서관,0.0,서울 관악구 난향길 10 3층,
리틀영어도서관,0.0,서울 관악구 난향길 10,
광명업사이클아트센터,0.0,경기 광명시 오리로 703,02-2680-2086
G밸리산업박물관,5.0,서울 구로구 디지털로26길 38 G타워 3층,02-6734-6900
광명문화원,5.0,경기 광명시 철망산로 42,02-2618-5800
광명극장,0.0,경기 광명시 철망산로 2 광명문화예술교육지원센터,02-2621-8820
