name,degree,address,tel
서울시립 북서울미술관,4.3,서울 노원구 동일로 1238,02-2124-5201
서울시립과학관,4.5,"서울 노원구 한글비석로 160 지하1층, 1~3층",02-970-4500
서울생활사박물관,4.6,서울 노원구 동일로174길 27,02-3399-2900
노원중앙도서관,3.8,서울 노원구 노원로34길 43,02-950-0050
광운대학교 동해문화예술관 대극장,4.0,서울 노원구 광운로 21 2층,
노원수학문화관,3.3,서울 노원구 한글비석로19길 28,02-2116-2181
노원문화예술회관,4.8,서울 노원구 중계로 181,02-2289-3400
노원천문우주과학관,5.0,서울 노원구 동일로205길 13,02-971-6232
한내지혜의숲도서관,4.8,서울 노원구 마들로 86,02-979-7420
불암도서관,4.5,서울 노원구 중계로8길 20,02-935-0721
서울특별시교육청 노원평생학습관,3.7,서울 노원구 동일로204길 13,02-979-1741
상계도서관,3.7,서울 노원구 동일로243길 57,02-3391-7882
공릉행복도서관,0.0,서울 노원구 동일로179길 22 공릉행복발전소,02-976-3820
상계숲속작은도서관,0.0,서울 노원구 동일로227길 106,02-3391-7889
노원문화원,4.0,서울 노원구 동일로197길 24,02-6380-0022
가재울지혜마루작은도서관,5.0,서울 노원구 한글비석로 97 노원에너지제로주택,070-4226-5064
노원어린이도서관,0.0,서울 노원구 한글비석로 346 노원어린이도서관,02-933-7145
화랑도서관,3.8,서울 노원구 노원로1나길 10,02-973-1318
초안산숲속작은도서관,0.0,서울 노원구 덕릉로60길 199,02-905-3900
월계도서관,3.4,서울 노원구 월계로 319 월계도서관,02-991-0871
한내행복발전소작은도서관,5.0,서울 노원구 마들로3길 13,070-4206-0061
향기나무도서관,5.0,서울 노원구 노원로 331 아동복지관 1층,02-2116-4448
네네봉구스작은도서관,5.0,서울 노원구 한글비석로23길 27 지하1층,070-8741-1001
하계어린이도서관,1.0,서울 노원구 공릉로62길 18 2층 어린이도서관,02-979-7644
메아리작은도서관,0.0,서울 노원구 동일로217길 48 노원평생교육원 1층,02-2116-2863
중계사랑북카페,0.0,서울 노원구 한글비석로 371 중계온마을센터 가동 1층,02-2116-2729
꿈꾸는작은도서관,5.0,서울 노원구 석계로 59 월계1동주민센터 2층,02-2116-2419
경춘선숲길갤러리,0.0,서울 노원구 화랑로 620,02-2289-3440
노원문화원작은도서관,0.0,서울 노원구 동일로197길 24 노원문화원 2층,02-948-1245
파랑새작은도서관,0.0,서울 노원구 상계로 118 상계2동주민센터 2층,02-2116-2789
가온작은도서관,0.0,서울 노원구 노원로 530 상계10동주민센터,02-2116-2959
열린작은도서관,0.0,서울 노원구 공릉로55길 88 하계2동주민센터 1층,02-2116-2609
도란도란작은도서관,0.0,서울 노원구 동일로186길 3-24 공릉1동주민센터,02-2116-2509
금빛도서관,0.0,서울 노원구 상계로26길 20 대동아파트 상가3층,02-939-7712
노원어린이극장,5.0,서울 노원구 노해로 502 지하1층,02-2289-3400
상계주공14단지아파트문화사랑방도서실,0.0,서울 노원구 동일로228길 23 주공14단지관리동 2층,02-6221-4976
반디작은도서관,0.0,서울 노원구 동일로227길 97 상계8동주민센터 2층,02-2116-2909
하늘작은도서관,0.0,서울 노원구 노원로17길 56 중계2.3동주민센터 4층,02-2116-2689
책이랑친구랑작은도서관,5.0,서울 노원구 노원로1길 68 공릉2동주민센터,02-2116-2539
하늘품작은도서관,0.0,서울 노원구 상계로23다길 33 지하1층,070-7758-0323
타임뮤지엄,3.0,서울 노원구 화랑로 608,02-501-8210
책사랑북카페,0.0,서울 노원구 한글비석로 279 주민센터 3층,02-2116-2659
광운대학교 중앙도서관,0.0,서울 노원구 광운로 20,02-940-5268
작고행복한청구3차도서관,0.0,서울 노원구 중계로 233 청구3차아파트 관리동 2층,02-935-8046
육사작은도서관,0.0,서울 노원구 화랑로 564 육사아파트 1층,02-2197-5972
중계주공10단지책과친구들,5.0,서울 노원구 노원로22길 53 주공10단지아파트 내 도서관,02-931-4055
지혜의샘작은도서관,0.0,서울 노원구 동일로193가길 8 봉화현교회 1층,02-973-0683
태릉 조선왕릉전시관,1.0,서울 노원구 화랑로 727,
육군박물관,0.0,서울 노원구 공릉동 1-1,02-2197-6608
