name,degree,address,tel
경희대학교 서울캠퍼스 평화의전당,4.6,서울 동대문구 경희대로 26,02-961-9250
서울한방진흥센터,4.8,서울 동대문구 약령중앙로 26,02-969-9241
서울특별시교육청 동대문도서관,4.3,서울 동대문구 천호대로4길 22,02-2170-1000
동대문구답십리도서관,4.9,서울 동대문구 서울시립대로4길 75,02-982-1959
배봉산 숲속도서관,5.0,서울 동대문구 전농로16길 97,02-2212-8502
답십리영화미디어아트센터,2.3,서울 동대문구 답십리로 210-9,02-2247-4007
세종대왕기념관,3.0,서울 동대문구 회기로 56,02-969-8851
동대문구정보화도서관,4.1,서울 동대문구 회기로10길 60,02-960-1959
서울약령시한의약박물관,4.3,서울 동대문구 약령중앙로 26 서울한방진흥센터,02-969-9241
선농단역사문화관,1.0,서울 동대문구 무학로44길 38,02-3295-5560
금성전파사 새로고침센터,3.9,"서울 동대문구 고산자로36길 3 경동시장 본관 3,4층",0507-1377-4947
이문어린이도서관,5.0,서울 동대문구 천장산로9길 68,02-968-7530
장안어린이도서관,0.0,서울 동대문구 장한로26다길 10,02-2249-1959
휘경행복도서관,4.0,"서울 동대문구 장안벚꽃로 323 1,3층",02-2249-9701
경희대학교 서울캠퍼스 자연사박물관,5.0,서울 동대문구 경희대로 26,02-961-0142
용두어린이영어도서관,0.0,서울 동대문구 무학로 133,02-921-1959
김희수아트센터,5.0,서울 동대문구 홍릉로 118,02-962-7911
나들목가족도서관,4.3,서울 동대문구 안암로 6 60주년기념관 1층,02-921-4085
경동1960작은도서관,0.0,서울 동대문구 고산자로36길 3 신관 2층,02-959-9993
KOCCA 콘텐츠문화광장,0.0,서울 동대문구 회기로 66,02-6310-0601
장안1동작은도서관,0.0,서울 동대문구 장한로26가길 113 자치회관,02-2171-6593
아주좋은꿈터작은도서관,5.0,서울 동대문구 왕산로16가길 7,02-927-1270
장안꿈마루어린이작은도서관,5.0,서울 동대문구 한천로28길 5 102동 101호,070-8821-0266
제기동감초마을현진건기념도서관,0.0,"서울 동대문구 약령시로9길 45 4,5층",02-928-3141
슈필라움작은도서관,0.0,서울 동대문구 전농로16길 30 2층,02-2249-2177
장안늘푸른도서관,0.0,서울 동대문구 한천로18길 48 2층,070-4659-6701
동네극장,4.8,서울 동대문구 안암로6길 19,
용두어울림작은도서관,4.0,서울 동대문구 무학로 89 1층,02-953-2223
숲작은도서관,4.0,서울 동대문구 서울시립대로12길 99 1층,02-2212-8515
꿈마루어린이도서관,5.0,서울 동대문구 이문로 55,070-7457-1190
휘경어린이도서관,5.0,서울 동대문구 망우로18가길 38,02-2248-1959
래미안위브도서관,0.0,서울 동대문구 답십리로 130 래미안위브 1층,02-2249-8682
답십리2동민들레작은도서관,0.0,서울 동대문구 한천로11길 18 답십리동 주민센터 2층,02-2171-6256
동대문구 스마트도서관,3.0,서울 동대문구 천호대로 지하 129,
이문체육문화센터 어린이도서관,0.0,서울 동대문구 한천로58길 81-49,02-6929-0984
장안마루작은도서관,0.0,서울 동대문구 사가정로23길 64 성우스타팰리스 1층,070-7733-0054
경희대학교 서울캠퍼스 중앙도서관,3.3,서울 동대문구 경희대로 26,02-961-0074
제기동미래뜰작은도서관,1.0,서울 동대문구 약령시로 71 제기동주민센터 2층,02-2171-6072
모두행복작은도서관,0.0,서울 동대문구 천호대로77길 17 녹산빌딩 4층,02-2212-1247
휘경1동새싹마루작은도서관,0.0,서울 동대문구 외대역동로6길 3 주민센터 3층,02-2171-6431
동대문구 스마트도서관,0.0,서울 동대문구 답십리동 524-1,
경희대학교 한의학역사박물관,0.0,서울 동대문구 경희대로 26,02-964-3190
거창박물관,0.0,서울 동대문구 약령중앙로 5 대산빌딩 1층,02-960-6790
답십리1동아름드리도서관,0.0,서울 동대문구 사가정로 30 3층,02-2171-6548
크리에이터스홀,0.0,서울 동대문구 안암로 86-1,
꿈이자라는작은도서관,0.0,서울 동대문구 고미술로 12 4층,
국립산림과학원 산림과학관,0.0,서울 동대문구 회기로 57,
용신동작은도서관,0.0,서울 동대문구 천호대로27길 35 주민센터,02-2171-6036
꿈나래작은도서관,0.0,서울 동대문구 답십리로 296 1층,02-2216-6702
해다미도서관,0.0,서울 동대문구 이문로 130,
청솔우성아파트작은도서관,0.0,서울 동대문구 전농로10길 20,02-2244-6285
예스아이캔,0.0,서울 동대문구 답십리로60길 74 2층 202호,
휘경2동꿈빛누리작은도서관,0.0,서울 동대문구 한천로 329 주민센터 4층,02-2171-6456
전농1동열린문고,0.0,서울 동대문구 서울시립대로9길 21,02-2171-6103
