name,degree,address,tel
서울여성플라자,3.4,서울 동작구 여의대방로54길 18 4층,02-810-5101
CTS아트홀,3.4,서울 동작구 노량진로 100,02-6333-1071
서울특별시교육청 동작도서관 (휴관중),2.7,서울 동작구 장승배기로 94,02-823-6417
김영삼도서관,4.0,서울 동작구 매봉로 1,02-827-0557
사당솔밭도서관,5.0,서울 동작구 솔밭로 86,02-585-8411
신대방누리도서관,4.6,"서울 동작구 신대방1다길 19 2,3층",02-849-8588
까망돌도서관,3.8,서울 동작구 서달로 129,02-815-3701
약수도서관,5.0,서울 동작구 양녕로22바길 64,02-823-1907
동작문화원,3.3,서울 동작구 장승배기로10길 42,02-822-8500
동작샘터도서관,0.0,서울 동작구 동작대로29길 63-26 동작구다문화가족지원센터 1층,02-533-6750
동작영어마루도서관,4.5,서울 동작구 장승배기로16길 98,02-823-6750
다울작은도서관,5.0,"서울 동작구 사당로20길 132 2, 3층",02-3473-3360
중앙대학교 중앙문화예술관,5.0,서울 동작구 흑석로 84,02-820-6474
국사봉숲속작은도서관,4.0,서울 동작구 양녕로23길 27,
대방어린이도서관,3.0,서울 동작구 대방동길 55,02-813-6740
아트홀봄,0.0,서울 동작구 여의대방로54길 18 서울여성플라자 1층,02-810-5263
성대골어린이도서관,0.0,서울 동작구 성대로10길 23 1층,02-817-6684
양문작은도서관,3.3,서울 동작구 시흥대로 646 1층,02-6238-6860
상도중앙작은도서관,4.0,서울 동작구 상도로15길 47,070-4419-6004
나무별작은도서관,0.0,서울 동작구 여의대방로24가길 10 2층,02-6095-0578
상도3동작은도서관,5.0,서울 동작구 성대로2길 11 상도3동 주민센터,02-820-2849
행복의계단,0.0,서울 동작구 보라매로 76,062-597-6630
중앙대학교아트센터 대극장,0.0,서울 동작구 흑석로 84,
담소작은도서관,3.7,서울 동작구 강남초등길 24 3층,02-3280-3006
노량진1동작은도서관,0.0,서울 동작구 장승배기로28길 30 주민센터 3층,02-820-2407
오손도손우리동네작은도서관,0.0,서울 동작구 여의대방로24길 54 3층,02-822-1017
아트&힐링작은도서관,5.0,서울 동작구 상도로62길 61 성심빌딩 2층,02-597-6630
신대방1동작은도서관,0.0,서울 동작구 신대방길 72 신대방1동주민센터 2층,02-820-2807
지혜샘터작은도서관,0.0,서울 동작구 상도로34길 34 2층,02-813-4183
소망작은도서관,0.0,서울 동작구 보라매로 71 3층,
신대방2동마을문고,0.0,서울 동작구 여의대방로24길 76 신대방2동주민센터 3층,02-820-2826
사당2동작은도서관,0.0,서울 동작구 동작대로29길 52 2층,02-820-2711
행복한래미안작은도서관,0.0,서울 동작구 상도로53길 8 래미안상도3차아파트 관리사무소,02-822-3720
노량진2동작은도서관,0.0,서울 동작구 장승배기로19길 48 노량진2동 주민센터 1층,02-820-2432
푸른도서관,0.0,서울 동작구 성대로1길 6 2층,
사당1동작은도서관,1.0,서울 동작구 동작대로17길 28 사당1동 주민센터 2층,02-820-2571
하늘숲작은도서관,0.0,서울 동작구 알마타길 21-42,
꿈익는책마을,5.0,서울 동작구 상도로38길 24 남현교회,02-821-0667
꿈담도서관,0.0,서울 동작구 성대로2길 9 3층,02-822-1300
대방동작은도서관,0.0,서울 동작구 여의대방로44길 20 대방동주민센터 지하,02-820-2765
헤브론문고,0.0,서울 동작구 상도로 217-10 헤브론교회 1층,02-824-0186
국립서울현충원 유품전시관,5.0,서울 동작구 현충로 210,1577-9090
창조회복작은도서관,0.0,서울 동작구 상도로 50,
서울창업센터동작창업공공도서관,0.0,서울 동작구 노량진로 10 7층,02-827-0437
주님의숲작은도서관,0.0,서울 동작구 사당로17길 31 사당중앙교회 3층,02-234-2940
숭실대학교 한국기독교박물관,5.0,서울 동작구 상도로 369 숭실대학교 내,02-820-0752
담쟁이작은도서관,0.0,서울 동작구 동작대로13길 27 석천감리교회 1층,
상도1동작은도서관,0.0,서울 동작구 상도로53길 9 2층,02-820-2474
상도2동마을문고,0.0,서울 동작구 상도로 211 2층,02-820-2484
꿈먹작은도서관,0.0,서울 동작구 동작대로11길 77 성진교회,02-821-0667
노량진1동자치회관문고,0.0,서울 동작구 장승배기로28길 30,02-820-2402
지혜문고작은도서관,0.0,서울 동작구 장승배기로19길 49 재영교회 2층,02-824-5377
새빛작은도서관,0.0,서울 동작구 상도로 407-5 1동 405호,02-584-5025
보라매e편한세상작은도서관,0.0,서울 동작구 보라매로 70 정문입구 1층,02-814-3691
한숲문고,0.0,서울 동작구 알마타길 37 관리사무소 2층,02-813-4262
사당1동마을문고,3.0,서울 동작구 동작대로17길 28,02-820-2571
비전어린이도서관,0.0,서울 동작구 사당로20길 126 온세상교회,02-582-9191
동작문화원 사당분원,0.0,서울 동작구 사당로8길 9 사당문화회관 2층,02-3486-5747
생명나무도서관,0.0,서울 동작구 양녕로 249 3층,02-815-3615
흑석동마을문고,0.0,서울 동작구 흑석한강로 11,02-820-2560
상도더샵아파트작은도서관,0.0,서울 동작구 장승배기로4길 9 113동 관리사무소,02-824-8292
트윈파크작은도서관,0.0,서울 동작구 노량진로23가길 23 래미안트윈파크 101동 지하 1층,02-815-0900
하늘사다리(벧엘교회도서관),0.0,서울 동작구 현충로 105 명수대현대아파트B상가 207호,02-823-3090
사육신역사공원 사육신역사관,5.0,서울 동작구 노량진로 191,070-7204-3258
중앙대학교 서울캠퍼스 중앙도서관,5.0,서울 동작구 흑석로 84,
신상도문고,0.0,서울 동작구 양녕로20길 108 신상도교회 3층,02-826-7712
상도4동작은도서관,1.0,서울 동작구 양녕로27길 44 2층,02-820-0859
만나작은도서관,0.0,서울 동작구 사당로2다길 85 1층,
상도어울마당 아트홀,0.0,서울 동작구 성대로 180 지하1층,070-7204-3291
사당4동작은도서관,0.0,서울 동작구 사당로16아길 6 사당4동주민센터 2층,02-820-2770
애스톤파크작은도서관,0.0,서울 동작구 상도로 346-2,02-827-0388
라이브러리 두란노,0.0,서울 동작구 상도로55길 9 지하1층,
열림카페속작은도서관,0.0,서울 동작구 여의대방로44길 22,070-7432-7787
작은도서관민주주의,0.0,서울 동작구 매봉로 1 8층,02-525-1208
사당5동작은도서관,0.0,서울 동작구 사당로2가길 219 지하1층,02-820-2787
상도2동작은도서관,0.0,서울 동작구 상도로 211 2층,02-820-2481
그리심 작은도서관,0.0,서울 동작구 사당로 259 3층,
초월스터디카페 상도점,4.3,서울 동작구 상도로 204,
상도SH빌작은도서관,0.0,서울 동작구 상도로53길 70,02-822-6950
중력장,5.0,서울 동작구 현충로 104 3층,010-8738-7721
숭실대학교 중앙도서관,1.5,서울 동작구 상도로 369,02-820-0734
하늘사다리문고,0.0,서울 동작구 현충로 111 명수대현대B상가 207호,070-4070-7551
신대방2동작은도서관,0.0,서울 동작구 여의대방로24길 76 신대방2동 주민센터 3층,02-820-2826
흑석동작은도서관,0.0,서울 동작구 흑석한강로 11,02-820-2545
비에이블 스터디카페 신길뉴타운센터,0.0,서울 동작구 여의대방로 186-1,
시립보라매청소년센터 다이나믹홀,5.0,서울 동작구 여의대방로20길 61 슬기동 1층,
노량진 지하배수로,5.0,서울 동작구 노량진동 14-5,
예강갤러리,0.0,서울 동작구 사당로 32,
끌레르 아트홀,0.0,서울 동작구 장승배기로 126 3층,
아트마트,0.0,"서울 동작구 여의대방로24길 65 신호빌딩 1, 2층",010-5235-7979
영어테마도서관,0.0,서울 동작구 사당로16길 58 4층,02-2088-3599
엔쏘울,0.0,서울 동작구 양녕로22가길 16,
수학책상,0.0,서울 동작구 알마타길 26,
상도 푸르지오 클라베뉴,0.0,서울 동작구 상도로 지하 188,1688-7751
아리인,0.0,서울 동작구 여의대방로36길 29 대람아파트 후문상가 2층,02-3280-2795
문화살롱익스큐즈미,0.0,서울 동작구 상도로 3 지층,02-6095-0578
우나앤쿠,0.0,서울 동작구 상도로 63 진성마블로스빌딩 지하 2층,02-822-0922
동작구스마트도서관 노들역,0.0,서울 동작구 노량진로 지하 238,
액션가면소극장,0.0,서울 동작구 동작대로1길 10-16,02-3472-7737
작당,0.0,서울 동작구 시흥대로 606 530호,
중앙대학교 법학전문도서관,0.0,서울 동작구 흑석로 84 법학관(303) 1층,02-820-6566
goodsprings,0.0,서울 동작구 국사봉1길 87 1층,
문화놀이터액션가면 1연습실,0.0,서울 동작구 사당로28길 56 지하1층,
총신대학교 도서관,1.0,서울 동작구 사당로 143 종합관 3층,02-3479-0281
우리하우스,0.0,서울 동작구 상도로41마길 5,
소마라운지,0.0,서울 동작구 현충로 114-1 4층,
민아트랩,0.0,서울 동작구 사당로16다길 98 1층,
농심 식문화연구,0.0,서울 동작구 여의대방로 112,02-820-8289
AAC아트홀,0.0,서울 동작구 등용로 106-1 영진빌딩 지층,02-3280-2244
연습실 사당점,0.0,서울 동작구 남부순환로 2069,
쏙아트홀,0.0,서울 동작구 등용로 106-1 영진빌딩 지하,070-7565-8226
산호웰빙텔,0.0,서울 동작구 등용로 119,
숭실대학교 도서관휴게실,0.0,서울 동작구 상도로 369,
노들섬라이브하우스,2.9,서울 용산구 이촌동 302-146,
아쿠아플라넷63,3.7,서울 영등포구 63로 50 리버타워,1833-7001
63아트,3.0,서울 영등포구 63로 50 63빌딩 60층,1833-7001
노들섬 다목적홀 숲,3.0,서울 용산구 양녕로 446 1층,02-749-4500
청림동푸른숲 작은도서관,0.0,서울 관악구 관악로40길 39 청림동주민센터 3층,02-876-4090
성현동파랑새작은도서관,0.0,서울 관악구 구암길 38 주민센터 2층,02-875-9054
성현동작은도서관,3.5,서울 관악구 관악로37길 56 상가B동 5층,02-877-7182
블루밍문고,0.0,서울 관악구 양녕로 93 관리사무소 밑,02-877-9864
해성작은도서관,0.0,서울 관악구 관악로 285 행복상가 310호,02-872-8591
글빛정보도서관,4.5,서울 관악구 관악로30길 23 1~4층,02-878-7460
여의동공립작은도서관,0.0,서울 영등포구 국제금융로 124 주민센터 3층,02-784-2268
두리하나작은도서관,0.0,서울 관악구 국회단지길 105,02-874-1939
별별창작꿈터 봉현작은도서관,4.0,서울 관악구 관악로 255-7 자치회관 1층,070-7163-5167
은천동작은도서관,4.0,"서울 관악구 봉천로33나길 30 4,5층",02-877-1162
다서원,0.0,서울 관악구 청림5길 28 관악푸르지오 제2단지 단지내 소재,070-8271-2051
은천마루 작은도서관,0.0,서울 관악구 은천로9길 20 3층,
꿈마을도서관,0.0,서울 관악구 중앙2길 16 2층,02-886-3196
중앙동새싹작은도서관,0.0,서울 관악구 양녕로6다길 7 주민센터 1층,02-875-9513
푸른들작은도서관,0.0,서울 관악구 청림6길 15-7 푸른들교회 1층,02-889-8990
우듬지작은도서관,0.0,서울 관악구 관악로 223 6층,
63왁스뮤지엄,0.0,서울 영등포구 63로 50 63빌딩 B3F,02-789-6363
리틀비버작은도서관,0.0,서울 관악구 양녕로 13-1 2층,
스페이스445,5.0,서울 용산구 양녕로 445,02-749-4500
보라매동다사랑작은도서관,0.0,서울 관악구 봉천로 279-8 보라매동주민센터 2층,02-876-2879
실린더,5.0,서울 관악구 양녕로1길 48,
영등포구 언더랜드,5.0,서울 영등포구 여의도동 5,02-3775-4041
아리수아트홀,0.0,서울 영등포구 여의동로 252,
틈새소극장,3.0,서울 관악구 남부순환로 1695,0507-1407-1891
효건,0.0,서울 관악구 당곡2가길 25,
오제이플레이스,0.0,서울 관악구 양녕로1길 32 B1호,
발효작은도서관,0.0,서울 관악구 남부순환로 1794 4층 401호,
불꽃축제 한강 주차장,0.0,서울 용산구 이촌동 302-17,
한국잡지정보관,0.0,서울 영등포구 여의대방로67길 11 지하 1층,02-360-0041
U+Library,0.0,서울 용산구 한강대로 32,070-4080-3004
영풍고시원,0.0,서울 관악구 봉천로 322,
마음서랍 마을도서관,5.0,서울 영등포구 여의대방로43길 10 신길7동주민센터 5층,070-8895-1186
돌하우스아라,0.0,서울 영등포구 국제금융로 79,
아모레퍼시픽미술관,4.3,서울 용산구 한강대로 100,02-6040-2345
국립중앙박물관 어린이박물관,4.6,서울 용산구 서빙고로 137,02-2077-9647
큐 아카이브,5.0,서울 용산구 한강대로11길 37,0507-1390-9155
책이랑놀이랑도서관,5.0,서울 관악구 행운1길 12 신창문화복지센터 2층,02-878-0955
국립중앙박물관 극장 용,4.5,서울 용산구 서빙고로 137 4층,1544-5955
신림동굴렁쇠작은도서관,0.0,서울 관악구 신림동길 14 신림동주민센터 2층,02-877-2727
대길열린문고,0.0,서울 영등포구 영등포로84길 24-14,02-831-9909
