name,degree,address,tel
KT&G상상마당 홍대,4.7,서울 마포구 어울마당로 65,02-330-6200
마포중앙도서관,4.1,서울 마포구 성산로 128,02-3153-5800
구름아래소극장,4.6,서울 마포구 와우산로29가길 15,02-3280-8800
띠아트,,서울 마포구 와우산로21길 20-11 지하 1층,070-8829-9894
롤링홀,4.3,서울 마포구 어울마당로 35 신보빌딩 지하1층,02-325-6071
신한카드 SOL페이 스퀘어,,서울 마포구 양화로 45 메세나폴리스 2층,1644-2961
윤형빈소극장 홍대점,5.0,서울 마포구 와우산로21길 29,02-6383-1003
T팩토리,3.6,서울 마포구 양화로 144 1층,02-1599-2641
박정희대통령 기념도서관,2.4,서울 마포구 월드컵로 386,02-716-9345
코코넛박스,4.2,서울 마포구 홍익로3길 20 서교프라자 지하2층,02-3144-6300
산울림소극장,4.8,서울 마포구 와우산로 157,02-334-5915
마포평생학습관,4.6,서울 마포구 홍익로2길 16,02-2137-0000
4233마음센터,,서울 마포구 월드컵북로4길 43 지하1층,0507-1357-4418
마포아트센터 아트홀맥,5.0,서울 마포구 대흥로20길 28,02-3274-8500
청년문화공간JU 동교동,3.8,서울 마포구 월드컵북로2길 49,02-338-7830
누디트 홍대,5.0,서울 마포구 월드컵북로5길 41 누디트 홍대,02-539-1785
마포구립서강도서관,4.2,"서울 마포구 독막로 165 서강동주민센터 4, 5층",02-3141-7053
스페이스브릭,5.0,서울 마포구 잔다리로 31 지하 2층,010-9784-3950
한국영화박물관,5.0,서울 마포구 월드컵북로 400 한국영상자료원 1층,02-3153-2072
벨로주 홍대,5.0,서울 마포구 잔다리로 46 스튜디오빌딩 지하,02-323-7798
소금나루도서관,4.4,서울 마포구 숭문길 72,02-3153-1600
포스트극장,2.6,서울 마포구 와우산로 148 지하 1층,02-337-5961
서울에너지드림센터,4.1,서울 마포구 증산로 14,02-3151-0562
플렉스라운지,2.7,서울 마포구 양화로 100-10,
전쟁과여성인권박물관,4.4,서울 마포구 월드컵북로11길 20,02-392-5252
홍대난타전용극장,5.0,"서울 마포구 양화로16길 29 지하2,3층",02-739-8288
초록리본도서관,5.0,서울 마포구 동교로19길 4 2층,070-4676-5600
H스테이지,0.0,서울 마포구 와우산로 97,
공공일클럽,5.0,서울 마포구 와우산로18길 20 지하1층,010-4764-1822
연남스페이스,5.0,"서울 마포구 성미산로22길 16 지하1,2층",0507-1337-1701
라디오가가,1.0,서울 마포구 양화로11길 54,02-335-1251
마포문화원,1.0,서울 마포구 백범로 227,02-312-1100
CJ아지트 광흥창,3.3,서울 마포구 창전로 14,02-3272-2616
얼라이브홀,0.0,서울 마포구 독막로7길 20 지하 1층,02-796-3207
메타코미디클럽 홍대,5.0,서울 마포구 와우산로 76-1 2층,070-4415-1105
베짱이홀,4.0,서울 마포구 독막로15길 3-12 NJ빌딩 지하 1층,02-322-4241
프리즘홀,4.3,서울 마포구 양화로12길 6,070-8150-2979
DMC홍보관,2.8,서울 마포구 월드컵북로 366,
드림홀,2.9,서울 마포구 양화로 64 서교제일빌딩 지하 201호,010-6213-0001
프로타주,4.5,서울 마포구 독막로15길 12 1층,02-365-2039
제이엘씨어터,0.0,서울 마포구 어울마당로 94-8 지하1층,070-4887-1267
제일라아트홀,3.0,서울 마포구 월드컵북로 323,02-309-3355
평화나루도서관,5.0,서울 마포구 대흥로24바길 11 솔틴비전센터 2층,02-716-0732
서강대학교 메리홀 대극장,5.0,서울 마포구 백범로 35,02-705-8114
마포어린이영어도서관,5.0,서울 마포구 도화4길 53 복사골작은도서관 2층,02-716-3987
오아시스 방탈출,5.0,서울 마포구 독막로9길 18 지하 1층,010-5293-7612
성산글마루작은도서관,4.0,서울 마포구 월드컵북로 235 대우복지관 3층,02-373-2900
풋볼팬타지움,3.7,서울 마포구 월드컵로 240 서울월드컵경기장내 서문,02-305-2002
해오름작은도서관,5.0,서울 마포구 신촌로26길 10 주민센터 복지관 2층,02-714-8080
KT&G상상마당 라이브홀,4.3,서울 마포구 어울마당로 65 지하 2층,02-330-6233
다리소극장,1.0,서울 마포구 월드컵북로2길 49,02-338-7830
라드,4.6,"서울 마포구 잔다리로3안길 23 1,2층",02-6081-2150
성미산마을극장,3.7,서울 마포구 월드컵로26길 39,
연세대학교 김대중도서관,3.2,서울 마포구 신촌로4길 5-26,
G스페이스홀,0.0,서울 마포구 포은로 14,02-421-9025
가온스테이지,0.0,서울 마포구 잔다리로 59 슬로우로켓빌딩 지하1층,010-4888-7593
AOR라이브클럽,3.4,서울 마포구 와우산로 156 지하,
꿈을이루는작은도서관,5.0,서울 마포구 마포대로7길 18 주민센터 2층,02-706-4785
라이브앤라우드,5.0,서울 마포구 동교로 191 디비엠빌딩 지하 2층 B201호,02-336-9399
스페이스한강,0.0,서울 마포구 와우산로 128 지하 1층,010-2026-7274
우주정거장,3.4,서울 마포구 와우산로29길 16 지하1층,070-8692-8277
초록숲작은도서관,0.0,서울 마포구 마포대로11길 44-81 아현문화건강센터 지하1층,02-313-4785
마포청년나루,3.0,서울 마포구 양화로 13 3~4층,02-6261-1939
용강동작은도서관,5.0,서울 마포구 토정로31길 31 용강동복합청사 2층,02-716-4785
서울시립 난지미술창작스튜디오,1.5,서울 마포구 하늘공원로 108-1,02-2124-8845
