name,degree,address,tel
서대문형무소역사관,4.8,서울 서대문구 통일로 251,02-360-8590
서대문자연사박물관,4.3,"서울 서대문구 연희로32길 51 지하1층, 1~3층",02-330-8899
뉴스뮤지엄 연희점,4.2,서울 서대문구 연희로11가길 48-10 파크먼트연희 B동 GF,0507-1309-5654
국립대한민국임시정부기념관,4.8,서울 서대문구 통일로 279-24,02-772-8708
연세대학교 노천극장,4.1,서울 서대문구 연세로 50,
금호아트홀연세,3.4,서울 서대문구 연세로 50 백양누리 지하1층,02-6303-1977
연세대학교 대강당,3.5,서울 서대문구 연세로 50,02-2133-3818
이화여자대학교 삼성홀,4.0,서울 서대문구 이화여대길 52 이화캠퍼스복합단지 지하4층,0502-1909-3288
서울특별시교육청 서대문도서관,4.1,서울 서대문구 모래내로 412,1833-6948
이화여자대학교 대강당,5.0,서울 서대문구 이화여대길 52,02-3277-3114
서대문구립이진아기념도서관,4.4,서울 서대문구 독립문공원길 80,02-360-8600
복합문화공간 몽향,0.0,서울 서대문구 연세로5다길 10 지하 1층,070-4121-7580
청년예술청 SAPY,2.9,서울 서대문구 경기대로 26-26 어바니엘 102동 지하2층,0507-1324-9745
스튜디오리움,4.0,서울 서대문구 성산로 533,02-362-4480
모두예술극장,5.0,서울 서대문구 충정로 7,02-760-9780
연희예술극장,3.7,서울 서대문구 연희맛로 2-3,
예스24 원더로크홀,0.0,서울 서대문구 신촌로 129 아트레온 지하3층,1544-6399
북아현문화체육센터 아트홀,0.0,서울 서대문구 북아현로 51 지하 1층,02-360-8660
아트레온,0.0,서울 서대문구 신촌로 129,02-364-8900
폭포책방 아름인도서관,0.0,서울 서대문구 연희로 262-32,02-3217-0693
홍은도담도서관,3.8,서울 서대문구 홍은중앙로 129,02-360-8640
신한카드 아름인도서관,0.0,서울 서대문구 연희로 262-24 카페폭포 별관,
연세대학교 중앙도서관,5.0,서울 서대문구 연세로 50,
홍은2동논골작은도서관,0.0,서울 서대문구 연희로41가길 33 청년미래공동체주택 101동 1층,02-391-8789
이화여자대학교 100주년기념박물관,0.0,서울 서대문구 이화여대길 52,02-3277-3152
극장PLOT,5.0,서울 서대문구 연세로4길 27 지하1층,010-8348-8391
윤동주기념관,5.0,서울 서대문구 연세로 50 핀슨관2층,
홍은1동햇살도서관,0.0,서울 서대문구 세검정로1길 45 홍은1동자치회관 2층,02-330-8461
아터테인,5.0,서울 서대문구 홍연길 63-4,02-6160-8445
남가좌1동파랑새작은도서관,0.0,서울 서대문구 모래내로15길 37 2층,02-330-8992
그린힐작은도서관,0.0,서울 서대문구 연희로14길 70 1층,
서울문화재단 연희문학창작촌,5.0,서울 서대문구 증가로2길 6-7,02-324-4600
디앤디,1.0,서울 서대문구 연세로7안길 52 지하1층,
추계예술대학교 콘서트홀,0.0,서울 서대문구 북아현로11가길 7,02-393-1671
천연동하늘샘작은도서관,5.0,서울 서대문구 독립문로 27 5층,02-3140-8334
신촌문화발전소,0.0,서울 서대문구 연세로2나길 57,02-330-4393
세빛도서관,0.0,서울 서대문구 통일로35길 18 2층,070-5001-4656
연세대학교 학술문화처 도서관,4.7,서울 서대문구 연세로 50,02-2123-6100
갤러리인,5.0,서울 서대문구 홍제천로 116 2층 201호,010-9017-2016
아트스페이스 라프,0.0,서울 서대문구 북아현로 63 지하1층,070-4220-0070
AC'SCENT(악센트),5.0,서울 서대문구 연세로9길 16 지하 1층,02-336-3368
충현동알음알음작은도서관,0.0,서울 서대문구 경기대로 40 충현동자치회관 2층,02-330-8164
연희동아이누리작은도서관,0.0,서울 서대문구 증가로 13-10 연희동자치회관 2층,02-330-8775
하늘샘어린이도서관,5.0,서울 서대문구 가좌로 150 2층,070-4060-0617
이화여자대학교 중앙도서관,5.0,서울 서대문구 이화여대길 52,02-3277-3129
연희파크푸르지오작은도서관,0.0,서울 서대문구 홍제천로 136 uz센터,02-336-1185
홍제천작은도서관,5.0,서울 서대문구 통일로 510 북한산더샵상가 214호,
DMC래미안클라시스아파트 푸른북카페,0.0,서울 서대문구 증가로 191,02-376-2743
홍제3동문화촌작은도서관,0.0,서울 서대문구 세검정로4길 32 홍제3동주민센터 2층,02-330-8991
남가좌 새롬어린이도서관,5.0,서울 서대문구 증가로10길 16-15,02-360-8639
홍은2동행복작은도서관,0.0,서울 서대문구 모래내로 334 구청제4별관 3층,02-330-8788
홍제1동새싹작은도서관,0.0,서울 서대문구 통일로27길 19 자치회관 3층,02-330-8663
서대문구 스마트도서관,0.0,서울 서대문구 연희로 248,
201P,5.0,서울 서대문구 연세로7안길 17 지하 1층,010-4730-1956
홍제2동꿈이있는작은도서관,0.0,서울 서대문구 통일로34길 27 2층,02-330-8453
김옥길기념관,5.0,서울 서대문구 연대동문길 47-6,
갤러리인 HQ,5.0,서울 서대문구 홍연길 97 1F. B1,010-9017-2016
작은도서관당나귀,0.0,서울 서대문구 거북골로 55 지하1층,070-8718-9004
북가좌1동늘푸른열린작은도서관,0.0,서울 서대문구 수색로 100-55 북가좌1동주민센터 2층,02-330-8554
홍제3동문화촌도서관,0.0,서울 서대문구 세검정로4길 32,02-330-8991
북아현북카페,0.0,서울 서대문구 북아현로 24 북아현동주민센터 2층,02-330-8672
이팝꽃향기작은도서관,0.0,서울 서대문구 북가좌동 352-1,
한예진아트홀,5.0,서울 서대문구 신촌로 197,
갤러리호호,5.0,서울 서대문구 홍연길 72,02-332-2686
예술공간의식주,5.0,서울 서대문구 홍연길 80 2층 201호,
홍제천작은도서관,0.0,서울 서대문구 홍제내길 20,
연세대학교 박물관,0.0,서울 서대문구 연세로 50 연세대학교 100주년 기념관,02-2123-3340
돈의문센트레빌작은도서관,5.0,서울 서대문구 독립문로14길 33,02-364-8522
DMC래미안e편한세상아파트1블럭작은도서관,0.0,서울 서대문구 수색로 100 커뮤니티센터,070-8852-3108
신촌극장,5.0,서울 서대문구 연세로13길 17 4층,
어깨동무어린이도서관,0.0,서울 서대문구 거북골로14길 32,02-309-0132
천연뜨란채문고작은도서관,0.0,서울 서대문구 독립문로8길 54,02-365-2800
하늘꿈작은도서관,0.0,서울 서대문구 가재울로14길 4 홍남제일교회,02-372-6132
가슴따뜻한작은도서관,0.0,서울 서대문구 응암로1길 10,02-330-8652
봉원교회샘뜰작은도서관,5.0,서울 서대문구 봉원사2길 13,02-392-6552
하뜰안도서관,0.0,서울 서대문구 가재울로 13 1층,02-309-6477
새솔도서실,0.0,서울 서대문구 북아현동 1-826 1층,02-3277-2599
구세군아트홀,3.0,서울 서대문구 충정로 7,
서대문문화체육회관 대극장,0.0,서울 서대문구 백련사길 39 3층,02-360-8686
하우스오브연희,4.0,서울 서대문구 연희로11가길 8,
명지어린이영어도서관,0.0,서울 서대문구 가좌로 117,02-303-2505
모티포룸,0.0,서울 서대문구 연희로15안길 8 1층,
꿈꾸는베이킹,0.0,서울 서대문구 연희로 233,
황창배미술관,0.0,서울 서대문구 연희로 89-8 3층,02-332-1781
플레이스막2,0.0,서울 서대문구 홍제천로4길 39-26,017-219-8185
북한산더샵아파트작은도서관,0.0,서울 서대문구 통일로 510,02-391-9903
힐신숲작은도서관,0.0,서울 서대문구 이화여대8길 123 힐스테이트 신촌아파트 커뮤니티,
파크먼트 연희,0.0,서울 서대문구 연희로11가길 42,
자미갤러리,0.0,서울 서대문구 신촌역로 27 더아리움 1층 101호,
연세대학교 윤주용홀,0.0,서울 서대문구 연세로 50 연세대학교 음악대학 B관 1층,02-2123-3020
논골문화원,0.0,서울 서대문구 연희로41나길 1,
오월드럼,0.0,서울 서대문구 통일로 427,
안팎,5.0,서울 서대문구 북아현로 96-1 2층,010-9717-1279
가좌동 마을극장,0.0,서울 서대문구 가재울로4길 39 하의재 지하 1층,
히든플레이스,5.0,서울 서대문구 이화여대2가길 24 2층,
이제홀,0.0,서울 서대문구 충정로11길 20 지하,
엘리브러리,5.0,서울 서대문구 증가로2길 52 1층 상가,
서대문구 기대공간,0.0,"서울 서대문구 응암로2길 15 지하1층, 1층",
우리식물원,0.0,서울 서대문구 연희로26길 32 1층 102호,02-2695-4842
당다세,5.0,서울 서대문구 연희로 251 지하 1층,
홍제역 스마트도서관,0.0,서울 서대문구 통일로 지하 440-1,
