name,degree,address,tel
예술의전당,4.3,서울 서초구 남부순환로 2406,1668-1352
aT센터,4.7,서울 서초구 강남대로 27,02-6300-1114
세빛섬,3.9,서울 서초구 올림픽대로 2085-14,1566-3433
한전아트센터,4.3,서울 서초구 효령로72길 60,02-2105-8133
국립중앙도서관,3.0,서울 서초구 반포대로 201,02-590-0500
예술의전당 한가람미술관,4.6,서울 서초구 남부순환로 2406,02-580-1300
서초구립양재도서관,4.3,서울 서초구 양재천로 33,02-3486-4050
예술의전당 오페라하우스,4.6,서울 서초구 남부순환로 2406,02-580-1300
국립국악원,4.1,서울 서초구 남부순환로 2364,02-580-3300
예술의전당 한가람디자인미술관,4.6,서울 서초구 남부순환로 2406 본관 1층,02-580-1300
서초문화예술회관,5.0,서울 서초구 강남대로 201,02-2155-8303
예술의전당 CJ토월극장,4.5,서울 서초구 남부순환로 2406,1668-1352
매헌윤봉길의사기념관,4.9,서울 서초구 매헌로 99,02-578-3388
예술의전당 콘서트홀,4.6,서울 서초구 남부순환로 2406 예술의전당 음악당 1층,02-580-1300
흰물결아트센터,4.6,서울 서초구 반포대로 150,02-535-7119
서울웨이브아트센터,4.8,서울 서초구 잠원로 145-35,02-534-5577
예술의전당 자유소극장,4.3,서울 서초구 남부순환로 2406,02-580-1300
모나코스페이스,3.7,서울 서초구 서초대로 397 부띠크모나코 지하1층,
서초구립반포도서관,4.3,서울 서초구 고무래로 34,02-520-8700
모차르트홀,4.0,서울 서초구 명달로 104 모차르트빌딩 2층,02-3472-8222
에스씨씨홀,3.0,서울 서초구 남부순환로325길 9 3층,02-3434-4900
서초구립방배숲환경도서관,3.3,서울 서초구 서초대로 160-7,02-537-6001
예술의전당 서울서예박물관,4.1,"서울 서초구 남부순환로 2406 본관 2,3층",02-580-1300
국립국악원 예악당,5.0,서울 서초구 남부순환로 2364,02-580-3300
서초청소년도서관,3.8,서울 서초구 효령로77길 37,02-3486-9543
예술의전당 IBK챔버홀,5.0,서울 서초구 남부순환로 2406,
서리풀아트홀,0.0,서울 서초구 반포대로9길 30 지하 1층,010-9671-0700
영산양재홀,1.0,서울 서초구 바우뫼로37길 45,02-571-7689
세빛섬 예빛섬,1.0,서울 서초구 반포동 115-1,1566-3433
세빛섬 채빛섬,3.0,서울 서초구 올림픽대로 2085-14,1566-3433
서초구립내곡도서관,4.9,서울 서초구 청계산로7길 9-20,02-3461-3007
전기박물관,0.0,서울 서초구 효령로72길 60,02-2105-8190
SCC선아트홀,0.0,서울 서초구 동산로 44 지하2층,02-3434-4923
브라움홀,5.0,"서울 서초구 명달로 30 극동빌딩 지하 1,2층",02-2055-0307
흰물결갤러리,5.0,서울 서초구 반포대로 150,02-536-8641
방배도서관,5.0,서울 서초구 방배로 40 4층,02-3471-3993
양재천 수변무대,0.0,서울 서초구 양재동 261-23,
페리지홀앤갤러리,5.0,서울 서초구 반포대로 18,
윤봉길새책도서관,5.0,서울 서초구 매헌로 99 2층,02-571-0279
국립국악원 우면당,0.0,서울 서초구 남부순환로 2364,02-580-3300
예술의전당 리사이틀홀,2.0,서울 서초구 남부순환로 2406,02-580-1300
안톤홀,5.0,서울 서초구 반포대로22길 19-11 지하1층,010-8883-8077
부띠크모나코미술관,4.8,서울 서초구 서초대로 397 부띠크모나코 지하1층,02-535-5844
방배작은도서관,0.0,서울 서초구 방배천로 16,
양재너구리도서관,0.0,서울 서초구 논현로27길 58 2층,02-6409-2018
코스모스아트홀,0.0,서울 서초구 반포대로 27 코스모스악기 지하1층,02-522-8844
예술의전당 음악당,0.0,서울 서초구 남부순환로 2406,02-580-1234
양재2동작은도서관,5.0,서울 서초구 강남대로12길 44 1층,02-2155-7906
서초4동작은도서관,0.0,서울 서초구 서운로26길 3 3층,02-2155-7512
라율아트홀,5.0,서울 서초구 반포대로 20 2층,02-522-7278
반포1동작은도서관,0.0,서울 서초구 사평대로 273,02-2155-7615
서초3동작은도서관,0.0,서울 서초구 반포대로 58 서초아트자이 1~2층,02-3472-7462
예손그루터기,0.0,서울 서초구 방배중앙로 27,
서초글벗작은도서관,5.0,서울 서초구 방배천로2안길 39 서초영락교회 지하1층,
더케이아트홀,0.0,서울 서초구 바우뫼로12길 70,
방배4동작은도서관,5.0,서울 서초구 방배로 173 방배4동 주민센터 3층,02-2155-7851
방배본동작은도서관,2.0,서울 서초구 동광로19길 38,02-2155-7716
국립국악원 풍류사랑방,0.0,서울 서초구 남부순환로 2364,02-580-3300
양재오솔숲도서관,0.0,서울 서초구 양재동 126-8,
정효아트센터,5.0,서울 서초구 사임당로18길 52-2 1층,
방배1동작은도서관,5.0,서울 서초구 효령로29길 43 2층,02-2155-7765
꿈익는작은도서관,0.0,서울 서초구 남부순환로 2271-5 소비코빌딩 지하 2층,02-583-2157
한전아트센터 갤러리,0.0,서울 서초구 효령로72길 60 한전아트센터 1층,02-2105-8190
잠원도서관,0.0,서울 서초구 나루터로 38 잠원동주민센터 3층,02-3477-8655
도잉아트,0.0,서울 서초구 남부순환로325길 9 지하1층,02-525-2223
디월트 고객체험센터,4.3,서울 서초구 효령로 336 윤일빌딩 1층,02-6483-8500
터키이스탄불문화원,2.9,서울 서초구 반포대로 98 일신빌딩 2층,02-3452-8182
서초문화원,0.0,서울 서초구 강남대로 201 서초구민회관 2층,02-2155-8607
가톨릭대학교 마리아홀,0.0,서울 서초구 반포대로 222 성의회관내,
서초구청작은도서관,1.0,서울 서초구 남부순환로 2584,02-2155-6209
반포3동작은도서관,0.0,서울 서초구 신반포로23길 78 주민센터,02-2155-7670
반포2동작은도서관,0.0,서울 서초구 신반포로 127 반포2동열린문화센터 1층,02-2155-7635
서이도서관,3.0,서울 서초구 서초대로70길 51 서초2동 주민센터 3층,02-3471-1337
서초1동작은도서관,0.0,서울 서초구 사임당로 89 2층,02-2155-7404
서초그림책도서관,4.5,서울 서초구 명달로 150,02-3471-0995
채비스테이 서초센터,0.0,서울 서초구 남부순환로 2463,1522-2573
스마트도서관,0.0,서울 서초구 양재동 311,
반포4동작은도서관,0.0,서울 서초구 사평대로28길 70 4층,02-2155-7703
리코디아 아트홀,5.0,서울 서초구 신반포로42길 14,02-582-8715
씨넷도서관,0.0,서울 서초구 남부순환로333길 36 해원빌딩 지하1층,
국악박물관,4.0,서울 서초구 남부순환로 2364,02-580-3130
서초포레스타3단지작은도서관,0.0,서울 서초구 헌릉로8길 22 304동 1층 주민공동시설,070-8159-2809
양재1동작은도서관,0.0,서울 서초구 바우뫼로 41 2층,02-2155-7895
식유촌마을사랑방작은도서관,0.0,서울 서초구 식유촌길 10 1층 102호,
예술의전당 한가람미술관 제7전시실,4.3,서울 서초구 남부순환로 2406,02-580-1300
방배마을작은도서관,0.0,서울 서초구 방배천로8길 35-3,
네이처힐3단지작은도서관,0.0,서울 서초구 태봉로2길 60 서초네이처힐3단지 305동 1층,070-8615-8387
방배2동작은도서관,0.0,서울 서초구 청두곶길 36 2층,02-2155-7794
스마트도서관,0.0,서울 서초구 서초동 1686-10,
엘림아트홀,4.6,서울 서초구 반포대로4길 9 2층,010-2323-4054
유중아트센터,2.5,서울 서초구 방배로 178 유중빌딩,02-536-1108
분재박물관,1.0,서울 서초구 신흥안길 40-10,
펄스 라이브홀,0.0,서울 서초구 주흥길 12,
나우리아트센터,0.0,서울 서초구 서초대로55길 9 나우리빌딩 로비층,070-7720-9195
국립장애인도서관,3.0,서울 서초구 반포대로 201 2층,1644-6044
인도박물관,5.0,서울 서초구 서초중앙로2길 35 광림빌딩 2층,02-585-2185
서초청년센터,0.0,서울 서초구 남부순환로 2567 2층,070-4048-7431
한국예술종합학교 이강숙홀,0.0,서울 서초구 남부순환로 2374 한국예술종합학교 음악원 4층,
LH서초3단지행복도서관,0.0,서울 서초구 양재대로2길 34,
매헌숲작은도서관,5.0,서울 서초구 매헌로 99,02-578-3388
언남돌봄작은도서관,0.0,서울 서초구 강남대로10길 65 3층,
서리풀청년아트센터,0.0,서울 서초구 반포대로 58 상가 3층,02-3474-2911
써포먼트갤러리,0.0,서울 서초구 사평대로22길 41 성운빌딩 4층,02-537-0604
하늘샘작은도서관,0.0,서울 서초구 헌릉로8길 10-12 힐스테이트서초젠트리스 1층 8호,070-7701-8383
갤러리라보,0.0,서울 서초구 주흥길 77,010-8245-6067
작은새들의합창,0.0,서울 서초구 서초대로34가길 52 방배서리풀그랑블 지하1층,
방배2동책사랑방,0.0,서울 서초구 청두곶길 36,02-2155-7794
예빛섬 야외무대,0.0,서울 서초구 반포동 115-5,
국립중앙도서관 디지털도서관,2.4,서울 서초구 반포대로 201,
한생연 휴먼탐구과학관,5.0,서울 서초구 신반포로3길 8 신반포플라자 6층,02-6929-4929
씨어터송,0.0,서울 서초구 법원로3길 22 영인빌딩 지하1층,070-8843-0088
방배은혜도서관,0.0,서울 서초구 방배로4길 10-18 1층,
서초수학박물관,3.0,서울 서초구 방배중앙로 82 3층,02-2205-5788
네이처힐가든작은도서관,0.0,서울 서초구 형촌길 60,
서리풀 청년아트갤러리,4.7,서울 서초구 남부순환로323길 1,02-3477-2074
르비채아트뮤지엄,0.0,"서울 서초구 서초대로27길 11 도트디자인빌딩 1,3층",02-595-3777
너나울도서관,0.0,서울 서초구 양재대로2길 90 서초힐스아파트 206동 1층 관리동,070-7014-0773
L&S아트홀,0.0,서울 서초구 서초중앙로24길 55 중앙서초프라자 지하 3층,02-594-9195
정효국악문화재단 정효아트홀,0.0,서울 서초구 사임당로18길 52-2 1층,02-523-6268
쿤스트하우스,5.0,서울 서초구 강남대로47길 13 지하 1층,02-584-0844
지혜의숲작은도서관,0.0,서울 서초구 청계산로7길 43 서초포레스타5단지,070-7763-2811
