name,degree,address,tel
그라운드시소 성수,3.8,서울 성동구 아차산로17길 49 생각공장 A동 지하1층 RB111호,1522-1796
뚝섬미술관,3.0,서울 성동구 아차산로 33 삼일빌딩 지하1층,02-555-5035
더서울라이티움,4.0,서울 성동구 서울숲2길 32-14 갤러리아포레 지하2층,010-5786-9966
공간 와디즈,4.8,서울 성동구 연무장1길 7-1,02-6213-3600
성수연방,3.4,서울 성동구 성수이로14길 14,010-8979-8122
에스팩토리,2.4,서울 성동구 연무장15길 11,02-6388-8321
디뮤지엄 (휴업중),3.7,서울 성동구 왕십리로 83-21 1~4층,02-6233-7200
언더스탠드에비뉴,3.7,서울 성동구 왕십리로 63,02-725-5526
LCDC서울,3.6,서울 성동구 연무장17길 10,
소월아트홀,5.0,서울 성동구 왕십리로 281 성동문화회관 3층,02-2204-6400
서울숲씨어터,5.0,서울 성동구 서울숲2길 32-14 갤러리아포레 G층,070-4120-1310
청계천박물관,4.2,서울 성동구 청계천로 530,02-2286-3410
성수문화예술마당,3.8,서울 성동구 성수동1가 683,
성동구립도서관,3.3,서울 성동구 고산자로10길 9,02-2204-6420
성수아트홀,4.0,서울 성동구 뚝섬로1길 43,02-2204-7571
서울새활용플라자,3.3,서울 성동구 자동차시장길 49,02-2153-0400
에이피어게인,0.0,서울 성동구 성수일로4길 12,02-6941-0354
성수낙낙,3.5,서울 성동구 아차산로17길 48,02-462-8322
수도박물관,5.0,서울 성동구 성수동1가 642-1,02-3146-5921
성동구립성수도서관,3.8,서울 성동구 뚝섬로1길 43 성수문화복지회관 7층,02-2204-7590
플라츠2,4.9,서울 성동구 뚝섬로17길 35,070-4105-2885
서울하수도과학관,4.6,서울 성동구 자동차시장3길 64,02-2211-2540
성수미술관,3.4,서울 성동구 성수일로8길 39 지층 B02호,02-467-1991
헬로우뮤지움,5.0,서울 성동구 성수일로12길 20,02-3217-4222
성동구립용답도서관,2.5,서울 성동구 용답중앙3길 10,02-2204-6470
성동구립금호도서관,5.0,서울 성동구 난계로 20,02-2204-6450
XYZ SEOUL,0.0,서울 성동구 연무장길 73,
헤르만아트홀,0.0,서울 성동구 상원6나길 24 청호서울숲뜨레피움오피스텔 지하1층 B01호,02-6212-1747
매봉산 숲속도서관,5.0,서울 성동구 매봉길 49-29,02-2204-6485
우란문화재단,4.0,서울 성동구 연무장7길 11,02-465-1418
열린금호교육문화관,0.0,서울 성동구 무수막길 69,02-2204-7650
더페이지갤러리,3.8,서울 성동구 서울숲2길 32-14 갤러리아포레 지하2층,02-3447-0049
아파트먼트풀,0.0,서울 성동구 연무장길 106,02-462-0525
성동구립청계도서관,4.0,"서울 성동구 마장로 141 왕십리도선동복합청사 5,6층",02-2204-7580
갤러리구조,4.5,서울 성동구 뚝섬로 419 4층,02-538-4573
아트태그하우스,0.0,서울 성동구 서울숲4길 16-9 1층,010-9519-8145
코사이어티 서울숲점,,서울 성동구 왕십리로 82-20,02-464-0054
디타워 서울포레스트,0.0,서울 성동구 왕십리로 83-21,
성수문화복지회관,0.0,서울 성동구 뚝섬로1길 43,
뚝섬작은도서관,0.0,서울 성동구 성수일로6길 56 뚝섬교회,
뚝도아리수정수센터 수도박물관,0.0,서울 성동구 성수동1가 642-1,
진로골드 판타지아,0.0,서울 성동구 연무장길 53,
