name,degree,address,tel
간송미술관,4.6,서울 성북구 성북로 102-11,02-744-7830
오동숲속도서관,4.4,서울 성북구 화랑로13가길 110-10,02-6952-1806
우리옛돌박물관,4.8,서울 성북구 대사관로13길 66,02-986-1001
성북정보도서관,3.2,서울 성북구 화랑로18자길 13,02-962-1081
성북꿈빛극장,0.0,서울 성북구 길음로7길 20,
최순우옛집,4.6,서울 성북구 성북로15길 9,02-3675-3401
청수도서관,5.0,서울 성북구 보국문로16가길 20,02-2038-4423
성북구립미술관,4.2,서울 성북구 성북로 134,02-6925-5011
성북길빛도서관,4.7,서울 성북구 숭인로8길 52,02-6949-0031
한국가구박물관,4.1,서울 성북구 대사관로 121,02-745-0181
아리랑도서관,4.3,서울 성북구 아리랑로 82,02-3291-4990
글빛도서관,5.0,"서울 성북구 길음로7길 20 서울성북미디어문화마루 1,2층",02-6956-0559
미아리고개 예술극장,3.0,서울 성북구 동소문로 177,02-6956-9045
석관동미리내도서관,4.3,서울 성북구 한천로66길 203,02-960-5067
장위행복누림도서관,2.9,서울 성북구 장위로21다길 53,02-6954-7955
성북이음도서관,5.0,서울 성북구 보문로 168 12층,02-6954-0023
성북문화원,5.0,서울 성북구 성북로4길 13-8,02-765-1611
서경로꿈마루도서관,5.0,서울 성북구 서경로 94-1,02-6925-0300
성북구립최만린미술관,5.0,서울 성북구 솔샘로7길 23,02-6952-5016
정릉도서관,0.0,서울 성북구 정릉로 242 2층,02-2038-9928
고려대학교 서울캠퍼스 박물관,4.5,서울 성북구 안암로 145,02-3290-1514
달빛마루도서관,4.0,서울 성북구 종암로 167 104동 201호,02-911-0993
김중업건축문화의집,0.0,서울 성북구 장위로21나길 11,
정든마을작은도서관,5.0,"서울 성북구 솔샘로6길 18-8 2,3층",02-941-3131
해오름도서관,5.0,서울 성북구 성북로4길 52,02-6925-7002
성북선잠박물관,4.5,서울 성북구 성북로 96,02-744-0025
종암박스파크,0.0,서울 성북구 화랑로 6,
월곡꿈그림도서관,4.5,서울 성북구 화랑로13길 17,02-6949-1553
은혜로운작은도서관,0.0,서울 성북구 월곡로4길 17 1층,02-909-5905
뜻밖의극장,5.0,서울 성북구 동소문로20나길 27 지하1층,02-921-5080
고려대학교 서울캠퍼스 중앙도서관,5.0,서울 성북구 안암로 145,02-3290-1492
글빛누리작은도서관,0.0,서울 성북구 삼선교로16길 35 삼선 SK뷰 아파트 105동 입구,070-7760-2233
월곡두산공감작은도서관,0.0,서울 성북구 오패산로 46 월곡두산위브아파트,
고려대학교 과학도서관,4.3,서울 성북구 안암로 145,02-3290-4221
여행자극장,5.0,서울 성북구 성북로5길 9-3 일신빌딩 지하1층,
성북근현대문학관,5.0,서울 성북구 성북로21길 24,
하늘채작은도서관,0.0,서울 성북구 돌곶이로 220,02-919-9378
북악하늘작은도서관,5.0,서울 성북구 북악산로1다길 26 현대빌리지 1층 B01호,070-8806-8205
종암동새날도서관,0.0,서울 성북구 종암로 98-8 종암동주민센터 4층,02-6925-6920
하땅세극장,5.0,서울 성북구 성북로 5-7 우성빌딩 지하1층,1600-2238
길음뉴타운푸르지오도서관,0.0,서울 성북구 길음로 119 대우아파트 211동 앞 2층,02-6224-2589
꿈틀도서관,0.0,서울 성북구 종암로 214-6 1층,02-941-5639
극장봄,2.0,서울 성북구 삼선교로 14,
대림아파트작은도서관,0.0,서울 성북구 길음로 118 414동 지하1층,02-912-5597
큰꿈도서관,0.0,서울 성북구 오패산로3가길 24,02-911-0691
소리마을작은도서관,0.0,서울 성북구 삼양로9길 14-7,02-909-3839
문화공간이육사,0.0,서울 성북구 종암로21가길 36-1,02-928-0264
이영미술관,4.2,서울 성북구 선잠로 97,031-213-8223
의릉역사문화관,5.0,서울 성북구 화랑로32길 146-20 1층,
어울림북터작은도서관,0.0,서울 성북구 동소문로34길 73 길음역금호어울림센터힐 103동 커뮤니티 2층,02-2051-5999
동네마당 뜰안,5.0,서울 성북구 동소문로23길 16-27,02-921-9050
푸른꿈작은도서관,0.0,서울 성북구 삼선교로 59-1,070-7719-5796
동행라온,0.0,서울 성북구 동소문로20나길 47,02-928-1122
한성대학교 미래관,0.0,서울 성북구 삼선교로16길 116,02-760-4283
생명의전화종합사회복지관생명가족작은도서관,0.0,서울 성북구 오패산로 21 3층,02-916-9193
기쁨이자라는작은도서관,0.0,서울 성북구 종암로9길 25 극동아파트 상가동 2층 202호,02-6083-6747
장위1동새마을문고작은도서관,0.0,서울 성북구 장위로 61 장위1동주민센터 2층,02-2241-5645
꿈터작은도서관,0.0,서울 성북구 정릉로36길 76-17 정릉교회 뒷편,02-942-5978
아리랑어린이도서관,5.0,서울 성북구 아리랑로 75,02-3291-4992
우리들문고작은도서관,0.0,서울 성북구 돌곶이로 157 한전빌딩 4층,02-916-3004
뒤죽박죽작은도서관,5.0,서울 성북구 서경로2길 21 1층,02-942-7766
안암문화원,0.0,서울 성북구 안암로 27-7,
힐스테이트별빛도서관,5.0,서울 성북구 낙산길 243-15 108동 1층,070-7789-4203
푸른하늘작은도서관,0.0,서울 성북구 화랑로38길 21 지하1층,02-957-7225
삼선푸르지오작은도서관,0.0,서울 성북구 보문로29다길 31 대우 푸르지오아파트 관리사무소 건물,02-743-2550
독서예찬작은도서관,0.0,서울 성북구 동소문로 269 601호,02-913-9582
연두와파랑작은도서관,0.0,서울 성북구 성북로 108 창원빌딩 301호,02-3446-4738
성북동작은도서관,0.0,서울 성북구 성북로 65-4 성북중앙교회 2층,
안암동새마을문고,0.0,서울 성북구 고려대로 16 주민센터 3층,02-2241-5206
리홀아트갤러리,5.0,서울 성북구 성북로31길 5,
한신휴북카페,0.0,서울 성북구 동소문로15길 99,02-6229-3131
U도서관,0.0,서울 성북구 한천로 713 514동 상가 1층,
스페이스캔,5.0,서울 성북구 선잠로2길 14-4,
시온성작은도서관,0.0,서울 성북구 종암로30길 50 1층,02-909-3954
종암2차SK뷰 작은도서관,0.0,서울 성북구 종암로24길 35,02-909-2105
한뜰작은도서관,0.0,서울 성북구 고려대로1길 17 2층,02-922-1397
정인교회꿈땅작은도서관,0.0,서울 성북구 서경로6길 70 1층,02-910-7708
엘케이트갤러리,0.0,서울 성북구 성북로 189,
다슬작은도서관,0.0,서울 성북구 장월로 89-10 1층,02-909-0739
국민대학교 대극장,0.0,서울 성북구 정릉로 77,
석관동새마을문고,0.0,서울 성북구 화랑로 296 주민센터 3층,02-2241-5760
성북예술창작터,0.0,서울 성북구 성북로 23,02-2038-9989
배바위골도서관,0.0,서울 성북구 정릉로8길 40-20,02-917-3108
월곡1동새마을문고작은도서관,0.0,서울 성북구 오패산로 96 월곡1동주민센터,02-2241-5598
북적book적,0.0,서울 성북구 아리랑로 68,02-927-6237
동선문고,0.0,서울 성북구 아리랑로5길 25,02-921-8306
에비뉴작은도서관,0.0,서울 성북구 장월로1마길 27-6,
장월SH빌작은도서관,0.0,서울 성북구 한천로101길 54 103동,02-913-1284
아가세작은도서관,0.0,서울 성북구 장위로15길 33-1,
정릉1동새마을문고,0.0,서울 성북구 정릉로38마길 33 주민센터 2층,02-2241-5318
성북마을극장,5.0,서울 성북구 동소문로20다길 10 4층,
쉴만한물가작은도서관,0.0,서울 성북구 월곡로5길 39,02-913-4057
곰세마리작은도서관,0.0,서울 성북구 삼선교로 54 본교회,02-742-3385
하늘비전작은도서관,0.0,서울 성북구 지봉로20길 47 1층,070-7773-2311
아띠작은도서관,0.0,서울 성북구 서경로 63 2층,
성북어린이미술관 꿈자람,0.0,서울 성북구 화랑로18자길 13 성북정보도서관 5층,02-6906-3137
휴먼빌작은도서관,0.0,서울 성북구 아리랑로 89 일신건영휴먼빌아파트 106동 옆,02-921-4821
종암동새마을문고,0.0,서울 성북구 종암로 98-8 주민센터 2층,02-2241-5558
천장산우화극장,0.0,서울 성북구 화랑로18자길 13 지하1층,
돈암2동새마을문고,0.0,서울 성북구 흥천사길 7 2층,02-2241-5198
아트스페이스감,0.0,서울 성북구 삼선교로2길 13,
세레니티문고,0.0,서울 성북구 종암로23길 35 205동 로비층,02-923-9324
운우미술관,4.0,서울 성북구 선잠로 12-11,
보문동새마을문고,0.0,서울 성북구 안암로3길 35 주민센터 2층,02-2241-5246
소곤소곤왁자지껄,0.0,서울 성북구 종암로14길 12-16,02-909-0775
옵스큐라,0.0,서울 성북구 성북로23길 164,
작은도서관핸드인핸드,0.0,서울 성북구 종암로14길 12-16,070-4099-0732
성광작은도서관,0.0,서울 성북구 보국문로16길 87 성광교회,02-911-4206
길음동작은도서관,0.0,서울 성북구 길음로15길 23 새생명교회 B1층,02-941-0272
길음2동새마을문고,0.0,서울 성북구 삼양로2길 70,02-2241-5518
바움아트스페이스,5.0,서울 성북구 성북로31길 69,
웨스,5.0,서울 성북구 창경궁로 320 2층,
챔버 CHMBR,5.0,서울 성북구 동소문로 26-6 1층,010-4005-1814
미인도,0.0,서울 성북구 동선동3가 22-6,
길음1동새마을문고,0.0,서울 성북구 길음로 92,02-2241-5478
정릉푸르지오북카페,0.0,서울 성북구 보국문로 19,
정릉4동새마을문고,0.0,서울 성북구 보국문로 106-1 주민센터 2층,02-2241-5429
와글와글작은도서관,0.0,서울 성북구 길음로 141 신안아파트 상가동 302호,
정릉함둥지 마을활력소,0.0,서울 성북구 정릉로21길 61-12,
성곽마을 박물관,0.0,서울 성북구 삼선교로4길 146-9,
성신여자대학교 돈암수정캠퍼스 수정홀,0.0,서울 성북구 보문로34다길 2 수정관 4층 420호,
공간222,0.0,서울 성북구 동소문로 24,070-7562-9980
아름드리작은도서관,0.0,서울 성북구 길음로13길 39 길음뉴타운,02-914-3133
파소갤러리,0.0,서울 성북구 삼선교로23가길 72,010-6432-4471
명원박물관,0.0,서울 성북구 정릉로9길 68,02-909-4210
369사랑방,5.0,서울 성북구 삼선교로2길 36-1,02-6448-2343
새공간,0.0,서울 성북구 삼선교로2길 11,
유영공간,0.0,서울 성북구 성북로16가길 1 1층,
대양역사관,0.0,서울 성북구 선잠로7길 13,
갤러리330,0.0,서울 성북구 대사관로13길 89-11,02-3675-0333
청년살이발전소,4.0,서울 성북구 정릉로23길 56,
한국예술종합학교 석관동캠퍼스 도서관,0.0,서울 성북구 화랑로32길 146-37 예술정보관 내,02-746-9102
캔파운데이션,0.0,서울 성북구 선잠로2길 14-4,02-766-7660
성신여자대학교 돈암수정캠퍼스 중앙박물관,0.0,서울 성북구 보문로34다길 2 행정관 3층,02-920-7324
고려대학교안암병원 의학도서관,0.0,서울 성북구 고려대로 73,02-2286-1262
극단초인,0.0,서울 성북구 아리랑로4가길 14,02-929-6417
국민대학교 성곡도서관,2.1,서울 성북구 정릉로 77,02-910-4195
오래된집,0.0,서울 성북구 성북로18길 16,02-766-7660
서울아트클럽,5.0,서울 성북구 선잠로 101,02-548-5943
길음아지트,0.0,서울 성북구 길음동 535-3,
뿌리깊은나무유물관,0.0,서울 성북구 선잠로7길 27,
00의 00,0.0,서울 성북구 성북로2길 8 지하 1층,
성북동작은갤러리,0.0,서울 성북구 혜화로 88,
예술공간 종종,0.0,서울 성북구 아리랑로4길 14 지하1층,
오늘도 연습실,0.0,서울 성북구 동소문로 36 지하1층,
고려대학교 해송법학도서관,3.7,서울 성북구 안암로 145,
성북시각장애인복지관 성북점자도서관,0.0,서울 성북구 동소문로25가길 20,
케이뮤지컬컴퍼니,0.0,서울 성북구 동소문로11길 23,02-707-1132
예문관,5.0,서울 성북구 동소문로 43 홍화브라운빌딩 203호,02-737-6444
