name,degree,address,tel
롯데월드아쿠아리움,3.4,서울 송파구 올림픽로 300 롯데월드몰 엔터테인먼트동 지하1층,1661-2000
올림픽홀,3.4,서울 송파구 올림픽로 424,
롯데월드 샤롯데씨어터,2.7,서울 송파구 올림픽로 240,1644-0078
롯데콘서트홀,3.7,서울 송파구 올림픽로 300 8층,1544-7744
한성백제박물관,3.6,서울 송파구 위례성대로 71,02-2152-5800
올림픽공원 88잔디마당,4.3,서울 송파구 올림픽로 424,
롯데뮤지엄,4.5,서울 송파구 올림픽로 300 롯데월드타워 7층,1544-7744
송파책박물관,3.8,서울 송파구 송파대로37길 77,02-2147-2486
소마미술관,4.0,서울 송파구 위례성대로 51,02-425-1077
서울특별시교육청 송파도서관,3.4,서울 송파구 동남로 263,02-3434-3333
래미안갤러리,4.9,서울 송파구 충민로 17,1588-3588
올림픽공원 우리금융아트홀,4.8,서울 송파구 올림픽로 424,02-2180-3518
뮤지엄209,4.4,서울 송파구 잠실로 209 소피텔앰버서더호텔 3층,02-6953-8016
석촌호수 아뜰리에,5.0,서울 송파구 석촌호수로 191,02-2147-3246
송파글마루도서관,4.7,서울 송파구 충민로 120,02-449-8855
롯데월드 민속박물관,4.4,서울 송파구 올림픽로 240,1661-2000
서울놀이마당,5.0,서울 송파구 잠실로 124,
서울백제어린이박물관,5.0,서울 송파구 올림픽로 424,02-2152-5900
송파어린이문화회관,0.0,서울 송파구 중대로 235,02-449-0505
커넥트투,4.6,서울 송파구 올림픽로 300 롯데월드몰 엔터테인먼트동 1층,02-3213-4193
송파위례도서관,4.3,"서울 송파구 위례광장로 210 위례동복합청사 4,5층",02-402-3003
소나무언덕2호도서관,4.0,서울 송파구 석촌호수로 155 잠실3동자치회관 2관 2층,02-424-0083
소나무언덕4호작은도서관,3.0,서울 송파구 송이로 34,02-419-5100
송파돌마리도서관,4.2,서울 송파구 백제고분로37길 16 5층,02-414-7007
소나무언덕1호작은도서관,5.0,서울 송파구 올림픽로47길 9 쌍용아파트 3층,02-475-0266
송파문화원,0.0,서울 송파구 올림픽로 44,02-414-0354
거마도서관,4.2,서울 송파구 거마로2길 19,02-449-2332
송파어린이도서관,0.0,서울 송파구 올림픽로 105,02-418-0303
주님의교회 도서부,0.0,서울 송파구 올림픽로4길 16 주님의교회 5층,02-416-5181
헬리오시티중앙도서관,0.0,서울 송파구 송파대로 345,02-403-8330
석촌호수수변무대,0.0,서울 송파구 신천동 32,
소나무언덕잠실본동도서관,4.8,서울 송파구 탄천동로 205,02-412-0750
뮤즈라이브,0.0,서울 송파구 올림픽로 424,
문화실험공간 호수,5.0,서울 송파구 송파나루길 256,
한국광고박물관,4.0,서울 송파구 올림픽로35길 137 한국광고문화회관 3층,02-2144-0116
책읽는나무의자,0.0,서울 송파구 토성로19길 7 1층,02-471-2310
즐거운가작은도서관,5.0,서울 송파구 새말로 149 지하1층,070-4192-1318
스토리빈작은도서관,5.0,서울 송파구 중대로 56,02-3012-3059
잠실본동새내꿈작은도서관,0.0,서울 송파구 백제고분로 145 주민센터 4층,02-416-8198
송파더센트레작은도서관,0.0,서울 송파구 위례광장로 163 주민공공시설1 2201동 1층,02-443-2205
고려작은도서관,0.0,서울 송파구 백제고분로11길 35,
거여3단지SH작은도서관,0.0,서울 송파구 양산로2길 44 거여3단지아파트,02-400-6950
송파스마트도서관,3.0,서울 송파구 올림픽로 159,
더미소작은도서관,0.0,서울 송파구 오금로35길 17 오금현대아파트 B상가 205호,02-3401-0691
풍납1동 바람드리 작은도서관,0.0,서울 송파구 천호대로152길 7 솔바람복지관 1층,02-477-4221
서울올림픽기념관,3.0,서울 송파구 올림픽로 424,
하품작은도서관,0.0,서울 송파구 새말로6길 5 송파교회 지하,02-6368-2073
잠실참좋은작은도서관,0.0,서울 송파구 삼전로 90 금화빌딩 4층,02-412-0691
더브릿지작은도서관,0.0,서울 송파구 동남로24길 11 2층 201호,02-400-6802
지샘터,4.0,서울 송파구 올림픽로 424,02-2180-3578
송파어린이영어도서관,0.0,서울 송파구 오금로 1 신천빗물펌프장 4~5층,02-415-3567
송파1동새마을작은도서관,0.0,서울 송파구 백제고분로 392 주민센터 2층,02-420-7758
위례글숲작은도서관,0.0,서울 송파구 위례송파로 40 송파레이크파크 호반써밋I 주민공동시설 지하1층,02-6951-5107
올리브트리영어작은도서관,0.0,서울 송파구 오금로46길 9 베스트빌딩 303호,02-401-6458
송파브이아트홀,5.0,서울 송파구 오금로 513 지하1층,
삼전동 삼학사 작은도서관,0.0,서울 송파구 백제고분로 236 삼전동주민센터 2층,02-3431-8686
송이골작은도서관,0.0,서울 송파구 송이로 32 2층,02-416-7144
다우리작은도서관,5.0,서울 송파구 마천로26길 17 2층,02-403-4376
송파구민회관 대강당,0.0,서울 송파구 백제고분로 242,
글벗SH작은도서관,0.0,서울 송파구 위례순환로 477 위례포레샤인23단지 2302동 1층,02-402-1881
방이1동새마을문고,0.0,서울 송파구 위례성대로16길 22,02-421-3206
잠실3동새마을문고,0.0,서울 송파구 잠실로 51-31 2층,02-416-3942
참벗영어작은도서관,0.0,서울 송파구 백제고분로46길 20 3층,02-414-8927
문정1동느티나무작은도서관,0.0,서울 송파구 동남로 116 주민센터 2층,02-448-6960
예꿈틀어린이도서관,0.0,서울 송파구 오금로46길 28 중원빌딩 3층,02-2203-3927
아름다운꿈작은도서관,0.0,서울 송파구 마천로 305 3층,02-3402-1357
책과의어울림금호작은도서관,0.0,서울 송파구 송파대로32길 15,02-407-3589
송파파크데일1단지작은도서관,5.0,서울 송파구 성내천로37길 37,02-448-1998
잠실7동부렴마을작은도서관,0.0,서울 송파구 올림픽로 44 송파문화원 1층,02-412-2764
송파스마트도서관 7호점,0.0,서울 송파구 송파대로37길 77,
꿈터SH작은도서관,0.0,서울 송파구 위례서이로 25 위례포레샤인13단지 1303동 1층,070-4531-1303
잠실본동새마을문고,0.0,서울 송파구 백제고분로 145 잠실본동주민센터 내,
잠실나루역 스마트도서관,0.0,서울 송파구 신천동 15,
가락본동글향기작은도서관,0.0,서울 송파구 송파대로28길 39 가락본동주민센터 1층,02-448-9116
송파꿈꾸는작은도서관,0.0,"서울 송파구 동남로 341 송파레미니스 2단지 주민공동시설 1,2층",070-8152-9911
한국근현대사작은도서관,2.0,서울 송파구 중대로20길 51 지하1층,070-8154-2000
송파스마트도서관 장지역,0.0,서울 송파구 송파대로 지하 82,
오륜작은도서관,0.0,서울 송파구 양재대로 1232 오륜동주민센터 3층,02-401-6302
문정1동새마을문고,0.0,서울 송파구 동남로 116 문정1동주민센터 2층,02-448-6960
마중물작은도서관,0.0,서울 송파구 한가람로 478 씨티극동아파트 상가 202호,
DNG홀,3.0,서울 송파구 오금로 195 지하,
더믹스만드는작은도서관,0.0,서울 송파구 가락로 205 송립빌딩 2층,
한생연 인간과로봇과학관,4.0,서울 송파구 올림픽로 145 리센츠상가 5층,02-423-5123
석촌동꿈다락작은도서관,0.0,서울 송파구 백제고분로37길 16 3층,02-422-4360
이사랑나눔도서관,0.0,서울 송파구 백제고분로48길 40 지하1층,02-401-2822
잠실6동장미마을작은도서관,0.0,서울 송파구 올림픽로35길 120 주민센터 3층,02-3431-4870
대한체육회작은도서관,0.0,서울 송파구 올림픽로 424 문화센터 1층,02-2144-8059
송파구립 예송미술관,0.0,서울 송파구 백제고분로 242 송파구민회관 1층,02-2147-3579
