name,degree,address,tel
양천문화회관,4.3,서울 양천구 목동서로 367,02-2021-8900
양천중앙도서관,4.6,서울 양천구 신정로7길 81,02-2699-5919
서울특별시교육청 양천도서관,3.4,서울 양천구 목동서로 113,02-2062-3900
로운아트홀,0.0,서울 양천구 목동서로 225 2층,02-2061-9500
대한민국예술인센터,5.0,서울 양천구 목동서로 225,02-2655-3000
한국방송회관 코바코홀,0.0,서울 양천구 목동동로 233,
갈산공공도서관,5.0,서울 양천구 목동남로4길 48-6,02-2645-5919
미감도서관,3.0,서울 양천구 목동중앙남로 57-10 3층,02-2653-5919
양천문화원,2.3,서울 양천구 목동남로 106 갈산문화예술센터 2층,02-2651-5300
책읽는쉼터,0.0,서울 양천구 목동동로 10,02-2655-0427
개울건강도서관,5.0,서울 양천구 중앙로52길 56,02-2603-5919
로운아뜨리움,1.0,서울 양천구 목동서로 225,02-2061-9500
양천근린공원 책쉼터,4.5,서울 양천구 목동동로 지하 111,010-9809-0596
모새미작은도서관,0.0,서울 양천구 목동중앙서로7길 16-18,
신월음악도서관,1.0,서울 양천구 오목로5길 34,02-2691-5919
한생연생명과학박물관,3.5,서울 양천구 목동동로 206-1,02-2654-8887
양천문화회관 대극장,0.0,서울 양천구 목동서로 367,02-2646-5870
해맞이역사도서관,4.0,서울 양천구 지양로 37 1층,02-2693-5919
새아름작은도서관,5.0,서울 양천구 남부순환로83길 53 1층,02-2694-5198
용왕산 작은책쉼터,0.0,서울 양천구 목동중앙로9길 40,
양천구영어특성화도서관,5.0,서울 양천구 목동동로 81 해누리타운 7층,02-2642-5919
목마교육도서관,0.0,서울 양천구 목동서로 41,02-2652-5919
신정네거리 스마트도서관,0.0,서울 양천구 신정동 1092 지하2층,02-2699-5919
신월6동행정복합타운,5.0,서울 양천구 남부순환로83길 53,
고운달작은도서관,0.0,서울 양천구 곰달래로1길 38 신월1동주민센터 2층,02-2694-5919
꿈자람작은도서관,0.0,서울 양천구 목동중앙남로16나길 55 주민센터,02-6246-5919
